1,2,3,4,5,6,7
circle3D_-1.0_-37.7_-24.7_41.2_44.csv,220,44,"[0.05905120842384379, -0.03928477981583272, -0.15669488445462637, 0.9850944185467555, 0.0023152952914080953]","[-0.4884857519576997, -0.38486282134347805, 0.7831106428097239, -4.597241927722031, 0.0]",88.38401387537577,circle
circle3D_-10.5_39.8_41.6_37.8_18.csv,89,18,"[-0.011090415911698756, 0.012501213294460056, -0.00859013381644497, 0.9998234037382676, -0.00030541662121962753]","[0.4701421189767826, -0.8688156163315379, -0.15532486208740282, -45.63394354115859, 0.0]",67.80084731767928,circle
circle3D_-10.8_42.4_30.5_23.5_32.csv,161,32,"[0.009972002088743912, -0.03155778663504484, -0.021652753596643537, -0.9992173929867993, -0.000651990326818706]","[0.553654659181026, -0.7849929750241337, -0.27794342505247766, -47.22137407198414, 0.0]",183.83323235590768,circle
circle3D_-11.3_-35.9_11.4_14.8_20.csv,100,20,"[-0.005084114073501292, 0.008048529068716668, 0.0290984994566711, -0.9995304470543236, 0.0012392355190582354]","[-0.16155896717973195, -0.9470923916261961, -0.27733499931957883, 32.74625514977997, 0.0]",40.6539992773613,circle
circle3D_-12.0_35.0_25.4_23.9_17.csv,86,17,"[-0.006717439529666736, -0.09143098814227837, -0.10778496185814752, 0.9899240286501608, -0.0052981045445258616]","[0.5854474101056046, -0.7858485746143142, -0.19923189447799425, -39.30487305586451, 0.0]",35.65917475604169,circle
circle3D_-12.4_-16.9_-6.1_39.0_44.csv,218,44,"[-0.05140654446075285, 0.02235623954194341, 0.05033218279744379, -0.9971576212178839, 0.0009568500841433481]","[0.5053434723145704, -0.4912330026396643, -0.7094491610444491, 5.940423540333644, 0.0]",80.8456799611307,circle
circle3D_-12.5_-4.6_-25.5_60.0_30.csv,148,30,"[0.00663115027309218, 0.0038768968032706027, 0.01875433490652089, 0.9997943614525011, -0.0007122129120896113]","[0.9549343063547563, -0.22522406235974157, -0.19332509480389667, -5.386538320802777, 0.0]",156.82172551477987,circle
circle3D_-13.0_21.7_35.2_59.5_44.csv,220,44,"[-0.0006248240145377444, 0.04174744852493711, 0.017714808117908442, -0.9989705041411244, 0.0009367849175499862]","[-0.3678678516392386, -0.76138602241188, 0.5338207270293532, 7.299103858018607, 0.0]",281.9347851917654,circle
circle3D_-15.1_46.7_40.7_41.4_44.csv,221,44,"[0.10774225947687174, 0.45571713058373475, -0.6292268439822617, -0.6203093657026577, -0.0018363139803938937]","[-0.09211885963300598, -0.69544392951199, 0.7126512868190424, -2.2570897468850113, 0.0]",154.07930208284264,circle
circle3D_-15.7_-41.5_-21.3_44.5_40.csv,201,40,"[0.05483764430370614, 0.06101322400083529, 0.07699644868275023, -0.9936490436234314, -0.0018287320002117826]","[0.5145741007416265, -0.2957503503563761, 0.8048262080163812, -12.431362661187146, 0.0]",172.57501844719133,circle
circle3D_-16.3_39.2_-4.4_59.5_49.csv,247,49,"[0.026605349783500876, -0.01780283516843371, 0.0035146340461535384, 0.999480976528216, -0.000799580257611719]","[0.7018948923023065, 0.7116753602270618, 0.029355439114676817, 16.87311131915192, 0.0]",252.64105882617514,circle
circle3D_-16.3_42.5_-13.5_30.0_56.csv,279,56,"[-0.012629686312064072, -0.015778318176226967, 0.010146501365199213, 0.9997437467916828, -0.0010124031618616103]","[0.7230401881901267, -0.682204598335672, 0.10867277612930876, -42.239761510596125, 0.0]",135.95852382817023,circle
circle3D_-17.1_-26.0_-48.3_16.6_27.csv,135,27,"[0.13612167350569496, 0.1630634412033753, -0.20481326031305377, -0.9554720848247512, 0.0024140558202032326]","[-0.5748744364355665, -0.7569376926938072, 0.31074863107062034, 14.322051485432901, 0.0]",58.194278112670304,circle
circle3D_-17.5_-38.1_-20.2_13.5_5.csv,23,5,"[0.04838648247002906, 0.04421864054636435, 0.026064822671762366, 0.9975029583990928, -0.0034544386746173214]",0.0,2.562440033320557,sphere
circle3D_-17.7_-21.5_49.6_30.3_43.csv,215,43,"[-0.8114726291643053, -0.5650647973569756, -0.1490434396580059, 19.07707822500668, 0.0]",0.0,159.54712412971213,plane
circle3D_-17.9_-34.7_14.7_27.8_30.csv,150,30,"[0.03777494561502963, -0.00974642567075178, -0.057520145845032386, 0.9975803135407885, -0.001735375537103289]","[0.04115648027446944, -0.888523950125866, -0.45698067156516053, 22.89762022612612, 0.0]",144.40856760570804,circle
circle3D_-18.6_-27.1_11.1_58.7_51.csv,256,51,"[-0.03125376744093649, -0.00045788151651558566, 0.026233121193006057, -0.9991667326238663, 0.0008100219039656914]","[0.4946079727562481, -0.6728663243848481, -0.5501035018928521, 2.5818576958916415, 0.0]",122.7575838823314,circle
circle3D_-18.9_18.2_41.2_26.4_22.csv,109,22,"[0.014482002022641325, 0.01659498736827204, 0.003064472546391817, -0.9997524304548356, 0.0007515446256556133]","[-0.7073255781236567, -0.04651621105288439, 0.705355774514761, 41.86658832846861, 0.0]",53.67303160837418,circle
circle3D_-19.3_26.5_-6.9_23.1_59.csv,293,59,"[-0.0005145346850425278, 0.01864938088579105, 0.008775848123705191, -0.9997859235701887, 0.00173993311628979]","[0.6907188732801502, -0.555975532962037, 0.4623836554660846, -31.00823361683911, 0.0]",157.4838512765264,circle
circle3D_-2.4_-9.6_14.6_53.0_15.csv,74,15,"[-0.0029168183991089077, -0.007126613614146416, 0.010465305806586219, -0.9999152762542108, 0.0007881856767043058]","[0.7126513586745729, -0.3635491663821775, 0.5999667029111775, 9.498530775186753, 0.0]",318.24841143526766,circle
circle3D_-2.5_5.8_-14.7_23.9_24.csv,122,24,"[-0.03988688577588109, 0.012876872180106651, 0.023862735763808107, 0.9988322206209269, -0.002826198381876402]","[-0.7960793701393956, 0.5043374166212706, -0.3345166761676408, 9.69032464604644, 0.0]",60.143329381773654,circle
circle3D_-20.3_31.9_48.2_28.9_55.csv,277,55,"[0.17450735184419844, -0.0955035058657457, 0.2948949892096564, 0.9345880657248279, 0.0028908931903372046]","[0.6832979704713044, -0.5614105976394325, 0.4668211910442073, -9.555081643571711, 0.0]",130.4897423352209,circle
circle3D_-21.3_-5.0_35.1_54.9_57.csv,283,57,"[0.05367672650455859, 0.03451040312768383, -0.01235351199001575, 0.9978846991207723, -0.0011658086798424952]","[0.5557659339045579, 0.6086272091494294, 0.5663012864140174, 5.604646296594053, 0.0]",431.6060141176407,circle
circle3D_-23.1_26.4_-46.2_46.7_55.csv,275,55,"[0.018620820132641738, -0.01366412106252893, -0.008225124617350366, 0.999699276960471, -0.0005097282775971477]","[-0.2375364947180995, 0.038016208705816984, 0.9706344221964694, -38.77472102264335, 0.0]",338.87841690100015,circle
circle3D_-24.1_-5.0_43.2_33.5_10.csv,48,10,"[0.03308198320682313, 0.0017402877756725066, -0.056546264633507884, -0.9978494422183328, -0.0012507622158583196]","[0.6308756981418457, -0.7134760974352732, -0.3048732718402373, -27.040649137512027, 0.0]",370.2130740255917,circle
circle3D_-24.3_-23.7_41.6_34.8_21.csv,103,21,"[0.008527531482418783, 0.003707443629586267, 0.02235803047844781, -0.999706467152419, 0.0007962884553312174]","[0.7747353861258938, 0.5777988488946203, -0.25677533312297357, -42.7888045955706, 0.0]",108.14289847878213,circle
circle3D_-25.0_-7.4_-6.5_34.8_44.csv,222,44,"[-0.01975935303137061, -0.006255951033704053, 0.019371161315072803, -0.9995964552922548, 0.0014545517900281639]","[0.49882373657333773, 0.11898845638502681, 0.8584967251411748, -19.28761838712142, 0.0]",102.45504895185003,circle
