1,2,3,4,5,6,7
line3d_-0.1_-5.0_-7.4_21.csv,104,21,"[0.9928209241610945, -0.10495568496293207, 0.05736651237326484, -7.334336123479273, 0.0]","[-0.11907251553084089, -0.8218372365595609, 0.5571402809430511, -2.5622660686287935, 0.0]",78.40251159869776,line
line3d_-0.2_0.0_6.7_38.csv,188,38,"[-0.8099233582650815, -0.5860227012611257, -0.02452646210168275, 4.161311669345011, 0.0]","[0.5857551604525199, -0.8102946334060697, 0.017705905132641076, -5.873140699156956, 0.0]",125.6016340229477,line
line3d_-0.6_5.3_3.0_60.csv,298,60,"[-0.48491593688108114, -0.4718515499299904, 0.7363509007174563, -0.41763609938927715, 0.0]","[0.8690854106551285, -0.16592098166746677, 0.4660051253247232, 4.964874260058808, 0.0]",226.5451575706135,line
line3d_-0.9_-2.8_4.7_59.csv,297,59,"[0.6861114767117984, -0.6753210388166251, -0.2705411910522864, 3.795327652069103, 0.0]","[0.7089190752460139, 0.5371369224456627, 0.457075126536042, 2.8253291144669967, 0.0]",209.69765897392776,line
line3d_-1.1_6.6_-0.5_38.csv,191,38,"[0.9806461779938185, 0.17050322650828212, 0.09623784773352814, -3.4740774337756193, 0.0]","[-0.10750045863508993, 0.058082051863268064, 0.9925069907283264, -0.0049967839723503715, 0.0]",108.6270234660561,line
line3d_-1.7_1.6_-0.8_20.csv,100,20,"[-0.4563573959340905, -0.04108208535959634, 0.8888476750482966, -1.9672619754448237, 0.0]","[0.563222783023049, 0.7600062137203168, 0.3243002494452931, 3.0788018621499424, 0.0]",81.85600268726364,line
line3d_-10.0_-1.2_-7.4_56.csv,278,56,"[0.014480968716563902, -0.9899176241612966, 0.14090208983504765, -3.092890550683345, 0.0]","[-0.5994922195620075, 0.10418498408303623, 0.7935707704900901, -1.6655514567508023, 0.0]",240.75976759860936,line
line3d_-10.0_-6.9_-8.5_32.csv,162,32,"[-0.06649681942551833, -0.7351386462517187, 0.6746475700641633, -3.0197314232987544, 0.0]","[0.7351174234690782, -0.4932819130732302, -0.4650541129234298, -8.562963204312876, 0.0]",135.7527174575664,line
line3d_-2.1_0.5_-7.0_50.csv,248,50,"[0.6653190252030808, -0.7035878157944653, -0.2496292854782788, 2.2761174524173464, 0.0]","[0.6894373174445891, 0.707323854985044, -0.15610621218870582, 5.8451914153023745, 0.0]",187.87439577973254,line
line3d_-2.1_1.7_-1.5_33.csv,163,33,"[-0.6136109574790735, -0.0641948909320022, 0.78699466887638, -6.662025272603097, 0.0]","[0.40054900771800617, 0.8336250946750486, 0.38030210878213244, 5.897974473498842, 0.0]",134.71250823459968,line
line3d_-2.4_-2.0_5.8_56.csv,279,56,"[-0.8372251680335859, -0.30726821471880217, -0.4523718185681484, 4.395931258959991, 0.0]","[0.4076935331213076, -0.902035087417419, -0.1418403472884727, 2.228286699039295, 0.0]",204.75761679020692,line
line3d_-3.0_-6.4_4.3_57.csv,287,57,"[0.4358171513368312, -0.633819587232517, -0.6390118476531177, -2.2086102726172276, 0.0]","[0.8237444114896454, -0.0051717992095331455, 0.5669377364689301, -1.7685842502910452, 0.0]",249.81407654931468,line
line3d_-3.3_-2.9_-3.8_4.csv,22,4,"[-0.3273282746410261, -0.5911600725445749, 0.7371471828947201, -1.1543092650844713, 0.0]","[0.7523508817305945, -0.6350393714959754, -0.17519459868726966, -3.5650893366268903, 0.0]",22.602643508794525,line
line3d_-3.5_9.0_-6.9_55.csv,273,55,"[-0.20249131053097935, 0.5452396926923097, 0.8134561737870348, -2.6304947563140457, 0.0]","[0.9338646788505484, 0.35755417214025065, -0.007195525030333231, -0.647801369277013, 0.0]",193.78637798433527,line
line3d_-3.8_-0.6_0.2_49.csv,245,49,"[0.12912233113013627, -0.5318072260993778, 0.8369638569687491, -6.952772685746834, 0.0]","[0.10262932204165665, -0.8323301213365991, -0.544696054119242, 5.275465667552777, 0.0]",198.84467715023328,line
line3d_-4.3_-5.1_-7.0_10.csv,48,10,"[0.3896987500076267, -0.8416338604309617, 0.37388143738165147, -7.132974068776436, 0.0]","[-0.8067797080748154, -0.11621127948780285, 0.5793111781750144, -6.405728305626706, 0.0]",32.06342316256618,line
line3d_-4.4_-2.0_2.8_5.csv,25,5,"[0.41063487805120086, 0.29820709714182525, 0.8616562679758799, -3.372281998982551, 0.0]","[0.4572869989315369, -0.884921491852591, 0.08833206589666898, 2.4709199857021957, 0.0]",13.62776080425392,line
line3d_-4.4_-7.4_2.6_34.csv,168,34,"[-0.4117527034147208, 0.5100717034319096, 0.7551732043635679, -8.010286297884617, 0.0]","[0.7686283242819812, -0.25079313708310313, 0.5884839008022983, 2.0838045282392215, 0.0]",118.53102246671466,line
line3d_-5.2_4.0_-9.1_41.csv,206,41,"[0.7009175153816591, 0.7077030631943328, -0.08871871829867686, -9.726796124176957, 0.0]","[-0.5423575759192488, 0.6096289897353103, 0.57810099006774, -7.4822053399451836, 0.0]",157.92453294563643,line
line3d_-5.3_-9.9_-3.4_54.csv,269,54,"[0.8921310441145427, -0.43113648416655725, -0.13499456340014548, 0.15371906714152656, 0.0]","[-0.011132574853758181, -0.3196967313920322, 0.9474545190743334, -5.120888636989241, 0.0]",238.90192980041076,line
line3d_-5.4_-1.3_-1.7_35.csv,173,35,"[-0.36878181925131515, 0.5436080885452867, 0.7539829015686166, 6.314634556919492, 0.0]","[0.009363684846479647, -0.8089426619070348, 0.5878129729368488, 12.585835548703468, 0.0]",127.82994004276169,line
line3d_-5.9_-7.6_5.6_58.csv,290,58,"[0.07157097775768134, 0.5547650892415958, 0.8289229704270319, -1.8332689478980164, 0.0]","[0.8449630720872181, -0.47532503928636105, 0.24516017995659514, 6.084202247619533, 0.0]",238.28481178540656,line
line3d_-6.0_-4.5_-2.8_38.csv,188,38,"[0.6616254319178585, -0.64939706087504, -0.3748803077868542, -7.4343901963894155, 0.0]","[-0.016198288824876728, -0.5122123534987669, 0.8587060733233463, -9.50836929894381, 0.0]",147.76330893440337,line
