name,npts,solution,resíduo algébrico,resíduo geométrico,gradiente algébrico,gradiente geométrico
sphere2D_-0.4_92.1_6.0_0.csv,694,"[-0.5186526574146321, 92.04234728073278, 6.403611076087949]",112645.8564877813,577.642606962786,[2.65766857410199e-8 -2.1264650484908998e-7 35181.9794039318],[-8.435762263211116 -17.402213066184473 327.82706827529637]
sphere2D_-1.0_92.1_97.0_0.csv,438,"[-1.0138377277629063, 92.20772810508352, 97.01460894367645]",1.700815419738376e7,358.6779141499236,[-4.334251570980996e-7 -5.776866309759043e-7 350630.7840153672],[0.8504716180866949 0.5415319026471965 13.9721221183608]
sphere2D_-1.2_63.9_144.0_0.csv,59,"[-1.2011391230117257, 64.13578350502883, 144.07134523980355]",4.733564735309591e6,48.134464837135994,[-7.453490979969501e-8 -2.0317872895248001e-7 65711.39774452409],[0.2716445160275702 0.18352772289170027 1.186960655270866]
sphere2D_-11.3_-64.3_8.0_0.csv,204,"[-11.29683852941859, -64.14632366301291, 8.17128689057493]",42355.962040082384,144.0921709872123,[3.906109213858144e-9 2.2419676781737508e-8 10367.023606998062],[-3.9008715656211006 4.618267810168778 59.9867564332156]
sphere2D_-11.7_-32.3_135.0_0.csv,876,"[-11.75315045030614, -32.31565925740015, 135.08215593550108]",6.40605485574349e7,704.1638523598294,[-1.2108607734262478e-6 1.1927351529550378e-5 948467.961798953],[1.5941859942234298 -1.2260594825119178 19.497338089377877]
sphere2D_-12.1_81.8_148.0_0.csv,925,"[-12.065361729156262, 81.82236702729955, 148.005619394908]",8.437344207166071e7,748.731527811482,[2.1368705347413197e-6 -9.881339590123162e-6 1.1401383598280866e6],[-1.820654831491514 1.6139055560241788 19.51685829456477]
sphere2D_-12.9_-4.1_42.0_0.csv,89,"[-12.979720853998995, -4.368692467731032, 42.04811344710014]",539070.2128268508,63.05929209680409,[1.8399077816866338e-9 4.46884129701175e-9 25640.63729064837],[-3.0746379415121172 0.7704704253186324 5.41657778240922]
sphere2D_-13.2_12.1_137.0_0.csv,899,"[-13.198819109626154, 12.043411187405228, 136.981693775111]",6.4829551731083155e7,696.3319601927592,[3.029679646715522e-6 -2.8775732516805874e-6 946543.2926732517],[0.5161187616436571 -0.930613218996035 18.91765202045815]
sphere2D_-14.1_-35.8_123.0_0.csv,623,"[-14.072142687639557, -35.79697651333744, 122.94387961412339]",3.8072280653041355e7,502.3828057693857,[2.706408849917352e-6 -9.00525094493787e-7 619344.0579948582],[0.2083802258764662 -0.092888127345256 15.363884220976615]
sphere2D_-16.2_-60.1_80.0_0.csv,720,"[-16.195632888410195, -60.049921546478494, 79.98166158291397]",1.778505229523409e7,558.8859858671639,[-3.668683348223567e-7 2.7101282285002526e-7 444728.2525324421],[-0.35141620522230177 3.085378745389835 26.074834267400632]
sphere2D_-16.7_18.1_78.0_0.csv,838,"[-16.708439281922704, 18.069243695129504, 78.04429246918872]",2.0312067722984083e7,658.1936118536084,[2.3718166630715132e-7 1.5592149793519638e-7 520526.66710950027],[0.0030583989326911087 -0.5582780456548604 32.05905581577605]
sphere2D_-16.8_70.0_69.0_0.csv,545,"[-16.9071922266739, 70.09171079628912, 68.97119266227266]",9.982853803703401e6,434.7797656247723,[-3.1901140573609155e-7 1.5423731118957562e-6 289478.9380401735],[1.2281618919992485 -1.7930369993888184 22.807512865683123]
sphere2D_-17.9_68.5_148.0_0.csv,384,"[-17.887590047574715, 68.58543543919716, 147.92067622139945]",3.2441134453381397e7,304.5485198843833,[1.6397098079323769e-7 -7.210275612123951e-7 438628.8013583976],[0.645672028849412 0.03509911448976211 7.515813410698058]
sphere2D_-18.8_-47.3_32.0_0.csv,447,"[-18.825298717605165, -47.285669240366424, 32.1373034241802]",2.026981808450004e6,365.8215195177715,[-1.496198365202872e-8 1.4485891330906497e-7 126145.10817527195],[-5.9858901153534685 -3.073575056078577 45.85282669552017]
sphere2D_-2.0_-66.1_131.0_0.csv,416,"[-1.9902269328633477, -66.14448561017365, 131.0369122617713]",2.7743720017112657e7,331.3709064904021,[-1.344509655609727e-6 1.2425495867773861e-6 423448.92806693265],[0.05097127044880301 -0.37609427870001366 9.248378721990889]
sphere2D_-2.3_35.3_27.0_0.csv,787,"[-2.241160989302496, 35.311590339810515, 27.026961104646908]",2.166511179221577e6,608.7543770490076,[-9.967561709345318e-8 -1.3016523325859453e-7 160322.21830895837],[5.529076396440672 0.5653808963784764 82.43194001434617]
sphere2D_-20.0_-61.2_124.0_0.csv,230,"[-19.85319146376568, -61.23465332372259, 124.06187987620201]",1.412402414149004e7,185.20418307532816,[-9.756695362739265e-8 1.38850283804004e-6 227693.2149605308],[0.6465191983875177 0.5454244862926522 5.551253686236834]
sphere2D_-21.4_-89.6_77.0_0.csv,32,"[-21.181426293455235, -89.71234452619709, 76.8640847495714]",881209.7425119185,29.143723746994638,[7.785274647176266e-9 -8.248139238276053e-8 22929.037544108825],[0.04782971249997825 -0.49929774105734115 1.4561957361974294]
sphere2D_-21.6_-27.2_150.0_0.csv,845,"[-21.53245610912024, -27.22426868853285, 150.031203161862]",7.26074565977837e7,672.7431396161126,[-5.334062734618783e-6 -1.4789387051905578e-5 967898.0780991258],[-1.0705303095603451 -0.9496271091927722 16.12494313741331]
sphere2D_-24.2_23.7_61.0_0.csv,726,"[-24.29228817579783, 23.71999170380096, 61.02581967144668]",1.0410728626104165e7,575.0894700369087,[2.1796040527988225e-8 1.0189921795245027e-7 341190.94777088653],[6.327836417807185 -0.07518242659846697 34.372052483803884]
sphere2D_-24.9_-96.7_146.0_0.csv,283,"[-25.11108085519875, -96.60714782527926, 145.98147131177168]",2.537016090926758e7,232.59744674613756,[-8.638598956167698e-7 4.172533863311401e-6 347580.5618537327],[-0.9749522032476365 0.06528560911359305 6.117090630262851]
sphere2D_-26.0_-94.9_98.0_0.csv,888,"[-25.961112385701664, -94.8489451003911, 98.07627999158726]",3.362270747860774e7,715.7797926492228,[-2.4766704882495105e-6 -6.562468740867189e-6 685644.0207899046],[1.57781227440653 2.6784557998032863 26.734151751925367]
sphere2D_-28.1_-52.2_117.0_0.csv,37,"[-28.187496690046437, -52.29800356550385, 117.11707596478671]",1.4331729026440363e6,25.99259141412776,[-4.7752109821885824e-8 8.248832727986155e-10 24474.192014208056],[-0.12528052616100338 0.2957539712858222 0.6693090707225338]
sphere2D_-28.4_-58.7_88.0_0.csv,118,"[-28.417025508677035, -58.784546391982424, 87.92882260339888]",3.514975326884059e6,91.51696112244878,[-4.453613655641675e-8 7.730483275736333e-8 79950.46954652331],[1.3848894862949215 -0.6390020242658432 3.8810678379342107]
sphere2D_-28.6_-64.5_97.0_0.csv,323,"[-28.520774256570082, -64.43628225823767, 97.01563551016925]",1.232099089674884e7,262.9198231115173,[1.8478749552741647e-7 -3.192338340340939e-7 254000.10693124638],[1.7064920151967682 0.18734438040033355 10.119962534121669]
