name,npts,solution,resíduo algébrico,resíduo geométrico,gradiente algébrico,gradiente geométrico
sphere2D_-0.4_92.1_6.0_0.csv,694,"[-0.5159566558563647, 92.04321054070027, 6.247142315563968]",109927.03231901859,560.6504528098028,[2.9559881255636355e-5 -9.624325180368487e-6 -2.410218684190113e-6],[-8.202146099004015 -16.922765374107062 110.67956684388673]
sphere2D_-1.0_92.1_97.0_0.csv,438,"[-1.0137845732265307, 92.20771519252767, 97.00397630065743]",1.700629023355151e7,358.4984702143935,[1.7185120668727905e-6 1.7689046323710045e-5 -2.2529067791765556e-5],[0.8503249267740773 0.5414617638538074 4.658050626715948]
sphere2D_-1.2_63.9_144.0_0.csv,59,"[-1.2009076749316796, 64.13577204440999, 144.0646337859068]",4.733344230931362e6,48.12688496761359,[1.1402880772948265e-7 1.2820150914194528e-6 3.7441495805978775e-6],[0.27169348309801133 0.1834909432454536 0.39548877233926305]
sphere2D_-11.3_-64.3_8.0_0.csv,204,"[-11.294859925419175, -64.14879924464978, 8.075537867828265]",41862.550517248565,143.40230815750994,[2.1161741869946127e-7 1.3853836833277455e-7 -5.924526362832694e-7],[-3.859260549053898 4.587076573683353 20.94060787811903]
sphere2D_-11.7_-32.3_135.0_0.csv,876,"[-11.753133802014295, -32.31566188705774, 135.07473863879412]",6.405703111986254e7,704.1150573827753,[-3.126192336821987e-5 -2.407956970706948e-6 2.4586723611719208e-5],[1.5941136376929108 -1.2260041536454798 6.5022679707361135]
sphere2D_-12.1_81.8_148.0_0.csv,925,"[-12.06534922750274, 81.82236317050612, 147.99858574901796]",8.436943250219135e7,748.5836874630593,[-1.9272388186664102e-5 -7.343242971802333e-5 -5.921910855022361e-6],[-1.820572655047781 1.613829530034531 6.504635827573736]
sphere2D_-12.9_-4.1_42.0_0.csv,89,"[-12.979224891398163, -4.368602926353997, 42.0277338697104]",538809.0034280178,62.71088854037152,[-1.165972207672894e-8 -1.5995897939546921e-9 2.6702764444053173e-9],[-3.0737805570134453 0.7701524244603258 1.790115833008727]
sphere2D_-13.2_12.1_137.0_0.csv,899,"[-13.1988028727175, 12.043416410446616, 136.97467957511802]",6.482623219409551e7,696.2827692585129,[2.9170187190175056e-6 -2.9194918624853017e-6 -1.1565425666049123e-5],[0.5160663510087957 -0.9305774524590855 6.306157777954525]
sphere2D_-14.1_-35.8_123.0_0.csv,623,"[-14.072121970990763, -35.79698358942055, 122.93565801726594]",3.806973473958928e7,502.1686240053443,[6.61027297610417e-6 2.6519201128394343e-6 -8.077535312622786e-6],[0.20835824733507158 -0.0928817668403992 5.119810918591099]
sphere2D_-16.2_-60.1_80.0_0.csv,720,"[-16.195590436279193, -60.049919687990254, 79.96959103849592]",1.7782368441702474e7,558.9055582202889,[1.270321081392467e-5 5.188308023207355e-6 1.3109500287100673e-5],[-0.35136509394245063 3.084898516992566 8.693358066642219]
