name,npts,solution,resíduo algébrico,resíduo geométrico ,gradiente algébrico,gradiente geométrico
sphere2D_-0.4_92.1_6.0_0.csv,694,"[-0.5156932661098487, 92.08833255277402, 6.245690090597397]",110035.53941872822,560.9553043424605,[-26.881903961019773 4800.353010987918 -325.4963440318037],[-7.435621169221559 41.75056507256116 108.63841527206672]
sphere2D_-1.0_92.1_97.0_0.csv,438,"[-1.010967976340719, 91.80277332751403, 97.21732880404029]",1.910240660787137e7,384.19826674425747,[73048.46259179592 -6.633297602158138e6 7.038299193341887e6],[4.722010013645533 -353.04829352592185 191.40506375994136]
sphere2D_-1.2_63.9_144.0_0.csv,59,"[-1.2012059376258508, 64.12066417053653, 144.08135849410817]",4.7352658943729e6,48.15319786488243,[1366.5326123193372 -72945.84254134572 163931.53624882153],[0.3066004235959774 -1.56994736535185 2.36982022869347]
sphere2D_-11.3_-64.3_8.0_0.csv,204,"[-11.302661540997864, -64.19695964961672, 8.072123650423375]",41926.78018228504,143.40711959372507,[-452.83822519856574 -2572.0346609917965 -323.2530318329557],[-7.498851387391872 -14.535343627918225 19.71820070688956]
sphere2D_-11.7_-32.3_135.0_0.csv,876,"[-11.750410904672423, -32.30805346284239, 135.09059986775557]",6.407520406810303e7,704.3501270522306,[176430.21039703197 485099.3481633458 2.0285976702083126e6],[6.425146640402331 12.059995167003928 34.293908434997775]
sphere2D_-12.1_81.8_148.0_0.csv,925,"[-12.062058680279051, 81.79974071739616, 148.01903147541032]",8.44244995515644e7,748.7496907577322,[270173.01045528887 -1.8321982004207515e6 3.3158563893294823e6],[4.342582343208681 -40.219270238172044 44.344336635168816]
sphere2D_-12.9_-4.1_42.0_0.csv,89,"[-12.952512731399203, -4.359214875502954, 42.072976633929834]",540371.12130188,63.479810704712264,[17654.120850591502 5941.558045311185 57417.492822325694],[1.8873395889647777 2.4621800601132544 9.903665909030224]
sphere2D_-13.2_12.1_137.0_0.csv,899,"[-13.196089093953317, 12.04089197891586, 136.98894891300554]",6.4840438642002836e7,696.3879426078579,[185515.49180374472 -169275.3042267288 1.926050033765866e6],[5.4596459262704675 -5.448094027322039 31.96636294507522]
sphere2D_-14.1_-35.8_123.0_0.csv,623,"[-14.067996872763652, -35.7863364879278, 122.95388526380636]",3.8084701089710236e7,502.7517036720666,[157101.3748138612 399636.3315224296 1.3732628378787225e6],[5.406037531980037 13.13339104680095 27.83140694910807]
sphere2D_-16.2_-60.1_80.0_0.csv,720,"[-16.17113569277824, -59.95830691463973, 80.03053926900333]",1.7933508446133472e7,562.2353362884927,[453763.3981285319 1.6824350255151116e6 2.247427323513604e6],[35.11217847021551 134.69245907131966 96.49203225858088]
sphere2D_-16.7_18.1_78.0_0.csv,838,"[-16.696376650425123, 18.056122346533968, 78.0598502563572]",2.0328357751100905e7,657.8153724452586,[247248.61197177484 -267384.43204518815 1.156372157249628e6],[20.249355493290857 -22.51273675066529 58.14687345080537]
sphere2D_-16.8_70.0_69.0_0.csv,545,"[-17.04022105024215, 70.65733773491482, 68.68355369036856]",1.251613239338393e7,478.0753413388022,[-1.4203016463869293e6 5.889285873602012e6 -5.704592030741694e6],[-146.86025224301193 615.8152656205718 -292.79128142046716]
