1,2,3,4,5
sphere3D_-0.5_92.2_95.4_74.0_0.csv,296,"[-0.5, 92.2, 95.4, 74.0]",5.89467902295036e6,"[-0.5332100374200951, 91.76728792879787, 95.63016121918639, 74.01770438046127]"
sphere3D_-10.4_-92.6_-52.2_80.0_0.csv,981,"[-10.4, -92.6, -52.2, 80.0]",2.513181477341117e7,"[-10.391508767288123, -92.5295479787544, -52.29774432948996, 80.05622138391654]"
sphere3D_-11.8_-75.7_66.2_93.0_0.csv,394,"[-11.8, -75.7, 66.2, 93.0]",1.292702817084455e7,"[-11.600631214130257, -75.17925249110222, 66.0052533795215, 93.07773453662128]"
sphere3D_-14.5_-42.7_87.6_135.0_0.csv,670,"[-14.5, -42.7, 87.6, 135.0]",4.9586385499258995e7,"[-14.441506401079304, -42.62674691855055, 87.61399656312209, 135.02372562159974]"
sphere3D_-15.4_-38.1_56.2_129.0_0.csv,274,"[-15.4, -38.1, 56.2, 129.0]",1.6134846820458326e7,"[-15.383847566498064, -38.06028022927266, 56.30253824041424, 129.01320338420396]"
sphere3D_-16.6_87.8_20.3_18.0_0.csv,652,"[-16.6, 87.8, 20.3, 18.0]",900716.3043865747,"[-16.503672257467713, 87.84441253503218, 20.30785227277802, 18.17144706866351]"
sphere3D_-17.2_-58.0_-56.2_147.0_0.csv,128,"[-17.2, -58.0, -56.2, 147.0]",9.531366468435535e6,"[-17.42749072302248, -57.857436433106315, -56.36131236186413, 146.82954405069836]"
sphere3D_-19.7_-89.8_-62.6_64.0_0.csv,198,"[-19.7, -89.8, -62.6, 64.0]",3.067621474404758e6,"[-19.5769637853393, -89.8866288406168, -62.624572662657776, 63.9838876675039]"
sphere3D_-20.0_36.3_58.5_132.0_0.csv,623,"[-20.0, 36.3, 58.5, 132.0]",4.194303023586535e7,"[-20.086208541146014, 36.36846653834666, 58.50728912221837, 131.98869657300358]"
sphere3D_-21.7_-24.9_-70.8_119.0_0.csv,97,"[-21.7, -24.9, -70.8, 119.0]",5.160587570300756e6,"[-21.59768537490652, -24.93577819835126, -70.76140992893859, 119.16496480603114]"
sphere3D_-23.9_-76.3_2.6_32.0_0.csv,50,"[-23.9, -76.3, 2.6, 32.0]",174268.04619447215,"[-23.73161528581481, -75.7167250685454, 2.438306693695241, 32.11678384632511]"
sphere3D_-24.1_-6.4_-18.3_68.0_0.csv,504,"[-24.1, -6.4, -18.3, 68.0]",1.0427540799438622e7,"[-24.21884180280826, -6.378568402551129, -18.376040447557916, 68.02913596872196]"
sphere3D_-26.6_-60.5_-75.3_27.0_0.csv,471,"[-26.6, -60.5, -75.3, 27.0]",1.3858816070593018e6,"[-26.57302596446066, -60.49741236526521, -75.27869233545312, 27.0706269920843]"
sphere3D_-27.0_5.7_-31.5_43.0_0.csv,496,"[-27.0, 5.7, -31.5, 43.0]",3.5789497618530365e6,"[-26.952890303060745, 5.727269046184413, -31.450248881695238, 43.056709519150125]"
sphere3D_-27.5_-38.7_97.6_110.0_0.csv,74,"[-27.5, -38.7, 97.6, 110.0]",2.7474412978648385e6,"[-27.459379020343423, -38.90214806358234, 97.70612274459296, 110.05378455891434]"
sphere3D_-29.3_-7.9_-7.7_57.0_0.csv,618,"[-29.3, -7.9, -7.7, 57.0]",7.295361380143428e6,"[-29.322308825808157, -7.978326831456263, -7.540140904658733, 57.00305895492474]"
sphere3D_-31.7_-57.1_-78.8_90.0_0.csv,572,"[-31.7, -57.1, -78.8, 90.0]",1.8552987070212856e7,"[-31.741273792342312, -57.20321408635862, -78.70521346475721, 90.02868182763193]"
sphere3D_-32.0_88.6_-73.2_149.0_0.csv,564,"[-32.0, 88.6, -73.2, 149.0]",4.9703138832360886e7,"[-31.99717995033127, 88.28976407781717, -73.07812124305106, 148.98559181996035]"
sphere3D_-32.8_-12.0_95.9_21.0_0.csv,983,"[-32.8, -12.0, 95.9, 21.0]",1.8306900343640074e6,"[-32.8923679755044, -11.944031339134696, 95.76758912301305, 21.07504193173105]"
sphere3D_-33.8_-90.6_-69.2_39.0_0.csv,598,"[-33.8, -90.6, -69.2, 39.0]",3.871611564167244e6,"[-33.760122518245566, -90.68113467582103, -69.31365290645249, 39.059951486914784]"
sphere3D_-34.5_-37.6_93.5_23.0_0.csv,305,"[-34.5, -37.6, 93.5, 23.0]",618124.2622061545,"[-34.68178254150822, -37.66338929728502, 93.53610241072805, 23.06370667465768]"
sphere3D_-34.7_-27.7_52.9_37.0_0.csv,952,"[-34.7, -27.7, 52.9, 37.0]",5.285114095606143e6,"[-34.87588138592977, -27.80573922794993, 52.98815377554647, 37.01491863013686]"
sphere3D_-35.3_-92.4_-81.0_52.0_0.csv,138,"[-35.3, -92.4, -81.0, 52.0]",1.3192907539735239e6,"[-35.24588790571458, -92.26166052049423, -81.12650974690462, 51.99522006624748]"
