name,npts,centro e raio implementado,resíduo,sol
sphere3D_-0.5_92.2_95.4_74.0_0.csv,296,"[-0.5, 92.2, 95.4, 74.0]",5.899485405537184e6,"[-0.5578465355307138, 91.82157931672539, 95.63179602747448, 73.98883591997073]"
sphere3D_-10.4_-92.6_-52.2_80.0_0.csv,981,"[-10.4, -92.6, -52.2, 80.0]",2.5331238767175764e7,"[-10.457495490987776, -92.74167722055789, -52.23377794993287, 79.99782447417837]"
sphere3D_-11.8_-75.7_66.2_93.0_0.csv,394,"[-11.8, -75.7, 66.2, 93.0]",1.5505399386223294e7,"[-11.806708058492113, -76.2813887814847, 66.72053404285504, 92.90618528019179]"
sphere3D_-14.5_-42.7_87.6_135.0_0.csv,670,"[-14.5, -42.7, 87.6, 135.0]",4.986551927594624e7,"[-14.398988016378729, -42.46294501210024, 87.49094157046805, 135.0576399481191]"
sphere3D_-15.4_-38.1_56.2_129.0_0.csv,274,"[-15.4, -38.1, 56.2, 129.0]",1.6161271262827504e7,"[-15.359441045554256, -37.981016544543095, 56.24633643383021, 129.03096220072462]"
sphere3D_-16.6_87.8_20.3_18.0_0.csv,652,"[-16.6, 87.8, 20.3, 18.0]",900103.7784305909,"[-16.589440424799776, 88.00105660451534, 20.24109737906148, 18.091371606404937]"
sphere3D_-17.2_-58.0_-56.2_147.0_0.csv,128,"[-17.2, -58.0, -56.2, 147.0]",9.53795003260153e6,"[-17.405876791622298, -57.82951443116113, -56.36195573411033, 146.845442418486]"
sphere3D_-19.7_-89.8_-62.6_64.0_0.csv,198,"[-19.7, -89.8, -62.6, 64.0]",3.0742849399049403e6,"[-19.629194879521286, -89.9925044170189, -62.60070156772486, 63.94357363112012]"
sphere3D_-20.0_36.3_58.5_132.0_0.csv,623,"[-20.0, 36.3, 58.5, 132.0]",4.1978849015496515e7,"[-20.056896970195346, 36.35937646777065, 58.49341735218096, 132.00835674559036]"
sphere3D_-21.7_-24.9_-70.8_119.0_0.csv,97,"[-21.7, -24.9, -70.8, 119.0]",5.170683563085469e6,"[-21.552508010973327, -24.953667039029646, -70.72025521477511, 119.19425584470719]"
sphere3D_-23.9_-76.3_2.6_32.0_0.csv,50,"[-23.9, -76.3, 2.6, 32.0]",175201.0131635219,"[-23.807607870193237, -75.91343325089562, 2.536025585275367, 32.06161716342544]"
sphere3D_-24.1_-6.4_-18.3_68.0_0.csv,504,"[-24.1, -6.4, -18.3, 68.0]",1.0468370833742173e7,"[-24.12077264591245, -6.392102516425692, -18.34691670049969, 68.0749435145708]"
sphere3D_-26.6_-60.5_-75.3_27.0_0.csv,471,"[-26.6, -60.5, -75.3, 27.0]",1.384945639196831e6,"[-26.64521374907025, -60.53713448956667, -75.29153222073009, 27.012549653352032]"
sphere3D_-27.0_5.7_-31.5_43.0_0.csv,496,"[-27.0, 5.7, -31.5, 43.0]",2.2129330190048408e7,"[-23.585632318098742, 2.509608836071644, -28.64484921442111, 44.870517253360646]"
sphere3D_-27.5_-38.7_97.6_110.0_0.csv,74,"[-27.5, -38.7, 97.6, 110.0]",1.2542043274079626e7,"[-26.184326674190668, -35.386943010530864, 95.00333626716817, 110.96661466396412]"
sphere3D_-29.3_-7.9_-7.7_57.0_0.csv,618,"[-29.3, -7.9, -7.7, 57.0]",7.35396915367479e6,"[-29.176872338954272, -7.952428604190912, -7.540731109477513, 57.063541147750534]"
sphere3D_-31.7_-57.1_-78.8_90.0_0.csv,572,"[-31.7, -57.1, -78.8, 90.0]",1.901943146347292e7,"[-31.96106621806145, -57.323021905433855, -78.77827186131915, 89.89565612179184]"
sphere3D_-32.0_88.6_-73.2_149.0_0.csv,564,"[-32.0, 88.6, -73.2, 149.0]",5.02425658294731e7,"[-31.92735818415863, 88.04323125905944, -72.91942154286282, 149.0313773162424]"
sphere3D_-32.8_-12.0_95.9_21.0_0.csv,983,"[-32.8, -12.0, 95.9, 21.0]",1.8296641685858034e6,"[-32.97978493405659, -12.046143514141788, 95.86013582197565, 21.0025541239222]"
sphere3D_-33.8_-90.6_-69.2_39.0_0.csv,598,"[-33.8, -90.6, -69.2, 39.0]",3.8728878933981145e6,"[-33.82236049152957, -90.75470091314426, -69.30025971274462, 39.0132176633084]"
sphere3D_-34.5_-37.6_93.5_23.0_0.csv,305,"[-34.5, -37.6, 93.5, 23.0]",618409.4380804729,"[-34.75432329399523, -37.77687975180267, 93.62513688580606, 23.004850821068196]"
sphere3D_-34.7_-27.7_52.9_37.0_0.csv,952,"[-34.7, -27.7, 52.9, 37.0]",5.351014940719529e6,"[-35.027228088919586, -28.055768078707764, 53.175510269378734, 36.93696366868971]"
sphere3D_-35.3_-92.4_-81.0_52.0_0.csv,138,"[-35.3, -92.4, -81.0, 52.0]",1.3199743157371862e6,"[-35.29357246897452, -92.31629415060392, -81.12051022008109, 51.96115537141987]"
sphere3D_-37.5_1.7_0.4_135.0_0.csv,176,"[-37.5, 1.7, 0.4, 135.0]",1.1897662947693888e7,"[-37.42795036945339, 1.568674471695945, 0.5474145872329307, 135.17938224240928]"
sphere3D_-38.5_50.2_-32.5_88.0_0.csv,224,"[-38.5, 50.2, -32.5, 88.0]",5.5179667067112215e6,"[-38.296338286255775, 50.174819008906766, -32.47190758434734, 88.0565333804802]"
sphere3D_-39.5_64.7_-20.9_55.0_0.csv,431,"[-39.5, 64.7, -20.9, 55.0]",5.687876872387522e6,"[-39.76695259980778, 64.91263280943187, -21.039544665198225, 54.95111034363882]"
