name,npts,centro e raio implementados,resíduo,sol
sphere3D_-0.5_92.2_95.4_74.0_0.csv,296,"[-0.5, 92.2, 95.4, 74.0]",5.893489716297969e6,"[-0.5458039353992817, 91.7679967092281, 95.62977098927257, 74.00277018520748]"
sphere3D_-10.4_-92.6_-52.2_80.0_0.csv,981,"[-10.4, -92.6, -52.2, 80.0]",2.5127035214288138e7,"[-10.404438587961595, -92.52964055653334, -52.29766759828906, 80.04099591810383]"
sphere3D_-11.8_-75.7_66.2_93.0_0.csv,394,"[-11.8, -75.7, 66.2, 93.0]",1.2925295742580863e7,"[-11.611359991123948, -75.17974269724483, 66.00554106867554, 93.06526041761202]"
sphere3D_-14.5_-42.7_87.6_135.0_0.csv,670,"[-14.5, -42.7, 87.6, 135.0]",4.95830158991953e7,"[-14.449319553193757, -42.62679237532413, 87.6140195883395, 135.01455011506093]"
sphere3D_-15.4_-38.1_56.2_129.0_0.csv,274,"[-15.4, -38.1, 56.2, 129.0]",1.6133802477079244e7,"[-15.390924328418077, -38.06034727091998, 56.30257910495067, 129.0048528051896]"
sphere3D_-16.6_87.8_20.3_18.0_0.csv,652,"[-16.6, 87.8, 20.3, 18.0]",897204.9329359131,"[-16.565219507207374, 87.84363569002537, 20.30830657187337, 18.100573155001047]"
sphere3D_-17.2_-58.0_-56.2_147.0_0.csv,128,"[-17.2, -58.0, -56.2, 147.0]",9.53090255042693e6,"[-17.43353099098839, -57.8574834817516, -56.36128418776939, 146.82239740035908]"
sphere3D_-19.7_-89.8_-62.6_64.0_0.csv,198,"[-19.7, -89.8, -62.6, 64.0]",3.06675488918295e6,"[-19.592421543158924, -89.88644324150043, -62.62466536706606, 63.96581190574241]"
sphere3D_-20.0_36.3_58.5_132.0_0.csv,623,"[-20.0, 36.3, 58.5, 132.0]",4.194019795363944e7,"[-20.093751236503667, 36.368472336748006, 58.507286890406064, 131.97978370190222]"
sphere3D_-21.7_-24.9_-70.8_119.0_0.csv,97,"[-21.7, -24.9, -70.8, 119.0]",5.160172033679289e6,"[-21.6058865095374, -24.935734775603493, -70.76144039391451, 119.15536939787401]"
sphere3D_-23.9_-76.3_2.6_32.0_0.csv,50,"[-23.9, -76.3, 2.6, 32.0]",174091.59496000514,"[-23.760356953505493, -75.7193172725296, 2.4399652043873314, 32.08426125240395]"
sphere3D_-24.1_-6.4_-18.3_68.0_0.csv,504,"[-24.1, -6.4, -18.3, 68.0]",1.0424477262475716e7,"[-24.235739159773818, -6.3786056147811525, -18.376004116181594, 68.00914865711717]"
sphere3D_-26.6_-60.5_-75.3_27.0_0.csv,471,"[-26.6, -60.5, -75.3, 27.0]",1.383570922520547e6,"[-26.611246502656613, -60.49768691500877, -75.27849677545754, 27.02548139388887]"
sphere3D_-27.0_5.7_-31.5_43.0_0.csv,496,"[-27.0, 5.7, -31.5, 43.0]",3.576657822470554e6,"[-26.97640866653579, 5.727090812258884, -31.45019781906771, 43.02913383657904]"
sphere3D_-27.5_-38.7_97.6_110.0_0.csv,74,"[-27.5, -38.7, 97.6, 110.0]",2.7472301294921944e6,"[-27.46652883737624, -38.90198811804591, 97.70604103989108, 110.04532573095796]"
sphere3D_-29.3_-7.9_-7.7_57.0_0.csv,618,"[-29.3, -7.9, -7.7, 57.0]",7.29288033593309e6,"[-29.338704090115375, -7.977976369477337, -7.540372459642767, 56.983672122577715]"
sphere3D_-31.7_-57.1_-78.8_90.0_0.csv,572,"[-31.7, -57.1, -78.8, 90.0]",1.8550201774053253e7,"[-31.752681279426234, -57.2030990210908, -78.70529137623312, 90.01516583942305]"
sphere3D_-32.0_88.6_-73.2_149.0_0.csv,564,"[-32.0, 88.6, -73.2, 149.0]",4.970042840231322e7,"[-32.004081218427544, 88.28987416610889, -73.0781855550768, 148.97746722063258]"
sphere3D_-32.8_-12.0_95.9_21.0_0.csv,983,"[-32.8, -12.0, 95.9, 21.0]",1.8254738387969334e6,"[-32.94210004753814, -11.946336964254167, 95.76903326403296, 21.01496592233418]"
sphere3D_-33.8_-90.6_-69.2_39.0_0.csv,598,"[-33.8, -90.6, -69.2, 39.0]",3.868326659149247e6,"[-33.78829390472401, -90.6806056989942, -69.31393877783437, 39.02680680710628]"
sphere3D_-34.5_-37.6_93.5_23.0_0.csv,305,"[-34.5, -37.6, 93.5, 23.0]",616799.1943975082,"[-34.72169898011663, -37.66158303431497, 93.53478286556029, 23.014246816835485]"
sphere3D_-34.7_-27.7_52.9_37.0_0.csv,952,"[-34.7, -27.7, 52.9, 37.0]",5.280368996113493e6,"[-34.90385908319127, -27.8047039064837, 52.98757752434862, 36.98168143725431]"
sphere3D_-35.3_-92.4_-81.0_52.0_0.csv,138,"[-35.3, -92.4, -81.0, 52.0]",1.3187619613736307e6,"[-35.263849199597445, -92.26212729613475, -81.12626601856701, 51.974378487621095]"
sphere3D_-37.5_1.7_0.4_135.0_0.csv,176,"[-37.5, 1.7, 0.4, 135.0]",1.1891515939845901e7,"[-37.46354544771605, 1.5697878501769758, 0.5469988876089015, 135.1570133873482]"
sphere3D_-38.5_50.2_-32.5_88.0_0.csv,224,"[-38.5, 50.2, -32.5, 88.0]",5.372503207103055e6,"[-38.45987324455172, 50.48676723718584, -32.66438427839885, 87.97079535804762]"
sphere3D_-39.5_64.7_-20.9_55.0_0.csv,431,"[-39.5, 64.7, -20.9, 55.0]",5.541018681994442e6,"[-39.60047521674422, 64.50798022691514, -20.8096511065484, 55.02281454589625]"
sphere3D_-39.9_-91.8_15.7_83.0_0.csv,343,"[-39.9, -91.8, 15.7, 83.0]",8.757958819420086e6,"[-39.89179018926293, -92.3352546244303, 16.007600042850402, 83.02858970336872]"
sphere3D_-4.0_-88.3_36.3_56.0_0.csv,196,"[-4.0, -88.3, 36.3, 56.0]",2.683891462948358e6,"[-3.992943343351947, -88.49428271052733, 36.331635593868164, 56.09868859082488]"
sphere3D_-40.1_-6.9_37.7_8.0_0.csv,834,"[-40.1, -6.9, 37.7, 8.0]",225214.39405181212,"[-40.28390219443835, -6.865621938903671, 37.70347041627626, 8.174198233881192]"
sphere3D_-41.6_-61.5_-17.7_86.0_0.csv,548,"[-41.6, -61.5, -17.7, 86.0]",1.6182741737974416e7,"[-41.634359959385165, -61.55804475499794, -17.780631966898248, 85.99813556226465]"
sphere3D_-42.5_-76.2_36.2_125.0_0.csv,35,"[-42.5, -76.2, 36.2, 125.0]",1.433800590890716e6,"[-42.08798593960637, -76.15128816054235, 36.083952209372086, 125.05445377280995]"
sphere3D_-42.5_-98.0_42.8_91.0_0.csv,514,"[-42.5, -98.0, 42.8, 91.0]",1.6856077596915547e7,"[-42.44192756881174, -98.01845710066453, 42.80864962925283, 90.95224208798001]"
sphere3D_-42.8_-34.4_-20.5_16.0_0.csv,743,"[-42.8, -34.4, -20.5, 16.0]",872602.7898353486,"[-42.966307484279106, -34.39143556809487, -20.45231218146619, 16.09200509375422]"
sphere3D_-42.8_-96.0_12.3_86.0_0.csv,980,"[-42.8, -96.0, 12.3, 86.0]",3.202364403446182e7,"[-42.670445329530686, -96.04784598004582, 12.328322221559914, 86.04761083160757]"
sphere3D_-42.8_2.6_-49.1_110.0_0.csv,370,"[-42.8, 2.6, -49.1, 110.0]",1.8941532980406847e7,"[-42.98156967251061, 2.4527792567141504, -48.96156449941302, 110.06850979737918]"
sphere3D_-43.4_58.1_47.2_132.0_0.csv,429,"[-43.4, 58.1, 47.2, 132.0]",2.8973922121947795e7,"[-43.45187000264969, 58.24027971775663, 47.073930109403, 131.96834442793812]"
sphere3D_-43.6_52.0_8.9_117.0_0.csv,35,"[-43.6, 52.0, 8.9, 117.0]",2.1801872914407435e6,"[-43.67956278774803, 52.05959942785087, 8.76947551184336, 117.07329336168758]"
sphere3D_-46.2_73.9_68.3_131.0_0.csv,14,"[-46.2, 73.9, 68.3, 131.0]",861951.0544811377,"[-45.925774990406126, 74.49879836629584, 68.23687705988522, 131.11502564410495]"
sphere3D_-46.5_44.8_-35.8_11.0_0.csv,717,"[-46.5, 44.8, -35.8, 11.0]",342708.3199600138,"[-46.61613849948818, 44.877772738826025, -35.67287868921825, 11.135404194965684]"
sphere3D_-47.0_-60.2_99.1_108.0_0.csv,784,"[-47.0, -60.2, 99.1, 108.0]",3.917236628115171e7,"[-47.03343320951091, -60.15017648170096, 99.15860262775985, 108.02361567059316]"
sphere3D_-47.2_62.6_46.2_127.0_0.csv,790,"[-47.2, 62.6, 46.2, 127.0]",5.068513884076655e7,"[-47.200847414356865, 62.737255372707075, 46.18304002564647, 127.01710125490415]"
sphere3D_-47.6_-32.1_89.1_93.0_0.csv,238,"[-47.6, -32.1, 89.1, 93.0]",8.6490328711023e6,"[-47.83493897729882, -32.07064754019457, 89.07644445856447, 92.94981277481416]"
sphere3D_-48.8_14.7_5.4_62.0_0.csv,305,"[-48.8, 14.7, 5.4, 62.0]",5.24692087074558e6,"[-49.05789700254177, 14.820045193797828, 5.375900824860739, 61.993995120622984]"
sphere3D_-5.5_68.2_46.7_100.0_0.csv,79,"[-5.5, 68.2, 46.7, 100.0]",3.2257488057970824e6,"[-5.687026486960648, 68.32842493215942, 46.80081499014042, 100.11293489343768]"
sphere3D_-50.3_-36.7_61.7_83.0_0.csv,504,"[-50.3, -36.7, 61.7, 83.0]",1.4280985930161593e7,"[-50.22585342213371, -36.57141430848814, 61.68894384772906, 82.98754610926744]"
sphere3D_-51.1_-13.6_-4.9_14.0_0.csv,790,"[-51.1, -13.6, -4.9, 14.0]",627610.0198376841,"[-51.16275494115243, -13.758598780637266, -4.824387222044034, 14.058471497166177]"
sphere3D_-51.1_-88.9_13.2_56.0_0.csv,292,"[-51.1, -88.9, 13.2, 56.0]",3.3859049787330017e6,"[-51.20949249747477, -89.01603518691019, 13.35614815410191, 55.94740418055348]"
sphere3D_-51.6_-50.7_47.6_23.0_0.csv,628,"[-51.6, -50.7, 47.6, 23.0]",1.2864321309289946e6,"[-51.69141029511331, -50.87310272446833, 47.598062161102874, 23.060461407617673]"
sphere3D_-52.9_2.5_61.6_26.0_0.csv,166,"[-52.9, 2.5, 61.6, 26.0]",468319.67914047197,"[-53.08861710532951, 2.3932486470979737, 61.612761743552696, 25.93268804550091]"
sphere3D_-53.0_-17.6_62.9_45.0_0.csv,292,"[-53.0, -17.6, 62.9, 45.0]",2.576663678378424e6,"[-52.83474902589647, -17.458508786270254, 62.726042821378854, 45.091132295547986]"
sphere3D_-53.2_76.2_43.1_12.0_0.csv,869,"[-53.2, 76.2, 43.1, 12.0]",513697.8975516421,"[-53.32789957257366, 76.27884785776317, 43.13723895187473, 12.056381828434656]"
sphere3D_-56.9_98.3_-43.6_146.0_0.csv,403,"[-56.9, 98.3, -43.6, 146.0]",3.732812076096331e7,"[-56.84502376705368, 98.44048841117268, -43.621070580342696, 146.04162161858906]"
sphere3D_-57.3_-58.2_-72.4_108.0_0.csv,588,"[-57.3, -58.2, -72.4, 108.0]",2.6773765351656932e7,"[-57.451697843186096, -58.12487103663095, -72.44318792043015, 107.98899949308968]"
sphere3D_-57.3_71.3_19.5_43.0_0.csv,526,"[-57.3, 71.3, 19.5, 43.0]",4.0801407715285257e6,"[-57.26989453143806, 71.27365788557707, 19.537886701737282, 43.02793269866812]"
sphere3D_-57.4_-23.2_7.8_26.0_0.csv,790,"[-57.4, -23.2, 7.8, 26.0]",2.111039176475426e6,"[-57.379239221467266, -23.00996704271691, 7.594684800510905, 26.079207669572504]"
sphere3D_-57.9_-51.2_18.7_120.0_0.csv,240,"[-57.9, -51.2, 18.7, 120.0]",1.4434100362678807e7,"[-57.762863138515335, -51.279636888966394, 18.84113643971461, 119.98863600628678]"
sphere3D_-58.5_-74.9_44.0_16.0_0.csv,548,"[-58.5, -74.9, 44.0, 16.0]",554170.8509254236,"[-58.61747564661258, -74.80075244323992, 43.76899264948206, 16.1317008961694]"
