1,2,3,4,5,6,7,8,9,10
sphere3D_-0.5_92.2_95.4_74.0_0.csv,296,"[-0.5458039353480604, 91.76799670921002, 95.6297709892751, 74.00277018521022]",5.893489716297968e6,221.12807962530985,[-2.6583553562886664e-6 -1.0856601875275373e-5 5.6448334362357855e-6 -7.722555892542005e-7],[-4.074887235593713 -0.9496989751494891 0.7743206364043269 3.6301088321270356],8.22e-5,9.5e-5,0.0281327
sphere3D_-10.4_-92.6_-52.2_80.0_0.csv,981,"[-10.404438587948944, -92.52964055647924, -52.29766759830146, 80.04099591811614]",2.512703521428814e7,777.4096904629862,[0.00011017305303084868 3.4996183160274086e-5 6.185509118949994e-5 -0.00020709933596663177],[-16.863753209132245 -1.42327959906504 -2.858013227907069 12.25914328152976],0.0002236,0.0002725,0.0296196
sphere3D_-11.8_-75.7_66.2_93.0_0.csv,394,"[-11.61135999111917, -75.17974269722693, 66.00554106866393, 93.06526041761657]",1.2925295742580876e7,311.8417042284285,[-7.395887450911687e-6 -1.4897617575115873e-6 1.1262774933129549e-5 2.67658761003986e-5],[-5.152362995069048 -0.4054404409143045 -0.22386946729906843 4.006154727145372],0.0001018,0.0001155,0.02811
sphere3D_-14.5_-42.7_87.6_135.0_0.csv,670,"[-14.449319553182105, -42.62679237528315, 87.61401958830857, 135.0145501150716]",4.95830158991953e7,547.0324568411299,[1.2201694914892869e-5 -1.1939015450934676e-5 1.2777782103512436e-5 -9.552630945108831e-5],[-5.664697966814045 -0.4051393091619562 -0.9106440179059341 5.037794466701712],0.0001577,0.0001763,0.0269338
sphere3D_-15.4_-38.1_56.2_129.0_0.csv,274,"[-15.390924328417427, -38.06034727091683, 56.30257910494824, 129.00485280519104]",1.6133802477079224e7,208.75019935546965,[-8.143586455844343e-6 2.119923010468483e-7 -5.0707021728158e-6 8.177943527698517e-6],[-2.912466824457614 0.46818792958445243 0.49399482427778096 1.881213346653709],7.76e-5,9.03e-5,0.0275074
sphere3D_-16.6_87.8_20.3_18.0_0.csv,652,"[-16.565219507205597, 87.8436356900281, 20.308306571870204, 18.100573154990396]",897204.9329359133,536.2782726178094,[4.506009076976625e-6 -3.3841598110484483e-6 -1.4248153092921712e-6 -1.5440226889040787e-5],[-47.66867673421086 -10.936283963569046 -22.4323732387486 38.01751435954763],0.0001558,0.0001823,0.0271638
sphere3D_-17.2_-58.0_-56.2_147.0_0.csv,128,"[-17.43353099094437, -57.85748348171717, -56.361284187768064, 146.82239740038912]",9.530902550426908e6,91.49365279228127,[1.6607111984257017e-5 -3.343005943179378e-6 -3.323704731883481e-6 1.4332323189591989e-5],[-1.297877952439745 -0.3173019817098689 -0.1630712059414765 0.7537286120523845],4.86e-5,5.56e-5,0.0001227
sphere3D_-19.7_-89.8_-62.6_64.0_0.csv,198,"[-19.592421543189502, -89.88644324154183, -62.62466536705687, 63.96581190574123]",3.066754889182951e6,156.08613552249085,[-1.6550149325667007e-5 -5.164447202332667e-6 -1.3600802049040794e-6 3.475291305221617e-5],[-4.397228897720298 -0.9143007073141793 -0.5359925253646693 2.9251712952426203],6.55e-5,7.48e-5,0.0001397
sphere3D_-20.0_36.3_58.5_132.0_0.csv,623,"[-20.09375123647026, 36.36847233673805, 58.50728689039504, 131.97978370192465]",4.194019795363944e7,485.9225157307208,[0.0001851876857017487 -0.0002865784831556084 -0.00043833091331180185 0.0009236477199010551],[-5.308162204027809 0.7812236844571371 -0.5174186270903589 4.565258772244988],0.0001489,0.00016485,0.0274883
sphere3D_-21.7_-24.9_-70.8_119.0_0.csv,97,"[-21.605886509543538, -24.93573477560008, -70.76144039391946, 119.15536939786887]",5.160172033679295e6,76.56450217387841,[2.1550420115090674e-6 2.247136308142217e-6 4.687812179327011e-6 -2.030428731814027e-6],[-1.3696987934798917 0.44670957657117416 0.2807251645337363 0.7626336710340809],4.23e-5,4.8e-5,0.0001151
sphere3D_-23.9_-76.3_2.6_32.0_0.csv,50,"[-23.760356953503308, -75.71931727252782, 2.4399652043864353, 32.08426125240406]",174091.59496000528,37.819859056510204,[-9.761606634128839e-8 5.218680598773062e-9 2.7914211386814713e-8 3.607801772886887e-7],[-1.0109417541988654 -0.36235673970297455 -0.09136669128573871 1.3293124456270533],3.24e-5,3.68e-5,0.0001038
sphere3D_-24.1_-6.4_-18.3_68.0_0.csv,504,"[-24.235739159773072, -6.378605614781126, -18.376004116181424, 68.00914865711768]",1.0424477262475722e7,422.6780377988955,[1.306381136600976e-7 6.114652819633193e-7 8.313072612509131e-7 2.722270437516272e-6],[-9.951465895502931 0.856469995952977 -1.6795579222272439 8.273493157118452],0.0001241,0.00014195,0.0278673
sphere3D_-26.6_-60.5_-75.3_27.0_0.csv,471,"[-26.611246502656634, -60.497686915008764, -75.27849677545694, 27.02548139389005]",1.3835709225205465e6,378.0475572425747,[-1.8637169034718681e-6 4.2636577290977584e-7 1.7775337255443446e-6 6.119396857684478e-6],[-23.31872566284141 2.030590581697671 -0.9021153062403546 17.576446852230944],0.0001172,0.0001362,0.0277645
sphere3D_-27.0_5.7_-31.5_43.0_0.csv,496,"[-26.9764086665358, 5.727090812259085, -31.450197819067863, 43.02913383657889]",3.5766578224705537e6,391.74080601571967,[1.7265682572542573e-7 5.222395316195616e-8 9.031646186485887e-8 -4.569246812025085e-7],[-16.228332371422383 -1.7131439868467377 -1.289168811588886 11.217930152951254],0.0001223,0.00014565,0.0274917
sphere3D_-27.5_-38.7_97.6_110.0_0.csv,74,"[-27.46652883735341, -38.901988117989085, 97.70604103984738, 110.04532573097147]",2.7472301294921953e6,48.54758050015634,[3.0261321057878376e-6 6.053828656149562e-7 3.589666448533535e-7 -1.9112922018393874e-6],[-0.01269274886075177 0.12370235962746404 0.2124999375368417 0.5155210047362004],3.68e-5,4.17e-5,0.0001125
