1,2,3,4,5
sphere3D_-0.5_92.2_95.4_74.0_0.csv,296,"[-0.5, 92.2, 95.4, 74.0]",5.8994812976674065e6,"[-0.5578408605256047, 91.82156234388826, 95.63179544289358, 73.98884253746068]"
sphere3D_-10.4_-92.6_-52.2_80.0_0.csv,981,"[-10.4, -92.6, -52.2, 80.0]",2.533063417910388e7,"[-10.457407354423099, -92.74137749033406, -52.233868231803136, 79.99790055760978]"
sphere3D_-11.8_-75.7_66.2_93.0_0.csv,394,"[-11.8, -75.7, 66.2, 93.0]",1.5431718953803878e7,"[-11.803781172080093, -76.26566985141767, 66.71033201575045, 92.90848643068632]"
sphere3D_-14.5_-42.7_87.6_135.0_0.csv,670,"[-14.5, -42.7, 87.6, 135.0]",4.986512021520463e7,"[-14.399018599939579, -42.46306981686686, 87.4910353434099, 135.05761611582673]"
sphere3D_-15.4_-38.1_56.2_129.0_0.csv,274,"[-15.4, -38.1, 56.2, 129.0]",1.6161257431563655e7,"[-15.359447377944685, -37.98104098381734, 56.24635376537569, 129.03095812278872]"
sphere3D_-16.6_87.8_20.3_18.0_0.csv,652,"[-16.6, 87.8, 20.3, 18.0]",900102.2105869631,"[-16.589432732087218, 88.00101458938433, 20.241115299711527, 18.09137526817424]"
sphere3D_-17.2_-58.0_-56.2_147.0_0.csv,128,"[-17.2, -58.0, -56.2, 147.0]",9.53794753639208e6,"[-17.405881620984317, -57.829521721181166, -56.361955571500836, 146.84543923135433]"
sphere3D_-19.7_-89.8_-62.6_64.0_0.csv,198,"[-19.7, -89.8, -62.6, 64.0]",3.0742772378209187e6,"[-19.629173643388402, -89.99245380047525, -62.60071297586001, 63.94358850194864]"
sphere3D_-20.0_36.3_58.5_132.0_0.csv,623,"[-20.0, 36.3, 58.5, 132.0]",4.197883426383968e7,"[-20.0569045168515, 36.35937918889808, 58.493421506734386, 132.00835230907649]"
sphere3D_-21.7_-24.9_-70.8_119.0_0.csv,97,"[-21.7, -24.9, -70.8, 119.0]",5.170673510808331e6,"[-21.552533834904374, -24.953656036010134, -70.7202805717061, 119.19424014248925]"
sphere3D_-23.9_-76.3_2.6_32.0_0.csv,50,"[-23.9, -76.3, 2.6, 32.0]",175199.81193018705,"[-23.80757884123141, -75.91333103211478, 2.5359749670690186, 32.06163343841486]"
sphere3D_-24.1_-6.4_-18.3_68.0_0.csv,504,"[-24.1, -6.4, -18.3, 68.0]",1.0468325730982842e7,"[-24.12084472876471, -6.392091329310524, -18.34694085338763, 68.07491635112923]"
sphere3D_-26.6_-60.5_-75.3_27.0_0.csv,471,"[-26.6, -60.5, -75.3, 27.0]",1.3849449114369415e6,"[-26.645204032041036, -60.537124686711195, -75.29152898230517, 27.012554375190078]"
sphere3D_-27.0_5.7_-31.5_43.0_0.csv,496,"[-27.0, 5.7, -31.5, 43.0]",1.8654734430338655e7,"[-23.919756825809106, 2.82809957711453, -28.922963315052257, 44.664350208951475]"
sphere3D_-27.5_-38.7_97.6_110.0_0.csv,74,"[-27.5, -38.7, 97.6, 110.0]",1.0459017879655458e7,"[-26.32830742633602, -35.783849749182735, 95.30854789312899, 110.85429787578443]"
sphere3D_-29.3_-7.9_-7.7_57.0_0.csv,618,"[-29.3, -7.9, -7.7, 57.0]",7.353821631531046e6,"[-29.17709438448563, -7.952470961888892, -7.5407300163885065, 57.06345950640665]"
sphere3D_-31.7_-57.1_-78.8_90.0_0.csv,572,"[-31.7, -57.1, -78.8, 90.0]",1.90131651416089e7,"[-31.959667979173833, -57.322254534449755, -78.7778036383185, 89.89649541562433]"
sphere3D_-32.0_88.6_-73.2_149.0_0.csv,564,"[-32.0, 88.6, -73.2, 149.0]",5.0241410899020575e7,"[-31.927434028817107, 88.04350499478267, -72.91959775929153, 149.03132813599623]"
sphere3D_-32.8_-12.0_95.9_21.0_0.csv,983,"[-32.8, -12.0, 95.9, 21.0]",1.8296623003070527e6,"[-32.97977582946795, -12.046121709124451, 95.86011591805152, 21.00255780106108]"
sphere3D_-33.8_-90.6_-69.2_39.0_0.csv,598,"[-33.8, -90.6, -69.2, 39.0]",3.872886002465374e6,"[-33.822352744922775, -90.7546864165543, -69.30026237586016, 39.01322157195251]"
sphere3D_-34.5_-37.6_93.5_23.0_0.csv,305,"[-34.5, -37.6, 93.5, 23.0]",618408.7778358791,"[-34.7543159841691, -37.77685649126648, 93.62511864996591, 23.004853512647234]"
sphere3D_-34.7_-27.7_52.9_37.0_0.csv,952,"[-34.7, -27.7, 52.9, 37.0]",5.350862521988794e6,"[-35.02708729150752, -28.055508509045865, 53.17531577749133, 36.93702375277146]"
sphere3D_-35.3_-92.4_-81.0_52.0_0.csv,138,"[-35.3, -92.4, -81.0, 52.0]",1.3199737807145284e6,"[-35.29356534728284, -92.31628304616086, -81.12051140774811, 51.96115927935388]"
sphere3D_-37.5_1.7_0.4_135.0_0.csv,176,"[-37.5, 1.7, 0.4, 135.0]",1.189766225858955e7,"[-37.42795346259653, 1.5686746249724925, 0.5474145300868112, 135.17938129328044]"
sphere3D_-38.5_50.2_-32.5_88.0_0.csv,224,"[-38.5, 50.2, -32.5, 88.0]",5.516980988045882e6,"[-38.29687928562835, 50.17592646659041, -32.47259095589346, 88.0562721870706]"
sphere3D_-39.5_64.7_-20.9_55.0_0.csv,431,"[-39.5, 64.7, -20.9, 55.0]",5.6873223725298345e6,"[-39.766624206969766, 64.91189246618859, -21.039124020500825, 54.951265745654375]"
sphere3D_-39.9_-91.8_15.7_83.0_0.csv,343,"[-39.9, -91.8, 15.7, 83.0]",9.029403831237612e6,"[-40.03962414298011, -92.7531335014596, 16.23204282776169, 82.95775350844848]"
sphere3D_-4.0_-88.3_36.3_56.0_0.csv,196,"[-4.0, -88.3, 36.3, 56.0]",2.7146771372377765e6,"[-4.018397652520407, -88.79592285636369, 36.50676980624972, 56.07494810033285]"
sphere3D_-40.1_-6.9_37.7_8.0_0.csv,834,"[-40.1, -6.9, 37.7, 8.0]",226752.24987703207,"[-40.41456183209211, -6.98239171743191, 37.81003881860897, 8.146027632257649]"
sphere3D_-41.6_-61.5_-17.7_86.0_0.csv,548,"[-41.6, -61.5, -17.7, 86.0]",1.7430933184811592e7,"[-41.263441238529694, -61.023527475113745, -18.00091691835455, 86.18893561398036]"
sphere3D_-42.5_-76.2_36.2_125.0_0.csv,35,"[-42.5, -76.2, 36.2, 125.0]",1.4427980934612846e6,"[-42.02220919796221, -76.00932435492896, 36.0028545616444, 125.09251918700807]"
sphere3D_-42.5_-98.0_42.8_91.0_0.csv,514,"[-42.5, -98.0, 42.8, 91.0]",1.724590244316843e7,"[-42.56260139375083, -98.39831964502233, 43.032552359051564, 90.8915706662275]"
