1,2,3,4,5
sphere3D_-0.5_92.2_95.4_74.0_0.csv,296,"[-0.5, 92.2, 95.4, 74.0]",5.89348971629797e6,"[-0.5458039353375946, 91.76799670925003, 95.62977098927328, 74.00277018520178]"
sphere3D_-10.4_-92.6_-52.2_80.0_0.csv,981,"[-10.4, -92.6, -52.2, 80.0]",2.512703521428813e7,"[-10.404438587912797, -92.52964055635542, -52.297667598341505, 80.0409959181421]"
sphere3D_-11.8_-75.7_66.2_93.0_0.csv,394,"[-11.8, -75.7, 66.2, 93.0]",1.2925295742580866e7,"[-11.611359991123848, -75.17974269728695, 66.00554106870241, 93.06526041760664]"
sphere3D_-14.5_-42.7_87.6_135.0_0.csv,670,"[-14.5, -42.7, 87.6, 135.0]",4.958301589919531e7,"[-14.44931955318391, -42.6267923753003, 87.61401958832138, 135.01455011506746]"
sphere3D_-15.4_-38.1_56.2_129.0_0.csv,274,"[-15.4, -38.1, 56.2, 129.0]",1.6133802477079237e7,"[-15.390924328421905, -38.060347270931764, 56.3025791049589, 129.0048528051866]"
sphere3D_-16.6_87.8_20.3_18.0_0.csv,652,"[-16.6, 87.8, 20.3, 18.0]",897204.9329359131,"[-16.5652195072093, 87.84363569001063, 20.308306571879037, 18.10057315500331]"
sphere3D_-17.2_-58.0_-56.2_147.0_0.csv,128,"[-17.2, -58.0, -56.2, 147.0]",9.53090255042692e6,"[-17.43353099095191, -57.85748348171916, -56.36128418776691, 146.8223974003862]"
sphere3D_-19.7_-89.8_-62.6_64.0_0.csv,198,"[-19.7, -89.8, -62.6, 64.0]",3.066754889182948e6,"[-19.592421543168356, -89.88644324150353, -62.62466536706867, 63.965811905743834]"
sphere3D_-20.0_36.3_58.5_132.0_0.csv,623,"[-20.0, 36.3, 58.5, 132.0]",4.194019795363949e7,"[-20.093751236496903, 36.368472336745846, 58.50728689040449, 131.9797837019056]"
sphere3D_-21.7_-24.9_-70.8_119.0_0.csv,97,"[-21.7, -24.9, -70.8, 119.0]",5.160172033679303e6,"[-21.605886509549677, -24.93573477559752, -70.76144039392561, 119.15536939786425]"
sphere3D_-23.9_-76.3_2.6_32.0_0.csv,50,"[-23.9, -76.3, 2.6, 32.0]",174091.59496000526,"[-23.760356953500384, -75.71931727250117, 2.4399652043728683, 32.08426125241027]"
sphere3D_-24.1_-6.4_-18.3_68.0_0.csv,504,"[-24.1, -6.4, -18.3, 68.0]",1.0424477262475723e7,"[-24.23573915977295, -6.378605614781412, -18.376004116181267, 68.00914865711758]"
sphere3D_-26.6_-60.5_-75.3_27.0_0.csv,471,"[-26.6, -60.5, -75.3, 27.0]",1.383570922520547e6,"[-26.61124650266148, -60.49768691501623, -75.27849677546142, 27.02548139388507]"
sphere3D_-27.0_5.7_-31.5_43.0_0.csv,496,"[-27.0, 5.7, -31.5, 43.0]",3.576657822470555e6,"[-26.976408666534823, 5.727090812258076, -31.45019781906699, 43.02913383657936]"
sphere3D_-27.5_-38.7_97.6_110.0_0.csv,74,"[-27.5, -38.7, 97.6, 110.0]",2.7472301294921944e6,"[-27.46652883731857, -38.90198811788542, 97.70604103976736, 110.0453257309952]"
sphere3D_-29.3_-7.9_-7.7_57.0_0.csv,618,"[-29.3, -7.9, -7.7, 57.0]",7.292880335933088e6,"[-29.338704090114202, -7.977976369477388, -7.540372459642628, 56.98367212257838]"
sphere3D_-31.7_-57.1_-78.8_90.0_0.csv,572,"[-31.7, -57.1, -78.8, 90.0]",1.855020177405326e7,"[-31.752681279399514, -57.20309902107895, -78.70529137622837, 90.01516583942966]"
sphere3D_-32.0_88.6_-73.2_149.0_0.csv,564,"[-32.0, 88.6, -73.2, 149.0]",4.970042840231325e7,"[-32.0040812184367, 88.28987416615972, -73.07818555510887, 148.97746722062016]"
sphere3D_-32.8_-12.0_95.9_21.0_0.csv,983,"[-32.8, -12.0, 95.9, 21.0]",1.8254738387969334e6,"[-32.942100047556764, -11.94633696429554, 95.76903326407161, 21.014965922326738]"
sphere3D_-33.8_-90.6_-69.2_39.0_0.csv,598,"[-33.8, -90.6, -69.2, 39.0]",3.8683266591492468e6,"[-33.78829390474115, -90.68060569903133, -69.31393877782861, 39.02680680709582]"
