1,2,3,4,5
circle3D_-0.3_32.9_8.9_44.5_0.csv,232,0,[-0.0013026022215890975 -0.040904680313291156; -0.022963397463940258 -0.7697580431096038; -0.019765906132202308 -0.6370238317335866; -0.9995400406113985 -31.054691531931855; 4.211534566487194e-5 0.0],circle
circle3D_-1.2_49.0_-45.7_18.0_0.csv,98,0,[-0.07661621568996449 0.6599122767447004; -0.06968496160147443 -0.376392621300068; 0.029136536372777327 0.6502648549879422; 0.9941928968081115 -48.869912328023354; -0.0023468712030154434 0.0],circle
circle3D_-1.6_32.9_13.4_38.2_0.csv,77,0,[-0.01624998599923752 0.21874337971546443; -0.055635201522607154 0.027083844204633445; -0.10435925447648789 0.9754064789685146; -0.9928480047486216 13.731008598483818; -0.0016271995440718646 0.0],circle
circle3D_-1.6_45.9_-33.5_37.7_0.csv,132,0,[-0.15539063081909518 0.7807307008815653; -0.3630639423080025 -0.3902924588371075; 0.2167325199394782 0.4879870585126866; -0.8927316399829007 -35.61483908671629; -0.009775450042791579 0.0],circle
circle3D_-11.7_29.6_-7.6_35.0_0.csv,34,0,[-0.04818989051014241 0.9505596329784424; 0.017488059579305607 -0.3105420471320397; -0.000540838698480083 0.0001453097750105539; 0.9986849378750281 -20.132958204895857; 6.767440090749473e-5 0.0],circle
circle3D_-12.4_48.2_-6.4_43.6_0.csv,201,0,[-0.06397641103788614 0.6978646850875507; 0.06714673058332225 -0.09435239261767514; 0.041190611887464756 -0.7099876811008582; 0.9948367140757323 -8.79028216381294; 0.001257466507764895 0.0],circle
circle3D_-13.5_16.7_-14.7_57.1_0.csv,244,0,[0.017224773782229807 0.011572440605996414; -0.0641329813557874 -0.3551035392574787; 0.13451674447447073 0.9347553450102507; -0.9886830332186329 -19.942180393922445; -0.0011718157546311426 0.0],circle
circle3D_-13.6_10.9_23.2_38.6_0.csv,229,0,[-0.022106122313728716 0.41398490612355043; 0.013042578544882184 -0.701570623767178; 0.03904092348754988 -0.5800130665500628; -0.9989058788950477 -26.705943219753507; 0.002015416409240769 0.0],circle
circle3D_-14.2_-22.2_37.3_21.5_0.csv,235,0,[0.01188494181593411 0.6905701638919226; 0.029216509028744432 -0.6863223804189805; -0.043754852084132725 0.22819824468717378; -0.9985436207477949 13.961311897612367; -0.0011376032633962346 0.0],circle
circle3D_-15.5_-7.4_-0.6_49.6_0.csv,175,0,[0.3109632763627011 0.9946487350822208; 0.040132925928302164 0.03126123679923287; 0.026620989328647926 0.09847146222698336; 0.9491907113995357 -15.647801414318876; -0.004416483919941329 0.0],circle
circle3D_-15.7_32.8_-37.6_46.7_0.csv,179,0,[0.02009907207873831 0.5612520179091813; -0.03360876811245518 -0.8266985194866703; 0.01718500290189092 0.039569309716243325; -0.9990850645776493 -37.43375376246147; -0.0004329210932969815 0.0],circle
circle3D_-18.5_28.1_31.1_43.0_0.csv,97,0,[-0.03107278753040233 0.5118567197362301; 0.00046232314961880405 -0.1316695615777831; -0.07148929844973848 0.8489203879132488; -0.9969570917667498 13.29761397710276; -0.00032483156285482935 0.0],circle
circle3D_-20.3_40.3_-4.1_13.9_0.csv,122,0,[0.0009763350484925313 -0.6904753377894697; -0.11838442569134161 0.2805759709214053; 0.08639778772225562 0.6667240301999233; -0.9891946180972493 22.629204594063978; -0.0036884044980519002 0.0],circle
circle3D_-20.6_34.5_-10.9_56.5_0.csv,150,0,[0.024009941953051155 -0.4795532607985421; 0.014783684650026385 -0.8630624030482408; -0.0009713687205848241 0.15859368998192006; 0.999601852786719 -21.533691918348186; -0.0003971193104717217 0.0],circle
circle3D_-21.0_22.7_-48.4_57.1_0.csv,163,0,"[-0.6100862217659603, -0.35284567018338087, 0.7094326853508912, -29.545246213904132, 0.0]",plano
circle3D_-21.5_23.2_35.6_49.8_0.csv,147,0,[-0.15119583799008984 0.13147777728756035; 0.1332401665946673 -0.8654186513450658; 0.27921790695166454 0.4834916255568551; -0.9388140774202247 -5.797512928850196; 0.007236370322430061 0.0],circle
circle3D_-22.0_41.2_32.2_53.7_0.csv,75,0,[-0.02159769674123016 -0.6546939904030433; 0.057291383463538424 0.5874367935926782; 0.043811966235878026 0.47570347114951034; -0.9971603617740874 54.05779097054961; 0.0017208711238314279 0.0],circle
circle3D_-22.4_26.9_-2.3_53.1_0.csv,138,0,[0.030235855072536108 -0.09092608461764473; -0.04156560313847729 -0.9950577144222935; 0.003294043050734893 0.03990729387951233; 0.9986717902144513 -24.741515591561853; -0.0013778294560503638 0.0],circle
circle3D_-23.1_22.3_48.4_9.9_0.csv,123,0,[0.012612956456791122 0.808553440756847; -0.015522745509784648 -0.4518578428170674; -0.03969494195729481 -0.37691620199318876; -0.99901124222627 -46.92058016700675; -0.0008984374153741797 0.0],circle
circle3D_-23.5_25.5_-43.3_51.3_0.csv,42,0,[0.07151470074916504 0.35976579688937044; -0.07496432348366461 0.04117236639156291; 0.13344494899510387 0.9321337927756268; -0.985621546091318 -47.85113459276842; -0.0029344930819028615 0.0],circle
circle3D_-24.4_-7.9_-11.2_5.0_0.csv,101,0,[-0.06625775803317249 -0.43924758080023324; -0.020804585894971892 -0.7456170044350326; -0.02979712613449593 -0.501115600893118; 0.9971367367289709 22.430774426954617; 0.0027455866004121193 0.0],circle
circle3D_-24.4_7.2_19.7_53.0_0.csv,37,0,[0.0039706469182637875 0.7873975348252017; -0.006192305915219967 -0.48723800667839956; 0.0017659740779662446 -0.37762977504330236; -0.9999712773183712 -30.22208705324868; 0.00046387964388643386 0.0],circle
circle3D_-25.8_-49.2_-33.8_54.0_0.csv,73,0,[0.00966477746479965 -0.6536911646600186; -0.005666681565691079 -0.6418650531606819; -0.03805660827306295 0.400870446374466; -0.99921256864942 34.98961194332163; 0.0006465418533135937 0.0],circle
circle3D_-26.8_45.3_-13.8_31.0_0.csv,277,0,[0.004607667692952376 0.2655038458691825; -0.015255757790060762 -0.8231951691149574; 0.009661560265295594 0.5018539841173626; -0.9998263273353089 -51.38063895638242; 2.5944369657996278e-5 0.0],circle
circle3D_-27.7_10.8_4.4_42.5_0.csv,101,0,[0.062136294782330445 0.7070159875477195; -0.04682638205460737 -0.7071962013289503; -0.00390550915301129 -0.0013878680866318033; -0.9969605182933758 -27.294869118189567; -0.000918028789590756 0.0],circle
circle3D_-29.5_-40.0_-28.3_52.9_0.csv,75,0,[-0.019384988075425075 -0.31050614474093907; -0.035982933064907706 -0.948176865045439; -0.01441669330832542 -0.06742823348362556; 0.9990602550941634 48.88473704767539; 0.00046519952790114675 0.0],circle
circle3D_-3.0_32.7_-44.6_4.7_0.csv,32,0,[-0.0017451054935535236 -0.6408569885372739; -0.017814493062689857 -0.04254726159460309; 0.02815853346693507 0.7664803003168034; -0.9994430472890573 -33.66272554922943; -0.0005391310511312627 0.0],circle
circle3D_-3.6_-9.8_-44.9_21.1_0.csv,139,0,[0.023532465937957076 0.37822333112412787; -0.006330508181696864 -0.7935883119135435; 0.09187392329828946 -0.47661798433082764; -0.995469412095637 27.749721275917317; -0.0024453042320617306 0.0],circle
circle3D_-31.0_4.0_-4.3_33.9_0.csv,224,0,[-0.0048607730328801705 0.6124837810019709; -0.009696451119460861 -0.34558504931801104; 0.023850625401954085 0.7109392320707852; -0.9996562499291978 -23.434687908597844; 0.0009388112907794075 0.0],circle
circle3D_-31.6_-15.3_-42.1_37.6_0.csv,152,0,[-0.024705738523440622 -0.34804518907936144; 0.00476211509962527 -0.71453029137717; -0.06527866477793023 0.6068863230154132; 0.9975492013922289 -3.43385182295912; 0.0011115171281024067 0.0],circle
circle3D_-32.7_6.8_42.0_57.7_0.csv,167,0,[0.034976046208133944 0.6694130880406965; -0.006639754731050463 -0.1393991403374225; 0.31304939736040627 0.72969445470896; 0.9490627717679571 7.913903430273596; 0.003538347801875944 0.0],circle
circle3D_-33.7_11.5_22.7_48.4_0.csv,143,0,[0.12617919103478084 -0.9951545706783618; -0.04248501756067767 -0.09053863665143991; -0.08410951906926244 0.03834234905772097; 0.9875149830447545 33.30647693798583; -0.0036853896310791484 0.0],circle
circle3D_-34.0_-39.3_-35.4_52.9_0.csv,125,0,[0.056678211690706914 -0.18662975069628393; 0.07424718483038704 -0.2963485791033131; -0.06150934007721785 0.9366679538761269; 0.9937254953717258 -15.19596327031201; -0.0010848021889257658 0.0],circle
circle3D_-35.2_-7.5_-39.3_51.9_0.csv,170,0,[0.019519443684829555 0.7077288834304207; 0.0013824958092255168 0.002242318542628463; 0.020288446553779954 0.706480572674071; -0.9996026343852521 -52.76545003741541; -0.0001796943813459176 0.0],circle
circle3D_-36.5_15.9_-21.7_44.7_0.csv,258,0,[-0.04984241902178271 0.24269087752285778; 0.010846611061058177 -0.46717239894796403; -0.008071915755724406 0.8502064970513866; -0.9986643547908312 -34.655172136671986; 0.0015604296820284685 0.0],circle
circle3D_-37.6_-43.3_22.9_60.0_0.csv,39,0,[-0.005657310486437623 0.975065498959145; 0.044061734064483285 -0.2197069979012121; -0.01777784289082387 -0.031242724157639245; 0.9988542527405765 -28.187534452405714; -0.000829767138666465 0.0],circle
circle3D_-38.1_10.3_-45.2_31.8_0.csv,61,0,[0.023417015863763286 0.09273356223442455; -0.0020951416805084747 -0.629162136697843; 0.03450822566741051 -0.7717224191256328; -0.9991276335936267 24.70785729523964; -0.0006386706989044125 0.0],circle
circle3D_-40.6_4.3_20.5_26.7_0.csv,54,0,[-0.11228691081188447 0.13700461223488494; 0.08454035912980637 -0.6976352816239836; -0.025508696016613267 0.7032316475101176; 0.9897414075801682 6.040351717206537; 0.0024145159529228902 0.0],circle
circle3D_-40.8_48.3_-49.5_48.7_0.csv,24,0,[0.004694757778926392 -0.8062292957384343; 0.01151467003326327 0.5836754834045723; -0.044184167236427124 0.09652591758459018; -0.9989456865510979 56.20499438071663; 0.0008039340777702782 0.0],circle
circle3D_-40.9_36.2_-18.9_54.1_0.csv,108,0,[0.5344673607517507 0.18803264502951048; -0.440188754479488 -0.6036043340536368; 0.19403191457135 0.7747938644019272; 0.6948023072452993 -44.141462757916614; -0.013411588095380199 0.0],circle
circle3D_-41.7_-16.0_-30.1_10.8_0.csv,140,0,[0.027952563143700697 -0.5182410563388699; 0.01286358543156677 -0.8505611544826551; 0.01918931449548603 -0.08928566519831468; -0.9993420627224519 37.87993530861996; -0.0006279063391042125 0.0],circle
circle3D_-45.9_34.2_15.3_8.6_0.csv,210,0,[-0.02513402340173566 0.42651204698077827; 0.01973732798051786 -0.8875836511673046; 0.00774687755380594 0.17401935513264927; 0.9994590667161116 -47.20889154757648; 0.0005278247397607401 0.0],circle
circle3D_-46.5_-9.0_-12.9_29.4_0.csv,159,0,[0.0032736337421667545 -0.9276418060200036; 0.004733195654831359 -0.3252067945803987; -0.0012590345111335385 -0.18363338607858887; -0.9999825213804957 48.41041183590279; 0.0005019428467358802 0.0],circle
circle3D_-46.7_-41.2_-11.2_18.4_0.csv,34,0,[-0.05117455073246422 -0.2874610503796856; -0.026401767617111518 -0.7356380374151474; -0.03877788332301032 0.6133537498235401; 0.9975863781391493 36.839807249834166; 0.0013438527536966556 0.0],circle
circle3D_-47.0_-41.2_48.4_54.7_0.csv,94,0,[0.02851513019952003 0.5482803593987041; 0.04140430738657135 -0.7053515657256961; -0.030699926434384364 -0.4492970245015392; -0.9982632416187435 -18.55798851066769; -0.000765264205490621 0.0],circle
circle3D_-47.7_-26.9_48.3_25.8_0.csv,193,0,[-0.019267058856254075 -0.9808177620994394; -0.007164533746853523 -0.020665478981470975; 0.01392279146578862 0.19382841775321183; 0.9996917211840953 56.67349072072991; 0.00026148231535305134 0.0],circle
circle3D_-48.7_-26.7_-42.1_44.5_0.csv,198,0,[0.030910235685991307 0.8592905140983506; 0.024578049708436977 -0.3425708439601407; 0.03712463566788389 -0.37982236538812375; -0.9985297202846116 -16.68247693547527; -0.0007974567252433284 0.0],circle
circle3D_-6.9_29.1_-45.5_52.5_0.csv,256,0,[-0.05544080612775009 -0.9758825321520969; 0.04977887443946868 0.0695324022111593; -0.08212460516593541 -0.20692638421225398; 0.9938316614020954 18.213109931320005; 0.0015995926151597048 0.0],circle
circle3D_-8.3_40.9_41.1_51.2_0.csv,179,0,"[0.2998996193742516, -0.4911633745970332, -0.8178134003265255, -56.305355091917974, 0.0]",plano
circle3D_-8.8_41.4_-39.1_56.7_0.csv,48,0,[0.009103273810274202 -0.30559727623298494; -0.16766292194960777 -0.8514712603051174; 0.09021822589065062 -0.4261537253543556; -0.9816610423552234 -15.980164991961669; -0.002923123065257497 0.0],circle
circle3D_-9.9_13.8_42.6_16.3_0.csv,124,0,[0.012263676250466746 0.7303411659318747; -0.01528658086810576 -0.5422383547612761; -0.042401573962644205 -0.4154267058953413; -0.9989079570722292 -32.266777619622324; -0.000960475643925439 0.0],circle
circle3D_0.4_14.3_11.9_21.9_0.csv,88,0,[-0.05116021329600953 0.7734453106802361; -0.028033084445190176 -0.5965359179282408; -0.040458702338777644 -0.21430643949322717; 0.9974660629020737 -10.689854882612153; -0.004617955791729016 0.0],circle
circle3D_0.9_42.1_24.0_11.8_0.csv,228,0,[0.0011432462685512766 -0.06545979921804235; 0.04182429406265349 -0.2111657591012627; 0.018556159786256195 0.9752558827659134; 0.9989515271342051 14.427837961807894; 0.0009678762092788641 0.0],circle
circle3D_10.2_13.7_-41.8_30.9_0.csv,277,0,[-0.005157270756162059 -0.08773826981173198; 0.002114415222705224 0.2858708418433423; 0.0346280022254409 0.9542430810827095; -0.9993846777708711 -36.894620653185804; -0.0003148099436010672 0.0],circle
circle3D_10.9_-3.1_-18.5_30.7_0.csv,52,0,[-0.04958729263718653 -0.33500273654212387; 0.03819454667687857 -0.7270228923504938; 0.11940704433728018 -0.5993420396631717; 0.9908553250236841 9.555492137170505; -0.005473540710142009 0.0],circle
circle3D_10.9_-38.0_23.4_41.5_0.csv,118,0,[0.00910573225950397 -0.183149900055984; -0.0009898809349784693 -0.11891997026142548; -0.036176772964446095 0.9758658487632943; -0.9993034193067196 25.313085580960763; 0.0001517746049660386 0.0],circle
circle3D_11.0_47.4_-47.4_34.2_0.csv,180,0,[-0.0016083818970003296 0.48579647282112737; -0.021085702154134738 0.39590674302364703; 0.031108400357718453 0.7792686557426518; -0.9992921535178643 -12.738133159143608; -0.0005153805911060956 0.0],circle
circle3D_11.1_33.4_34.8_10.7_0.csv,139,0,[0.024318019774849726 -0.7535983834259615; 0.015158479647932242 -0.636951061888315; -0.001990313183879149 -0.16242789556331072; 0.9995873361349886 -35.40245407437952; -0.00022472423224012263 0.0],circle
circle3D_11.2_21.3_24.2_31.2_0.csv,179,0,[0.08401810298868316 -0.3669802126910951; 0.1376600040411601 -0.8953843361237914; 0.30246763365530765 0.252215015646087; -0.9393490225041898 -17.100528122410434; 0.011288320023475483 0.0],circle
circle3D_11.6_-35.9_15.5_36.8_0.csv,107,0,[0.036246186475361396 0.6378443637486746; -0.045266028068612775 -0.5628041415452139; -0.016818724733576717 -0.525743346028843; 0.9981753653313556 19.491961400348476; 0.0005207809865638742 0.0],circle
circle3D_12.9_-35.1_8.0_25.2_0.csv,255,0,[-0.00946975361430828 -0.07182123216965319; 0.0519762792764652 -0.8755419770764251; 0.004915619686098146 -0.47777396013882756; -0.9985909484445159 26.02624040099858; -0.0008628596889139918 0.0],circle
circle3D_13.0_-17.5_18.1_39.5_0.csv,29,0,[0.037270055811782825 -0.5113161545824989; 0.04143671277621366 -0.7889940966616453; -0.013454671602692902 0.34065247026264184; -0.9983550124993594 13.428861752310228; 0.000427321373267574 0.0],circle
circle3D_13.0_-28.8_15.3_4.4_0.csv,239,0,[0.024595245808796868 -0.692635534048744; -0.04529471700910523 -0.5598979053388388; 0.02758141489782043 -0.4547200815558864; 0.9982885099863744 0.13019556799948176; 0.0016669961274162802 0.0],circle
circle3D_13.8_31.0_39.8_54.4_0.csv,106,0,[0.015396006187565427 -0.24684517266618033; 0.039475244137234695 -0.7900247268363141; 0.04116958909969066 -0.5611848106627717; 0.9982530741381781 -50.31300767571561; 0.00073006904997819 0.0],circle
circle3D_14.9_-6.3_33.5_42.5_0.csv,188,0,[-0.06483071351011763 -0.4879990442728681; 0.022192743309047146 -0.7289652093829573; -0.1380428003305247 0.4800694286225987; 0.9880440264345843 13.538577342377067; -0.00420093251902157 0.0],circle
circle3D_15.0_-47.7_-28.8_21.5_0.csv,210,0,[-0.009058759054020163 -0.03247970625472499; 0.03105053332055684 -0.8690121273390747; 0.018667093661073258 -0.49372359799712073; -0.9993022426694868 55.23316350183285; -0.0006088307589562392 0.0],circle
circle3D_15.8_30.4_-40.2_35.8_0.csv,178,0,[-0.02698520676073185 -0.011057139891700183; -0.07016086040699096 0.6352067717455951; 0.04836788653560928 0.7722629712642936; -0.9959953937410865 -11.984490843968675; -0.00172495844813984 0.0],circle
circle3D_19.2_48.0_41.5_42.2_0.csv,156,0,[-0.011587638130862358 0.4010429665291807; -0.023279410974256554 0.21962253864499437; -0.025303748121023442 0.8893427233168338; -0.9993414395977985 55.11264061126264; -0.0004506671354070918 0.0],circle
circle3D_20.6_49.0_-49.6_15.5_0.csv,179,0,[0.008162619326648442 -0.4762598799626578; 0.019374732869967687 -0.4023894775952378; -0.0196257582481806 0.7818306946254967; 0.9995862470848188 -68.2380953588808; 0.00039449210030348365 0.0],circle
circle3D_25.2_39.5_6.9_9.0_0.csv,72,0,[-0.02774139847025387 -0.41234154450310867; -0.04162535078777677 -0.8068725385161444; -0.011586745253161876 0.4230025499513019; -0.9986801241873614 -39.12349448618221; -0.001225508165611715 0.0],circle
circle3D_25.4_-15.2_-15.3_18.5_0.csv,158,0,[0.06243507435759192 0.48227962519975753; -0.030593409615737765 -0.4189083586637008; -0.09875508458899272 0.7693647705470181; 0.9926735816839475 6.700924612924949; 0.003535289610462489 0.0],circle
circle3D_26.4_-29.6_31.0_20.6_0.csv,193,0,[0.022883995337540694 -0.450423489278566; -0.020975221122901802 -0.22960948292614192; 0.028936334138497947 -0.8627851213694586; 0.9990988321763019 -31.98154238623108; 0.0007582656604365858 0.0],circle
circle3D_28.4_6.1_-48.8_9.8_0.csv,218,0,[-0.016728963651362415 0.4943698370421808; -0.0008911298962375929 -0.5249439788308184; 0.02812266097706421 -0.6928436211095232; -0.999463956334747 44.666637026712905; -0.0005134100925122134 0.0],circle
circle3D_28.6_21.5_-44.6_16.8_0.csv,105,0,[-0.013799951983231414 -0.3277236633858514; -0.0129560562573385 -0.5918763262223043; 0.023160308822644055 0.7363963707912645; -0.9995524717367269 -54.998506638371154; -0.0003978338306110261 0.0],circle
circle3D_28.7_-32.8_46.7_37.7_0.csv,151,0,[-0.48620642340129594 -0.5977444328160348; 0.17294127869350334 -0.28207856588800584; -0.1085929295031627 0.7504220650434013; -0.8496039271703867 26.969405600573467; -0.008681622299604706 0.0],circle
circle3D_28.8_-14.4_35.0_9.3_0.csv,171,0,[-0.018225725873140766 -0.38898775344414405; 0.016178723462106918 -0.6262582566301365; -0.032078990986497656 0.675639788402859; -0.9991878943431008 21.537550371140256; -0.0007496392613351113 0.0],circle
circle3D_29.4_-19.6_26.4_58.3_0.csv,56,0,[-0.034681269020837804 -0.6797541830157522; -0.06777792581193777 -0.7310134201932231; 0.011287417709414061 -0.059612332364983305; -0.9970333986937961 -7.263830562835217; 0.0005987004984587582 0.0],circle
circle3D_29.8_-42.5_3.6_42.4_0.csv,278,0,[-0.017228112356837477 0.609125094399012; 0.023265173888111106 -0.7922289042881207; -0.00019417007972193982 -0.03660577254804267; -0.9995808302684716 51.738061975349936; -0.00022335252265880955 0.0],circle
circle3D_3.1_-4.3_-30.2_50.6_0.csv,267,0,[0.007719252063027318 -0.20566746119159426; 0.022067912682269108 -0.7556283691741212; 0.007505388900054983 -0.6218735105359142; -0.9996984191007234 21.31626896880685; 0.0004004527542501262 0.0],circle
circle3D_3.7_32.0_-22.6_18.8_0.csv,61,0,[-0.2713753389960308 0.7620213535493414; 0.04621677924407075 -0.6087256442938728; 0.18428998154858955 -0.22085412994517206; 0.9435213911237413 -11.52392678155727; -0.004901213506347909 0.0],circle
circle3D_32.8_38.2_46.7_7.5_0.csv,203,0,[0.02280967460938001 -0.35954013432032034; 0.021677630283391973 0.03900353459860206; 0.01731206717453639 0.9323141187935221; 0.9993546693455618 33.26964055029319; 0.0005798938505633467 0.0],circle
circle3D_33.0_48.5_31.8_2.3_0.csv,156,0,[0.01464071008511769 0.5882229651890917; 0.022030624907706315 -0.6733109048326268; 0.014155949546269602 0.44793545144096597; 0.9995497528591135 1.0410768341476757; 0.0004492506071693766 0.0],circle
circle3D_33.7_16.4_-15.0_34.7_0.csv,272,0,[0.1666507157099182 0.6003557985176149; 0.05399105900733314 0.5068515909538875; -0.1891944354245053 0.6186068055993164; -0.966159900979518 19.144617312291416; 0.007281197998232832 0.0],circle
circle3D_34.2_40.5_20.3_36.4_0.csv,223,0,[0.1254494493693724 0.3360224277535347; -0.6655105390990214 -0.5533044782512023; 0.5563113457266721 0.7621962230251378; -0.4815113653335569 4.631746854898822; -0.004759167095635946 0.0],circle
circle3D_34.3_9.6_-12.2_51.3_0.csv,192,0,[-0.155475972642654 0.43606151330883064; -0.06402474553072066 0.2976463708755167; -0.061178154909248696 0.8492685055478314; 0.9838577047520827 7.530457342819638; -0.0030502544829632433 0.0],circle
circle3D_35.5_24.1_11.3_8.2_0.csv,58,0,[0.1013346087583236 -0.7575125574213215; 0.11346023281075981 -0.2795504311589352; -0.03240535617136809 -0.5899375236309884; -0.9878062739356315 -40.175197868824434; 0.006835985893525813 0.0],circle
circle3D_36.1_-20.2_23.5_34.7_0.csv,67,0,[0.04421495044225127 0.6626531385740873; -0.003841792452025034 -0.7483076649755026; 0.051025712726567786 0.030437747564870405; -0.9977082110257641 39.7743828824453; 0.0022318334749760653 0.0],circle
circle3D_37.9_-10.4_-37.6_34.1_0.csv,53,0,[-0.009504578133845195 0.9739322867074747; 0.00024199737714987137 -0.22600564464493456; -0.039900779153018096 0.019425485769391324; -0.9991578770133478 38.46185710580837; 0.0010339520921445213 0.0],circle
circle3D_4.2_33.1_-15.1_36.9_0.csv,126,0,[0.17067563376641787 -0.8504374133591236; 0.06619658398617027 -0.24804297895410243; 0.0840261779670804 -0.4639298293391125; 0.9795035350993458 -4.9869104005848275; 0.0005161890377878288 0.0],circle
circle3D_40.8_48.1_-44.4_38.4_0.csv,48,0,[-0.02151148760801066 -0.6150155261170851; -0.024879076944502424 -0.7350629186541634; 0.03309421054247879 -0.28537415484683853; -0.99891070495085 -48.0390743848251; -0.0006813181679760999 0.0],circle
circle3D_41.0_36.0_-37.8_51.6_0.csv,167,0,[-0.030724011648951232 -0.6942861194094221; -0.018352674715673707 0.19354668021819066; 0.02892167077597198 0.6931857377153133; -0.9989406524487868 -47.68786124392315; -0.0005694591243043654 0.0],circle
circle3D_42.7_24.9_8.8_47.9_0.csv,34,0,[0.0030381944722996683 0.9135766254299011; 0.02959738254343103 -0.3177944088247435; -0.0014760567045662477 0.2537409371541093; -0.9995558946745443 32.96017802621253; 0.0007739501938560398 0.0],circle
circle3D_43.4_-2.4_28.7_58.6_0.csv,297,0,[-0.0738998777325394 -0.4790432792346968; 0.049916251797965855 -0.5855677936652707; -0.12111757661310221 0.653932638459081; 0.9886209153301856 -0.5392885792172919; -0.002528692277276832 0.0],circle
