1,2,3,4,5
line3d_-0.2_6.4_-4.0_0.csv,155,0,[0.7158378102173771 -0.6977868885587598; 0.3858178989126206 0.3643651613690938; 0.5819972322458599 0.6167102134195273; 1.8960292901025237 10.58400446066281; 0.0 0.0],reta
line3d_-0.4_-0.3_4.3_0.csv,217,0,[0.5751952628525807 -0.8127900371480892; -0.8180100470083269 -0.571080539131233; -0.0031579400541419033 -0.115062475805052; 3.6009917418800503 8.09463749610162; 0.0 0.0],reta
line3d_-0.4_1.6_3.6_0.csv,137,0,[0.9832646718527714 -0.15117679666295833; -0.09816317686883175 -0.9097450957285762; 0.1534750005482327 0.3866645017952006; 2.3363810573092376 3.200016589551254; 0.0 0.0],reta
line3d_-0.5_-2.1_-8.3_0.csv,37,0,[0.46342569532779754 0.8842165146153314; -0.8652443163676303 0.43732048791179157; 0.19128224670224775 -0.16404860905874188; -3.117870035216515 4.576116435728089; 0.0 0.0],reta
line3d_-0.5_9.1_-7.4_0.csv,276,0,[0.906285746498416 -0.4205322659251982; 0.29536628435785206 0.5583565753571265; 0.3023324391434792 0.7151157585113612; -1.0376724764737246 15.378687195988167; 0.0 0.0],reta
line3d_-0.8_0.3_-7.2_0.csv,110,0,[0.9234103333108591 0.36757636608557853; -0.3652858603541119 0.9299901189993935; -0.1178116995891514 -0.0024481950115631157; 2.9987909058837947 2.651117204811882; 0.0 0.0],reta
line3d_-0.8_2.4_0.8_0.csv,218,0,[-0.45682467488082307 0.8364884552977173; -0.41433948531009335 0.10098072814549106; 0.7871683475172241 0.5385999969335734; -8.740135171100254 0.2465726443573617; 0.0 0.0],reta
line3d_-0.9_0.1_-8.6_0.csv,167,0,[0.9548721954643807 0.27818806981196764; -0.2785077142204766 0.960362206251761; -0.10321115951639752 -0.017771623942162897; 1.023096538515306 -4.50027396904245; 0.0 0.0],reta
line3d_-1.0_-1.0_-2.3_0.csv,253,0,[0.9289849537970742 -0.012308831466122827; -0.15981652854008355 -0.9148110883886753; -0.33383473879158315 0.4036943958355947; -10.490017583505276 -2.707252022551964; 0.0 0.0],reta
line3d_-1.0_-2.0_9.0_0.csv,245,0,[0.06637639514616439 0.9919416936508509; -0.9755129088630957 0.041784746882596424; -0.209687240453162 0.11960648529673786; 3.6363645008626992 4.331971534448845; 0.0 0.0],reta
line3d_-1.0_1.0_-3.4_0.csv,56,0,[0.8266212646613529 0.4925986091510992; 0.5571171946632081 -0.7846052415681588; -0.0794840626809102 -0.3764853585017261; 1.4147435375378747 -4.81349737716485; 0.0 0.0],reta
line3d_-1.5_-3.4_-2.9_0.csv,290,0,[0.7622955710035018 -0.5635940967806784; -0.5804891469539514 -0.37789337816388147; 0.2862478169298746 0.734546314954926; -2.662051953038933 -2.9164903187874742; 0.0 0.0],reta
line3d_-1.6_-8.6_-1.2_0.csv,262,0,[0.877781160835871 -0.4434503137416819; -0.22255198835974735 -0.042425540893778674; 0.42422970918920055 0.895294305087592; -0.32574603821839443 1.9423461300044544; 0.0 0.0],reta
line3d_-1.7_5.7_0.9_0.csv,112,0,[0.6822486939115937 0.6745100803775141; 0.08834970878302795 0.3069401552868338; 0.7257623912919975 -0.6714342056684436; -11.115404112327553 -0.43736680948044127; 0.0 0.0],reta
line3d_-1.9_-9.5_8.5_0.csv,119,0,[-0.11438054403191755 0.982459545922614; 0.6751012418481085 -0.0318888254694627; 0.7288040919218994 0.18372899454280292; -10.539731603669681 1.5300080198955506; 0.0 0.0],reta
line3d_-10.0_0.0_4.6_0.csv,236,0,[0.2776023356732426 0.3126246170631434; -0.7478650051408172 0.6638508323674868; 0.6030214567612713 0.6793879018433564; -2.9362111586737134 -3.8715029899504225; 0.0 0.0],reta
