1,2,3,4,5
plane_-0.010658201301176576_0.7067040005616848_-0.7074290482692478_0.csv,42,0,"[0.009928327064330639, -0.7066018569583412, 0.7075416906901862, 4.759692508154309, 0.0]",plano
plane_-0.07164508129714632_0.9351568506153837_-0.3469130252282875_0.csv,67,0,"[-0.07108235738278934, 0.9353105511181425, -0.3466142977950876, 7.542533543742541, 0.0]",plano
plane_-0.08222568321583647_-0.8191404068469772_0.5676688567204103_0.csv,142,0,"[-0.08207644757969529, -0.8189716651439073, 0.5679338592161184, 10.506362612095156, 0.0]",plano
plane_-0.0942666173405374_0.7855551445044784_-0.6115692273142272_0.csv,288,0,"[-0.09300828967070573, 0.7860676275577116, -0.6111032179250252, 9.208187746441295, 0.0]",plano
plane_-0.1888651688872934_0.11017134851758781_0.9758033725843491_0.csv,204,0,"[-0.18912038325963743, 0.1104914773991709, 0.9757177430270889, 5.717113284607655, 0.0]",plano
plane_-0.22126149900596145_-0.6133149319553676_0.7582137846928252_0.csv,243,0,"[-0.22135070135460475, -0.6133099789391235, 0.7581917546000589, -2.1634627107998563, 0.0]",plano
plane_-0.27084121667097927_0.9428340467131272_-0.19418804214145713_0.csv,224,0,"[0.27821036158189344, -0.9409914908515079, 0.19270186520511037, -5.3949159198676115, 0.0]",plano
plane_-0.2733894186642541_0.35118179458137405_0.8955052054103464_0.csv,73,0,"[-0.2732751480495438, 0.35154524911039914, 0.8953974711190597, -3.329310231496228, 0.0]",plano
plane_-0.27976669818790406_0.58851475323229_-0.758538713456983_0.csv,260,0,"[0.2795097595988855, -0.5888270755525158, 0.7583910398898746, -0.08566917546678354, 0.0]",plano
plane_-0.3495163736155979_0.42165412554967746_0.8366875778816956_0.csv,63,0,"[0.349426752408078, -0.42151768041214904, -0.836793755833243, 7.061923965301166, 0.0]",plano
plane_-0.3602535683418368_-0.8500751957200988_0.38417382539471523_0.csv,289,0,"[-0.36021828140743595, -0.849979180717715, 0.38441927902527945, 3.855072883893011, 0.0]",plano
plane_-0.3797915862647512_0.7249362933641532_0.5746526964749634_0.csv,254,0,"[-0.3798295573088147, 0.7245633911494698, 0.5750977304776732, -1.909577557318487, 0.0]",plano
plane_-0.38958793086144283_0.339081910776662_0.85629708741251_0.csv,173,0,"[-0.38940448253183535, 0.3388010104360768, 0.8564916954131002, -0.11338130079928632, 0.0]",plano
plane_-0.41836027986788016_-0.5038502930532033_-0.755717909288294_0.csv,63,0,"[0.4177697373152714, 0.5045345373480392, 0.7555880803761589, -7.548831674266587, 0.0]",plano
plane_-0.4293763063906112_0.8735893890905039_0.2290798262153088_0.csv,294,0,"[0.4298410425894479, -0.8731475902670768, -0.22989119973677438, -1.0750523475560367, 0.0]",plano
plane_-0.4302292270296631_0.8897750926416075_-0.15232562727288387_0.csv,299,0,"[0.43049484248144265, -0.8897096597310244, 0.15195694119777103, 8.718338022946641, 0.0]",plano
plane_-0.44980634414136444_0.7853023983459771_0.4254108554353502_0.csv,252,0,"[0.449416851796323, -0.7854768217612047, -0.42550047684743947, 4.297209688873917, 0.0]",plano
plane_-0.4575028609534038_0.028618515162820407_-0.8887474966543231_0.csv,293,0,"[0.45763475187083436, -0.028561418625640267, 0.8886814273102656, 5.324138142536869, 0.0]",plano
plane_-0.4626883261597737_0.5343121878214065_-0.707410770896916_0.csv,153,0,"[0.4627452559135444, -0.5344340565503986, 0.7072814625936368, -2.816823157117021, 0.0]",plano
plane_-0.48939028971149046_-0.7054688041181898_0.5126508663331749_0.csv,67,0,"[0.48901062446111815, 0.7055888848931975, -0.5128478669930502, 11.159035412503227, 0.0]",plano
plane_-0.5167729440839167_0.6605004191572561_-0.5446879111527354_0.csv,248,0,"[-0.5173352703693911, 0.6599739726464189, -0.5447922296262439, -6.725925199236324, 0.0]",plano
plane_-0.5196421638852509_-0.7670908133544179_-0.37622294664189676_0.csv,222,0,"[0.5195012039021079, 0.7671359134498199, 0.37632564281453235, 1.0617940652322968, 0.0]",plano
plane_-0.5208416454551654_-0.7736596429811669_0.3607973630471943_0.csv,135,0,"[0.5211685000586277, 0.77346542167352, -0.36074178579982097, -2.1445699612380924, 0.0]",plano
plane_-0.5237170743261427_-0.7533684117311892_0.3976889013599586_0.csv,276,0,"[-0.5240960435589157, -0.7531366066149974, 0.39762870734183486, 6.498375201140437, 0.0]",plano
plane_-0.5672856103735143_0.816824735171248_0.10480643241504811_0.csv,216,0,"[0.5665742825313491, -0.8172059131349985, -0.10567912713152197, 5.060896765038742, 0.0]",plano
plane_-0.5674608372732793_-0.7742279439720451_-0.28028430019166023_0.csv,133,0,"[0.5672053982774071, 0.7748100809175245, 0.27919057053121804, -0.4103357157271539, 0.0]",plano
plane_-0.5706001596827001_0.41218012544469657_0.7102978262380305_0.csv,135,0,"[-0.570770897705894, 0.41243670937704513, 0.7100116499679724, 0.9643393074085527, 0.0]",plano
plane_-0.6254922323476894_0.7751458115459959_-0.08892939961229748_0.csv,96,0,"[0.6251850579936099, -0.7754010121159466, 0.08886458052054379, -0.7026777977326484, 0.0]",plano
plane_-0.6439222707185254_-0.4195209694056521_0.6398173688652411_0.csv,150,0,"[-0.6437332358950968, -0.4195376520728175, 0.6399966245983295, 0.01768160201076352, 0.0]",plano
plane_-0.6465187458598011_0.32905699010067885_-0.6882841045075437_0.csv,283,0,"[0.6467422531323462, -0.32896246867398604, 0.6881192863284772, 1.7795727079498942, 0.0]",plano
plane_-0.6594940417564961_-0.7298748288214186_-0.17986201138813532_0.csv,180,0,"[0.6594077582234453, 0.7298758446009656, 0.18017397110225816, 3.813167621577387, 0.0]",plano
plane_-0.6677135601558335_0.6782299702476154_-0.30685942879752104_0.csv,54,0,"[0.6676034537301436, -0.6785530405761265, 0.3063843985787755, -4.953772763454651, 0.0]",plano
plane_-0.6728984780084606_-0.717490155923321_-0.18004309052842218_0.csv,210,0,"[0.6729307725467324, 0.7174027256358042, 0.18027064267366716, 8.651583286667675, 0.0]",plano
plane_-0.6741413174214756_0.21392489590985395_-0.7069438613179942_0.csv,163,0,"[0.6740114007290399, -0.2140580660420528, 0.7070274224169908, -0.610359734510082, 0.0]",plano
plane_-0.678180920482508_0.11688375610479149_0.7255403687268778_0.csv,57,0,"[-0.6792154485646817, 0.1182826764376606, 0.72434493363716, 1.1533301358839587, 0.0]",plano
plane_-0.691291500465831_-0.3031851552852265_0.655892386751343_0.csv,200,0,"[-0.6905452551021611, -0.303901583890383, 0.6563467665531753, -4.449148560324311, 0.0]",plano
plane_-0.6976744186046512_0.5813953488372092_0.4186046511627907_0.csv,151,0,"[0.6975803932531168, -0.5813349573866136, -0.4188451530925614, 13.224659292894824, 0.0]",plano
plane_-0.6996927197715935_-0.012013149711321228_0.7143429023463757_0.csv,280,0,"[-0.6997225685516034, -0.010980929059790201, 0.714330278132273, -2.1198830358227863, 0.0]",plano
plane_-0.707132798286779_0.7062823679821647_0.033591997032264224_0.csv,94,0,"[0.7071562293321801, -0.7062402722290875, -0.033981542026187105, 3.089504708486768, 0.0]",plano
plane_-0.7235413982532792_-0.6020090540154236_-0.33774686363776113_0.csv,245,0,"[0.723562730038255, 0.6018613137521596, 0.337964398580844, 2.833377423829545, 0.0]",plano
plane_-0.8870044395510627_-0.46174756425996777_0.0035087200931608366_0.csv,120,0,"[0.8871694049730962, 0.4614378251633609, -0.0023622845277882325, 11.438674654702137, 0.0]",plano
plane_-0.917874051898419_-0.3965612465447715_-0.01569721600906392_0.csv,270,0,"[0.9179298203570114, 0.3964328338313753, 0.015679705347036763, 3.027064211239318, 0.0]",plano
plane_-0.919569166543167_-0.36233929204656157_-0.15199600449453193_0.csv,35,0,"[0.9191837458800378, 0.3632931624089315, 0.15205038459951264, -2.0889043607271796, 0.0]",plano
plane_-0.9498093486530375_-0.07361964435699474_0.30404333437199765_0.csv,226,0,"[0.9498187498015523, 0.073003142548, -0.3041625941885893, -5.98544540627384, 0.0]",plano
plane_-0.9539761660333388_-0.2581590802687863_-0.15258887218636163_0.csv,63,0,"[0.9538954032020679, 0.25871409805610474, 0.15215313081557233, -6.189077123536033, 0.0]",plano
plane_-0.9860043834611233_0.12078004697185253_-0.11492404469442938_0.csv,254,0,"[0.9860241360587675, -0.12086289024904782, 0.11466719177780448, -4.193862295163861, 0.0]",plano
plane_-0.9907370734803399_0.04790287837356282_-0.12706441466885737_0.csv,287,0,"[0.9907050619323314, -0.04811266259596067, 0.12723463349097425, 1.178327813038401, 0.0]",plano
