1,2,3,4,5
plane_-0.06544335345956151_-0.9152602091433071_-0.3975121596214595_80.csv,402,80,5,5.773964843847517e-24
plane_-0.10500189092885637_0.757347892859792_0.6445143691820979_184.csv,921,184,5,2.659988406421227e-23
plane_-0.11597358806503981_0.4033451303407686_0.9076689003715556_162.csv,811,162,5,3.621361634801813e-24
plane_-0.12965622963492324_0.6910496961444693_-0.7110833844040322_104.csv,519,104,4,1.1991493509785495e-24
plane_-0.14178289035827238_-0.7562024060856115_-0.638792245594752_182.csv,911,182,4,5.786083325073522e-24
plane_-0.15401198627863008_0.9457057083865046_-0.2862184850908321_78.csv,392,78,4,1.0596613824488815e-23
plane_-0.15564590669801534_0.7257299221038414_0.6701420982831215_117.csv,586,117,4,7.256657141639674e-25
plane_-0.1566736240681876_0.0032963510014346387_-0.9876449309298435_49.csv,243,49,4,8.358419755731479e-25
plane_-0.20646160307998132_-0.9099146099812352_-0.3597624341094285_150.csv,751,150,4,3.973195570682647e-24
plane_-0.2079748654891183_0.7407742064276978_-0.6387488007160547_120.csv,601,120,4,4.759568605823818e-24
plane_-0.223608700878083_0.9373131744692403_0.2672885367126906_172.csv,862,172,4,1.940362746293933e-24
plane_-0.33328121446201286_0.705126815735448_-0.6258752318294063_127.csv,634,127,7,9.606815156958426e-24
plane_-0.3467423686433239_0.7293246409196255_-0.5897925889116247_118.csv,588,118,4,2.153919620681292e-24
plane_-0.3549048540853669_0.9000502048545499_-0.25288766930779183_183.csv,914,183,5,2.71165084116031e-24
plane_-0.3784589285924299_-0.697599812677497_0.6083776300300588_177.csv,886,177,7,2.2150551575445626e-24
plane_-0.4059002288664146_0.8153665062551699_-0.41282255835095816_62.csv,310,62,5,2.1509920789759263e-23
plane_-0.4061420576707199_0.6347393359241836_0.6573846700536299_159.csv,796,159,4,3.383331041083264e-23
plane_-0.43881293847088665_-0.4840592034399471_-0.7570534278342775_30.csv,151,30,4,2.9276292689261764e-24
plane_-0.4452055925164144_0.5253291893623655_0.7251353137146117_49.csv,246,49,5,7.178555351420685e-24
plane_-0.46400693616467137_-0.8858314235870999_-0.0005021720088362732_109.csv,544,109,4,1.5042468126916728e-25
plane_-0.47412341988364526_0.8343496601071724_0.2811896644560084_57.csv,284,57,4,2.2415394269433666e-23
plane_-0.4900567980397666_-0.762552041492773_0.4223253706684167_91.csv,453,91,4,5.816588497392328e-23
plane_-0.4971354892252178_-0.8631118281016545_-0.08884974701046444_79.csv,395,79,5,2.9674099466546616e-24
plane_-0.5136262931961174_-0.577829579845632_-0.6342720296474033_142.csv,708,142,4,4.466819957313585e-24
plane_-0.5320508312137991_0.6399200986587128_-0.5544584568182982_90.csv,449,90,5,4.109296362153844e-24
plane_-0.549796192815182_0.47008160622364176_-0.6904689926826058_166.csv,831,166,4,365964.850847252
plane_-0.5658827919365799_-0.13306591617619615_0.8136769185261746_84.csv,419,84,4,6.759361963349613e-24
plane_-0.5725967859177175_-0.5183946629789046_-0.6351376970009635_37.csv,186,37,4,1.6411913895086169e-24
plane_-0.5749303477935469_0.6640177767911921_0.4780538539655064_93.csv,467,93,4,3.2765681225708534e-23
plane_-0.5942759466053743_0.4751171680395458_0.6489220106610409_94.csv,472,94,6,8.6689739254819e-25
plane_-0.6234190743670202_0.09300378779030609_0.7763368812390814_122.csv,609,122,4,5.7899566321181575e-24
plane_-0.6310679366910072_0.2972760680999923_0.7165055468142335_21.csv,104,21,6,9.231258201505332e-25
plane_-0.6369135336395169_-0.1256670133716911_0.7606240545874571_102.csv,509,102,5,9.44488883438733e-24
plane_-0.6689891165533085_-0.7237303763283651_-0.16931598953680313_42.csv,212,42,4,1.5845628122121002e-24
plane_-0.6824255552396576_-0.7308094036206894_0.014593736170612815_60.csv,298,60,4,1.2458619590223897e-24
plane_-0.6932572419329905_-0.7047325982760748_-0.15081896908053502_71.csv,354,71,5,1.3393075345006981e-24
plane_-0.694682220534904_-0.6832908750218967_0.22478921812334698_141.csv,705,141,4,3.0181891795035324e-23
plane_-0.7132449347123032_-0.09191300705055458_0.6948623333021924_155.csv,776,155,4,8.630094126907177e-24
plane_-0.7399734815601533_0.2062199862509934_-0.6402441439469679_118.csv,588,118,4,1.3074064062499646e-24
plane_-0.7695533661082147_0.6334035436864_0.08116383158172577_83.csv,413,83,4,1.5793928643583146e-24
plane_-0.8124663685542269_0.3822797497053347_0.4401824541409322_166.csv,831,166,4,3.2829787634311282e-24
plane_-0.8292034132241455_-0.09942686217350297_-0.550032725004393_140.csv,701,140,5,1.3044856364224322e-24
plane_-0.8555534692469686_0.3723977240347089_0.35965010272936815_131.csv,654,131,4,2.243129139439568e-24
plane_-0.8785645490855994_0.2210749963277711_-0.4233794740994104_135.csv,676,135,9,6.95411199932605e-24
plane_-0.8887763410468065_0.24753384427835187_-0.38575071164189867_143.csv,714,143,4,2.5449993865968717e-25
plane_-0.8958997785386005_0.20142456624993277_0.3959693560435111_46.csv,231,46,7,2.233099561890588e-25
plane_-0.906502971282694_0.08530091755291694_0.413492583392106_84.csv,418,84,7,3.1786203542794405e-25
plane_-0.9461504282117662_-0.15506354240137268_-0.2841736529177701_26.csv,131,26,4,1.0833347925309633e-25
plane_-0.9898387549780304_0.07269558144935911_0.12220716665270642_35.csv,175,35,4,4.439476263401588e-24
plane_0.017857487672361623_-0.6352716549460466_0.7720822718830828_23.csv,117,23,4,3.0332411780562603e-24
plane_0.021122510688413743_0.6183134946972012_-0.7856476702807385_197.csv,986,197,4,2.5965560615893603e-23
plane_0.07839730296286318_-0.3980492395767773_0.9140080228097007_189.csv,947,189,5,1.4287131961274863e-24
plane_0.0801394503490246_0.9654145578900923_-0.24809756127707858_57.csv,285,57,4,1.356522057174431e-24
plane_0.0901176357225115_0.5172671467480479_-0.8510661023838973_75.csv,373,75,5,1.5130162835521753e-24
plane_0.10938440165078336_0.48804223752774145_0.8659386970591022_60.csv,299,60,4,2.219175378052532e-24
plane_0.11164547011593012_0.9197751469550735_0.37622994039066854_28.csv,138,28,4,2.6209700444285023e-24
plane_0.1366791525136605_-0.7984939962640166_-0.5862816278875437_125.csv,624,125,4,2.122636000421214e-23
