1,2,3,4,5
sphere3D_-1.4_-45.0_17.7_25.4_109.csv,546,109,8,8.036714605677452e-27
sphere3D_-10.3_-19.0_9.6_11.4_23.csv,117,23,9,86.84511685050559
sphere3D_-10.8_16.4_33.1_49.3_192.csv,960,192,5,3.681875000766921e-27
sphere3D_-11.9_17.7_-26.9_60.9_143.csv,715,143,4,4.366717970435534e-27
sphere3D_-12.2_-44.9_-25.1_8.5_127.csv,635,127,13,40.14921719635249
sphere3D_-12.8_-10.0_49.9_2.7_106.csv,528,106,4,0.6171482147316077
sphere3D_-15.7_19.3_40.1_31.0_144.csv,722,144,5,1.426642852252149e-26
sphere3D_-15.9_-16.0_12.5_43.7_54.csv,272,54,4,7.0322635617377775e-28
sphere3D_-16.1_22.9_7.8_70.4_163.csv,814,163,4,4.159885420359989e-28
sphere3D_-16.3_35.8_31.8_10.3_180.csv,898,180,12,24.543332637383273
sphere3D_-17.6_37.1_36.3_55.6_138.csv,691,138,5,3.002443570348768e-24
sphere3D_-17.6_40.3_2.3_26.2_153.csv,764,153,6,9.325075456811004e-27
sphere3D_-19.0_35.1_32.9_56.0_198.csv,989,198,5,6.307437944571121e-26
sphere3D_-20.2_35.2_-38.9_64.3_197.csv,983,197,4,6.254030323135883e-26
sphere3D_-21.5_2.5_-29.4_35.0_82.csv,409,82,5,4.7740873259690435e-26
sphere3D_-22.1_-49.5_-30.4_12.4_120.csv,598,120,13,28.221327299874293
sphere3D_-22.1_43.9_43.9_32.3_50.csv,252,50,5,9.003645452812552e-28
sphere3D_-23.0_4.7_28.3_27.6_127.csv,634,127,6,2.601275922388482e-26
sphere3D_-28.8_-2.5_-8.9_78.8_192.csv,958,192,4,3.3901852069696966e-27
sphere3D_-29.2_14.8_-6.7_60.8_150.csv,750,150,4,6.02692813076764e-28
sphere3D_-29.8_-21.6_-35.4_49.0_85.csv,423,85,5,2.427188464635716e-25
sphere3D_-29.9_20.8_-31.8_14.3_23.csv,117,23,3,2.9618593480949897
sphere3D_-3.4_40.9_-28.3_34.0_70.csv,352,70,5,6.2063030828120455e-27
sphere3D_-30.1_23.4_31.3_57.9_62.csv,311,62,5,2.0505698133377602e-26
sphere3D_-30.7_-39.2_36.8_62.7_154.csv,769,154,5,3.754366949947618e-25
sphere3D_-32.4_-47.0_-16.4_5.5_142.csv,710,142,8,2.6047276938641164
sphere3D_-34.0_-16.8_-22.1_19.4_35.csv,174,35,8,7.71315385772668
sphere3D_-36.2_-38.9_8.5_52.4_26.csv,129,26,5,7.969422921569353e-26
