1,2,3,4,5
plane_-0.007071202987765415_-0.867990166748204_0.49653103479715227_209.csv,598,209,6,1.9354439698475066e-23
plane_-0.11712566751292373_0.9604978356002308_-0.2524390734750146_348.csv,995,348,14,1.463047102974204e-23
plane_-0.11768910018307976_-0.6496951416101352_0.7510296256914791_223.csv,638,223,10,2.0140859914128246e-23
plane_-0.1501278950497094_0.4760653876258624_-0.8665006415650138_141.csv,403,141,9,7.465617446791826e-24
plane_-0.20193473064048234_-0.5364482569712588_-0.8194178617492142_177.csv,505,177,6,9.547118624723897e-24
plane_-0.2176113638564166_0.49803076142351377_0.8394108975921538_135.csv,386,135,7,9.776390445420228e-24
plane_-0.24878891189248467_-0.8398619277267932_0.48242721697100405_299.csv,855,299,7,2.341759998151678e-24
plane_-0.3027909097619517_0.38795085313250066_-0.8705238655656112_75.csv,214,75,5,1.0647542071873027e-26
plane_-0.34822246702918974_0.8276845573105868_0.44009020330573473_119.csv,341,119,24,1.093696598099805e-25
plane_-0.3837305686253552_0.7607443921377856_-0.523468070213812_62.csv,176,62,17,3.078834400535178e-25
plane_-0.3893324220377211_-0.7466113715783608_0.5394364883655172_168.csv,480,168,8,1.9773744495209798e-24
plane_-0.39317414091817177_0.510828523995958_0.7645052740075562_272.csv,776,272,10,3.809989170293515e-24
plane_-0.4038229599399688_0.9141210394212027_-0.03619036215378961_203.csv,580,203,14,1.6876894225978607e-24
plane_-0.41291671030087196_-0.6571176127366666_-0.6306316146416782_243.csv,693,243,8,2.636804467119786e-25
plane_-0.41480538404240785_-0.22991522441149626_0.8803837134756878_287.csv,821,287,8,2.9518306414826885e-24
plane_-0.4311999635362789_0.5988455189798593_0.6748708290065992_211.csv,604,211,8,3.615443931930991e-25
plane_-0.4316950392398994_-0.8306965616643993_-0.351543191563436_329.csv,939,329,14,3.167703022478921e-24
plane_-0.4441526338262919_-0.6111678657485982_-0.6551353125435015_75.csv,214,75,12,6.042577837714921e-27
plane_-0.45390833415069376_0.8755326104924932_0.16555927081484273_45.csv,128,45,8,2.2229607805240035e-23
plane_-0.46508867202752135_0.2340166260451707_-0.8537732403197652_124.csv,353,124,10,3.487533910665714e-25
plane_-0.5133653371057341_-0.23780059171794932_-0.8245646786255818_76.csv,218,76,12,5.0911382981040536e-26
plane_-0.5304128064921634_0.14232109300183804_0.8357074614934756_259.csv,740,259,11,2.1204694940672667e-23
plane_-0.5386576298363721_0.8337471286824113_-0.12129997210591818_158.csv,450,158,7,1.002603731920926e-23
plane_-0.5389249928487686_-0.470801140938881_-0.6985027829390534_123.csv,352,123,8,9.774652444337377e-25
plane_-0.5627483705762715_0.048030168078540166_-0.8252317095023062_147.csv,420,147,11,9.498146648785967e-24
plane_-0.5852091326853985_0.13832215863473057_-0.7989976542219833_44.csv,125,44,6,8.702192163602815
plane_-0.5856400015265038_-0.008589386689055343_0.8105257621126811_198.csv,565,198,7,1.1798785175392406e-24
plane_-0.6102901685672123_0.7824762310114121_-0.12359958758984131_231.csv,660,231,17,3.682083751685919e-23
