1,2,3,4,5
sphere3D_-10.4_-27.1_-2.9_5.0_74.csv,211,74,7,3.775597993357395e-26
sphere3D_-10.5_-26.7_-28.7_26.0_202.csv,576,202,6,1.9088727763529352e-25
sphere3D_-11.8_-16.4_14.1_59.8_304.csv,870,304,6,1.0875106998395678e-23
sphere3D_-15.4_-2.1_-33.6_73.7_177.csv,507,177,6,7.54367187762311e-24
sphere3D_-15.8_-8.9_-46.8_16.7_317.csv,907,317,7,8.157487361374042e-27
sphere3D_-16.9_49.5_30.4_47.6_292.csv,835,292,7,9.03886942805568e-24
sphere3D_-19.5_21.1_-49.4_12.5_143.csv,409,143,8,4.0221392129519203e-26
sphere3D_-2.7_-8.1_-17.5_62.2_46.csv,131,46,5,7.255696087189985e-27
sphere3D_-20.8_49.1_48.3_7.2_349.csv,998,349,9,5.673939992774855e-26
sphere3D_-21.2_22.1_-39.5_77.9_211.csv,604,211,6,9.293014362359834e-25
sphere3D_-21.6_0.1_12.7_28.7_195.csv,557,195,6,7.101048804517749e-26
sphere3D_-22.6_-7.5_40.6_73.1_99.csv,284,99,6,2.0023967587503956e-26
sphere3D_-23.7_14.4_8.3_54.6_74.csv,211,74,6,8.290277919923609e-27
sphere3D_-23.9_-9.3_-48.4_49.0_126.csv,361,126,6,1.586239653547874e-25
sphere3D_-24.6_-28.6_12.6_27.0_318.csv,909,318,7,1.4664040719252201e-24
sphere3D_-25.3_-16.1_-22.6_38.4_106.csv,303,106,6,3.9486851385044853e-25
sphere3D_-25.3_28.9_35.5_27.5_167.csv,478,167,7,4.42620424566502e-26
sphere3D_-26.6_25.5_-45.7_22.0_329.csv,939,329,7,1.4248176530660852e-24
sphere3D_-27.2_35.8_-29.0_58.0_321.csv,916,321,7,3.47403547995329e-24
sphere3D_-28.1_-39.1_-20.7_44.2_236.csv,675,236,6,6.782740056957738e-25
sphere3D_-28.9_-48.4_-42.1_75.4_92.csv,264,92,7,1.0660787652965569e-24
sphere3D_-29.2_-21.1_-12.2_33.4_204.csv,582,204,7,5.586149958341302e-25
sphere3D_-3.6_-37.9_2.5_2.1_245.csv,700,245,8,6.803382226101789e-25
sphere3D_-3.9_-33.7_-23.9_15.7_306.csv,875,306,7,2.0213768753895295e-26
sphere3D_-3.9_-47.4_46.3_33.8_115.csv,330,115,7,2.6660592137072525e-25
sphere3D_-31.3_-24.2_25.7_53.4_254.csv,726,254,6,1.9677794699286774e-25
sphere3D_-31.6_-20.7_28.1_9.9_104.csv,296,104,8,2.467315322879101e-26
sphere3D_-31.6_33.8_32.8_68.2_278.csv,794,278,6,4.174365555461743e-25
sphere3D_-33.5_-15.5_9.0_38.9_328.csv,938,328,7,8.38919962625011e-24
sphere3D_-33.5_1.6_32.7_22.4_36.csv,104,36,7,7.422677294856269e-26
sphere3D_-38.1_38.0_7.0_70.2_77.csv,219,77,6,1.1469627516020912e-24
sphere3D_-38.2_-11.1_22.9_48.8_222.csv,634,222,7,3.0366397823696854e-25
sphere3D_-38.3_11.0_-34.8_73.9_270.csv,772,270,6,1.0888323594031423e-23
sphere3D_-39.0_26.3_-7.7_39.3_52.csv,148,52,6,9.023031093260776e-27
sphere3D_-4.4_-21.8_-27.6_36.3_331.csv,945,331,6,1.5419927197343037e-22
sphere3D_-4.8_-5.9_28.0_31.6_57.csv,164,57,6,8.085577162444207e-26
sphere3D_-4.9_-44.9_-42.8_62.6_88.csv,251,88,7,1.8332209608766446e-22
sphere3D_-40.1_30.2_-48.0_25.0_310.csv,885,310,7,3.43757479941866e-24
sphere3D_-40.5_30.2_-2.3_24.1_163.csv,466,163,7,1.0260097496627497e-26
sphere3D_-41.4_10.9_40.9_61.5_197.csv,564,197,6,2.153097653040327e-24
sphere3D_-41.5_-15.1_16.6_3.0_337.csv,963,337,13,2.0952786592155566e-26
sphere3D_-43.5_21.8_-6.5_14.6_218.csv,622,218,8,1.6523889742353897e-25
sphere3D_-44.5_11.5_15.6_27.7_57.csv,162,57,6,1.3261522188742963e-27
sphere3D_-45.3_43.6_4.5_61.7_182.csv,519,182,6,3.9819929130620444e-23
sphere3D_-47.6_37.5_-28.7_55.9_248.csv,709,248,6,1.7359963959270876e-24
sphere3D_-48.3_9.6_17.2_46.9_328.csv,938,328,6,6.052653424147282e-25
sphere3D_-49.3_2.4_-5.1_21.3_127.csv,364,127,7,4.1245079454188055e-24
sphere3D_-49.3_3.0_-30.9_63.0_292.csv,834,292,6,5.102424048896914e-25
sphere3D_-49.8_48.3_26.4_36.1_79.csv,225,79,7,5.771045072422068e-26
sphere3D_-6.6_38.2_-34.2_77.7_129.csv,368,129,6,9.180840098085515e-26
sphere3D_-7.3_48.6_24.4_40.3_270.csv,771,270,6,7.74743815617494e-25
sphere3D_-9.1_-28.1_24.3_12.9_134.csv,384,134,7,1.0844668079299555e-26
sphere3D_-9.8_-25.4_11.1_29.8_125.csv,357,125,7,7.96866763655641e-24
sphere3D_0.9_-8.3_-30.2_45.2_78.csv,222,78,5,4.177838168929589e-27
sphere3D_0.9_11.9_30.1_38.4_100.csv,287,100,6,1.207856349679074e-25
sphere3D_1.0_-35.0_-6.8_78.1_68.csv,193,68,6,3.559633145708752e-27
sphere3D_1.9_-31.1_-39.2_66.9_134.csv,382,134,6,1.8286075890274165e-25
sphere3D_10.2_16.0_-43.2_5.0_287.csv,819,287,9,5.533585613998899e-26
sphere3D_11.6_29.7_48.6_71.5_291.csv,831,291,6,1.2019264926545493e-24
sphere3D_12.4_4.2_12.8_60.3_79.csv,227,79,6,1.5809314882501416e-26
sphere3D_13.6_-44.1_31.9_11.2_198.csv,565,198,8,1.9640472102894494e-25
sphere3D_14.3_-37.9_-39.6_11.6_200.csv,571,200,8,1.6732257489706712e-26
sphere3D_17.0_48.6_10.3_76.1_109.csv,311,109,6,1.0320414677353634e-23
sphere3D_20.2_-28.8_-27.3_29.7_96.csv,275,96,7,6.50645949575639e-26
sphere3D_20.8_35.3_22.6_11.0_292.csv,833,292,7,9.651249719597262e-26
sphere3D_21.0_-4.4_-7.0_12.3_109.csv,312,109,6,6.493826859027967e-26
sphere3D_21.3_18.2_40.3_31.6_233.csv,667,233,7,2.487669467274039e-25
sphere3D_22.1_46.9_-5.5_9.4_211.csv,603,211,9,7.340420981005886e-26
sphere3D_22.9_17.7_26.2_17.3_259.csv,739,259,7,3.567399727839686e-25
sphere3D_23.0_20.8_-22.3_32.9_336.csv,959,336,7,1.1921964228267898e-24
sphere3D_24.1_-40.5_28.1_2.5_201.csv,575,201,14,1.420853368172365e-25
sphere3D_24.9_42.9_-2.5_2.2_310.csv,886,310,14,2.3835021797063124e-25
sphere3D_26.6_39.2_-27.5_72.7_173.csv,494,173,6,3.0610446191793737e-25
sphere3D_26.9_3.6_-17.6_36.2_55.csv,156,55,6,8.316005262492711e-27
sphere3D_27.0_21.5_-32.8_25.7_99.csv,283,99,7,4.805981915109837e-26
sphere3D_28.6_36.1_32.1_7.5_107.csv,307,107,8,4.507625168142726e-27
sphere3D_30.8_44.1_45.3_29.4_87.csv,249,87,6,4.1661241538442876e-8
sphere3D_30.9_-47.2_-45.5_39.2_153.csv,437,153,6,4.513809714380142e-25
sphere3D_31.3_47.1_13.6_32.5_255.csv,729,255,6,1.7670679520024707e-24
sphere3D_31.5_35.7_-34.4_35.5_77.csv,220,77,6,1.2407820614898278e-26
sphere3D_31.9_35.1_14.6_76.3_119.csv,340,119,6,4.327005294982269e-27
sphere3D_35.5_8.0_44.0_12.0_148.csv,422,148,8,4.273319920745277e-25
sphere3D_36.4_25.2_-50.0_51.1_146.csv,418,146,7,4.0173578607533857e-25
sphere3D_36.6_-36.9_20.1_79.4_134.csv,382,134,6,2.7154186488440795e-25
sphere3D_36.6_4.8_-46.8_76.1_251.csv,718,251,6,1.2391425712542093e-25
sphere3D_37.4_-44.8_-32.8_48.0_193.csv,551,193,6,2.073960108944678e-23
sphere3D_40.6_-4.7_-37.4_59.9_195.csv,556,195,7,9.811078914192692e-26
sphere3D_42.3_46.9_-2.5_55.9_187.csv,535,187,6,6.577763724132976e-24
sphere3D_42.6_-13.3_9.4_22.2_136.csv,389,136,7,1.617181483411842e-24
sphere3D_43.5_-18.6_-26.4_3.3_133.csv,381,133,14,2.0931573629376107e-26
sphere3D_46.9_-7.8_39.4_10.8_71.csv,203,71,7,5.421800325943589e-26
sphere3D_47.1_15.2_39.6_60.1_171.csv,488,171,6,6.128283473564528e-24
sphere3D_47.2_-44.9_-25.4_41.1_339.csv,968,339,6,8.76895818411431e-24
sphere3D_47.7_-14.1_-17.2_39.3_67.csv,192,67,7,3.777971124234869e-26
sphere3D_48.2_-43.1_-47.4_69.2_243.csv,693,243,6,1.3111409260257603e-23
sphere3D_48.5_-7.9_24.1_67.0_320.csv,914,320,6,7.52982514582814e-25
sphere3D_6.3_-46.0_42.2_54.3_144.csv,411,144,7,2.6725220315919505e-24
sphere3D_6.6_-8.3_2.2_32.7_226.csv,646,226,5,7.89367896264036e-25
sphere3D_8.9_13.5_-41.0_25.2_293.csv,836,293,7,5.735393181737945e-26
sphere3D_9.2_-2.2_3.2_45.1_78.csv,222,78,5,3.250217739815849e-25
