1,2,3,4,5
plane_-0.02234045209349939_-0.16312745207894838_0.9863520358261996_103.csv,294,103,6,190.51984805960998
plane_-0.025412093682197007_0.7701480183569879_-0.637358812063889_90.csv,257,90,7,139.93151572946294
plane_-0.026176326819516173_-0.7686901826999288_0.6390854425935454_314.csv,896,314,6,496.8037945728677
plane_-0.04597410023188442_-0.6319637288928317_0.7736331349365383_91.csv,260,91,5,155.1600677019113
plane_-0.08550581099942106_0.99400505286827_-0.06813744314016366_72.csv,205,72,5,171.07337114486393
plane_-0.11506839024195611_0.683605221598718_-0.7207240571606394_109.csv,312,109,5,174.78395298796778
plane_-0.143113032376219_0.986779370090573_0.07606007315099753_140.csv,399,140,6,271.41715662936895
plane_-0.17224123325870078_-0.880378440013503_-0.44188998622384823_254.csv,726,254,6,472.7240931860954
plane_-0.23285532961756908_0.7141735093575697_0.6601019572767428_114.csv,325,114,6,210.37953138476652
plane_-0.28169429057436707_0.7525361618669073_-0.5952626745735262_313.csv,894,313,6,520.948006498016
plane_-0.29239869020311005_0.9561580736920032_-0.016270958210975024_44.csv,127,44,6,73.04759457677824
plane_-0.2998338299149178_-0.11523977700373629_0.9470055270349172_287.csv,819,287,6,557.9237579004715
plane_-0.31703530717646594_0.687505590960009_0.6533182045544519_208.csv,594,208,6,431.7944921594109
plane_-0.4463664556058633_-0.8535056825689964_-0.2688587680033711_39.csv,112,39,5,82.6998992804631
plane_-0.4893918667900225_0.6773475406352698_-0.5492685225963057_256.csv,732,256,6,446.7917911447778
plane_-0.5110443334062692_-0.8381127067862815_-0.19078988447167383_253.csv,722,253,6,456.6988964741452
plane_-0.5234318566766817_0.7969254513194962_-0.3015442197343851_112.csv,319,112,6,202.20221881100713
plane_-0.538986277664979_0.8377876888903918_0.08720998126674721_183.csv,523,183,5,323.9857308897556
plane_-0.5434948063656836_-0.2024118525178079_-0.8146427667473868_271.csv,775,271,5,454.2350138723706
plane_-0.5453663461198928_0.08688230983340756_-0.8336828010447674_276.csv,790,276,5,463.37375025702806
plane_-0.5937075053403785_0.7934091207730514_-0.1342138784799765_73.csv,208,73,6,117.95578513277901
plane_-0.6139771600051476_0.2678033126791235_0.7425048368260647_303.csv,867,303,6,538.7352452756071
plane_-0.6195032667123032_-0.761716280768901_0.18974722697414564_310.csv,886,310,6,585.6103805894094
plane_-0.6392784469465719_0.5700413123644907_-0.5161162363919083_244.csv,697,244,5,424.59643888086583
plane_-0.6629204486098793_-0.5780917656124065_0.47575875120275696_300.csv,858,300,6,483.5078770011494
plane_-0.6774341848518679_0.4734083878964815_-0.562998599876891_337.csv,962,337,5,551.5292079525146
plane_-0.7086902712490358_0.11935540530249267_-0.6953505494799337_326.csv,931,326,6,613.1450709747438
plane_-0.7212451703835476_0.13589135932717555_-0.6792193626941299_281.csv,802,281,6,475.92790107232327
plane_-0.7374182019222765_-0.3235810071337613_-0.592882557759981_195.csv,556,195,6,387.94146391102845
plane_-0.737922871995037_-0.6739783359922942_0.03497195447289576_192.csv,550,192,7,351.1943551393881
plane_-0.767637057351305_-0.27435403854793944_-0.5791918591567607_318.csv,910,318,7,559.8037223296428
plane_-0.7790628039288104_-0.42296797578053713_0.4627734207997418_348.csv,994,348,5,662.4923778069601
plane_-0.7816340482180754_0.10222675809251622_0.6153030997777581_237.csv,676,237,7,475.6977763991475
plane_-0.786340688086124_0.48465108548970864_0.38312093076976106_263.csv,751,263,5,496.1472572015797
plane_-0.8035661526832287_-0.5934184108153238_0.046217182597923234_293.csv,838,293,5,513.5597756203015
plane_-0.8537512384143635_-0.38681616181595196_-0.34854279488165596_338.csv,965,338,6,620.1433367440776
plane_-0.8601314589797863_0.49995803916531595_0.10107340079010306_192.csv,550,192,6,368.72078633076325
plane_-0.8620792895329373_0.4655814327152143_0.2001330259333385_279.csv,796,279,5,528.1110137249552
plane_-0.8906288948660099_0.0042623092640966444_0.4547109019470362_225.csv,644,225,5,423.10902535147363
plane_-0.9164162535005563_-0.3665665014002225_0.16065568888528273_327.csv,935,327,5,522.5763920779586
plane_-0.917639654913671_0.3934123469706701_0.05625112426385482_119.csv,339,119,6,200.3655413983168
plane_-0.9255007551085246_-0.19843023809662827_0.32260470068253216_42.csv,120,42,6,77.51436378335823
plane_-0.9478574615665829_0.312446984436645_-0.06279422321360865_220.csv,629,220,6,373.3175248632273
plane_-0.9601980861797492_0.26650180462807_-0.08364462580900808_160.csv,456,160,7,299.4978253948739
plane_-0.9940444986985125_0.0022464282456463648_0.10895176991384825_287.csv,819,287,5,536.7057396676603
plane_0.0212913703318899_0.6458382334006589_0.7631773410075186_341.csv,974,341,7,629.2640988697439
plane_0.038677469152613636_-0.68297556288476_-0.7294165023374461_211.csv,604,211,5,380.07058831465383
plane_0.07501155937474997_-0.47045577308205555_0.879229567026686_336.csv,961,336,6,641.1961692469482
plane_0.07732543530187978_0.577472931722549_-0.8127396816835875_333.csv,952,333,7,686.2461248954899
plane_0.08960336618351976_-0.990685104986803_0.10253906341423916_250.csv,714,250,5,441.3640487774618
plane_0.09664987668933415_-0.93796846675524_-0.3329774117095041_267.csv,764,267,6,489.36594741712304
plane_0.09722634653707338_-0.6961523906128819_-0.7112797526873814_53.csv,152,53,5,100.58587006321578
plane_0.13254403322173391_-0.4270205832218064_-0.8944749861020287_270.csv,771,270,7,543.3478053730214
plane_0.1434727974928479_-0.9549442020236019_-0.25980209275731914_262.csv,750,262,6,436.4050265256514
plane_0.20937577182509648_-0.27886686850842585_-0.9372273234498392_41.csv,118,41,6,84.88851037886725
plane_0.24015035619821318_-0.4581102277374539_-0.8558404206744442_226.csv,645,226,6,382.63061209828305
plane_0.2503994616748308_0.7913807310702844_0.5576886659092304_116.csv,331,116,7,241.7806471204214
plane_0.25761225723141457_-0.9642967455872211_0.06138168598230001_110.csv,314,110,6,205.38848931972532
plane_0.3102029517546206_0.8994339738998176_0.30788415892588994_156.csv,446,156,7,278.0453583687737
plane_0.332624143613389_0.3990224992776587_0.8544836008699467_232.csv,664,232,6,401.11799333770557
plane_0.35267879607059527_0.37056220664864636_0.8592446204695617_67.csv,191,67,5,146.9133438213121
plane_0.35366772478701564_-0.6519632300366701_0.6707183366541635_313.csv,893,313,6,573.1839194082007
plane_0.35570010581322203_0.7605496564467897_-0.5431773695609318_289.csv,826,289,5,576.3587841187044
plane_0.37096513035922907_0.7009100780345051_-0.609187930418212_214.csv,610,214,8,365.0997290337521
plane_0.38133309782354285_0.09223328854920906_0.9198250317248922_58.csv,167,58,5,97.36367465283722
plane_0.3881900042818578_-0.7250328192287337_0.5688900874658349_291.csv,831,291,7,511.4597955488626
plane_0.41568801383308_0.9018109212931168_-0.11807005290067894_36.csv,102,36,7,42.60901490844348
plane_0.43879080800294246_-0.15405821472203624_-0.885284526741987_54.csv,153,54,7,80.37746712976916
plane_0.45246947429435985_-0.05578236094370195_0.8900335404013335_177.csv,505,177,4,334.8664403221534
plane_0.45486189572463975_-0.6022920076554904_-0.6560068546380484_76.csv,217,76,8,137.94136987476753
plane_0.4585544398673288_0.16894110942480534_-0.8724601579581021_273.csv,779,273,5,524.5961443317279
plane_0.46621274075911984_0.25353591744653264_0.8475642860092764_284.csv,811,284,6,469.76314193850635
plane_0.47656137556638434_0.6281505123065045_0.6150741330988905_109.csv,312,109,6,210.59446446438542
plane_0.47732911611387807_0.6501008173228643_-0.5912071060348376_185.csv,529,185,5,358.36172791027934
plane_0.47899985958723396_0.16380369749353077_0.8623963608474111_300.csv,856,300,7,574.1661162398916
plane_0.4925117820846335_-0.6908091767612289_-0.5293532146027754_271.csv,775,271,6,485.8797446607594
plane_0.5102456488125706_0.7166924777679166_-0.4753959088788242_52.csv,150,52,6,95.5405277704217
plane_0.5244449269389053_-0.4300757807935566_0.7348417117875516_344.csv,984,344,5,684.2110160669786
plane_0.5744848559593596_-0.7240131973288838_0.38180104814806415_131.csv,373,131,6,250.95498920642427
plane_0.6173493946211464_-0.5014617552958928_0.6061483588499322_280.csv,801,280,6,465.066096110071
plane_0.6190236857370057_0.7685580137341111_0.1616423707499076_264.csv,754,264,6,462.2688989798754
plane_0.6379415596683754_-0.206226437386663_-0.7419576962136624_170.csv,485,170,6,286.41054816377294
plane_0.6394618284041806_0.6987564503825059_-0.32066804184829933_62.csv,177,62,6,119.57316014641381
plane_0.6635596448173143_-0.7040585902756481_-0.25296264393974627_274.csv,784,274,7,497.2175988664972
plane_0.6655293569896636_-0.5359013112102041_-0.5195002017594494_36.csv,102,36,5,42.27694260337431
plane_0.6683198310614713_0.7407075992848988_-0.06856278707555803_247.csv,705,247,6,379.098569593331
plane_0.6849996162783459_0.21889307290203822_0.6948822550144892_296.csv,847,296,6,495.8186805895143
plane_0.7084799109582831_-0.7056906199702584_-0.007547493261714009_340.csv,972,340,6,613.0463209785814
plane_0.7144222509501649_-0.6930741304336068_0.09617222608944537_141.csv,402,141,7,267.02340185951164
plane_0.7223775983262275_0.2960951966925495_-0.6248985837174156_334.csv,955,334,6,646.519103645553
