1,2,3,4,5,6,7
circle3D_-12.6_23.4_18.7_15.1_50.csv,252,50,[0.013358874267179585 0.06376487190168231; -0.02414223351739275 -0.1381572224536424; -0.05643148197674336 0.98835551447607; -0.9980243808791817 14.445931729326082; -0.0012312805285889198 0.0],5,4.0228134810254503e-26,circle
circle3D_-14.9_-15.7_28.2_22.6_11.csv,54,11,[0.6474388003025854 0.729003800319658; -0.07509529343002862 -0.5607721540920448; -0.21541162236158273 0.3925405078644292; -0.7270069264542586 9.0116085162591; -0.015571082380162806 0.0],4,2.1257533420603758e-26,circle
circle3D_-14.9_-31.9_-26.9_34.1_6.csv,30,6,[0.03630975694571424 -0.18712029714128017; 0.07784347661928025 -0.2993924754260478; 0.06689210389702738 0.9356014857063998; -0.9940530358629807 -12.828967572006155; -0.0024501073828954497 0.0],3,1.436209100360316e-27,circle
circle3D_-15.6_-22.5_4.8_24.9_47.csv,236,47,[-0.01359122817341956 -0.5178918038835926; -0.05037184812731889 -0.2877176688242179; -0.03911727223647521 0.8056094727078104; -0.9978668309391754 18.419685158126434; 0.003095505962078491 0.0],5,1.8299046181040438e-27,circle
circle3D_-16.2_-46.8_-26.2_28.8_45.csv,223,45,[0.015630774447339266 -0.43188945044921656; 0.04128510487105137 -0.43188945044921745; 0.018208843927770526 0.7917973258235638; -0.9988588259274178 6.463945441723315; -0.000838376811232423 0.0],7,2.261129577116079e-26,circle
circle3D_-16.6_33.8_15.0_49.9_25.csv,124,25,[0.028033607035840707 -0.5631113467731973; 0.01442409111837514 -0.14599183064490306; -0.04217907194838903 0.8133830564501734; -0.9986125139864322 16.613870327389957; 0.0001878063869996537 0.0],6,7.73644539583109e-27,circle
circle3D_-18.3_44.0_6.6_45.7_58.csv,289,58,[0.08511768954838643 -0.9954441676503465; -0.1180791180455421 0.027397545898633413; -0.014219797614466925 -0.09132515299544448; -0.9892436596391078 18.819374277771278; -0.002660832042842147 0.0],5,1.2437949862948272e-26,circle
circle3D_-18.5_-22.2_-21.3_7.8_33.csv,165,33,[-0.030020770605340644 0.5128024307957464; -0.035557586911932726 -0.2714836398330418; -0.03468251366829583 0.814450919499129; 0.9983130513446796 -20.807712750759226; 0.001608137365234267 0.0],5,8.531894305538743e-27,circle
circle3D_-2.0_-10.5_-29.5_57.8_51.csv,254,51,[0.019544536970843292 -0.22654876446304506; 0.035276556670316046 -0.46294747520709223; -0.10087573201013594 0.8569453264471699; 0.9940810499084816 -19.965841111590954; 0.000726999553982127 0.0],6,2.649368396066973e-26,circle
circle3D_-2.5_26.6_-28.9_4.0_38.csv,191,38,[0.0032232600605534584 0.2090995497467042; -0.03494018280198231 -0.6636637883264792; 0.03796249789560822 0.7182114969560651; -0.9986620501505964 -38.93251790588138; -0.001323843978628531 0.0],7,8.004505045138729e-26,circle
circle3D_-2.7_4.0_42.8_56.7_52.csv,258,52,[0.01370489132826674 0.6246950475544246; -0.012929547071266938 -0.6246950475544242; 0.01404030233392782 -0.46852128566581813; -0.9997237203154515 -24.238167845111658; 0.0005964186592306036 0.0],5,1.8419033157319718e-26,circle
circle3D_-21.1_10.9_-22.5_22.0_35.csv,177,35,[0.068318714557662 -0.39036002917941326; -0.03794135967763882 -0.7807200583588264; 0.07528971042356382 0.48795003647426666; -0.9940893605518771 -11.252127841096591; -0.003287736135460689 0.0],5,2.257191435565796e-27,circle
circle3D_-22.4_-32.0_-28.8_52.8_43.csv,214,43,[0.16222226984934546 -0.12206219904456558; -0.7139564704571327 0.6704611786194176; 0.6811388209882913 0.731835109521719; -0.41307157740173395 -40.52920451963075; 0.0 0.0],100,88458.04072465523,line
circle3D_-25.0_23.9_-21.3_34.6_9.csv,43,9,[0.27578538345762477 -0.5285251583181328; 0.48887994856232075 -0.8131156281817411; 0.11717445647984785 -0.24393468845452235; 0.8192727824173486 -1.0245256915089591; 0.001035810610777952 0.0],5,1.1085771716159651e-26,circle
circle3D_-25.1_-2.3_-12.9_53.4_26.csv,132,26,[0.0913654763746299 0.910455341534624; -0.012661318477666259 -0.35017513135947065; 0.013581281167760084 -0.22011008256880993; 0.995642532864947 -19.20760620525464; -0.0018805034856080318 0.0],8,1.000837691215213e-26,circle
circle3D_-26.8_-10.8_0.5_42.2_10.csv,51,10,[0.030202557302473315 0.5661385170722979; -0.0811982229767779 -0.7925939239012171; -0.0203117275761814 -0.22645540682891874; -0.9960328504862147 -6.725725582818901; 0.0008053527059874844 0.0],4,2.415025342664716e-27,circle
circle3D_-27.1_10.8_41.8_12.9_22.csv,110,22,[0.008089431883587904 0.6396021490668288; -0.008692627811961345 -0.42640143271122366; -0.0014144048592752785 -0.6396021490668317; -0.9999283937265803 -48.67372354398584; 0.000454083471041674 0.0],5,5.427814157750734e-26,circle
circle3D_-29.9_-45.3_-18.4_34.4_7.csv,36,7,[0.018758600898850643 -0.2963197383671923; 0.03151141037234418 -0.8583054490635907; 0.013330239169047598 -0.41893480251913456; -0.9992382825574196 55.449597386111776; -0.0005525432629647504 0.0],3,6.090979938486093e-27,circle
circle3D_-3.1_-15.4_13.8_30.1_58.csv,290,58,[-0.03190691854851607 -0.38682688181711256; 0.04377857612308242 0.3113484658527981; 0.06467475050619445 0.8680017835896183; 0.9964344126603399 8.382821573036694; -0.001011303405949772 0.0],6,2.739242456182188e-27,circle
circle3D_-3.1_18.7_44.0_58.6_25.csv,127,25,[0.036493786923398296 0.9741680680729425; -0.4650473303280461 0.21394138253126646; 0.8845333142797658 0.07228872655982325; 30.11054241469568 2.0652004491150846; 0.0 0.0],100,70991.45144359978,line
circle3D_-33.8_-47.5_45.2_44.3_50.csv,249,50,[0.007431660341740904 -0.6396021490668314; 0.006270315791398289 -0.6396021490668318; -0.0030329942564574553 0.4264014327112201; -0.9999481223165446 71.27299947768057; 8.47696752074913e-5 0.0],6,9.18666661394627e-26,circle
circle3D_-36.1_-8.9_42.9_48.7_10.csv,51,10,[-0.04278093155497578 -0.4082482904638632; -0.0010342001850028074 -0.40824829046386313; 0.04059203850920856 0.8164965809277258; -0.9982578089374273 53.39887639267328; 0.0015348063003666533 0.0],4,1.9061837698534224e-27,circle
circle3D_-36.7_45.6_-1.9_5.1_15.csv,76,15,"[-0.07232022547344835, -0.04507039083042143, -0.03540581188618447, 0.9957333206084371, -0.00016605010766886273]",7,6.283133221153509,sphere
circle3D_-37.7_5.9_-44.4_50.2_54.csv,270,54,[0.02760656252729602 0.24898126098117856; 0.04680501458846554 -0.8365770368967603; 0.08258833586291962 -0.4880032715231102; -0.9951004972881332 7.344947198944773; -0.0011555912353871753 0.0],6,3.611045652981175e-27,circle
circle3D_-38.2_-19.9_0.0_25.3_11.csv,54,11,[-0.07499260627131481 -0.1270001270001907; -0.03148348119963286 -0.7620007620011433; -0.006920302985503637 0.6350006350009518; 0.9966609309417439 20.015220015230035; 0.0019993891850370498 0.0],4,3.612040010611462e-27,circle
circle3D_-39.0_13.9_-25.1_34.2_5.csv,26,5,[0.0196588323978314 -0.30672961659966114; -0.05028208798700177 -0.8435064456490692; 0.04164393584528415 0.440923823862013; -0.9976724325866022 -10.829472526071807; -0.0008612783910939986 0.0],5,1.1537283331851736e-27,circle
circle3D_-39.2_-13.2_-26.8_3.1_25.csv,126,25,[-0.05574359565516537 0.7686832916853208; 0.22573547395931576 -0.6390258689914435; 0.11256680068288034 -0.02778373343433919; 0.9660484006901675 -20.952639507337217; -0.003917939227033616 0.0],4,1.5293808086005326e-24,circle
