1,2,3,4,5,6
circle3D_-1.0_-37.7_-24.7_41.2_44.csv,220,44,"[0.05905120842384379, -0.03928477981583272, -0.15669488445462637, 0.9850944185467555, 0.0023152952914080953]",-0.48859590930615593,circle
circle3D_-10.5_39.8_41.6_37.8_18.csv,89,18,"[-0.011090415911698756, 0.012501213294460056, -0.00859013381644497, 0.9998234037382676, -0.00030541662121962753]",0.4995054450737222,circle
circle3D_-10.8_42.4_30.5_23.5_32.csv,161,32,"[0.009972002088743912, -0.03155778663504484, -0.021652753596643537, -0.9992173929867993, -0.000651990326818706]",0.5870752652946235,circle
circle3D_-11.3_-35.9_11.4_14.8_20.csv,100,20,"[-0.005084114073501292, 0.008048529068716668, 0.0290984994566711, -0.9995304470543236, 0.0012392355190582354]",-0.15819958656654645,circle
circle3D_-12.0_35.0_25.4_23.9_17.csv,86,17,"[-0.006717439529666736, -0.09143098814227837, -0.10778496185814752, 0.9899240286501608, -0.0052981045445258616]",0.576365874785037,circle
circle3D_-12.4_-16.9_-6.1_39.0_44.csv,218,44,"[-0.05140654446075285, 0.02235623954194341, 0.05033218279744379, -0.9971576212178839, 0.0009568500841433481]",0.5035343011301265,circle
circle3D_-12.5_-4.6_-25.5_60.0_30.csv,148,30,"[0.00663115027309218, 0.0038768968032706027, 0.01875433490652089, 0.9997943614525011, -0.0007122129120896113]",0.9502888284429335,circle
circle3D_-13.0_21.7_35.2_59.5_44.csv,220,44,"[-0.0006248240145377444, 0.04174744852493711, 0.017714808117908442, -0.9989705041411244, 0.0009367849175499862]",-0.40072808876872207,circle
circle3D_-15.1_46.7_40.7_41.4_44.csv,221,44,"[0.10774225947687174, 0.45571713058373475, -0.6292268439822617, -0.6203093657026577, -0.0018363139803938937]",-0.10287516271057001,circle
circle3D_-15.7_-41.5_-21.3_44.5_40.csv,201,40,"[0.05483764430370614, 0.06101322400083529, 0.07699644868275023, -0.9936490436234314, -0.0018287320002117826]",0.5326066161859988,circle
circle3D_-16.3_39.2_-4.4_59.5_49.csv,247,49,"[0.026605349783500876, -0.01780283516843371, 0.0035146340461535384, 0.999480976528216, -0.000799580257611719]",0.7089571406889215,circle
circle3D_-16.3_42.5_-13.5_30.0_56.csv,279,56,"[-0.012629686312064072, -0.015778318176226967, 0.010146501365199213, 0.9997437467916828, -0.0010124031618616103]",0.7284407725546318,circle
circle3D_-17.1_-26.0_-48.3_16.6_27.csv,135,27,"[0.13612167350569496, 0.1630634412033753, -0.20481326031305377, -0.9554720848247512, 0.0024140558202032326]",-0.582378855633104,circle
circle3D_-17.5_-38.1_-20.2_13.5_5.csv,23,5,"[0.04838648247002906, 0.04421864054636435, 0.026064822671762366, 0.9975029583990928, -0.0034544386746173214]",0.0,sphere
circle3D_-17.7_-21.5_49.6_30.3_43.csv,215,43,"[-0.792227848723703, -0.5933014927495956, -0.14271781391162974, 19.987648977008533, 0.0]",0.0,plane
circle3D_-17.9_-34.7_14.7_27.8_30.csv,150,30,"[0.03777494561502963, -0.00974642567075178, -0.057520145845032386, 0.9975803135407885, -0.001735375537103289]",0.08273571916231376,circle
circle3D_-18.6_-27.1_11.1_58.7_51.csv,256,51,"[-0.03125376744093649, -0.00045788151651558566, 0.026233121193006057, -0.9991667326238663, 0.0008100219039656914]",-0.5048477911632536,circle
circle3D_-18.9_18.2_41.2_26.4_22.csv,109,22,"[0.014482002022641325, 0.01659498736827204, 0.003064472546391817, -0.9997524304548356, 0.0007515446256556133]",-0.7129949054972159,circle
circle3D_-19.3_26.5_-6.9_23.1_59.csv,293,59,"[-0.0005145346850425278, 0.01864938088579105, 0.008775848123705191, -0.9997859235701887, 0.00173993311628979]",0.6955748456630587,circle
circle3D_-2.4_-9.6_14.6_53.0_15.csv,74,15,"[-0.0029168183991089077, -0.007126613614146416, 0.010465305806586219, -0.9999152762542108, 0.0007881856767043058]",0.6923578575894853,circle
circle3D_-2.5_5.8_-14.7_23.9_24.csv,122,24,"[-0.03988688577588109, 0.012876872180106651, 0.023862735763808107, 0.9988322206209269, -0.002826198381876402]",0.8020004874756157,circle
circle3D_-20.3_31.9_48.2_28.9_55.csv,277,55,"[0.17450735184419844, -0.0955035058657457, 0.2948949892096564, 0.9345880657248279, 0.0028908931903372046]",0.6915658938429626,circle
circle3D_-21.3_-5.0_35.1_54.9_57.csv,283,57,"[0.05367672650455859, 0.03451040312768383, -0.01235351199001575, 0.9978846991207723, -0.0011658086798424952]",-0.5775166644437199,circle
circle3D_-23.1_26.4_-46.2_46.7_55.csv,275,55,"[0.018620820132641738, -0.01366412106252893, -0.008225124617350366, 0.999699276960471, -0.0005097282775971477]",-0.2127764802108679,circle
circle3D_-24.1_-5.0_43.2_33.5_10.csv,48,10,"[0.03308198320682313, 0.0017402877756725066, -0.056546264633507884, -0.9978494422183328, -0.0012507622158583196]",0.5107826715862616,circle
circle3D_-24.3_-23.7_41.6_34.8_21.csv,103,21,"[0.008527531482418783, 0.003707443629586267, 0.02235803047844781, -0.999706467152419, 0.0007962884553312174]",-0.7429710452033643,circle
circle3D_-25.0_-7.4_-6.5_34.8_44.csv,222,44,"[-0.01975935303137061, -0.006255951033704053, 0.019371161315072803, -0.9995964552922548, 0.0014545517900281639]",0.4923794111149583,circle
circle3D_-26.6_23.4_-15.1_23.5_20.csv,98,20,"[-0.01158333850749202, 0.014161148379894819, 0.025570040759593977, 0.9995053396543885, -0.0007329143889682488]",0.6644704973018005,circle
circle3D_-27.2_-1.4_23.6_17.3_5.csv,24,5,"[0.016594935460636572, 0.017349852563224966, -0.04714444500637824, -0.9985992381082553, -0.0007441019717906244]",0.10373886759345868,circle
circle3D_-27.3_14.1_35.3_58.6_12.csv,61,12,"[0.011695996383527116, 0.0002094396776345738, -0.006956518029344628, -0.9999073669380089, 0.000155575137478589]",0.785061014672917,circle
