1,2,3,4,5,6,7
plane_-0.020757457336637287_-0.9107995940146605_0.4123266029589257_45.csv,224,45,"[-0.020757457336637447, -0.9107995940146608, 0.41232660295892487, 6.4127194890278485, 0.0]",5,1.6809890671896096e-23,plane
plane_-0.02131555445191879_-0.3973778446347871_0.9174074861978282_25.csv,126,25,"[-0.02131555445191893, -0.39737784463478715, 0.9174074861978282, -3.2956013681643483, 0.0]",4,1.797888944784682e-25,plane
plane_-0.024074065800771226_-0.5999146512192154_0.7997017260256147_36.csv,182,36,"[-0.024074065800770705, -0.5999146512192157, 0.7997017260256146, -1.9405080602421605, 0.0]",5,2.8421675297209924e-24,plane
plane_-0.04169337447658147_0.9214497981805488_-0.38625371449059426_31.csv,153,31,"[0.04169337447658167, -0.9214497981805492, 0.3862537144905933, -2.45364197682277, 0.0]",5,7.41920565359786e-24,plane
plane_-0.049957408489317144_0.7459597718681437_0.6641146558324539_48.csv,238,48,"[0.04995740848931657, -0.7459597718681439, -0.6641146558324535, 3.539748122364351, 0.0]",5,7.813645769754455e-24,plane
plane_-0.13364981203625553_0.5255090954881443_0.8402249212573417_22.csv,109,22,"[-0.133649812036255, 0.5255090954881442, 0.8402249212573417, -1.3767896078146578, 0.0]",7,1.7113331541115694e-25,plane
plane_-0.16799892149186713_0.8244391517656441_0.5404409749579641_46.csv,228,46,"[-0.1679989214918669, 0.824439151765644, 0.5404409749579644, -2.070431152830328, 0.0]",5,1.0796928189467842e-24,plane
plane_-0.18869782586031855_0.6187639872264326_-0.7625773787801707_56.csv,279,56,"[0.18869782586031814, -0.6187639872264333, 0.7625773787801704, -0.7775999241399343, 0.0]",9,1.6535144938578654e-24,plane
plane_-0.22281218683199375_-0.36732594792259277_-0.9030096219763738_47.csv,236,47,"[0.22281218683199394, 0.3673259479225932, 0.9030096219763736, -3.3960894964162627, 0.0]",5,9.513763096730818e-25,plane
plane_-0.274062375070298_-0.7402371012928148_-0.6139534578780695_21.csv,107,21,"[-0.2740623750702971, -0.7402371012928158, -0.6139534578780685, -2.3785658581469242, 0.0]",4,1.2364240980265474e-23,plane
plane_-0.3148218439026887_-0.365442381142416_0.8759789225013763_8.csv,39,8,"[-0.0007417896836819513, -0.0008976914565231336, 0.001534241393131264, -0.999998144876794, 1.563433424713305e-5]",3,4.644740448233796,sphere
plane_-0.33578171299639353_-0.46402947920197746_0.8197117076440651_46.csv,230,46,"[-0.3357817129963937, -0.4640294792019775, 0.819711707644065, -3.7555747339197763, 0.0]",5,1.179700068560499e-25,plane
plane_-0.3363758992196749_-0.4036510790636099_0.850833156849766_9.csv,43,9,"[-0.33637589921967487, -0.40365107906360986, 0.8508331568497661, 0.6909556706324231, 0.0]",6,2.666591448299244e-26,plane
plane_-0.34054493406862674_-0.8023655640453664_0.49014145867734493_45.csv,224,45,"[-0.34054493406862757, -0.8023655640453666, 0.49014145867734454, -8.577301779438194, 0.0]",5,9.347907063560363e-24,plane
plane_-0.3627131642756979_-0.884605372058306_-0.29310833523920216_38.csv,189,38,"[0.3627131642756984, 0.8846053720583062, 0.2931083352392014, -4.7511200227043915, 0.0]",6,6.147839947850679e-24,plane
