1,2,3,4,5,6
sphere3D_-11.2_9.3_-23.5_61.5_36.csv,182,36,"[-0.007480287911017007, 0.005944819368730345, -0.015414652951786179, -0.9998353148330232, 0.0006603806226926043]",0.0,sphere
sphere3D_-11.5_-18.3_-16.7_13.4_38.csv,189,38,"[0.11636331286301611, -0.24444826734401465, 0.7576511260439766, 0.5935329504939436, -0.01969852518086568]",-0.2144101750721583,circle
sphere3D_-11.7_-17.4_-11.1_30.7_35.csv,173,35,"[-0.06132086820354851, -0.09420102664699509, -0.05710514227113699, -0.9920066589118156, 0.005263943600076965]",-0.28748206480178373,circle
sphere3D_-11.9_-28.8_41.6_10.0_15.csv,77,15,"[-0.5743741994845246, -0.15823615185381704, 0.7376827679944559, -0.31611447872734005, 0.030844275903103145]",0.9029645705808811,circle
sphere3D_-12.7_40.9_-1.8_48.2_18.csv,89,18,"[-0.0485638383498355, 0.1575070028258972, -0.007128567895059941, -0.9862896771874038, 0.00386702196350475]",0.0,sphere
sphere3D_-15.3_36.1_4.5_58.1_28.csv,142,28,"[0.015916450862544212, -0.03879070936048831, -0.004835443801545965, 0.9991083054694525, -0.0010769793181152714]",0.0,sphere
sphere3D_-15.5_7.1_-8.5_56.2_6.csv,32,6,"[-0.010802987848165508, 0.004702540913469704, -0.005880557108245581, -0.9999130450276559, 0.000709220788749333]",-0.15094619921306626,circle
sphere3D_-15.6_-35.3_26.7_34.9_17.csv,85,17,"[0.03126053974077894, 0.07262021543446118, -0.054585142944848196, -0.995371971991191, -0.002045118438032716]",0.3898273121918284,circle
sphere3D_-17.8_-35.5_-33.0_52.0_29.csv,144,29,"[0.3112637576573846, 0.6253102374100347, 0.5704382456295402, 0.431736842176525, -0.017478191832841904]",0.0,sphere
sphere3D_-17.9_37.9_35.1_27.7_49.csv,246,49,"[0.016197040244905727, -0.03396705243948319, -0.031829658256838735, -0.9987842379556819, -0.0009022762430216737]",-0.004120740636858258,circle
sphere3D_-17.9_42.1_48.2_75.8_15.csv,74,15,"[0.02791588958351826, -0.06601350194865303, -0.0746273412014642, 0.9946312228035733, -0.001552816378371076]",0.0,sphere
sphere3D_-19.5_-43.7_4.7_41.7_56.csv,279,56,"[-0.06558922308783606, -0.1470227868763603, 0.016109732482204202, 0.9868189709843611, 0.0033390086194975375]",0.28125340041250024,circle
sphere3D_-19.6_-15.0_-28.2_74.2_49.csv,245,49,"[-0.009644516498125262, -0.0074249481614638594, -0.013727425937305483, -0.9998315713497118, 0.000490056954729778]",0.0,sphere
sphere3D_-20.1_-13.9_18.8_19.3_54.csv,270,54,"[0.0721597115691091, 0.048584453866978114, -0.06631784407656216, -0.9939927691489636, -0.00358403478253426]",-0.02200566926853007,circle
sphere3D_-21.1_6.7_22.7_33.0_49.csv,246,49,"[-0.40847811695907976, 0.12792281313371967, 0.4375404759312114, -0.790548439755114, 0.019310053551539672]",-0.20508679972790753,circle
sphere3D_-21.5_-22.3_13.9_27.9_52.csv,258,52,"[-0.1113213709021706, -0.11483179396808027, 0.0716959893920455, 0.984507235441185, 0.005138087541560405]",-0.19797260400692943,circle
sphere3D_-24.5_8.3_-9.3_79.4_10.csv,52,10,"[0.008550276339348493, -0.003338052157437202, 0.0036099704192273053, 0.9999512940291894, -0.0003575824898533696]",0.0,sphere
sphere3D_-24.8_25.9_44.6_35.0_23.csv,116,23,"[-0.024269545582270097, 0.025492146160300762, 0.0436282771535659, 0.9984271396579475, 0.000979728754718818]",-0.3117287646891079,circle
sphere3D_-25.7_-21.8_-37.0_37.9_19.csv,93,19,"[-0.04835042141103369, -0.04142725385579997, -0.07039105125295941, 0.9954835495894708, 0.0019030994701909143]",-0.10221360141121807,circle
sphere3D_-26.1_-45.6_43.5_33.6_43.csv,214,43,"[0.014953082476772185, 0.026074793659493348, -0.02490892532710523, -0.9992375719854707, -0.0005750058153069584]",-0.29694215746799335,circle
sphere3D_-27.6_-0.5_42.8_58.8_26.csv,130,26,"[0.06738686553357855, 0.00125917050846122, -0.10358963861976446, 0.9923309873876562, -0.0024131067229095503]",0.0,sphere
sphere3D_-28.9_-41.7_39.3_16.1_49.csv,243,49,"[0.1332032342650753, 0.11835014803273596, -0.1374904095852606, -0.9743264497560791, -0.005873450412233788]",0.9508455295140442,circle
sphere3D_-29.3_-26.6_-24.0_70.7_39.csv,194,39,"[0.0208296067643785, 0.018650752529830554, 0.017140744951983887, 0.9994618401108929, -0.0007084749475484965]",0.0,sphere
sphere3D_-30.6_-17.7_-6.3_53.4_24.csv,122,24,"[-0.039522845123324754, -0.02211718480638526, -0.008299288254486711, -0.9989385594260384, 0.0012849731118135489]",-0.07097051636733681,circle
sphere3D_-32.0_40.7_0.5_16.2_22.csv,109,22,"[-0.06108010644831831, 0.051175509585182515, 0.023913141569893003, 0.9965311612988051, 0.0020233723513073698]",-0.439205591309497,circle
sphere3D_-32.3_-5.4_-47.4_10.1_42.csv,208,42,"[-0.010884979252198545, -0.011193440744959756, 0.12699502881439842, -0.9917769982339483, -0.0026215532528460995]",0.22969189920243938,circle
sphere3D_-32.4_26.3_-2.5_72.9_21.csv,105,21,"[0.017452823863872657, -0.014111507785786914, 0.0012105904152063438, 0.9997472168528659, -0.0005487740730505736]",0.0,sphere
sphere3D_-32.8_-15.0_37.1_5.1_9.csv,46,9,"[0.01642113982642849, -0.034020345307491234, -0.010644229004390045, 0.99922901576313, -0.0010181934535605755]",0.10909560668759376,circle
sphere3D_-33.6_-40.3_-31.8_54.5_16.csv,80,16,"[0.0818507630816964, 0.09863018275970685, 0.07647541803124991, -0.9887963295729525, -0.0024225382831584694]",0.0,sphere
sphere3D_-34.2_-9.7_23.6_46.7_18.csv,89,18,"[-0.18322344187983916, -0.053927302780005085, 0.12599197721752198, -0.9734569062902566, 0.005356270456289059]",-0.04623892894772526,circle
sphere3D_-34.2_4.9_-43.0_39.5_31.csv,157,31,"[-0.045412398969738456, 0.0065902396932531, -0.056903067356477655, 0.9973237116147803, 0.0013183083635746194]",-0.04852612299354336,circle
sphere3D_-36.7_8.1_-24.7_60.9_48.csv,238,48,"[-0.04290311176032531, 0.008850856599459335, -0.028653654476649457, -0.9986283516519509, 0.0011699148588989086]",0.0,sphere
sphere3D_-37.9_-8.9_-2.2_17.3_25.csv,124,25,"[0.061144106220650314, 0.013266493058086547, 0.004625207255485376, -0.9980287887668544, -0.0015945804548475018]",-0.0006339257612788252,circle
sphere3D_-4.4_33.0_-39.2_72.3_25.csv,126,25,"[0.0033853525387788517, -0.025640013410076358, 0.03059328962988586, 0.9991969666603681, -0.000775594520440298]",0.0,sphere
sphere3D_-4.8_-5.7_13.9_29.0_24.csv,122,24,"[-0.015309602584566987, -0.018184290599308175, 0.046401345762107506, -0.998634467378552, 0.003326156809851265]",-0.29237563431826,circle
sphere3D_-41.2_35.2_1.7_54.1_13.csv,65,13,"[-0.6915985226454209, 0.5763523729841239, 0.038536331565369356, -0.4332892084691885, 0.016877162198325284]",0.0,sphere
sphere3D_-41.3_-15.9_25.2_57.7_25.csv,126,25,"[-0.09990815263787944, -0.03730153166604837, 0.06020145194045615, -0.9924700571459595, 0.002434671396657679]",0.0,sphere
sphere3D_-41.7_-9.7_46.7_60.4_14.csv,71,14,"[-0.21385718925657696, -0.047322642708160424, 0.2357820087644932, 0.9467875943827813, 0.005075978352879528]",0.0,sphere
sphere3D_-43.7_-23.2_29.1_30.4_27.csv,136,27,"[-0.0364612822009252, -0.019546008906560643, 0.024697022366536172, 0.9988382689570259, 0.0008354575082818734]",0.039905176735601275,circle
sphere3D_-43.7_3.6_39.9_44.1_46.csv,228,46,"[-0.05564010842323604, 0.0048548722756215305, 0.05069123980326444, 0.9971506356615373, 0.0012714388848336208]",-0.23704176225028314,circle
sphere3D_-44.0_-0.2_45.3_55.4_59.csv,295,59,"[-0.09488515646021632, -3.336032520168295e-5, 0.09783265749933602, 0.990666906025232, 0.0021583335286149818]",0.0,sphere
sphere3D_-48.7_-46.1_3.7_17.8_27.csv,136,27,"[-0.14338779341341804, -0.06491397136787702, -0.08705716582340303, -0.9836819847511692, 0.004113365541532969]",0.0,sphere
sphere3D_-49.2_-38.5_6.8_51.1_44.csv,220,44,"[-0.07564756624596308, -0.05907805544968247, 0.01028725337183168, 0.9953286005408675, 0.0015422220232675212]",0.282443042638265,circle
sphere3D_-5.2_47.1_11.3_25.5_7.csv,33,7,"[-0.15686853629739067, -0.5109894101233018, -0.4681105996602096, -0.7034962388965554, -0.015735101077333523]",-0.47727003123873524,circle
sphere3D_-5.4_9.7_43.5_76.9_44.csv,220,44,"[-0.002781896538466114, 0.005136692242140913, 0.021774864836455767, -0.9997457052179362, 0.0005055730456937007]",0.0,sphere
sphere3D_-6.4_17.0_-31.7_73.4_52.csv,259,52,"[0.0031812076717957554, -0.008441005341740263, 0.01563697974154038, 0.9998369220442764, -0.0004934857240926068]",0.0,sphere
sphere3D_-6.9_-27.7_-30.8_77.2_55.csv,277,55,"[0.0031662900054903755, 0.013086708749361357, 0.014692058122025021, 0.9998012953155319, -0.0004753685247129336]",0.0,sphere
sphere3D_0.2_28.2_26.9_15.4_9.csv,47,9,"[-0.0504221460339225, -0.11923281350534476, 0.0919075901205855, -0.9873165826828222, 0.0003221966384613956]",-0.341913858674902,circle
sphere3D_1.3_-26.8_-6.6_43.8_10.csv,49,10,"[-0.002432316126656516, 0.04537186443112805, 0.011267932119349526, 0.9989022022484748, -0.0017034685804061815]",-0.13674936960067519,circle
sphere3D_13.6_-24.9_5.2_47.2_11.csv,54,11,"[0.019011096765013582, -0.0351050141575468, 0.007128279005060126, -0.9991763752455746, 0.0014053363763302813]",0.0,sphere
sphere3D_14.3_8.7_23.9_30.2_18.csv,92,18,"[0.31428051939276813, 0.20663918705563425, 0.5267148788172619, -0.7619739770316011, 0.022250758691804207]",-0.2743830091920927,circle
sphere3D_15.6_37.7_-33.7_61.6_42.csv,212,42,"[-0.030638094387692764, -0.07639986166432623, 0.06867798361688146, 0.9942351775966214, -0.0020284244370442797]",0.0,sphere
sphere3D_15.9_-27.0_-40.5_18.9_33.csv,163,33,"[0.02185986308985532, 0.07085307603330973, -0.09854030985544722, 0.9923663979383384, 0.0008529822922383661]",-0.1371811800955083,circle
sphere3D_15.9_0.3_28.2_10.6_29.csv,145,29,"[0.022787051270437852, -0.031088256774301624, 0.018124273775629775, 0.9990923977542552, -0.0004025355795962146]",0.4160193868355135,circle
sphere3D_16.1_21.3_-45.3_71.3_55.csv,273,55,"[-0.014076967548219932, -0.018285428381123417, 0.039378850381131446, 0.9989574767663102, -0.0008647825811334088]",0.0,sphere
sphere3D_18.1_-14.5_-48.7_71.4_29.csv,143,29,"[-0.01659012933558112, 0.013264501496983121, 0.04505271274554041, 0.9987583427479065, -0.0009200404275738538]",0.0,sphere
sphere3D_18.1_-39.7_-21.1_75.5_36.csv,179,36,"[0.010676633185672392, -0.023389791888629517, -0.012578630619005868, -0.9995900928852549, 0.0005927871654066424]",0.0,sphere
sphere3D_18.4_-48.6_49.3_51.4_51.csv,253,51,"[0.014930091456347534, -0.0390545925033955, 0.03967374088947028, 0.9983372064237207, 0.0008048151435794613]",0.034634228007469195,circle
sphere3D_18.9_47.3_-14.9_18.5_19.csv,95,19,"[-0.015574145502293728, -0.03848860345916325, 0.011987811822952645, -0.9990654112072646, -0.0008184696656209136]",-0.1376644810710567,circle
sphere3D_2.0_-24.0_-48.0_65.3_10.csv,49,10,"[-0.003152702141900528, 0.03441592236382213, 0.0688123993375393, 0.9970297999202471, -0.0014270688333813267]",0.0,sphere
sphere3D_2.6_7.7_44.3_17.1_12.csv,58,12,"[-0.011673082767225703, 0.052280387500943916, 0.06648883621949217, 0.9963462776162881, 0.001957028309687607]",0.034658573149008,circle
sphere3D_20.8_-24.3_-41.9_35.1_42.csv,209,42,"[-0.027130375963559123, 0.03151367330976427, 0.05392694038896622, -0.997677825120106, -0.0012936222406039809]",-0.07944045276205397,circle
sphere3D_22.4_6.8_-47.2_46.2_32.csv,158,32,"[0.07232611278529105, 0.02123982615845685, -0.15217848160352496, 0.9854689522365209, 0.0032337453249837284]",0.19605783934484244,circle
sphere3D_22.5_-32.3_-10.8_56.3_47.csv,233,47,"[0.029154993353612005, -0.0415622627419644, -0.01431007920374987, -0.998607078473162, 0.0012996671872580387]",0.0,sphere
sphere3D_24.1_-6.2_-35.2_67.3_24.csv,119,24,"[-0.01775397642516673, 0.004745540777274676, 0.026049619328181544, 0.9994914418914632, -0.0007423492483663975]",0.0,sphere
sphere3D_25.0_-45.9_-35.2_56.9_9.csv,44,9,"[-0.06733199327090703, 0.12283571560033607, 0.09435256803790519, -0.9856308605154961, -0.002681298054109975]",0.0,sphere
sphere3D_25.7_47.9_40.5_35.7_5.csv,27,5,"[0.015574736579650058, 0.029281373556909303, 0.02413609478807806, 0.9991582019128414, 0.00060433581192909]",-0.008799092110027038,circle
sphere3D_27.6_-2.6_-27.4_45.0_15.csv,74,15,"[0.11492932075712449, -0.009726941187083872, -0.11446101196178218, -0.9867007058692723, 0.0041269387218003245]",-0.24903667160911003,circle
