1,2,3,4,5,6
sphere2D_-0.5_-58.5_62.0_36.csv,364,36,0.0039881,0.0043033,0.0117317
sphere2D_-14.0_49.4_192.0_228.csv,2288,228,0.0386982,0.0390554,0.0515515
sphere2D_-15.0_49.9_53.0_212.csv,2126,212,0.0335942,0.0343191,0.051797
sphere2D_-16.9_34.2_37.0_449.csv,4496,449,0.1317639,0.1437234,0.1601924
sphere2D_-18.3_34.9_183.0_260.csv,2605,260,0.0480592,0.05596005,0.0748735
sphere2D_-18.9_-50.6_104.0_339.csv,3392,339,0.0829065,0.09284815,0.1115698
sphere2D_-19.2_-41.0_97.0_122.csv,1221,122,0.0157737,0.0195853,0.0344204
sphere2D_-19.4_-46.5_167.0_486.csv,4868,486,0.1140217,0.1227567,0.1416297
sphere2D_-2.1_31.8_53.0_143.csv,1432,143,0.020004,0.0231996,0.0382117
sphere2D_-2.2_-21.5_80.0_447.csv,4470,447,0.0988721,0.10866885,0.1280763
sphere2D_-21.7_-14.2_162.0_249.csv,2499,249,0.0418068,0.0502434,0.0695906
sphere2D_-24.2_28.0_98.0_365.csv,3655,365,0.0786446,0.0897817,0.1101013
sphere2D_-24.3_-0.8_39.0_317.csv,3172,317,0.060041,0.0699965,0.0874117
sphere2D_-28.1_-38.4_131.0_311.csv,3117,311,0.0562753,0.0640791,0.0867071
sphere2D_-28.5_-5.2_55.0_510.csv,5103,510,0.1326867,0.14629095,0.1689031
sphere2D_-3.3_-41.6_129.0_560.csv,5608,560,0.1405749,0.15128175,0.1721021
sphere2D_-30.3_20.3_141.0_544.csv,5442,544,0.1546698,0.1652907,0.1855506
sphere2D_-31.8_53.1_59.0_103.csv,1037,103,0.0131151,0.0169356,0.0351379
sphere2D_-33.2_10.9_12.0_158.csv,1585,158,0.015715,0.0186965,0.0365947
sphere2D_-34.2_56.3_87.0_54.csv,548,54,0.0062048,0.00676075,0.0307517
sphere2D_-34.9_-1.4_12.0_167.csv,1675,167,0.017174,0.0211066,0.0468096
sphere2D_-35.4_-49.4_155.0_403.csv,4036,403,0.0867401,0.10319545,0.1305374
sphere2D_-37.3_58.2_128.0_5.csv,52,5,0.000683,0.0009427,0.0267051
sphere2D_-4.5_-28.1_109.0_362.csv,3629,362,0.0719807,0.0866758,0.1141827
sphere2D_-40.0_33.4_115.0_103.csv,1035,103,0.0132429,0.017245,0.0447089
sphere2D_-40.5_-9.0_88.0_19.csv,191,19,0.001663,0.001794,0.0216073
sphere2D_-41.0_-2.2_173.0_166.csv,1666,166,0.0242851,0.0302361,0.0483597
sphere2D_-43.6_29.1_120.0_529.csv,5299,529,0.1405224,0.1522478,0.1751555
sphere2D_-44.4_55.6_102.0_583.csv,5837,583,0.1617177,0.1736906,0.1994586
sphere2D_-44.7_-31.1_190.0_46.csv,465,46,0.0038766,0.00423555,0.018362
sphere2D_-45.2_-44.1_140.0_8.csv,89,8,0.0009276,0.0013169,0.022229
sphere2D_-48.2_45.2_199.0_236.csv,2363,236,0.0402796,0.0493355,0.0813761
sphere2D_-48.2_7.8_132.0_292.csv,2928,292,0.0542012,0.0646429,0.0882523
sphere2D_-49.2_25.8_59.0_556.csv,5567,556,0.1506646,0.16719305,0.1854164
sphere2D_-49.6_-27.2_82.0_581.csv,5819,581,0.2080564,0.2194368,0.2332363
sphere2D_-5.8_-55.8_117.0_18.csv,185,18,0.0021625,0.0023065,0.0177607
sphere2D_-51.1_24.1_21.0_320.csv,3209,320,0.0757333,0.0898222,0.112354
sphere2D_-52.0_17.9_156.0_161.csv,1610,161,0.0233729,0.0291263,0.0497885
sphere2D_-55.7_23.3_112.0_54.csv,545,54,0.0061252,0.00658385,0.0197132
sphere2D_-56.7_-23.8_130.0_135.csv,1358,135,0.0181985,0.0232024,0.0432037
sphere2D_-57.3_-2.1_115.0_45.csv,454,45,0.0050662,0.0054572,0.0179681
sphere2D_-58.3_-43.0_96.0_533.csv,5339,533,0.1429551,0.1558506,0.1761419
sphere2D_-6.0_21.3_194.0_133.csv,1333,133,0.0185875,0.0234488,0.0455353
sphere2D_-6.0_34.7_130.0_260.csv,2603,260,0.0469191,0.05642765,0.0904035
sphere2D_-6.2_-56.0_150.0_253.csv,2532,253,0.0429149,0.0520932,0.078307
sphere2D_-8.7_-28.2_134.0_448.csv,4488,448,0.0993361,0.1118732,0.1324249
sphere2D_0.2_31.8_195.0_181.csv,1816,181,0.0215963,0.0264421,0.098474
sphere2D_0.5_-20.6_190.0_530.csv,5306,530,0.1345224,0.1535601,0.1732607
sphere2D_10.1_2.8_121.0_408.csv,4088,408,0.0933145,0.1103595,0.152598
sphere2D_13.1_-58.6_155.0_139.csv,1399,139,0.0188276,0.0238082,0.0629403
sphere2D_13.6_54.4_50.0_592.csv,5923,592,0.178291,0.1964187,0.2523206
sphere2D_14.2_-17.3_157.0_594.csv,5949,594,0.1720913,0.1992831,0.2850114
sphere2D_14.9_-7.8_50.0_175.csv,1751,175,0.0260502,0.03214855,0.0667567
sphere2D_15.2_-27.3_160.0_144.csv,1446,144,0.0198794,0.0251614,0.0570592
sphere2D_15.6_-19.9_156.0_161.csv,1617,161,0.0228598,0.0286734,0.0503189
sphere2D_16.5_-3.5_109.0_16.csv,166,16,0.0014885,0.0018352,0.0250081
sphere2D_2.3_-58.5_93.0_259.csv,2593,259,0.0557994,0.067335,0.1099504
sphere2D_20.1_-56.3_70.0_75.csv,752,75,0.0088183,0.0116235,0.0334621
sphere2D_20.9_36.6_5.0_413.csv,4133,413,0.0998331,0.1109637,0.1491006
sphere2D_21.2_-12.1_185.0_179.csv,1791,179,0.0264988,0.0327545,0.056304
sphere2D_21.8_-8.2_41.0_332.csv,3322,332,0.0657985,0.0779315,0.1096757
sphere2D_22.3_25.1_139.0_257.csv,2572,257,0.0466365,0.0557776,0.107721
sphere2D_22.3_43.2_141.0_103.csv,1031,103,0.0133562,0.0172894,0.0503861
sphere2D_22.4_-49.8_65.0_253.csv,2531,253,0.0428947,0.0519837,0.1059563
sphere2D_24.4_22.3_58.0_236.csv,2367,236,0.0407744,0.04940995,0.0952597
sphere2D_24.9_54.7_81.0_145.csv,1450,145,0.0207329,0.0258782,0.0714028
sphere2D_25.9_-23.6_25.0_575.csv,5757,575,0.1572075,0.17858245,0.2231219
sphere2D_31.0_-24.2_23.0_119.csv,1192,119,0.0155356,0.0201156,0.0477501
sphere2D_33.1_51.2_176.0_67.csv,675,67,0.0078255,0.00847195,0.0347062
sphere2D_34.9_2.4_145.0_433.csv,4332,433,0.1028506,0.11934855,0.1608465
sphere2D_35.1_9.6_26.0_533.csv,5332,533,0.1441879,0.16682955,0.1928403
sphere2D_36.1_-49.2_35.0_186.csv,1867,186,0.028146,0.0345683,0.060725
sphere2D_36.9_42.7_146.0_494.csv,4944,494,0.1348114,0.1572198,0.2069963
sphere2D_37.1_-4.1_48.0_174.csv,1741,174,0.025685,0.0320736,0.065711
sphere2D_39.1_26.4_112.0_264.csv,2645,264,0.0486865,0.0595384,0.1051913
sphere2D_39.4_46.9_15.0_190.csv,1905,190,0.0362817,0.044821,0.070616
sphere2D_40.4_-6.7_192.0_541.csv,5418,541,0.1477116,0.16521,0.1909253
sphere2D_41.3_12.9_113.0_275.csv,2750,275,0.0499681,0.0595816,0.1008997
sphere2D_42.0_34.1_93.0_233.csv,2339,233,0.0388321,0.0474197,0.102861
sphere2D_44.3_-15.5_40.0_529.csv,5294,529,0.1706472,0.1884284,0.217287
sphere2D_44.5_-16.0_39.0_549.csv,5491,549,0.1865148,0.2070293,0.2325583
sphere2D_45.1_48.5_64.0_16.csv,162,16,0.0014333,0.0018012,0.023478
sphere2D_46.0_-38.5_137.0_198.csv,1982,198,0.0300077,0.03700545,0.0664192
sphere2D_47.2_-56.9_71.0_167.csv,1670,167,0.0239252,0.03005615,0.0591145
sphere2D_47.5_47.6_102.0_576.csv,5766,576,0.1678364,0.185068,0.2114736
sphere2D_49.7_-32.6_76.0_274.csv,2748,274,0.0599931,0.07215115,0.1177862
sphere2D_5.0_-8.0_167.0_312.csv,3120,312,0.0559017,0.0668079,0.1010065
sphere2D_5.7_-38.5_95.0_576.csv,5761,576,0.1496694,0.1683839,0.1930504
sphere2D_50.0_21.4_71.0_215.csv,2153,215,0.0348813,0.0422254,0.0691287
sphere2D_51.7_-48.6_25.0_68.csv,683,68,0.0078107,0.0084011,0.0464562
sphere2D_52.0_-40.2_73.0_242.csv,2422,242,0.039395,0.04824785,0.0991349
sphere2D_53.5_-15.9_34.0_169.csv,1699,169,0.024615,0.0309126,0.0604865
sphere2D_54.7_-1.3_56.0_472.csv,4721,472,0.1410366,0.15769815,0.1854811
sphere2D_56.4_-5.0_86.0_234.csv,2347,234,0.0383658,0.0470715,0.1073114
sphere2D_57.6_33.4_142.0_194.csv,1947,194,0.0306577,0.0378814,0.0679881
sphere2D_58.2_49.4_94.0_445.csv,4452,445,0.1092108,0.12318785,0.1756116
sphere2D_58.3_-1.0_106.0_353.csv,3532,353,0.0734707,0.0856561,0.123477
sphere2D_58.4_-59.8_185.0_187.csv,1871,187,0.0285146,0.03511835,0.1027971
sphere2D_6.5_27.0_65.0_443.csv,4436,443,0.113808,0.1284151,0.1747755
sphere2D_7.7_44.7_99.0_262.csv,2620,262,0.0462228,0.0556216,0.129981
