nome,npts,nout,minlm,mincga,medlm,medcga,maxlm,maxcga
sphere2D_-0.5_-58.5_62.0_36.csv,364,36,0.0040433,0.0009593,0.0044062,0.00098985,0.0137166,0.012504
sphere2D_-14.0_49.4_192.0_228.csv,2288,228,0.0393024,0.0334723,0.0465462,0.03373305,0.068128,0.0455262
sphere2D_-15.0_49.9_53.0_212.csv,2126,212,0.0342175,0.0162759,0.03682065,0.0163594,0.0555585,0.025459
sphere2D_-16.9_34.2_37.0_449.csv,4496,449,0.134296,0.0989765,0.1463987,0.09947515,0.165409,0.1098262
sphere2D_-18.3_34.9_183.0_260.csv,2605,260,0.0488735,0.059398,0.0589523,0.0608494,0.0789295,0.0737732
sphere2D_-18.9_-50.6_104.0_339.csv,3392,339,0.084489,0.051514,0.0971974,0.05196945,0.1156924,0.0621925
sphere2D_-19.2_-41.0_97.0_122.csv,1221,122,0.0161161,0.0064166,0.0190943,0.0064925,0.037288,0.0168749
sphere2D_-19.4_-46.5_167.0_486.csv,4868,486,0.1137944,0.1152307,0.12509325,0.1156796,0.1467908,0.1266685
sphere2D_-2.1_31.8_53.0_143.csv,1432,143,0.0201833,0.0081506,0.023052,0.0082287,0.0418014,0.0188947
sphere2D_-2.2_-21.5_80.0_447.csv,4470,447,0.1003399,0.0637212,0.1095423,0.0642124,0.131757,0.0776845
sphere2D_-21.7_-14.2_162.0_249.csv,2499,249,0.0423396,0.0594797,0.04765845,0.0610551,0.0732608,0.0744002
sphere2D_-24.2_28.0_98.0_365.csv,3655,365,0.0800875,0.0483238,0.0924162,0.0486461,0.1119503,0.0596716
sphere2D_-24.3_-0.8_39.0_317.csv,3172,317,0.0611922,0.0350995,0.070753,0.03530375,0.0905098,0.046493
sphere2D_-28.1_-38.4_131.0_311.csv,3117,311,0.0572503,0.0993109,0.0660795,0.1001134,0.0882507,0.1147117
sphere2D_-28.5_-5.2_55.0_510.csv,5103,510,0.1351693,0.0923245,0.1475764,0.09292885,0.1708912,0.1043697
sphere2D_-3.3_-41.6_129.0_560.csv,5608,560,0.1428427,0.1530839,0.1554434,0.1538446,0.1767555,0.1649959
sphere2D_-30.3_20.3_141.0_544.csv,5442,544,0.1572554,0.2056162,0.1688949,0.20667945,0.1916042,0.218019
sphere2D_-31.8_53.1_59.0_103.csv,1037,103,0.0134415,0.0047536,0.01684975,0.004804,0.0376981,0.0157727
sphere2D_-33.2_10.9_12.0_158.csv,1585,158,0.0160153,0.0208785,0.01849795,0.0209949,0.0374695,0.03325
sphere2D_-34.2_56.3_87.0_54.csv,548,54,0.0062247,0.0015695,0.00668365,0.0016124,0.0190026,0.013135
sphere2D_-34.9_-1.4_12.0_167.csv,1675,167,0.0170707,0.0130331,0.0178437,0.0131123,0.0414917,0.0241834
sphere2D_-35.4_-49.4_155.0_403.csv,4036,403,0.0873693,0.1126358,0.0978051,0.11307875,0.122502,0.1242208
sphere2D_-37.3_58.2_128.0_5.csv,52,5,0.0006944,8.83e-5,0.0009354,9.3e-5,0.0220207,0.0117864
sphere2D_-4.5_-28.1_109.0_362.csv,3629,362,0.0728184,0.0539703,0.0833219,0.05432995,0.1121005,0.0652448
sphere2D_-40.0_33.4_115.0_103.csv,1035,103,0.013408,0.0048031,0.0170156,0.0048564,0.0377282,0.0178643
sphere2D_-40.5_-9.0_88.0_19.csv,191,19,0.0016717,0.000374,0.0018131,0.0003856,0.0193157,0.0109898
sphere2D_-41.0_-2.2_173.0_166.csv,1666,166,0.0246436,0.014541,0.0296045,0.0146428,0.0532723,0.0285379
sphere2D_-43.6_29.1_120.0_529.csv,5299,529,0.1422835,0.0964459,0.1557713,0.0970281,0.1874244,0.1080475
