1,2,3,4,5,6
sphere2D_-0.5_-58.5_62.0_36.csv,364,36,"[-0.5, -58.5, 62.0]","[-0.5000000000002645, -58.500000000000036, 62.000000000000036]",4
sphere2D_-14.0_49.4_192.0_228.csv,2288,228,"[-14.0, 49.4, 192.0]","[-14.00000000000006, 49.399999999999935, 192.00000000000006]",5
sphere2D_-15.0_49.9_53.0_212.csv,2126,212,"[-15.0, 49.9, 53.0]","[-15.000000000000005, 49.90000000000007, 52.99999999999993]",5
sphere2D_-16.9_34.2_37.0_449.csv,4496,449,"[-16.9, 34.2, 37.0]","[-16.89999999999998, 34.200000000000024, 36.99999999999998]",6
sphere2D_-18.3_34.9_183.0_260.csv,2605,260,"[-18.3, 34.9, 183.0]","[-18.300000000000026, 34.89999999999999, 183.00000000000006]",5
sphere2D_-18.9_-50.6_104.0_339.csv,3392,339,"[-18.9, -50.6, 104.0]","[-18.900000000000027, -50.600000000000044, 104.0]",5
sphere2D_-19.2_-41.0_97.0_122.csv,1221,122,"[-19.2, -41.0, 97.0]","[-19.200000000000074, -40.99999999999994, 97.00000000000001]",4
sphere2D_-19.4_-46.5_167.0_486.csv,4868,486,"[-19.4, -46.5, 167.0]","[-19.400000000000066, -46.500000000000014, 166.99999999999997]",5
sphere2D_-2.1_31.8_53.0_143.csv,1432,143,"[-2.1, 31.8, 53.0]","[-2.100000000000053, 31.79999999999998, 53.00000000000003]",4
sphere2D_-2.2_-21.5_80.0_447.csv,4470,447,"[-2.2, -21.5, 80.0]","[-2.200000000000036, -21.49999999999993, 80.0]",5
sphere2D_-21.7_-14.2_162.0_249.csv,2499,249,"[-21.7, -14.2, 162.0]","[-21.69999999999994, -14.199999999999948, 162.00000000000006]",5
sphere2D_-24.2_28.0_98.0_365.csv,3655,365,"[-24.2, 28.0, 98.0]","[-24.199999999999967, 28.00000000000004, 98.0]",4
sphere2D_-24.3_-0.8_39.0_317.csv,3172,317,"[-24.3, -0.8, 39.0]","[-24.30000000000002, -0.7999999999999711, 39.0]",5
sphere2D_-28.1_-38.4_131.0_311.csv,3117,311,"[-28.1, -38.4, 131.0]","[-28.099999999999987, -38.40000000000001, 131.0]",5
sphere2D_-28.5_-5.2_55.0_510.csv,5103,510,"[-28.5, -5.2, 55.0]","[-28.50000000000004, -5.20000000000007, 54.99999999999999]",5
sphere2D_-3.3_-41.6_129.0_560.csv,5608,560,"[-3.3, -41.6, 129.0]","[-3.2999999999999416, -41.60000000000007, 129.00000000000003]",5
sphere2D_-30.3_20.3_141.0_544.csv,5442,544,"[-30.3, 20.3, 141.0]","[-30.3, 20.300000000000125, 141.00000000000003]",5
sphere2D_-31.8_53.1_59.0_103.csv,1037,103,"[-31.8, 53.1, 59.0]","[-31.79999999999997, 53.100000000000165, 58.99999999999995]",4
sphere2D_-33.2_10.9_12.0_158.csv,1585,158,"[-33.2, 10.9, 12.0]","[-33.19999999999959, 10.899999999999993, 12.000000000000464]",4
sphere2D_-34.2_56.3_87.0_54.csv,548,54,"[-34.2, 56.3, 87.0]","[-34.1999999999999, 56.30000000000005, 87.00000000000004]",4
sphere2D_-34.9_-1.4_12.0_167.csv,1675,167,"[-34.9, -1.4, 12.0]","[-34.89999999999999, -1.4000000000002573, 12.000000000000076]",4
sphere2D_-35.4_-49.4_155.0_403.csv,4036,403,"[-35.4, -49.4, 155.0]","[-35.40000000000002, -49.39999999999985, 155.00000000000006]",4
sphere2D_-37.3_58.2_128.0_5.csv,52,5,"[-37.3, 58.2, 128.0]","[-37.29999999999996, 58.20000000000002, 127.99999999999996]",3
sphere2D_-4.5_-28.1_109.0_362.csv,3629,362,"[-4.5, -28.1, 109.0]","[-4.500000000000015, -28.10000000000007, 108.99999999999996]",4
sphere2D_-40.0_33.4_115.0_103.csv,1035,103,"[-40.0, 33.4, 115.0]","[-39.99999999999995, 33.399999999999956, 114.99999999999999]",4
sphere2D_-40.5_-9.0_88.0_19.csv,191,19,"[-40.5, -9.0, 88.0]","[-40.50000000000004, -8.999999999999966, 87.99999999999999]",4
sphere2D_-41.0_-2.2_173.0_166.csv,1666,166,"[-41.0, -2.2, 173.0]","[-40.99999999999996, -2.1999999999999815, 173.0000000000001]",4
sphere2D_-43.6_29.1_120.0_529.csv,5299,529,"[-43.6, 29.1, 120.0]","[-43.60000000000003, 29.100000000000016, 120.00000000000001]",5
sphere2D_-44.4_55.6_102.0_583.csv,5837,583,"[-44.4, 55.6, 102.0]","[-44.40000000000004, 55.59999999999993, 101.99999999999999]",5
sphere2D_-44.7_-31.1_190.0_46.csv,465,46,"[-44.7, -31.1, 190.0]","[-44.69999999999998, -31.099999999999977, 189.99999999999997]",4
sphere2D_-45.2_-44.1_140.0_8.csv,89,8,"[-45.2, -44.1, 140.0]","[-45.19999999999994, -44.10000000000001, 139.99999999999994]",4
sphere2D_-48.2_45.2_199.0_236.csv,2363,236,"[-48.2, 45.2, 199.0]","[-48.2000000000001, 45.20000000000005, 199.00000000000006]",4
sphere2D_-48.2_7.8_132.0_292.csv,2928,292,"[-48.2, 7.8, 132.0]","[-48.19999999999997, 7.799999999999985, 131.99999999999997]",4
sphere2D_-49.2_25.8_59.0_556.csv,5567,556,"[-49.2, 25.8, 59.0]","[-49.2, 25.800000000000093, 59.00000000000006]",4
sphere2D_-49.6_-27.2_82.0_581.csv,5819,581,"[-49.6, -27.2, 82.0]","[-49.59999999999991, -27.20000000000002, 81.99999999999997]",5
sphere2D_-5.8_-55.8_117.0_18.csv,185,18,"[-5.8, -55.8, 117.0]","[-5.79999999999999, -55.80000000000007, 117.00000000000001]",4
sphere2D_-51.1_24.1_21.0_320.csv,3209,320,"[-51.1, 24.1, 21.0]","[-51.099999999999895, 24.099999999999543, 21.00000000000002]",5
sphere2D_-52.0_17.9_156.0_161.csv,1610,161,"[-52.0, 17.9, 156.0]","[-52.000000000000014, 17.89999999999996, 155.99999999999994]",5
sphere2D_-55.7_23.3_112.0_54.csv,545,54,"[-55.7, 23.3, 112.0]","[-55.70000000000002, 23.300000000000026, 112.00000000000003]",4
sphere2D_-56.7_-23.8_130.0_135.csv,1358,135,"[-56.7, -23.8, 130.0]","[-56.700000000000045, -23.799999999999965, 130.00000000000003]",5
sphere2D_-57.3_-2.1_115.0_45.csv,454,45,"[-57.3, -2.1, 115.0]","[-57.29999999999997, -2.1000000000000103, 114.99999999999991]",4
sphere2D_-58.3_-43.0_96.0_533.csv,5339,533,"[-58.3, -43.0, 96.0]","[-58.30000000000001, -43.00000000000007, 96.0]",4
sphere2D_-6.0_21.3_194.0_133.csv,1333,133,"[-6.0, 21.3, 194.0]","[-6.000000000000018, 21.299999999999965, 194.00000000000003]",5
sphere2D_-6.0_34.7_130.0_260.csv,2603,260,"[-6.0, 34.7, 130.0]","[-6.00000000000008, 34.699999999999974, 129.99999999999997]",4
sphere2D_-6.2_-56.0_150.0_253.csv,2532,253,"[-6.2, -56.0, 150.0]","[-6.199999999999884, -55.99999999999998, 149.99999999999994]",5
sphere2D_-8.7_-28.2_134.0_448.csv,4488,448,"[-8.7, -28.2, 134.0]","[-8.699999999999974, -28.20000000000006, 134.0]",4
sphere2D_0.2_31.8_195.0_181.csv,1816,181,"[0.2, 31.8, 195.0]","[0.20000000000001888, 31.800000000000047, 195.00000000000003]",4
sphere2D_0.5_-20.6_190.0_530.csv,5306,530,"[0.5, -20.6, 190.0]","[0.4999999999999863, -20.599999999999856, 190.00000000000009]",4
sphere2D_10.1_2.8_121.0_408.csv,4088,408,"[10.1, 2.8, 121.0]","[10.100000000000009, 2.8000000000000846, 120.99999999999984]",4
sphere2D_13.1_-58.6_155.0_139.csv,1399,139,"[13.1, -58.6, 155.0]","[13.10000000000006, -58.599999999999945, 154.99999999999997]",5
sphere2D_13.6_54.4_50.0_592.csv,5923,592,"[13.6, 54.4, 50.0]","[13.59999999999995, 54.39999999999984, 50.00000000000007]",5
sphere2D_14.2_-17.3_157.0_594.csv,5949,594,"[14.2, -17.3, 157.0]","[14.200000000000058, -17.29999999999996, 157.00000000000006]",4
sphere2D_14.9_-7.8_50.0_175.csv,1751,175,"[14.9, -7.8, 50.0]","[14.899999999999979, -7.799999999999993, 49.99999999999999]",5
sphere2D_15.2_-27.3_160.0_144.csv,1446,144,"[15.2, -27.3, 160.0]","[15.199999999999976, -27.30000000000008, 160.0]",5
