nomes,npts,nout,minlm,mincga,medlm,medcga,maxlm,maxcga
sphere2D_-0.5_-24.3_50.0_684.csv,3261,684,0.0758606,0.0009593,0.08395405,0.00098985,0.0993688,0.012504
sphere2D_-1.0_57.4_192.0_462.csv,2204,462,0.0348203,0.0334723,0.0419342,0.03373305,0.0528217,0.0455262
sphere2D_-11.6_45.1_132.0_790.csv,3764,790,0.0816308,0.0162759,0.0908029,0.0163594,0.1021346,0.025459
sphere2D_-11.7_-34.1_87.0_720.csv,3429,720,0.0831106,0.0989765,0.092082,0.09947515,0.1024062,0.1098262
sphere2D_-12.2_-44.6_14.0_159.csv,760,159,0.0074227,0.059398,0.0076961,0.0608494,0.0141522,0.0737732
sphere2D_-12.5_-58.8_184.0_1132.csv,5394,1132,0.1311264,0.051514,0.1414479,0.05196945,0.1587214,0.0621925
sphere2D_-14.0_39.8_61.0_606.csv,2889,606,0.0653507,0.0064166,0.0742579,0.0064925,0.0904754,0.0168749
sphere2D_-14.9_49.9_95.0_323.csv,1541,323,0.0207447,0.1152307,0.0259839,0.1156796,0.0440096,0.1266685
sphere2D_-15.3_-6.3_8.0_1016.csv,4841,1016,0.1251118,0.0081506,0.1335405,0.0082287,0.141879,0.0188947
sphere2D_-15.5_19.2_54.0_1127.csv,5371,1127,0.1794656,0.0637212,0.1877984,0.0642124,0.200346,0.0776845
sphere2D_-16.0_-18.6_71.0_819.csv,3903,819,0.0955497,0.0594797,0.1072084,0.0610551,0.1215958,0.0744002
sphere2D_-17.0_10.8_166.0_534.csv,2544,534,0.0416464,0.0483238,0.0487364,0.0486461,0.0594069,0.0596716
sphere2D_-19.0_-13.8_21.0_467.csv,2224,467,0.0420867,0.0350995,0.04807955,0.03530375,0.0619046,0.046493
sphere2D_-20.0_-25.9_129.0_268.csv,1280,268,0.015705,0.0993109,0.0201223,0.1001134,0.0312945,0.1147117
sphere2D_-21.2_5.4_156.0_363.csv,1732,363,0.0303333,0.0923245,0.03718105,0.09292885,0.0506569,0.1043697
sphere2D_-22.1_-57.3_47.0_629.csv,2998,629,0.0681863,0.1530839,0.07778675,0.1538446,0.0977074,0.1649959
sphere2D_-22.2_-33.5_159.0_76.csv,362,76,0.0037205,0.2056162,0.0039281,0.20667945,0.0136867,0.218019
sphere2D_-23.1_1.8_152.0_58.csv,280,58,0.0022182,0.0047536,0.00228775,0.004804,0.0145978,0.0157727
sphere2D_-24.2_22.8_152.0_178.csv,849,178,0.009464,0.0208785,0.00985655,0.0209949,0.0201807,0.03325
sphere2D_-27.0_54.9_65.0_161.csv,767,161,0.0083918,0.0015695,0.00887465,0.0016124,0.024832,0.013135
sphere2D_-28.0_27.2_163.0_221.csv,1057,221,0.0125113,0.0130331,0.0162388,0.0131123,0.0367471,0.0241834
sphere2D_-28.3_-33.3_70.0_406.csv,1937,406,0.0346853,0.1126358,0.0419467,0.11307875,0.0790459,0.1242208
sphere2D_-30.7_-2.6_23.0_618.csv,2945,618,0.064092,8.83e-5,0.0794705,9.3e-5,0.1020656,0.0117864
sphere2D_-30.9_-19.0_86.0_167.csv,799,167,0.0087001,0.0539703,0.0091503,0.05432995,0.0247744,0.0652448
