1,2,3,4,5,6,7
sphere2D_-0.3_-35.5_150.0_412.csv,1006,412,"[-0.3, -35.5, 150.0]","[-0.3000000000000028, -35.5, 150.0]",500,6
sphere2D_-1.2_8.9_21.0_521.csv,1273,521,"[-1.2, 8.9, 21.0]","[-1.199999999999999, 8.9, 21.0]",600,7
sphere2D_-12.3_-46.7_124.0_1546.csv,3772,1546,"[-12.3, -46.7, 124.0]","[-12.299999999999997, -46.7, 124.0]",600,7
sphere2D_-12.8_5.6_88.0_743.csv,1813,743,"[-12.8, 5.6, 88.0]","[-12.799999999999997, 5.599999999999999, 88.0]",500,6
sphere2D_-13.3_-28.5_67.0_203.csv,496,203,"[-13.3, -28.5, 67.0]","[-13.299999999999999, -28.500000000000004, 67.0]",700,8
sphere2D_-13.4_-25.5_38.0_2244.csv,5474,2244,"[-13.4, -25.5, 38.0]","[-13.399999999999997, -25.5, 38.0]",700,8
sphere2D_-13.6_-0.3_170.0_1334.csv,3256,1334,"[-13.6, -0.3, 170.0]","[-13.599999999999994, -0.30000000000000404, 170.0]",500,6
sphere2D_-14.4_10.9_104.0_2051.csv,5004,2051,"[-14.4, 10.9, 104.0]","[-14.4, 10.900000000000004, 104.0]",500,6
sphere2D_-14.9_45.4_196.0_2207.csv,5384,2207,"[-14.9, 45.4, 196.0]","[-14.900000000000011, 45.400000000000006, 196.0]",500,6
sphere2D_-16.0_-7.2_111.0_1839.csv,4487,1839,"[-16.0, -7.2, 111.0]","[-16.000000000000004, -7.199999999999999, 111.0]",500,6
sphere2D_-16.1_51.1_104.0_1077.csv,2627,1077,"[-16.1, 51.1, 104.0]","[-16.100000000000005, 51.1, 104.0]",700,8
sphere2D_-17.6_-22.4_92.0_1135.csv,2770,1135,"[-17.6, -22.4, 92.0]","[-17.6, -22.4, 92.0]",500,6
sphere2D_-17.7_-36.5_83.0_1144.csv,2792,1144,"[-17.7, -36.5, 83.0]","[-17.700000000000003, -36.5, 83.0]",600,7
sphere2D_-2.2_37.0_55.0_271.csv,662,271,"[-2.2, 37.0, 55.0]","[-2.200000000000006, 37.0, 55.0]",700,8
sphere2D_-22.2_-39.6_133.0_174.csv,425,174,"[-22.2, -39.6, 133.0]","[-22.2, -39.6, 133.0]",500,6
sphere2D_-23.2_33.3_101.0_1134.csv,2766,1134,"[-23.2, 33.3, 101.0]","[-23.200000000000003, 33.3, 101.0]",600,7
sphere2D_-23.3_-14.4_190.0_2063.csv,5034,2063,"[-23.3, -14.4, 190.0]","[-23.300000000000008, -14.400000000000004, 190.0]",500,6
sphere2D_-26.3_51.7_130.0_1754.csv,4280,1754,"[-26.3, 51.7, 130.0]","[-26.3, 51.7, 130.0]",600,7
sphere2D_-27.1_43.1_149.0_1168.csv,2850,1168,"[-27.1, 43.1, 149.0]","[-27.099999999999994, 43.099999999999994, 149.0]",600,7
sphere2D_-27.2_-16.4_86.0_203.csv,496,203,"[-27.2, -16.4, 86.0]","[-27.200000000000006, -16.399999999999995, 86.0]",600,7
sphere2D_-27.4_5.9_190.0_1177.csv,2871,1177,"[-27.4, 5.9, 190.0]","[-27.400000000000002, 5.900000000000012, 190.0]",500,6
sphere2D_-27.8_30.4_191.0_295.csv,720,295,"[-27.8, 30.4, 191.0]","[-27.800000000000008, 30.399999999999995, 191.0]",500,6
sphere2D_-29.3_-41.1_183.0_1305.csv,3185,1305,"[-29.3, -41.1, 183.0]","[-29.300000000000008, -41.099999999999994, 183.0]",500,6
sphere2D_-3.0_54.8_51.0_1804.csv,4401,1804,"[-3.0, 54.8, 51.0]","[-3.0000000000000013, 54.8, 51.0]",700,8
sphere2D_-3.6_23.1_117.0_1093.csv,2667,1093,"[-3.6, 23.1, 117.0]","[-3.5999999999999965, 23.1, 117.0]",500,6
sphere2D_-3.9_-41.5_68.0_305.csv,745,305,"[-3.9, -41.5, 68.0]","[-3.9, -41.5, 68.0]",600,7
sphere2D_-30.0_27.8_75.0_1062.csv,2591,1062,"[-30.0, 27.8, 75.0]","[-30.000000000000004, 27.799999999999994, 75.0]",600,7
sphere2D_-30.1_-34.5_53.0_2109.csv,5144,2109,"[-30.1, -34.5, 53.0]","[-30.1, -34.5, 53.0]",700,8
sphere2D_-31.8_-55.8_95.0_817.csv,1994,817,"[-31.8, -55.8, 95.0]","[-31.799999999999997, -55.8, 95.0]",700,8
sphere2D_-32.1_3.2_133.0_707.csv,1725,707,"[-32.1, 3.2, 133.0]","[-32.1, 3.1999999999999966, 133.0]",600,7
sphere2D_-33.4_15.5_39.0_51.csv,126,51,"[-33.4, 15.5, 39.0]","[-33.4, 15.500000000000002, 39.0]",800,9
sphere2D_-33.6_-32.4_96.0_444.csv,1084,444,"[-33.6, -32.4, 96.0]","[-33.6, -32.4, 96.0]",500,6
sphere2D_-33.9_-3.4_123.0_1045.csv,2551,1045,"[-33.9, -3.4, 123.0]","[-33.9, -3.3999999999999995, 123.0]",500,6
sphere2D_-34.2_-28.9_48.0_1245.csv,3037,1245,"[-34.2, -28.9, 48.0]","[-34.2, -28.9, 48.0]",700,8
sphere2D_-34.4_42.6_82.0_1406.csv,3430,1406,"[-34.4, 42.6, 82.0]","[-34.4, 42.6, 82.0]",700,8
sphere2D_-35.3_-28.1_29.0_2118.csv,5168,2118,"[-35.3, -28.1, 29.0]","[-35.3, -28.1, 29.0]",800,9
sphere2D_-35.9_19.0_129.0_1976.csv,4821,1976,"[-35.9, 19.0, 129.0]","[-35.9, 19.000000000000004, 129.0]",600,7
sphere2D_-35.9_40.6_124.0_1171.csv,2857,1171,"[-35.9, 40.6, 124.0]","[-35.9, 40.6, 124.0]",600,7
sphere2D_-37.1_53.7_38.0_272.csv,664,272,"[-37.1, 53.7, 38.0]","[-37.1, 53.7, -38.0]",700,8
