1,2,3,4,5,6
sphere3D_-10.2_-31.1_32.5_113.0_285.csv,1360,285,"[-10.2, -31.1, 32.5, 113.0]","[-10.19999999999992, -31.09999999999992, 32.49999999999995, 113.00000000000007]",6
sphere3D_-10.3_4.0_-18.7_17.0_649.csv,3092,649,"[-10.3, 4.0, -18.7, 17.0]","[-10.299999999999933, 3.9999999999999063, -18.69999999999997, 17.000000000000057]",7
sphere3D_-10.4_20.5_2.5_176.0_1078.csv,5136,1078,"[-10.4, 20.5, 2.5, 176.0]","[-10.399999999999803, 20.50000000000015, 2.4999999999997993, 176.00000000000014]",12
sphere3D_-11.2_-11.2_-50.8_141.0_757.csv,3607,757,"[-11.2, -11.2, -50.8, 141.0]","[-11.20000000000003, -11.19999999999998, -50.79999999999994, 141.0]",7
sphere3D_-11.2_41.0_27.2_22.0_326.csv,1557,326,"[-11.2, 41.0, 27.2, 22.0]","[-11.199999999999568, 40.999999999999446, 27.200000000000134, 22.00000000000028]",6
sphere3D_-11.3_12.2_-6.6_82.0_645.csv,3073,645,"[-11.3, 12.2, -6.6, 82.0]","[-11.299999999999997, 12.199999999999983, -6.599999999999987, 82.00000000000003]",5
sphere3D_-16.8_11.5_-5.2_40.0_1110.csv,5287,1110,"[-16.8, 11.5, -5.2, 40.0]","[-16.80000000000005, 11.499999999999995, -5.199999999999981, 39.99999999999996]",7
sphere3D_-17.1_-30.6_-6.4_115.0_670.csv,3191,670,"[-17.1, -30.6, -6.4, 115.0]","[-17.099999999999955, -30.600000000000094, -6.399999999999941, 115.00000000000003]",5
sphere3D_-2.8_12.4_6.2_153.0_914.csv,4353,914,"[-2.8, 12.4, 6.2, 153.0]","[-2.8000000000000114, 12.399999999999826, 6.200000000000039, 152.99999999999994]",7
sphere3D_-2.8_34.9_-15.8_28.0_212.csv,1011,212,"[-2.8, 34.9, -15.8, 28.0]","[-2.800000000000048, 34.90000000000018, -15.80000000000009, 27.999999999999968]",7
sphere3D_-2.9_-10.7_19.5_37.0_1090.csv,5194,1090,"[-2.9, -10.7, 19.5, 37.0]","[-2.900000000000023, -10.700000000000118, 19.50000000000008, 36.99999999999998]",6
sphere3D_-20.8_-48.1_-23.8_54.0_432.csv,2061,432,"[-20.8, -48.1, -23.8, 54.0]","[-20.80000000000024, -48.100000000000165, -23.79999999999998, 53.99999999999989]",9
sphere3D_-23.1_-4.2_-51.5_5.0_1079.csv,5142,1079,"[-23.1, -4.2, -51.5, 5.0]","[-23.100000000007228, -4.200000000004264, -51.499999999996, 4.999999999993679]",103
sphere3D_-24.6_56.4_33.4_106.0_53.csv,254,53,"[-24.6, 56.4, 33.4, 106.0]","[-24.59999999999989, 56.40000000000005, 33.400000000000034, 106.00000000000016]",5
sphere3D_-24.7_58.0_46.1_38.0_265.csv,1265,265,"[-24.7, 58.0, 46.1, 38.0]","[-24.700000000000397, 57.999999999999574, 46.100000000000236, 37.99999999999968]",7
sphere3D_-27.8_-24.1_18.1_196.0_581.csv,2770,581,"[-27.8, -24.1, 18.1, 196.0]","[-27.80000000000002, -24.100000000000254, 18.100000000000186, 196.00000000000009]",17
sphere3D_-28.3_53.7_44.0_106.0_322.csv,1535,322,"[-28.3, 53.7, 44.0, 106.0]","[-28.299999999999958, 53.70000000000011, 43.999999999999986, 106.00000000000007]",10
sphere3D_-30.2_27.2_39.0_81.0_223.csv,1064,223,"[-30.2, 27.2, 39.0, 81.0]","[-30.200000000000053, 27.200000000000085, 38.99999999999995, 81.00000000000001]",6
sphere3D_-33.8_-7.5_-8.3_40.0_1096.csv,5220,1096,"[-33.8, -7.5, -8.3, 40.0]","[-33.79999999999998, -7.499999999999862, -8.300000000000074, 40.000000000000036]",8
sphere3D_-34.4_17.1_-28.5_187.0_440.csv,2099,440,"[-34.4, 17.1, -28.5, 187.0]","[-34.39999999999995, 17.09999999999998, -28.499999999999748, 187.00000000000003]",9
sphere3D_-35.1_42.2_-11.1_9.0_1131.csv,5387,1131,"[-35.1, 42.2, -11.1, 9.0]","[-35.10000000000258, 42.19999999999886, -11.099999999999495, 8.999999999998105]",24
sphere3D_-36.5_-13.4_-52.8_161.0_189.csv,903,189,"[-36.5, -13.4, -52.8, 161.0]","[-36.5, -13.40000000000009, -52.79999999999994, 160.9999999999999]",5
sphere3D_-37.9_-22.5_-55.3_82.0_1184.csv,5640,1184,"[-37.9, -22.5, -55.3, 82.0]","[-37.899999999999984, -22.50000000000027, -55.299999999999905, 81.9999999999999]",11
sphere3D_-41.7_-10.3_-42.7_122.0_184.csv,879,184,"[-41.7, -10.3, -42.7, 122.0]","[-41.70000000000009, -10.300000000000122, -42.70000000000001, 121.99999999999994]",5
sphere3D_-41.7_8.7_25.4_32.0_1067.csv,5083,1067,"[-41.7, 8.7, 25.4, 32.0]","[-41.700000000000244, 8.700000000000772, 25.399999999999704, 31.999999999999886]",11
sphere3D_-43.7_25.4_-44.7_98.0_616.csv,2938,616,"[-43.7, 25.4, -44.7, 98.0]","[-43.69999999999998, 25.40000000000012, -44.70000000000003, 98.00000000000007]",7
sphere3D_-44.6_40.1_8.5_138.0_380.csv,1810,380,"[-44.6, 40.1, 8.5, 138.0]","[-44.599999999999795, 40.09999999999985, 8.500000000000087, 138.0000000000001]",7
sphere3D_-45.0_-0.1_26.8_181.0_262.csv,1252,262,"[-45.0, -0.1, 26.8, 181.0]","[-44.99999999999993, -0.09999999999936715, 26.799999999999667, 181.00000000000003]",7
sphere3D_-46.8_-53.8_29.9_42.0_94.csv,450,94,"[-46.8, -53.8, 29.9, 42.0]","[-46.80000000000082, -53.80000000000076, 29.90000000000038, 41.99999999999963]",9
sphere3D_-47.5_27.6_-45.5_99.0_136.csv,648,136,"[-47.5, 27.6, -45.5, 99.0]","[-47.499999999999936, 27.600000000000055, -45.499999999999964, 99.0]",6
sphere3D_-47.6_45.3_-4.4_12.0_716.csv,3413,716,"[-47.6, 45.3, -4.4, 12.0]","[-47.59999999999923, 45.29999999999826, -4.399999999999131, 12.00000000000091]",10
sphere3D_-47.9_-33.1_-56.8_138.0_596.csv,2842,596,"[-47.9, -33.1, -56.8, 138.0]","[-47.900000000000055, -33.10000000000042, -56.799999999999756, 138.0]",7
sphere3D_-49.1_14.6_-50.0_55.0_91.csv,436,91,"[-49.1, 14.6, -50.0, 55.0]","[-49.099999999999945, 14.599999999999644, -49.999999999999844, 54.99999999999993]",7
sphere3D_-49.2_-41.2_9.1_66.0_719.csv,3428,719,"[-49.2, -41.2, 9.1, 66.0]","[-49.2000000000002, -41.200000000000166, 9.100000000000044, 65.99999999999996]",8
sphere3D_-5.7_-57.9_-30.3_169.0_912.csv,4347,912,"[-5.7, -57.9, -30.3, 169.0]","[-5.700000000000069, -57.89999999999998, -30.299999999999894, 168.9999999999999]",8
sphere3D_-50.2_53.1_-21.2_140.0_132.csv,632,132,"[-50.2, 53.1, -21.2, 140.0]","[-50.19999999999986, 53.099999999999746, -21.19999999999982, 140.00000000000009]",5
sphere3D_-50.9_-58.4_28.9_23.0_1007.csv,4796,1007,"[-50.9, -58.4, 28.9, 23.0]","[-50.89999999999983, -58.39999999999971, 28.899999999999565, 22.9999999999999]",16
sphere3D_-51.8_-59.0_41.4_35.0_1206.csv,5747,1206,"[-51.8, -59.0, 41.4, 35.0]","[-51.79999999999926, -58.99999999999911, 41.39999999999938, 35.0000000000006]",15
sphere3D_-53.0_-12.6_-26.3_86.0_638.csv,3039,638,"[-53.0, -12.6, -26.3, 86.0]","[-52.99999999999996, -12.600000000000138, -26.299999999999926, 86.0]",6
sphere3D_-53.8_-59.8_28.1_162.0_549.csv,2619,549,"[-53.8, -59.8, 28.1, 162.0]","[-53.80000000000001, -59.79999999999995, 28.099999999999994, 162.00000000000006]",8
sphere3D_-54.5_-29.7_5.4_48.0_533.csv,2542,533,"[-54.5, -29.7, 5.4, 48.0]","[-54.50000000000006, -29.70000000000024, 5.400000000000125, 47.999999999999936]",16
sphere3D_-54.7_14.6_9.6_56.0_934.csv,4450,934,"[-54.7, 14.6, 9.6, 56.0]","[-54.700000000000266, 14.599999999999747, 9.600000000000119, 55.99999999999988]",7
sphere3D_-55.9_2.9_34.6_122.0_408.csv,1946,408,"[-55.9, 2.9, 34.6, 122.0]","[-55.899999999999935, 2.900000000000025, 34.600000000000016, 122.00000000000003]",8
sphere3D_-56.9_-38.5_-14.5_114.0_788.csv,3754,788,"[-56.9, -38.5, -14.5, 114.0]","[-56.89999999999992, -38.50000000000015, -14.499999999999986, 114.00000000000006]",10
sphere3D_-58.5_47.4_-56.5_183.0_449.csv,2142,449,"[-58.5, 47.4, -56.5, 183.0]","[-58.49999999999993, 47.39999999999987, -56.49999999999979, 183.00000000000006]",20
sphere3D_-58.5_56.3_-14.5_185.0_801.csv,3815,801,"[-58.5, 56.3, -14.5, 185.0]","[-58.49999999999991, 56.30000000000013, -14.499999999999972, 185.00000000000009]",8
sphere3D_-58.5_8.0_-5.9_143.0_1175.csv,5597,1175,"[-58.5, 8.0, -5.9, 143.0]","[-58.50000000000026, 7.999999999999835, -5.899999999999873, 143.0]",10
sphere3D_-6.1_-43.3_46.0_21.0_941.csv,4482,941,"[-6.1, -43.3, 46.0, 21.0]","[-6.099999999999463, -43.30000000000048, 46.00000000000037, 21.00000000000054]",13
sphere3D_-8.0_1.9_-21.5_167.0_1099.csv,5234,1099,"[-8.0, 1.9, -21.5, 167.0]","[-7.999999999999901, 1.9000000000001964, -21.500000000000163, 166.99999999999991]",13
sphere3D_-9.4_-55.4_17.0_104.0_1135.csv,5405,1135,"[-9.4, -55.4, 17.0, 104.0]","[-9.399999999999933, -55.39999999999992, 16.999999999999908, 104.00000000000006]",6
sphere3D_0.3_-28.7_39.0_101.0_981.csv,4672,981,"[0.3, -28.7, 39.0, 101.0]","[0.3000000000000058, -28.700000000000006, 39.00000000000001, 101.00000000000001]",7
sphere3D_1.2_14.1_12.5_11.0_404.csv,1925,404,"[1.2, 14.1, 12.5, 11.0]","[1.2000000000000177, 14.100000000000067, 12.49999999999999, 11.000000000000027]",7
sphere3D_10.6_2.7_-0.8_108.0_728.csv,3470,728,"[10.6, 2.7, -0.8, 108.0]","[10.600000000000053, 2.699999999999765, -0.7999999999998677, 108.00000000000001]",17
sphere3D_13.9_-4.9_54.0_7.0_1032.csv,4916,1032,"[13.9, -4.9, 54.0, 7.0]","[13.900000000011255, -4.899999999991468, 53.999999999991886, 7.000000000014292]",10
sphere3D_14.0_45.3_-45.4_161.0_19.csv,95,19,"[14.0, 45.3, -45.4, 161.0]","[13.999999999999948, 45.29999999999995, -45.40000000000005, 161.00000000000003]",5
sphere3D_14.7_17.5_-24.2_34.0_351.csv,1676,351,"[14.7, 17.5, -24.2, 34.0]","[14.699999999999992, 17.499999999999968, -24.199999999999964, 33.99999999999997]",7
sphere3D_15.0_9.0_-52.3_45.0_580.csv,2763,580,"[15.0, 9.0, -52.3, 45.0]","[14.999999999999929, 9.00000000000025, -52.30000000000024, 44.99999999999986]",8
sphere3D_17.4_-26.6_51.8_191.0_915.csv,4358,915,"[17.4, -26.6, 51.8, 191.0]","[17.4000000000001, -26.599999999999635, 51.79999999999959, 191.00000000000003]",13
