1,2,3,4,5,6
sphere3D_-10.2_-31.1_32.5_113.0_285.csv,1360,285,"[-10.2, -31.1, 32.5, 113.0]","[-10.200000000000008, -31.099999999999998, 32.49999999999999, 113.0]",6.0
sphere3D_-10.3_4.0_-18.7_17.0_649.csv,3092,649,"[-10.3, 4.0, -18.7, 17.0]","[-10.3, 4.0, -18.7, 17.0]",6.0
sphere3D_-10.4_20.5_2.5_176.0_1078.csv,5136,1078,"[-10.4, 20.5, 2.5, 176.0]","[-10.399999999999999, 20.499999999999993, 2.5000000000000107, 176.0]",6.0
sphere3D_-11.2_-11.2_-50.8_141.0_757.csv,3607,757,"[-11.2, -11.2, -50.8, 141.0]","[-11.199999999999998, -11.20000000000001, -50.79999999999999, 141.0]",6.0
sphere3D_-11.2_41.0_27.2_22.0_326.csv,1557,326,"[-11.2, 41.0, 27.2, 22.0]","[-11.2, 41.0, 27.2, -22.0]",6.0
sphere3D_-11.3_12.2_-6.6_82.0_645.csv,3073,645,"[-11.3, 12.2, -6.6, 82.0]","[-11.3, 12.199999999999994, -6.599999999999993, 82.0]",5.0
sphere3D_-16.8_11.5_-5.2_40.0_1110.csv,5287,1110,"[-16.8, 11.5, -5.2, 40.0]","[-16.8, 11.500000000000004, -5.200000000000002, 40.0]",7.0
sphere3D_-17.1_-30.6_-6.4_115.0_670.csv,3191,670,"[-17.1, -30.6, -6.4, 115.0]","[-17.100000000000005, -30.599999999999998, -6.400000000000012, 115.0]",5.0
sphere3D_-2.8_12.4_6.2_153.0_914.csv,4353,914,"[-2.8, 12.4, 6.2, 153.0]","[-2.8000000000000003, 12.400000000000015, 6.1999999999999895, 153.0]",5.0
sphere3D_-2.8_34.9_-15.8_28.0_212.csv,1011,212,"[-2.8, 34.9, -15.8, 28.0]","[-2.8000000000000007, 34.9, -15.8, 28.0]",7.0
sphere3D_-2.9_-10.7_19.5_37.0_1090.csv,5194,1090,"[-2.9, -10.7, 19.5, 37.0]","[-2.899999999999998, -10.7, 19.5, 37.0]",6.0
sphere3D_-20.8_-48.1_-23.8_54.0_432.csv,2061,432,"[-20.8, -48.1, -23.8, 54.0]","[-20.799999999999997, -48.1, -23.8, 54.0]",6.0
sphere3D_-23.1_-4.2_-51.5_5.0_1079.csv,5142,1079,"[-23.1, -4.2, -51.5, 5.0]","[-23.1, -4.2, -51.5, -5.0]",7.0
sphere3D_-24.6_56.4_33.4_106.0_53.csv,254,53,"[-24.6, 56.4, 33.4, 106.0]","[-24.6, 56.4, 33.4, 106.0]",5.0
sphere3D_-24.7_58.0_46.1_38.0_265.csv,1265,265,"[-24.7, 58.0, 46.1, 38.0]","[-24.699999999999996, 58.0, 46.1, -38.0]",6.0
sphere3D_-27.8_-24.1_18.1_196.0_581.csv,2770,581,"[-27.8, -24.1, 18.1, 196.0]","[-27.8, -24.099999999999984, 18.099999999999987, 196.0]",5.0
sphere3D_-28.3_53.7_44.0_106.0_322.csv,1535,322,"[-28.3, 53.7, 44.0, 106.0]","[-28.299999999999997, 53.7, 44.0, 106.0]",6.0
sphere3D_-30.2_27.2_39.0_81.0_223.csv,1064,223,"[-30.2, 27.2, 39.0, 81.0]","[-30.2, 27.2, 39.0, 81.0]",6.0
sphere3D_-33.8_-7.5_-8.3_40.0_1096.csv,5220,1096,"[-33.8, -7.5, -8.3, 40.0]","[-33.8, -7.499999999999999, -8.3, 40.0]",6.0
sphere3D_-34.4_17.1_-28.5_187.0_440.csv,2099,440,"[-34.4, 17.1, -28.5, 187.0]","[-34.400000000000006, 17.1, -28.499999999999996, 187.0]",5.0
sphere3D_-35.1_42.2_-11.1_9.0_1131.csv,5387,1131,"[-35.1, 42.2, -11.1, 9.0]","[-35.1, 42.2, -11.1, -9.0]",7.0
sphere3D_-36.5_-13.4_-52.8_161.0_189.csv,903,189,"[-36.5, -13.4, -52.8, 161.0]","[-36.49999999999999, -13.40000000000001, -52.8, 161.0]",5.0
sphere3D_-37.9_-22.5_-55.3_82.0_1184.csv,5640,1184,"[-37.9, -22.5, -55.3, 82.0]","[-37.9, -22.5, -55.3, 82.0]",6.0
