1,2,3,4,5,6
sphere3D_-0.2_57.2_-12.1_121.0_306.csv,990,306,0.0132982,0.017813,0.0495426
sphere3D_-0.6_-6.9_43.8_61.0_1213.csv,3916,1213,0.1199156,0.14218765,0.1792933
sphere3D_-11.3_-59.6_-18.6_135.0_636.csv,2054,636,0.0351732,0.04282,0.0768175
sphere3D_-12.4_-29.1_-30.4_62.0_437.csv,1410,437,0.0210518,0.0271388,0.0613861
sphere3D_-12.9_6.3_-11.3_85.0_1295.csv,4179,1295,0.0825592,0.0950538,0.1321241
sphere3D_-14.5_-59.2_19.4_91.0_1642.csv,5297,1642,0.1883486,0.2129633,0.2419492
sphere3D_-20.9_10.7_8.9_168.0_25.csv,81,25,0.0011135,0.0018036,0.0390638
sphere3D_-23.1_-27.8_51.6_126.0_1358.csv,4382,1358,0.142177,0.16979245,0.2496301
sphere3D_-23.3_-33.7_-22.1_146.0_42.csv,137,42,0.0015576,0.00206725,0.0247438
sphere3D_-24.3_-4.3_30.1_14.0_1529.csv,4934,1529,0.1944549,0.2203411,0.2597621
sphere3D_-24.6_49.1_31.5_22.0_1005.csv,3243,1005,0.0853713,0.1058011,0.1553933
sphere3D_-24.7_37.2_59.1_101.0_775.csv,2501,775,0.0578921,0.0690436,0.1049451
sphere3D_-24.8_8.5_-14.3_101.0_1464.csv,4723,1464,0.1271387,0.1451603,0.1803488
sphere3D_-27.2_-57.2_2.5_187.0_816.csv,2635,816,0.0512479,0.0604671,0.0925036
sphere3D_-27.4_32.5_-23.5_79.0_352.csv,1137,352,0.019319,0.02513945,0.0620933
sphere3D_-29.1_-41.1_15.1_59.0_625.csv,2018,625,0.0416253,0.0498533,0.0850814
sphere3D_-29.8_37.9_46.3_184.0_1172.csv,3783,1172,0.0913518,0.1057977,0.1570181
sphere3D_-30.4_-41.9_26.0_109.0_1040.csv,3356,1040,0.0725225,0.08528185,0.1361723
sphere3D_-30.6_40.7_-31.1_198.0_653.csv,2107,653,0.0294719,0.03576745,0.0763703
sphere3D_-31.8_58.5_33.2_23.0_453.csv,1463,453,0.026823,0.03417645,0.0731885
sphere3D_-32.6_-41.3_18.5_166.0_1326.csv,4278,1326,0.1083479,0.12438225,0.1658228
sphere3D_-33.3_17.3_57.9_180.0_677.csv,2186,677,0.0319645,0.03832845,0.0731608
sphere3D_-35.5_-21.8_32.6_115.0_546.csv,1763,546,0.0286652,0.0358286,0.0726645
sphere3D_-36.4_-45.9_-41.6_33.0_756.csv,2441,756,0.0462691,0.0499195,0.078629
sphere3D_-36.5_2.4_-29.2_34.0_26.csv,84,26,0.0016909,0.0025414,0.0342107
sphere3D_-36.6_-22.4_-10.7_32.0_1853.csv,5980,1853,0.263491,0.29306905,0.327657
sphere3D_-37.1_-35.7_37.4_139.0_240.csv,777,240,0.0099107,0.01351465,0.0579548
