1,2,3,4,5,6
sphere3D_-0.3_-39.1_39.1_114.0_1676.csv,4090,1676,"[-0.3, -39.1, 39.1, 114.0]","[-0.2999999999999993, -39.10000000000005, 39.10000000000002, 114.0]",9
sphere3D_-1.8_28.8_-5.3_77.0_135.csv,331,135,"[-1.8, 28.8, -5.3, 77.0]","[-1.8000000000000194, 28.800000000000303, -5.300000000000189, 76.99999999999999]",9
sphere3D_-10.9_-1.5_53.3_164.0_1797.csv,4385,1797,"[-10.9, -1.5, 53.3, 164.0]","[-10.900000000000006, -1.4999999999999996, 53.3, 164.0]",10
sphere3D_-15.2_9.5_-34.4_112.0_36.csv,88,36,"[-15.2, 9.5, -34.4, 112.0]","[-15.199999999999989, 9.499999999999956, -34.39999999999997, 112.00000000000001]",10
sphere3D_-17.0_-43.8_-46.7_50.0_1225.csv,2988,1225,"[-17.0, -43.8, -46.7, 50.0]","[-17.0, -43.8, -46.7, 50.0]",9
sphere3D_-17.4_-18.0_56.8_13.0_1717.csv,4190,1717,"[-17.4, -18.0, 56.8, 13.0]","[-17.400000000000276, -17.999999999996263, 56.79999999999762, -12.999999999999842]",11
sphere3D_-17.4_56.2_18.7_96.0_18.csv,45,18,"[-17.4, 56.2, 18.7, 96.0]","[-17.3999999999995, 56.199999999945604, 18.700000000035583, 95.9999999999994]",8
sphere3D_-18.5_31.2_-45.4_15.0_727.csv,1775,727,"[-18.5, 31.2, -45.4, 15.0]","[-18.50000000000923, 31.19999999995953, -45.39999999997482, -14.999999999995282]",10
sphere3D_-2.6_-42.8_56.2_107.0_861.csv,2102,861,"[-2.6, -42.8, 56.2, 107.0]","[-2.6000000000000503, -42.80000000000012, 56.20000000000008, 106.99999999999999]",9
sphere3D_-20.1_-52.7_-12.2_69.0_2044.csv,4987,2044,"[-20.1, -52.7, -12.2, 69.0]","[-20.100000000000005, -52.700000000000045, -12.199999999999973, 69.0]",8
sphere3D_-22.6_-45.7_18.2_192.0_59.csv,144,59,"[-22.6, -45.7, 18.2, 192.0]","[-22.600000000000147, -45.70000000000029, 18.200000000000166, 191.99999999999997]",8
sphere3D_-23.0_34.4_-51.7_147.0_2152.csv,5249,2152,"[-23.0, 34.4, -51.7, 147.0]","[-23.00000000000001, 34.400000000000006, -51.7, 147.0]",10
sphere3D_-23.1_38.2_-60.0_162.0_316.csv,772,316,"[-23.1, 38.2, -60.0, 162.0]","[-23.100000000000005, 38.2, -60.00000000000001, 162.0]",9
sphere3D_-26.5_22.1_-1.6_182.0_1972.csv,4810,1972,"[-26.5, 22.1, -1.6, 182.0]","[-26.500000000000004, 22.099999999999984, -1.5999999999999779, 182.0]",12
sphere3D_-27.6_-39.9_33.8_136.0_1278.csv,3119,1278,"[-27.6, -39.9, 33.8, 136.0]","[-27.6, -39.9, 33.8, 136.0]",10
sphere3D_-27.8_42.7_24.1_107.0_1847.csv,4506,1847,"[-27.8, 42.7, 24.1, 107.0]","[-27.800000000000065, 42.70000000000068, 24.099999999999586, 106.99999999999999]",9
sphere3D_-28.9_57.7_7.5_126.0_1357.csv,3311,1357,"[-28.9, 57.7, 7.5, 126.0]","[-28.9, 57.7, 7.500000000000004, 126.0]",9
sphere3D_-29.9_-42.4_-16.6_178.0_298.csv,728,298,"[-29.9, -42.4, -16.6, 178.0]","[-29.900000000000002, -42.40000000000001, -16.599999999999987, 178.0]",9
sphere3D_-31.5_37.5_-29.5_112.0_1343.csv,3277,1343,"[-31.5, 37.5, -29.5, 112.0]","[-31.500000000000004, 37.5, -29.5, 112.0]",11
sphere3D_-31.9_-31.7_-14.3_58.0_1302.csv,3177,1302,"[-31.9, -31.7, -14.3, 58.0]","[-31.9, -31.700000000000063, -14.299999999999963, 58.0]",8
sphere3D_-32.0_-49.5_2.9_143.0_2428.csv,5922,2428,"[-32.0, -49.5, 2.9, 143.0]","[-32.0, -49.500000000000036, 2.9000000000000274, 143.0]",9
sphere3D_-33.2_-37.5_-48.6_193.0_557.csv,1359,557,"[-33.2, -37.5, -48.6, 193.0]","[-33.20000000000001, -37.49999999999998, -48.600000000000016, 193.0]",9
sphere3D_-34.7_4.9_-8.1_121.0_810.csv,1976,810,"[-34.7, 4.9, -8.1, 121.0]","[-34.7, 4.900000000000004, -8.100000000000001, 121.0]",11
sphere3D_-35.7_33.4_-22.3_136.0_1373.csv,3350,1373,"[-35.7, 33.4, -22.3, 136.0]","[-35.70000000000001, 33.400000000000006, -22.300000000000004, 136.0]",10
sphere3D_-36.7_52.0_12.0_185.0_1775.csv,4331,1775,"[-36.7, 52.0, 12.0, 185.0]","[-36.699999999999996, 52.0, 12.000000000000004, 185.0]",10
sphere3D_-4.3_-39.8_22.7_52.0_1586.csv,3870,1586,"[-4.3, -39.8, 22.7, 52.0]","[-4.299999999999995, -39.8, 22.700000000000003, 52.0]",10
sphere3D_-4.9_-15.5_-47.8_18.0_909.csv,2218,909,"[-4.9, -15.5, -47.8, 18.0]","[-4.900000000000705, -15.500000000001176, -47.799999999999244, -17.999999999999314]",13
sphere3D_-40.5_39.7_-34.5_15.0_972.csv,2373,972,"[-40.5, 39.7, -34.5, 15.0]","[-40.50000000000005, 39.69999999999917, -34.49999999999948, -14.999999999999977]",10
sphere3D_-41.3_12.2_-47.0_75.0_1494.csv,3646,1494,"[-41.3, 12.2, -47.0, 75.0]","[-41.3, 12.2, -47.0, 75.0]",10
sphere3D_-44.3_48.8_-5.4_85.0_952.csv,2322,952,"[-44.3, 48.8, -5.4, 85.0]","[-44.30000000000001, 48.799999999999955, -5.399999999999977, 85.0]",8
sphere3D_-46.8_23.1_20.7_162.0_1070.csv,2610,1070,"[-46.8, 23.1, 20.7, 162.0]","[-46.800000000000125, 23.100000000000126, 20.699999999999914, 161.99999999999997]",9
sphere3D_-47.5_31.5_55.3_79.0_689.csv,1682,689,"[-47.5, 31.5, 55.3, 79.0]","[-47.5, 31.499999999999982, 55.30000000000001, 79.0]",10
sphere3D_-47.9_0.5_-28.2_72.0_25.csv,61,25,"[-47.9, 0.5, -28.2, 72.0]","[-47.900000000003494, 0.4999999999887335, -28.199999999992173, 71.99999999999837]",8
sphere3D_-48.2_-25.3_32.5_98.0_1109.csv,2707,1109,"[-48.2, -25.3, 32.5, 98.0]","[-48.20000000000001, -25.300000000000118, 32.50000000000007, 98.0]",9
sphere3D_-48.5_29.1_-51.8_200.0_2015.csv,4915,2015,"[-48.5, 29.1, -51.8, 200.0]","[-48.50000000000001, 29.09999999999998, -51.79999999999998, 200.0]",10
sphere3D_-49.3_35.8_-50.6_83.0_1920.csv,4683,1920,"[-49.3, 35.8, -50.6, 83.0]","[-49.30000000000016, 35.79999999999898, -50.599999999999376, 82.99999999999996]",8
sphere3D_-5.2_16.6_17.3_110.0_1340.csv,3269,1340,"[-5.2, 16.6, 17.3, 110.0]","[-5.200000000000007, 16.599999999999994, 17.300000000000004, 110.0]",10
sphere3D_-50.6_38.3_-8.4_115.0_1211.csv,2955,1211,"[-50.6, 38.3, -8.4, 115.0]","[-50.6, 38.30000000000004, -8.400000000000036, 115.0]",9
sphere3D_-51.0_-40.8_-11.0_74.0_617.csv,1505,617,"[-51.0, -40.8, -11.0, 74.0]","[-51.000000000000014, -40.79999999999997, -11.000000000000021, 74.0]",8
sphere3D_-51.1_-25.4_19.3_42.0_1908.csv,4655,1908,"[-51.1, -25.4, 19.3, 42.0]","[-51.100000000000016, -25.399999999999835, 19.299999999999898, 41.99999999999998]",11
sphere3D_-55.0_-0.7_43.6_100.0_82.csv,201,82,"[-55.0, -0.7, 43.6, 100.0]","[-55.00000000000202, -0.700000000004264, 43.600000000002616, 99.99999999999937]",8
sphere3D_-55.7_59.5_-14.5_84.0_1819.csv,4438,1819,"[-55.7, 59.5, -14.5, 84.0]","[-55.7, 59.49999999999999, -14.499999999999996, 84.0]",9
sphere3D_-57.6_-31.1_-44.2_10.0_733.csv,1790,733,"[-57.6, -31.1, -44.2, 10.0]","[-57.59999999999997, -31.10000000000253, -44.19999999999841, -9.999999999999996]",8
