1,2,3,4,5,6
sphere3D_-0.3_-39.1_39.1_114.0_1676.csv,4090,1676,"[-0.3, -39.1, 39.1, 114.0]","[-0.300000000000073, -39.1000000000002, 39.10000000000011, 114.00000000000003]",12
sphere3D_-1.8_28.8_-5.3_77.0_135.csv,331,135,"[-1.8, 28.8, -5.3, 77.0]","[-1.80000000000009, 28.800000000000082, -5.300000000000031, 76.99999999999997]",10
sphere3D_-10.9_-1.5_53.3_164.0_1797.csv,4385,1797,"[-10.9, -1.5, 53.3, 164.0]","[-10.900000000000025, -1.5000000000002198, 53.300000000000296, 164.0]",13
sphere3D_-15.2_9.5_-34.4_112.0_36.csv,88,36,"[-15.2, 9.5, -34.4, 112.0]","[1.0802687001535345, -17.341559811241737, -4.925748018367431, 131.65085951468618]",7
sphere3D_-17.0_-43.8_-46.7_50.0_1225.csv,2988,1225,"[-17.0, -43.8, -46.7, 50.0]","[-17.00000000000006, -43.799999999999976, -46.69999999999995, 49.99999999999993]",10
sphere3D_-17.4_-18.0_56.8_13.0_1717.csv,4190,1717,"[-17.4, -18.0, 56.8, 13.0]","[-17.39999999999894, -17.999999999999226, 56.799999999998875, 13.000000000000664]",12
sphere3D_-17.4_56.2_18.7_96.0_18.csv,45,18,"[-17.4, 56.2, 18.7, 96.0]","[-73.6327069238752, 13.576397370618553, 27.969200942723216, 129.09608859467593]",7
sphere3D_-18.5_31.2_-45.4_15.0_727.csv,1775,727,"[-18.5, 31.2, -45.4, 15.0]","[-18.499999999998668, 31.199999999997925, -45.39999999999848, 15.000000000001334]",9
sphere3D_-2.6_-42.8_56.2_107.0_861.csv,2102,861,"[-2.6, -42.8, 56.2, 107.0]","[-2.6000000000001333, -42.79999999999995, 56.19999999999995, 106.99999999999991]",11
sphere3D_-20.1_-52.7_-12.2_69.0_2044.csv,4987,2044,"[-20.1, -52.7, -12.2, 69.0]","[-20.100000000000033, -52.69999999999998, -12.19999999999998, 68.99999999999991]",9
sphere3D_-22.6_-45.7_18.2_192.0_59.csv,144,59,"[-22.6, -45.7, 18.2, 192.0]","[-22.600000000000122, -45.69999999999951, 18.19999999999968, 191.99999999999994]",15
sphere3D_-23.0_34.4_-51.7_147.0_2152.csv,5249,2152,"[-23.0, 34.4, -51.7, 147.0]","[-22.99999999999997, 34.39999999999994, -51.69999999999991, 147.0]",9
sphere3D_-23.1_38.2_-60.0_162.0_316.csv,772,316,"[-23.1, 38.2, -60.0, 162.0]","[-23.100000000000108, 38.200000000000095, -60.000000000000036, 161.99999999999983]",9
sphere3D_-26.5_22.1_-1.6_182.0_1972.csv,4810,1972,"[-26.5, 22.1, -1.6, 182.0]","[-26.500000000000036, 22.099999999999607, -1.5999999999997292, 181.99999999999997]",9
sphere3D_-27.6_-39.9_33.8_136.0_1278.csv,3119,1278,"[-27.6, -39.9, 33.8, 136.0]","[-27.600000000000023, -39.900000000000055, 33.80000000000006, 136.00000000000006]",8
sphere3D_-27.8_42.7_24.1_107.0_1847.csv,4506,1847,"[-27.8, 42.7, 24.1, 107.0]","[-27.800000000000107, 42.69999999999986, 24.10000000000003, 106.99999999999994]",9
sphere3D_-28.9_57.7_7.5_126.0_1357.csv,3311,1357,"[-28.9, 57.7, 7.5, 126.0]","[-28.899999999999988, 57.69999999999985, 7.500000000000006, 126.00000000000004]",11
sphere3D_-29.9_-42.4_-16.6_178.0_298.csv,728,298,"[-29.9, -42.4, -16.6, 178.0]","[-29.900000000000176, -42.40000000000016, -16.599999999999845, 177.99999999999991]",11
sphere3D_-31.5_37.5_-29.5_112.0_1343.csv,3277,1343,"[-31.5, 37.5, -29.5, 112.0]","[-31.500000000000043, 37.500000000000036, -29.500000000000043, 111.99999999999991]",13
sphere3D_-31.9_-31.7_-14.3_58.0_1302.csv,3177,1302,"[-31.9, -31.7, -14.3, 58.0]","[-31.899999999999874, -31.699999999999957, -14.300000000000018, 58.00000000000008]",13
sphere3D_-32.0_-49.5_2.9_143.0_2428.csv,5922,2428,"[-32.0, -49.5, 2.9, 143.0]","[-32.0, -49.49999999999985, 2.8999999999997663, 143.00000000000006]",10
sphere3D_-33.2_-37.5_-48.6_193.0_557.csv,1359,557,"[-33.2, -37.5, -48.6, 193.0]","[-33.199999999999804, -37.50000000000042, -48.59999999999965, 193.00000000000003]",9
sphere3D_-34.7_4.9_-8.1_121.0_810.csv,1976,810,"[-34.7, 4.9, -8.1, 121.0]","[-34.699999999999925, 4.9000000000001664, -8.100000000000248, 121.00000000000003]",11
sphere3D_-35.7_33.4_-22.3_136.0_1373.csv,3350,1373,"[-35.7, 33.4, -22.3, 136.0]","[-35.69999999999985, 33.40000000000005, -22.300000000000026, 136.00000000000006]",14
sphere3D_-36.7_52.0_12.0_185.0_1775.csv,4331,1775,"[-36.7, 52.0, 12.0, 185.0]","[-36.69999999999978, 52.00000000000031, 11.999999999999922, 184.99999999999997]",14
sphere3D_-4.3_-39.8_22.7_52.0_1586.csv,3870,1586,"[-4.3, -39.8, 22.7, 52.0]","[-4.299999999999992, -39.80000000000003, 22.700000000000024, 51.99999999999995]",12
sphere3D_-4.9_-15.5_-47.8_18.0_909.csv,2218,909,"[-4.9, -15.5, -47.8, 18.0]","[-4.900000000000281, -15.500000000000023, -47.80000000000005, 17.99999999999981]",12
sphere3D_-40.5_39.7_-34.5_15.0_972.csv,2373,972,"[-40.5, 39.7, -34.5, 15.0]","[-40.49999999999924, 39.70000000000038, -34.5000000000003, 15.00000000000094]",10
sphere3D_-41.3_12.2_-47.0_75.0_1494.csv,3646,1494,"[-41.3, 12.2, -47.0, 75.0]","[-41.30000000000003, 12.19999999999987, -46.9999999999999, 74.99999999999994]",9
sphere3D_-44.3_48.8_-5.4_85.0_952.csv,2322,952,"[-44.3, 48.8, -5.4, 85.0]","[-44.3, 48.79999999999992, -5.399999999999991, 85.0]",9
sphere3D_-46.8_23.1_20.7_162.0_1070.csv,2610,1070,"[-46.8, 23.1, 20.7, 162.0]","[-46.80000000000006, 23.099999999999767, 20.700000000000102, 161.99999999999997]",12
sphere3D_-47.5_31.5_55.3_79.0_689.csv,1682,689,"[-47.5, 31.5, 55.3, 79.0]","[-47.50000000000003, 31.500000000000117, 55.29999999999995, 79.0]",10
sphere3D_-47.9_0.5_-28.2_72.0_25.csv,61,25,"[-47.9, 0.5, -28.2, 72.0]","[-47.900000000000254, 0.4999999999992814, -28.199999999999648, 71.99999999999993]",10
sphere3D_-48.2_-25.3_32.5_98.0_1109.csv,2707,1109,"[-48.2, -25.3, 32.5, 98.0]","[-48.19999999999995, -25.299999999999944, 32.49999999999996, 97.99999999999994]",10
sphere3D_-48.5_29.1_-51.8_200.0_2015.csv,4915,2015,"[-48.5, 29.1, -51.8, 200.0]","[-48.499999999999915, 29.100000000000133, -51.800000000000175, 200.00000000000003]",10
sphere3D_-49.3_35.8_-50.6_83.0_1920.csv,4683,1920,"[-49.3, 35.8, -50.6, 83.0]","[-49.299999999999876, 35.80000000000005, -50.599999999999994, 82.99999999999997]",12
sphere3D_-5.2_16.6_17.3_110.0_1340.csv,3269,1340,"[-5.2, 16.6, 17.3, 110.0]","[-5.200000000000161, 16.599999999999845, 17.3000000000001, 110.00000000000001]",11
sphere3D_-50.6_38.3_-8.4_115.0_1211.csv,2955,1211,"[-50.6, 38.3, -8.4, 115.0]","[-50.599999999999866, 38.30000000000002, -8.40000000000005, 115.00000000000001]",10
sphere3D_-51.0_-40.8_-11.0_74.0_617.csv,1505,617,"[-51.0, -40.8, -11.0, 74.0]","[-50.9999999999999, -40.799999999999876, -11.000000000000037, 74.00000000000003]",10
sphere3D_-51.1_-25.4_19.3_42.0_1908.csv,4655,1908,"[-51.1, -25.4, 19.3, 42.0]","[-51.10000000000082, -25.39999999999963, 19.299999999999798, 41.999999999999645]",11
sphere3D_-55.0_-0.7_43.6_100.0_82.csv,201,82,"[-55.0, -0.7, 43.6, 100.0]","[-55.00000000000006, -0.6999999999997675, 43.599999999999994, 100.00000000000001]",12
sphere3D_-55.7_59.5_-14.5_84.0_1819.csv,4438,1819,"[-55.7, 59.5, -14.5, 84.0]","[-55.69999999999986, 59.499999999999716, -14.499999999999863, 83.99999999999999]",11
sphere3D_-57.6_-31.1_-44.2_10.0_733.csv,1790,733,"[-57.6, -31.1, -44.2, 10.0]","[-57.600000000006, -31.099999999997475, -44.20000000000057, 9.999999999998044]",10
sphere3D_-59.2_-8.2_12.2_132.0_1307.csv,3190,1307,"[-59.2, -8.2, 12.2, 132.0]","[-59.199999999999854, -8.199999999999708, 12.19999999999979, 132.00000000000014]",9
sphere3D_-59.7_46.9_-51.5_92.0_650.csv,1587,650,"[-59.7, 46.9, -51.5, 92.0]","[-59.69999999999982, 46.89999999999955, -51.49999999999979, 92.00000000000027]",11
sphere3D_-7.5_2.2_32.0_64.0_2134.csv,5205,2134,"[-7.5, 2.2, 32.0, 64.0]","[-7.49999999999994, 2.200000000000025, 31.999999999999947, 64.00000000000004]",13
sphere3D_-8.3_59.8_-5.8_165.0_972.csv,2371,972,"[-8.3, 59.8, -5.8, 165.0]","[-8.300000000000168, 59.80000000000005, -5.800000000000335, 164.99999999999991]",8
sphere3D_0.8_-44.4_45.2_165.0_2154.csv,5254,2154,"[0.8, -44.4, 45.2, 165.0]","[0.800000000000094, -44.39999999999961, 45.19999999999977, 165.0]",11
sphere3D_10.1_5.6_4.2_149.0_1802.csv,4396,1802,"[10.1, 5.6, 4.2, 149.0]","[10.09999999999989, 5.599999999999957, 4.200000000000112, 149.00000000000003]",9
