1,2,3,4,5,6,7,8
sphere3D_-0.0_-94.3_48.4_56.0_321.csv,1530,321,"[-0.0, -94.3, 48.4, 56.0]","[-0.0025154403200566867, -94.19873888870741, 48.33134322243108, -56.017598040248714]",100,1.1045907988894485e7,229
sphere3D_-1.7_-45.1_10.6_32.0_222.csv,1061,222,"[-1.7, -45.1, 10.6, 32.0]","[-1.912487633270836, -45.1449716045258, 10.655446900143641, -32.00126654561657]",7,2.3539659286153573e6,21
sphere3D_-10.3_75.9_72.1_151.0_395.csv,1884,395,"[-10.3, 75.9, 72.1, 151.0]","[-10.289694194207748, 75.91519050639033, 72.10377964612056, 151.00082243535746]",100,1.1549156954650237e8,229
sphere3D_-103.0_75.3_-38.7_98.0_350.csv,1669,350,"[-103.0, 75.3, -38.7, 98.0]","[-102.9973410385694, 75.21410402424941, -38.716835362999134, -97.97054059476764]",100,4.471842315047531e7,226
sphere3D_-108.4_-115.2_-118.0_141.0_110.csv,524,110,"[-108.4, -115.2, -118.0, 141.0]","[-108.33433572525533, -115.24628048444552, -117.95381347308356, -140.93398093047566]",100,3.1138908219541438e7,223
sphere3D_-109.6_97.5_-56.7_139.0_291.csv,1389,291,"[-109.6, 97.5, -56.7, 139.0]","[-109.61196971903544, 97.55586918619566, -56.80614046969334, -138.95660082919224]",100,7.706985707325576e7,100
sphere3D_-111.9_-93.3_55.4_23.0_89.csv,428,89,"[-111.9, -93.3, 55.4, 23.0]","[-111.9541371143119, -93.51884490439095, 55.62451119939283, -23.109709598533772]",7,540125.9235077879,8
sphere3D_-112.3_96.4_68.5_53.0_12.csv,60,12,"[-112.3, 96.4, 68.5, 53.0]","[-112.43276777682155, 96.160653579561, 68.84918650870344, -52.991349506893215]",5,356762.9245779294,5
sphere3D_-114.0_78.6_-110.2_150.0_177.csv,846,177,"[-114.0, 78.6, -110.2, 150.0]","[-114.01881930760032, 78.61929302341872, -110.14888590241313, -150.02059191832612]",100,4.827231289508013e7,100
sphere3D_-114.5_46.3_90.8_147.0_95.csv,453,95,"[-114.5, 46.3, 90.8, 147.0]","[-114.71235674480094, 46.28231136467229, 90.7945741660331, -146.88490074614413]",100,2.7273428744644325e7,100
sphere3D_-116.5_42.1_46.8_91.0_130.csv,621,130,"[-116.5, 42.1, 46.8, 91.0]","[-116.56949932382875, 41.94476962893814, 46.76166624022444, -91.04612565790679]",8,1.3687570215343423e7,19
sphere3D_-118.7_22.4_-4.9_48.0_178.csv,851,178,"[-118.7, 22.4, -4.9, 48.0]","[-118.70929058765542, 22.202589526830877, -4.801859984175135, -48.04296655633762]",7,4.765613055565582e6,19
sphere3D_-119.6_119.0_-58.4_118.0_82.csv,393,82,"[-119.6, 119.0, -58.4, 118.0]","[-119.5978514991815, 119.11688774593269, -58.46087161449921, -118.05780430144694]",6,1.733835808790329e7,6
sphere3D_-12.4_-17.8_28.1_25.0_306.csv,1460,306,"[-12.4, -17.8, 28.1, 25.0]","[-12.285144192367895, -17.66361647128495, 28.04292968094224, -24.96525148366947]",10,1.849072646378577e6,27
sphere3D_-13.2_83.3_-58.5_99.0_317.csv,1514,317,"[-13.2, 83.3, -58.5, 99.0]","[-13.174457155590716, 82.99654553189599, -58.34635010785375, -99.01126298928757]",100,3.974601726657802e7,225
sphere3D_-19.9_35.2_-115.1_138.0_153.csv,729,153,"[-19.9, 35.2, -115.1, 138.0]","[-19.838310051307076, 35.21786140152158, -115.14842817151829, 138.05963850595774]",100,3.6167488048971795e7,227
sphere3D_-20.2_43.6_-77.8_148.0_377.csv,1797,377,"[-20.2, 43.6, -77.8, 148.0]","[-20.170108037433053, 43.608648136404724, -77.79496081121007, 147.9821175096583]",100,1.0223236159378293e8,227
sphere3D_-25.7_-104.3_93.9_130.0_140.csv,668,140,"[-25.7, -104.3, 93.9, 130.0]","[-25.60635700307012, -104.37368078362739, 93.92751027069329, -129.95323241684306]",100,3.1517228295606013e7,125
sphere3D_-26.8_114.9_-47.6_124.0_3.csv,16,3,"[-26.8, 114.9, -47.6, 124.0]","[-27.052075750987285, 118.78532321309496, -43.35584496299494, -126.09421154087953]",0,1.5753795969429258e7,0
sphere3D_-30.0_-98.3_34.5_34.0_390.csv,1860,390,"[-30.0, -98.3, 34.5, 34.0]","[-30.119800007812934, -98.55206936865123, 34.657291606232384, -34.018328218836565]",7,5.249630643563149e6,7
sphere3D_-30.5_56.4_-105.5_74.0_175.csv,836,175,"[-30.5, 56.4, -105.5, 74.0]","[-30.392699556782752, 56.37154527548336, -105.51443687149123, -74.13260999834337]",9,1.1064627698861185e7,29
sphere3D_-31.2_-91.8_113.7_75.0_414.csv,1972,414,"[-31.2, -91.8, 113.7, 75.0]","[-31.197552520694625, -91.74907433505807, 113.75852398152095, -74.9704139136161]",100,2.7987116112794105e7,218
sphere3D_-36.0_30.9_23.2_133.0_297.csv,1416,297,"[-36.0, 30.9, 23.2, 133.0]","[-36.004760939741196, 30.876103209715072, 23.273846352727443, 132.96503974828647]",100,7.23214531551587e7,225
sphere3D_-45.5_-23.7_-59.6_149.0_280.csv,1338,280,"[-45.5, -23.7, -59.6, 149.0]","[-45.510040671629994, -23.624734651535217, -59.54033497809778, 149.0622867666918]",100,8.093738401538186e7,225
sphere3D_-5.1_116.5_-93.3_156.0_334.csv,1591,334,"[-5.1, 116.5, -93.3, 156.0]","[-5.0504304295815565, 116.59552755564215, -93.3287817546134, 156.03127401240832]",100,1.0995683332351014e8,225
