1,2,3,4,5,6,7,8
sphere3D_-0.0_-94.3_48.4_56.0_321.csv,1530,321,"[-0.0, -94.3, 48.4, 56.0]","[-0.0025154403197721826, -94.19873888870825, 48.331343222431656, -56.01759804024867]",9,1.1045907988894481e7,22
sphere3D_-1.7_-45.1_10.6_32.0_222.csv,1061,222,"[-1.7, -45.1, 10.6, 32.0]","[-1.9124876332720995, -45.14497160451632, 10.655446900137559, -32.00126654561207]",9,2.353965928615359e6,20
sphere3D_-10.3_75.9_72.1_151.0_395.csv,1884,395,"[-10.3, 75.9, 72.1, 151.0]","[-10.286641087680874, 75.91248332393094, 72.10260418261322, 150.99840222156385]",8,1.154911000704231e8,26
sphere3D_-103.0_75.3_-38.7_98.0_350.csv,1669,350,"[-103.0, 75.3, -38.7, 98.0]","[-102.9929331536396, 75.19862454710379, -38.69911165730342, -97.96840205919507]",8,4.471818462970863e7,22
sphere3D_-108.4_-115.2_-118.0_141.0_110.csv,524,110,"[-108.4, -115.2, -118.0, 141.0]","[-108.33433572525533, -115.2462804844455, -117.95381347308356, -140.93398093047568]",8,3.113890821954147e7,23
sphere3D_-109.6_97.5_-56.7_139.0_291.csv,1389,291,"[-109.6, 97.5, -56.7, 139.0]","[-109.61196971903544, 97.55586918619565, -56.80614046969333, -138.95660082919224]",7,7.706985707325572e7,24
sphere3D_-111.9_-93.3_55.4_23.0_89.csv,428,89,"[-111.9, -93.3, 55.4, 23.0]","[-111.95413711434335, -93.51884490439458, 55.624511199395, -23.10970959850775]",10,540125.923507788,19
sphere3D_-112.3_96.4_68.5_53.0_12.csv,60,12,"[-112.3, 96.4, 68.5, 53.0]","[-112.43276777682176, 96.16065357956022, 68.84918650870394, -52.991349506893194]",6,356762.9245779295,15
sphere3D_-114.0_78.6_-110.2_150.0_177.csv,846,177,"[-114.0, 78.6, -110.2, 150.0]","[-113.97622970615944, 78.61023723046226, -110.1454843082895, -150.01565743864612]",7,4.82813142141232e7,21
sphere3D_-114.5_46.3_90.8_147.0_95.csv,453,95,"[-114.5, 46.3, 90.8, 147.0]","[-114.71235674480094, 46.28231136467229, 90.7945741660331, -146.8849007461441]",8,2.727342874464432e7,19
sphere3D_-116.5_42.1_46.8_91.0_130.csv,621,130,"[-116.5, 42.1, 46.8, 91.0]","[-116.56949932382875, 41.94476962893822, 46.7616662402244, -91.04612565790679]",8,1.3687570215343427e7,23
sphere3D_-118.7_22.4_-4.9_48.0_178.csv,851,178,"[-118.7, 22.4, -4.9, 48.0]","[-118.70929058765547, 22.202589526840395, -4.801859984181128, -48.04296655633745]",9,4.765613055565581e6,25
sphere3D_-119.6_119.0_-58.4_118.0_82.csv,393,82,"[-119.6, 119.0, -58.4, 118.0]","[-119.59785149918152, 119.11688774593263, -58.460871614499176, -118.05780430144692]",7,1.7338358087903284e7,20
sphere3D_-12.4_-17.8_28.1_25.0_306.csv,1460,306,"[-12.4, -17.8, 28.1, 25.0]","[-12.285144192369547, -17.663616471282577, 28.042929680940897, -24.965251483667583]",10,1.8490726463785768e6,21
sphere3D_-13.2_83.3_-58.5_99.0_317.csv,1514,317,"[-13.2, 83.3, -58.5, 99.0]","[-13.174457155590728, 82.99654553189599, -58.346350107853745, -99.01126298928757]",9,3.974601726657801e7,17
sphere3D_-19.9_35.2_-115.1_138.0_153.csv,729,153,"[-19.9, 35.2, -115.1, 138.0]","[-19.838310051307076, 35.21786140152159, -115.14842817151829, 138.05963850595774]",7,3.616748804897176e7,20
sphere3D_-20.2_43.6_-77.8_148.0_377.csv,1797,377,"[-20.2, 43.6, -77.8, 148.0]","[-20.170108037433053, 43.60864813640476, -77.79496081121009, 147.9821175096583]",8,1.0223236159378292e8,25
sphere3D_-25.7_-104.3_93.9_130.0_140.csv,668,140,"[-25.7, -104.3, 93.9, 130.0]","[-25.606357003070123, -104.37368078362739, 93.92751027069329, -129.95323241684306]",7,3.1517228295606006e7,23
sphere3D_-26.8_114.9_-47.6_124.0_3.csv,16,3,"[-26.8, 114.9, -47.6, 124.0]","[-27.4533652030368, 115.28242619146107, -47.72859655069083, -123.70898063666797]",6,678533.9507782336,9
sphere3D_-30.0_-98.3_34.5_34.0_390.csv,1860,390,"[-30.0, -98.3, 34.5, 34.0]","[-30.11980000781302, -98.55206936865136, 34.65729160623247, -34.018328218836466]",11,5.2496306435631495e6,23
sphere3D_-30.5_56.4_-105.5_74.0_175.csv,836,175,"[-30.5, 56.4, -105.5, 74.0]","[-30.37868761309446, 56.33668935225978, -105.48243203945235, -74.13487002805972]",9,1.1064033510653302e7,26
sphere3D_-31.2_-91.8_113.7_75.0_414.csv,1972,414,"[-31.2, -91.8, 113.7, 75.0]","[-31.19755252069462, -91.74907433505801, 113.75852398152091, -74.9704139136161]",10,2.7987116112794098e7,31
sphere3D_-36.0_30.9_23.2_133.0_297.csv,1416,297,"[-36.0, 30.9, 23.2, 133.0]","[-36.0047609397412, 30.876103209715055, 23.27384635272745, 132.96503974828644]",9,7.232145315515873e7,26
sphere3D_-45.5_-23.7_-59.6_149.0_280.csv,1338,280,"[-45.5, -23.7, -59.6, 149.0]","[-45.51958993628192, -23.612402417341322, -59.555150463404715, 149.05557549315938]",9,8.094007999438627e7,26
sphere3D_-5.1_116.5_-93.3_156.0_334.csv,1591,334,"[-5.1, 116.5, -93.3, 156.0]","[-5.050430429582174, 116.59552755564499, -93.32878175461516, 156.03127401240747]",6,1.099568333235101e8,18
sphere3D_-52.9_76.5_-77.5_26.0_405.csv,1932,405,"[-52.9, 76.5, -77.5, 26.0]","[-53.01260330925319, 76.57698548833697, -77.57251608508649, -26.026885669544125]",11,2.719893569113424e6,23
sphere3D_-54.7_108.5_3.6_7.0_78.csv,372,78,"[-54.7, 108.5, 3.6, 7.0]","[-54.81247642185268, 108.43329828226561, 3.3647025699629713, -7.05427545776151]",15,30718.238942445347,21
sphere3D_-54.9_-98.9_-75.7_14.0_380.csv,1814,380,"[-54.9, -98.9, -75.7, 14.0]","[-54.91916150509687, -99.03043782757561, -75.60525417350146, -14.01797067622448]",14,619363.3472904742,25
sphere3D_-58.3_-45.2_24.6_117.0_219.csv,1045,219,"[-58.3, -45.2, 24.6, 117.0]","[-58.38984455675928, -45.286530105080836, 24.713285827243173, 116.98140891709036]",8,4.035173036014787e7,25
