1,2,3,4,5,6
sphere3D_-0.0_-94.3_48.4_56.0_321.csv,1530,321,"[-0.0025154403262064675, -94.19873888870687, 48.33134322243005, 56.017598040248345]",6,1.104590798889448e7
sphere3D_-1.7_-45.1_10.6_32.0_222.csv,1061,222,"[-1.9124876332690548, -45.14497160452518, 10.655446900143218, 32.00126654561681]",6,2.35396592861536e6
sphere3D_-10.3_75.9_72.1_151.0_395.csv,1884,395,"[-10.289694194218631, 75.91519050638867, 72.10377964612087, 151.00082243535823]",6,1.154915695465024e8
sphere3D_-103.0_75.3_-38.7_98.0_350.csv,1669,350,"[-102.99734103856655, 75.21410402424833, -38.71683536299847, 97.97054059476511]",7,4.471842315047531e7
sphere3D_-108.4_-115.2_-118.0_141.0_110.csv,524,110,"[-108.33433572524426, -115.24628048444436, -117.95381347308557, 140.93398093046642]",5,3.1138908219541457e7
sphere3D_-109.6_97.5_-56.7_139.0_291.csv,1389,291,"[-109.61196971903672, 97.55586918619461, -56.80614046969257, 138.9566008291932]",6,7.706985707325578e7
sphere3D_-111.9_-93.3_55.4_23.0_89.csv,428,89,"[-111.99825257519825, -93.48103079939786, 55.579030010084665, 23.149704622279867]",3,542148.8600416785
sphere3D_-112.3_96.4_68.5_53.0_12.csv,60,12,"[-112.43276777681238, 96.16065357956238, 68.84918650870307, 52.99134950687931]",3,356762.9245779298
sphere3D_-114.0_78.6_-110.2_150.0_177.csv,846,177,"[-114.01881930760287, 78.61929302342045, -110.14888590241479, 150.02059191832814]",5,4.827231289508013e7
sphere3D_-114.5_46.3_90.8_147.0_95.csv,453,95,"[-114.73798063860784, 46.242668273889365, 90.83981959345795, 146.86641593930565]",7,2.72557571414807e7
sphere3D_-116.5_42.1_46.8_91.0_130.csv,621,130,"[-116.56949932382679, 41.94476962893753, 46.76166624022409, 91.04612565790507]",6,1.368757021534343e7
sphere3D_-118.7_22.4_-4.9_48.0_178.csv,851,178,"[-118.70929058765601, 22.20258952683095, -4.8018599841751675, 48.04296655633819]",5,4.765613055565579e6
sphere3D_-119.6_119.0_-58.4_118.0_82.csv,393,82,"[-119.59785149916996, 119.11688774593424, -58.460871614500086, 118.05780430143572]",5,1.7338358087903287e7
sphere3D_-12.4_-17.8_28.1_25.0_306.csv,1460,306,"[-12.285144192367817, -17.663616471284907, 28.042929680942226, 24.965251483669423]",7,1.8490726463785768e6
sphere3D_-13.2_83.3_-58.5_99.0_317.csv,1514,317,"[-13.174457155593469, 82.99654553189498, -58.34635010785298, 99.01126298928763]",6,3.974601726657803e7
sphere3D_-19.9_35.2_-115.1_138.0_153.csv,729,153,"[-19.83831005130928, 35.2178614015227, -115.1484281715193, 138.0596385059579]",6,3.616748804897179e7
sphere3D_-20.2_43.6_-77.8_148.0_377.csv,1797,377,"[-20.17010803743308, 43.608648136404646, -77.79496081120988, 147.98211750965797]",5,1.0223236159378298e8
sphere3D_-25.7_-104.3_93.9_130.0_140.csv,668,140,"[-25.606357003054697, -104.37368078362819, 93.92751027069382, 129.95323241683968]",5,3.1517228295605965e7
sphere3D_-26.8_114.9_-47.6_124.0_3.csv,16,3,"[-27.453365203033865, 115.28242619146656, -47.72859655069301, 123.70898063666414]",4,678533.950778231
sphere3D_-30.0_-98.3_34.5_34.0_390.csv,1860,390,"[-30.120652674983763, -98.55217953126137, 34.66108019797681, 34.02066325965152]",5,5.249721012835291e6
sphere3D_-30.5_56.4_-105.5_74.0_175.csv,836,175,"[-30.392699556787484, 56.37154527547992, -105.51443687148831, 74.13260999834523]",5,1.1064627698861174e7
sphere3D_-31.2_-91.8_113.7_75.0_414.csv,1972,414,"[-31.197552520690873, -91.74907433505909, 113.75852398152144, 74.97041391361468]",7,2.7987116112794105e7
sphere3D_-36.0_30.9_23.2_133.0_297.csv,1416,297,"[-36.00476093974286, 30.876103209714675, 23.27384635272772, 132.9650397482871]",7,7.232145315515871e7
sphere3D_-45.5_-23.7_-59.6_149.0_280.csv,1338,280,"[-45.51004067163031, -23.624734651535153, -59.54033497809773, 149.06228676669193]",4,8.093738401538186e7
sphere3D_-5.1_116.5_-93.3_156.0_334.csv,1591,334,"[-5.050430429586018, 116.59552755564218, -93.3287817546122, 156.03127401240894]",5,1.0995683332351017e8
sphere3D_-52.9_76.5_-77.5_26.0_405.csv,1932,405,"[-53.013653232563925, 76.57212494553708, -77.57250659013955, 26.02879574457172]",5,2.719938304708631e6
sphere3D_-54.7_108.5_3.6_7.0_78.csv,372,78,"[-54.834828495713104, 108.38347535069917, 3.481102443633354, 7.179110745345927]",2,31399.384453200404
sphere3D_-54.9_-98.9_-75.7_14.0_380.csv,1814,380,"[-54.93088534059075, -99.02981526847745, -75.62326940774466, 14.048349513361286]",3,620121.4732533405
sphere3D_-58.3_-45.2_24.6_117.0_219.csv,1045,219,"[-58.38763958417933, -45.2722994516726, 24.69607405402339, 116.98190326222463]",6,4.035342855272367e7
sphere3D_-59.2_59.5_-31.5_112.0_168.csv,800,168,"[-59.25017247101717, 59.3249567114533, -31.425931747633705, 111.96785230663399]",6,2.58239585156004e7
sphere3D_-63.6_-77.9_-104.9_85.0_106.csv,509,106,"[-63.80245572044885, -78.06133469959717, -104.84691944354056, 84.9329714309185]",4,1.0365483794482248e7
sphere3D_-63.7_108.5_96.2_144.0_342.csv,1633,342,"[-63.69028232097006, 108.37912006477308, 96.25556417450144, 144.04682672522785]",6,9.384992235527432e7
sphere3D_-66.4_59.0_43.5_98.0_48.csv,233,48,"[-66.50278967693157, 59.29523234632872, 43.36586392573104, 97.81364696576163]",6,5.38017491348894e6
sphere3D_-67.6_53.2_-34.3_79.0_333.csv,1589,333,"[-67.66475501907023, 53.03654277156283, -34.2835091048144, 79.02786078655457]",5,2.44549678846619e7
sphere3D_-70.2_3.4_111.1_68.0_217.csv,1034,217,"[-70.2649279333384, 3.3277063606040738, 111.17160323094781, 68.01298808021339]",5,1.2549165021071661e7
sphere3D_-71.5_107.2_-13.6_63.0_371.csv,1768,371,"[-71.41769388506003, 107.25452906373759, -13.636189589446555, 63.04299330373945]",7,1.745761014959457e7
sphere3D_-74.1_-64.6_15.2_72.0_354.csv,1688,354,"[-73.98305117805181, -64.60378448108217, 15.141599213168952, 72.02901733915873]",6,2.3006058687486045e7
sphere3D_-75.1_-24.1_91.1_164.0_34.csv,162,34,"[-74.95687241550824, -24.202381306286764, 91.23450261160026, 164.14797610219244]",5,1.1093641783807358e7
sphere3D_-79.2_-62.1_-84.8_83.0_78.csv,376,78,"[-79.20220778569971, -61.994889040748035, -84.6830460940829, 83.07229282936801]",5,6.457462911553591e6
sphere3D_-81.4_41.5_-60.3_57.0_123.csv,589,123,"[-81.47781130425416, 41.494310601837526, -60.40188146789426, 57.053936010180706]",5,5.45039986583467e6
sphere3D_-81.6_-20.3_-2.8_135.0_65.csv,311,65,"[-81.37760581650068, -20.162410467724172, -2.8240155962292675, 135.09311466027094]",6,1.352252816719798e7
sphere3D_-82.8_-81.0_5.7_13.0_138.csv,659,138,"[-82.85942948404023, -81.04138508098504, 5.801886643890821, 12.974322583809782]",4,195091.5024558492
sphere3D_-84.1_84.0_67.1_82.0_144.csv,687,144,"[-84.24940389840354, 84.01538653147813, 67.01479943544032, 81.98942883732454]",6,1.248368057198894e7
sphere3D_-84.7_58.7_-72.8_46.0_412.csv,1965,412,"[-84.75453225194636, 58.623947789927016, -72.74646428343289, 46.0073765788922]",5,9.795290548773328e6
sphere3D_-94.3_-93.4_-116.2_170.0_314.csv,1496,314,"[-94.41076038332044, -93.46078189236994, -116.14786586168931, 169.95241164786398]",5,1.2281917124203442e8
sphere3D_-94.3_54.5_-24.1_19.0_32.csv,154,32,"[-94.5122508238674, 54.579284088758286, -23.889089021219256, 19.002742308034755]",4,87914.32603870539
sphere3D_-96.7_-51.3_-30.6_80.0_186.csv,890,186,"[-96.66054408837839, -51.12966218512125, -30.780797723412, 79.97996242257629]",5,1.529397754394356e7
sphere3D_-97.7_-41.3_91.0_96.0_34.csv,165,34,"[-97.64696342010744, -41.40738287961338, 91.08782765503052, 96.10281999766707]",4,4.34557947163975e6
sphere3D_0.6_-8.9_-84.3_19.0_331.csv,1579,331,"[0.3543316697712699, -9.051334126595725, -84.25056335434925, 18.904218798231994]",5,1.074350068478185e6
sphere3D_0.8_9.9_114.6_14.0_301.csv,1436,301,"[0.7805584804575729, 10.038586322554826, 114.59595800124083, 14.036803978613154]",4,520870.4326475364
sphere3D_100.9_-33.0_100.2_37.0_257.csv,1227,257,"[100.832322322117, -32.95758409305985, 100.27207717907659, 36.982957491867815]",5,3.7575699397529475e6
sphere3D_105.5_-3.8_6.8_21.0_104.csv,498,104,"[105.23033215274901, -3.6544656315405284, 6.769356202344471, 20.957602615013993]",4,421128.57148263004
sphere3D_108.2_-4.8_-76.6_26.0_338.csv,1614,338,"[108.09586617775014, -4.77739608232355, -76.6621267419317, 26.01769592102043]",5,2.34372848350739e6
sphere3D_108.6_53.5_75.2_79.0_104.csv,497,104,"[108.493394086734, 53.79550253458824, 74.98781831320724, 79.04488643590446]",4,8.690178495045325e6
sphere3D_111.7_-69.1_118.3_138.0_266.csv,1268,266,"[111.65095640750948, -69.21981731326274, 118.4591894574315, 138.0181272345275]",5,6.428072868437631e7
sphere3D_112.4_40.9_-45.2_85.0_42.csv,202,42,"[112.52307270404151, 41.290617826278435, -45.30987799240093, 85.12857557676155]",5,3.2261132651367476e6
sphere3D_115.7_-75.6_104.4_49.0_270.csv,1289,270,"[115.60555227347241, -75.64125982803414, 104.38483310773645, 49.059559348320875]",5,7.401819034687998e6
sphere3D_117.9_-21.8_83.3_5.0_303.csv,1444,303,"[117.7141214081154, -21.88082226640755, 83.37626271616324, 5.200419264665797]",2,51958.567498893804
