1,2,3,4,5,6
sphere3D_-0.0_-94.3_48.4_56.0_321.csv,1530,321,"[-0.018064493619942862, -94.41839502574281, 48.45155199936386, 55.996114166388]",6,1.111979993374186e7
sphere3D_-1.7_-45.1_10.6_32.0_222.csv,1061,222,"[-1.990639480110952, -45.91378548921145, 11.064835080343258, 31.945196973578796]",7,2.5152653974422975e6
sphere3D_-10.3_75.9_72.1_151.0_395.csv,1884,395,"[-10.233981729332976, 75.8358273699259, 72.12221954914968, 151.03996630189118]",6,1.1570324151667805e8
sphere3D_-103.0_75.3_-38.7_98.0_350.csv,1669,350,"[-103.16164851175544, 75.41356496662573, -38.84069296913761, 97.90986505209042]",9,4.518209330368499e7
sphere3D_-108.4_-115.2_-118.0_141.0_110.csv,524,110,"[-108.39943336597763, -115.2898683293006, -117.9537614397314, 140.90691035148245]",6,3.1190777737759467e7
sphere3D_-109.6_97.5_-56.7_139.0_291.csv,1389,291,"[-109.86475161243334, 97.94505839804437, -57.03527573830881, 138.86715285044886]",12,7.965345201017302e7
sphere3D_-111.9_-93.3_55.4_23.0_89.csv,428,89,"[-112.11575330204765, -93.67813371029396, 55.69931884636819, 23.09694242605424]",3,541308.8446988119
sphere3D_-112.3_96.4_68.5_53.0_12.csv,60,12,"[-112.47276794078508, 96.18628249708799, 68.84397961645867, 52.98148316599809]",3,356976.3962824841
sphere3D_-114.0_78.6_-110.2_150.0_177.csv,846,177,"[-114.16983891214704, 78.85106294188124, -110.32177873151534, 149.94756787287918]",8,4.9009109133420415e7
sphere3D_-114.5_46.3_90.8_147.0_95.csv,453,95,"[-172.96045385114485, 8.34279359530008, 152.4854542757912, 140.24709125397757]",5,1.7745465411569e10
sphere3D_-116.5_42.1_46.8_91.0_130.csv,621,130,"[-116.72433453843485, 41.97194875086056, 46.796999811372835, 90.96882352492706]",7,1.3769929822964273e7
sphere3D_-118.7_22.4_-4.9_48.0_178.csv,851,178,"[-118.80124267459331, 22.234305317251952, -4.811994587200937, 48.00587434571936]",5,4.775201579367891e6
sphere3D_-119.6_119.0_-58.4_118.0_82.csv,393,82,"[-119.71987917483644, 119.31899852394193, -58.6222820092192, 117.97058049598118]",7,1.7428328185968947e7
sphere3D_-12.4_-17.8_28.1_25.0_306.csv,1460,306,"[-12.683382098116738, -18.617641213858754, 28.738227552518783, 24.807934752296926]",11,2.1319326256257854e6
sphere3D_-13.2_83.3_-58.5_99.0_317.csv,1514,317,"[-60.4804937459438, 158.92492802315465, -139.8470960075637, 132.45006592437974]",7,3.1499325797246487e10
sphere3D_-19.9_35.2_-115.1_138.0_153.csv,729,153,"[-19.749453512136725, 34.89231404302906, -114.87656982474795, 138.153160570522]",12,3.724971507661805e7
sphere3D_-20.2_43.6_-77.8_148.0_377.csv,1797,377,"[-20.136241311723644, 43.511735499030145, -77.72760056658883, 148.01070811365915]",6,1.024709604923206e8
sphere3D_-25.7_-104.3_93.9_130.0_140.csv,668,140,"[-62.258519958705875, -159.3769581714205, 152.94125111485099, 134.87003507181808]",11,1.3337322972988792e10
sphere3D_-26.8_114.9_-47.6_124.0_3.csv,16,3,"[0.2526357233808746, 66.41944201852994, 5.536107070610429, 164.46515780050015]",4,2.622411309128534e8
sphere3D_-30.0_-98.3_34.5_34.0_390.csv,1860,390,"[-30.191498734199946, -98.77753707309789, 34.80072643470379, 33.988533915791685]",5,5.280398026099446e6
sphere3D_-30.5_56.4_-105.5_74.0_175.csv,836,175,"[-30.441996781208505, 56.54147285019474, -105.64512993358917, 74.10680478889205]",6,1.112419315344103e7
sphere3D_-31.2_-91.8_113.7_75.0_414.csv,1972,414,"[-31.21580404589108, -91.89216065467986, 113.8699305870969, 74.95939578324042]",6,2.8069569403201766e7
sphere3D_-36.0_30.9_23.2_133.0_297.csv,1416,297,"[-35.95098447550073, 30.841106444399294, 23.294929422586424, 133.0011434063038]",8,7.23998862931363e7
sphere3D_-45.5_-23.7_-59.6_149.0_280.csv,1338,280,"[-45.46955105627318, -23.63184694181725, -59.52296345008478, 149.0873651341075]",8,8.100241114330745e7
sphere3D_-5.1_116.5_-93.3_156.0_334.csv,1591,334,"[201.54105331680387, -245.76285828039966, 292.7888781275105, 630.5006100957265]",11,1.8657601448338396e12
sphere3D_-52.9_76.5_-77.5_26.0_405.csv,1932,405,"[-53.06770984635626, 76.75211732227113, -77.7040992765806, 26.003897940651783]",5,2.7314042080404214e6
sphere3D_-54.7_108.5_3.6_7.0_78.csv,372,78,"[-54.90990516181859, 108.47354988235995, 3.4230343165574273, 7.163810273595661]",2,31357.95265901874
sphere3D_-54.9_-98.9_-75.7_14.0_380.csv,1814,380,"[-54.978422852100245, -99.09488251532305, -75.60914235951101, 14.037950217479048]",3,621161.5451668997
sphere3D_-58.3_-45.2_24.6_117.0_219.csv,1045,219,"[-58.26333840805644, -45.13457785013154, 24.620997834910078, 117.04661709156976]",7,4.060101083408938e7
sphere3D_-59.2_59.5_-31.5_112.0_168.csv,800,168,"[-59.05308595251628, 59.04054671646894, -31.250931637405586, 112.07079648298816]",8,2.640808064178562e7
sphere3D_-63.6_-77.9_-104.9_85.0_106.csv,509,106,"[-63.84586472068684, -78.12041053912822, -104.85699077255298, 84.90089675844035]",6,1.0377691065327765e7
sphere3D_-63.7_108.5_96.2_144.0_342.csv,1633,342,"[-63.91835431258147, 108.58687798236458, 96.2334992945636, 143.9310083578365]",8,9.593868235166526e7
sphere3D_-66.4_59.0_43.5_98.0_48.csv,233,48,"[-294.41765009277054, -2.8508635511834663, 222.3311448920687, 264.9592740288349]",11,6.675541930015328e10
sphere3D_-67.6_53.2_-34.3_79.0_333.csv,1589,333,"[-68.00067082134848, 53.53783073225143, -34.57299181464296, 78.8819457002744]",9,2.5971775694988158e7
sphere3D_-70.2_3.4_111.1_68.0_217.csv,1034,217,"[-70.31328651108541, 3.2612236906129737, 111.24820984017526, 67.98960424256695]",5,1.257096083388083e7
sphere3D_-71.5_107.2_-13.6_63.0_371.csv,1768,371,"[-71.49379345613508, 107.42677689360565, -13.733359362045473, 63.00715414763402]",7,1.7529196506435435e7
sphere3D_-74.1_-64.6_15.2_72.0_354.csv,1688,354,"[-74.18975267109855, -64.86588986879393, 15.29769450227805, 71.95270547858425]",6,2.3394312224979296e7
sphere3D_-75.1_-24.1_91.1_164.0_34.csv,162,34,"[-74.88712936619442, -24.119286301218988, 91.17148504135015, 164.18465183146083]",6,1.1127578910811089e7
sphere3D_-79.2_-62.1_-84.8_83.0_78.csv,376,78,"[-79.28016715926127, -62.04794989788486, -84.70234434804256, 83.02727912022624]",5,6.476089276747093e6
sphere3D_-81.4_41.5_-60.3_57.0_123.csv,589,123,"[-81.58324666196799, 41.62923633508448, -60.4825001533058, 57.0165114008761]",6,5.476764270856156e6
sphere3D_-81.6_-20.3_-2.8_135.0_65.csv,311,65,"[-81.2725496322612, -20.127766871969058, -2.8086123711793776, 135.15075056512237]",6,1.3591874708336513e7
sphere3D_-82.8_-81.0_5.7_13.0_138.csv,659,138,"[-82.94779089967511, -81.19105244616908, 5.847989758371813, 12.984622187031864]",3,196669.328473679
sphere3D_-84.1_84.0_67.1_82.0_144.csv,687,144,"[-84.32001493385812, 84.07402259192877, 67.00358318398546, 81.96376073108222]",6,1.2509280427098645e7
sphere3D_-84.7_58.7_-72.8_46.0_412.csv,1965,412,"[-84.8143053023554, 58.74754019248987, -72.82922230773627, 45.97845354342156]",5,9.824807909621036e6
sphere3D_-94.3_-93.4_-116.2_170.0_314.csv,1496,314,"[-254.4969228541523, -7.280955324855439, -281.6613749541767, 233.64756616127173]",8,5.972758056632021e11
sphere3D_-94.3_54.5_-24.1_19.0_32.csv,154,32,"[-94.70370664645253, 54.63312525141253, -23.926275893141888, 19.014760137275992]",3,88617.04992180876
sphere3D_-96.7_-51.3_-30.6_80.0_186.csv,890,186,"[-96.86497561345237, -51.197567827176634, -30.77873178885088, 79.90268891980186]",6,1.5435930982184868e7
sphere3D_-97.7_-41.3_91.0_96.0_34.csv,165,34,"[-97.74660325509417, -41.52396308232183, 91.1751278794898, 96.06011555693573]",5,4.368011608931628e6
sphere3D_0.6_-8.9_-84.3_19.0_331.csv,1579,331,"[0.32809215469398584, -8.955694499156596, -84.36582012678605, 18.88262129845185]",6,1.0769742289404739e6
sphere3D_0.8_9.9_114.6_14.0_301.csv,1436,301,"[0.7842179353455337, 9.99508187709632, 114.65744711929494, 14.03644825452643]",4,521484.16472878377
sphere3D_100.9_-33.0_100.2_37.0_257.csv,1227,257,"[100.90733586348678, -33.068035219798844, 100.3558021608884, 37.00743369965307]",4,3.766390615242896e6
sphere3D_105.5_-3.8_6.8_21.0_104.csv,498,104,"[105.31656216532079, -3.6852906533493353, 6.815241488321686, 20.98743544769761]",4,423297.5722822802
sphere3D_108.2_-4.8_-76.6_26.0_338.csv,1614,338,"[108.15467854790182, -4.768435538228038, -76.67689207546681, 26.03930531745335]",4,2.3465468406599103e6
sphere3D_108.6_53.5_75.2_79.0_104.csv,497,104,"[108.5494465632845, 53.81158427037916, 74.99885108369755, 79.04625503049425]",5,8.699667607633537e6
sphere3D_111.7_-69.1_118.3_138.0_266.csv,1268,266,"[111.70455520571038, -69.38320393317737, 118.56709458167329, 138.00756570276897]",6,6.461627476277014e7
sphere3D_112.4_40.9_-45.2_85.0_42.csv,202,42,"[112.66920978123623, 41.43078138042916, -45.42147190523936, 85.14693601336687]",5,3.244746988829969e6
sphere3D_115.7_-75.6_104.4_49.0_270.csv,1289,270,"[115.6416426287187, -75.75953958029245, 104.46198287210954, 49.06539815517256]",4,7.4117576398145445e6
sphere3D_117.9_-21.8_83.3_5.0_303.csv,1444,303,"[117.75381568511187, -21.90789174470829, 83.40036338374622, 5.20961172266334]",2,51927.21025384963
sphere3D_13.9_76.9_-51.3_102.0_360.csv,1717,360,"[13.9881017025685, 75.84637489265128, -50.698658375755755, 102.16532310883716]",17,5.527568108763203e7
sphere3D_15.6_-107.3_42.2_126.0_305.csv,1455,305,"[15.625989662353486, -106.25432506141141, 41.51115700125882, 126.17490017944267]",14,7.217676667286864e7
