1,2,3,4,5,6
sphere2D_-0.9_-21.7_20.0_471.csv,1522,471,"[-0.9, -21.7, 20.0]","[-0.9000000000000001, -21.7, -20.0]",5
sphere2D_-10.6_79.1_136.0_479.csv,1547,479,"[-10.6, 79.1, 136.0]","[-10.599999999999996, 79.1, 136.0]",5
sphere2D_-10.9_-32.3_130.0_355.csv,1146,355,"[-10.9, -32.3, 130.0]","[-10.900000000000002, -32.3, 130.0]",5
sphere2D_-11.8_82.3_116.0_907.csv,2929,907,"[-11.8, 82.3, 116.0]","[-11.799999999999997, 82.3, 116.0]",5
sphere2D_-12.6_66.4_111.0_389.csv,1258,389,"[-12.6, 66.4, 111.0]","[-12.599999999999996, 66.4, 111.0]",5
sphere2D_-12.7_-98.3_5.0_230.csv,744,230,"[-12.7, -98.3, 5.0]","[-12.7, -98.3, -5.0]",5
sphere2D_-12.8_22.8_92.0_581.csv,1876,581,"[-12.8, 22.8, 92.0]","[-12.800000000000002, 22.799999999999994, 92.0]",5
sphere2D_-12.9_77.9_91.0_386.csv,1248,386,"[-12.9, 77.9, 91.0]","[-12.900000000000004, 77.9, 91.0]",6
sphere2D_-14.9_38.8_50.0_22.csv,72,22,"[-14.9, 38.8, 50.0]","[-14.9, 38.8, 50.0]",4
sphere2D_-15.2_56.1_29.0_683.csv,2205,683,"[-15.2, 56.1, 29.0]","[-15.2, 56.1, -29.0]",5
sphere2D_-16.9_-10.4_106.0_750.csv,2422,750,"[-16.9, -10.4, 106.0]","[-16.899999999999995, -10.400000000000002, 106.0]",5
sphere2D_-17.2_-95.3_79.0_600.csv,1936,600,"[-17.2, -95.3, 79.0]","[-17.200000000000003, -95.3, -79.0]",5
sphere2D_-18.3_77.4_32.0_647.csv,2089,647,"[-18.3, 77.4, 32.0]","[-18.3, 77.4, -32.0]",5
sphere2D_-19.5_49.8_93.0_379.csv,1223,379,"[-19.5, 49.8, 93.0]","[-19.499999999999996, 49.8, 93.0]",5
sphere2D_-2.1_81.4_104.0_603.csv,1946,603,"[-2.1, 81.4, 104.0]","[-2.099999999999996, 81.4, 104.0]",5
sphere2D_-2.7_-35.2_18.0_174.csv,564,174,"[-2.7, -35.2, 18.0]","[-2.7, -35.2, -18.0]",5
sphere2D_-20.3_29.4_23.0_506.csv,1635,506,"[-20.3, 29.4, 23.0]","[-20.3, 29.4, -23.0]",5
sphere2D_-20.9_-83.8_20.0_431.csv,1392,431,"[-20.9, -83.8, 20.0]","[-20.9, -83.8, -20.0]",5
sphere2D_-21.8_-90.3_79.0_143.csv,464,143,"[-21.8, -90.3, 79.0]","[-21.799999999999997, -90.3, -79.0]",5
sphere2D_-21.8_-90.7_81.0_644.csv,2079,644,"[-21.8, -90.7, 81.0]","[-21.8, -90.7, -81.0]",6
sphere2D_-23.7_5.7_83.0_181.csv,586,181,"[-23.7, 5.7, 83.0]","[-23.700000000000003, 5.700000000000003, 83.0]",5
sphere2D_-24.5_-31.1_145.0_54.csv,177,54,"[-24.5, -31.1, 145.0]","[-24.500000000000007, -31.100000000000005, 145.0]",5
sphere2D_-25.0_-72.3_78.0_303.csv,979,303,"[-25.0, -72.3, 78.0]","[-25.0, -72.3, 78.0]",5
sphere2D_-27.9_-24.4_8.0_96.csv,310,96,"[-27.9, -24.4, 8.0]","[-27.9, -24.4, -8.0]",5
sphere2D_-28.1_57.6_57.0_101.csv,328,101,"[-28.1, 57.6, 57.0]","[-28.1, 57.6, -57.0]",5
sphere2D_-29.3_-96.5_54.0_201.csv,651,201,"[-29.3, -96.5, 54.0]","[-29.3, -96.5, -54.0]",5
sphere2D_-3.7_3.4_144.0_98.csv,318,98,"[-3.7, 3.4, 144.0]","[-3.7000000000000006, 3.400000000000008, 144.0]",5
sphere2D_-31.0_-68.2_150.0_445.csv,1438,445,"[-31.0, -68.2, 150.0]","[-31.000000000000004, -68.2, 150.0]",5
sphere2D_-31.7_-27.4_89.0_219.csv,708,219,"[-31.7, -27.4, 89.0]","[-31.700000000000003, -27.399999999999995, 89.0]",5
sphere2D_-32.6_-80.7_61.0_188.csv,609,188,"[-32.6, -80.7, 61.0]","[-32.6, -80.7, -61.0]",5
sphere2D_-32.9_-24.2_39.0_664.csv,2142,664,"[-32.9, -24.2, 39.0]","[-32.9, -24.2, -39.0]",5
sphere2D_-33.4_-58.5_45.0_164.csv,532,164,"[-33.4, -58.5, 45.0]","[-33.4, -58.5, -45.0]",5
sphere2D_-34.4_-51.0_29.0_847.csv,2734,847,"[-34.4, -51.0, 29.0]","[-34.4, -51.0, -29.0]",5
sphere2D_-37.5_5.1_136.0_262.csv,848,262,"[-37.5, 5.1, 136.0]","[-37.5, 5.1, 136.0]",5
sphere2D_-37.5_91.2_16.0_645.csv,2081,645,"[-37.5, 91.2, 16.0]","[-37.5, 91.2, -16.0]",5
sphere2D_-37.7_73.4_5.0_870.csv,2808,870,"[-37.7, 73.4, 5.0]","[-37.7, 73.4, -5.0]",5
sphere2D_-38.3_-20.0_76.0_823.csv,2657,823,"[-38.3, -20.0, 76.0]","[-38.3, -20.0, 76.0]",5
sphere2D_-38.6_-6.4_36.0_233.csv,753,233,"[-38.6, -6.4, 36.0]","[-38.6, -6.4, -36.0]",6
sphere2D_-4.6_96.0_62.0_362.csv,1169,362,"[-4.6, 96.0, 62.0]","[-4.600000000000002, 96.0, -62.0]",5
sphere2D_-41.4_21.7_132.0_637.csv,2058,637,"[-41.4, 21.7, 132.0]","[-41.4, 21.7, 132.0]",5
sphere2D_-45.4_-76.6_145.0_285.csv,922,285,"[-45.4, -76.6, 145.0]","[-45.4, -76.6, 145.0]",5
sphere2D_-46.7_24.5_115.0_316.csv,1021,316,"[-46.7, 24.5, 115.0]","[-46.7, 24.5, 115.0]",5
sphere2D_-47.4_-99.7_58.0_314.csv,1013,314,"[-47.4, -99.7, 58.0]","[-47.4, -99.7, -58.0]",5
sphere2D_-47.7_95.9_25.0_227.csv,735,227,"[-47.7, 95.9, 25.0]","[-47.7, 95.9, -25.0]",5
sphere2D_-48.0_73.1_45.0_17.csv,58,17,"[-48.0, 73.1, 45.0]","[-48.0, 73.1, -45.0]",5
sphere2D_-49.9_-77.3_74.0_244.csv,789,244,"[-49.9, -77.3, 74.0]","[-49.9, -77.3, -74.0]",5
sphere2D_-5.0_66.7_12.0_551.csv,1779,551,"[-5.0, 66.7, 12.0]","[-5.0, 66.7, -12.0]",5
sphere2D_-5.3_23.6_67.0_700.csv,2261,700,"[-5.3, 23.6, 67.0]","[-5.3, 23.6, 67.0]",5
sphere2D_-51.5_2.7_140.0_471.csv,1521,471,"[-51.5, 2.7, 140.0]","[-51.50000000000001, 2.6999999999999993, 140.0]",5
sphere2D_-51.7_-15.1_100.0_596.csv,1925,596,"[-51.7, -15.1, 100.0]","[-51.7, -15.099999999999996, 100.0]",5
sphere2D_-51.8_59.0_8.0_155.csv,500,155,"[-51.8, 59.0, 8.0]","[-51.8, 59.0, -8.0]",5
sphere2D_-52.4_18.3_47.0_372.csv,1201,372,"[-52.4, 18.3, 47.0]","[-52.4, 18.3, -47.0]",5
sphere2D_-52.6_41.2_51.0_106.csv,343,106,"[-52.6, 41.2, 51.0]","[-52.6, 41.2, -51.0]",5
sphere2D_-53.2_65.4_137.0_187.csv,605,187,"[-53.2, 65.4, 137.0]","[-53.2, 65.4, 137.0]",5
sphere2D_-53.3_-53.0_72.0_598.csv,1932,598,"[-53.3, -53.0, 72.0]","[-53.3, -53.0, -72.0]",6
sphere2D_-53.8_70.0_20.0_239.csv,773,239,"[-53.8, 70.0, 20.0]","[-53.8, 70.0, -20.0]",5
sphere2D_-55.1_51.9_121.0_505.csv,1632,505,"[-55.1, 51.9, 121.0]","[-55.1, 51.9, 121.0]",5
sphere2D_-55.7_22.8_63.0_414.csv,1338,414,"[-55.7, 22.8, 63.0]","[-55.7, 22.8, 63.0]",5
sphere2D_-63.3_-12.8_124.0_715.csv,2308,715,"[-63.3, -12.8, 124.0]","[-63.3, -12.799999999999997, 124.0]",5
sphere2D_-63.9_-34.0_51.0_761.csv,2456,761,"[-63.9, -34.0, 51.0]","[-63.9, -34.0, -51.0]",5
sphere2D_-64.6_-47.7_56.0_367.csv,1185,367,"[-64.6, -47.7, 56.0]","[-64.6, -47.7, -56.0]",5
sphere2D_-66.3_42.5_34.0_619.csv,1997,619,"[-66.3, 42.5, 34.0]","[-66.3, 42.5, -34.0]",5
sphere2D_-66.7_-87.7_108.0_34.csv,112,34,"[-66.7, -87.7, 108.0]","[-66.7, -87.7, 108.0]",5
