1,2,3,4,5,6
sphere3D_-12.0_-99.2_-33.8_32.0_854.csv,2756,854,"[-12.0, -99.2, -33.8, 32.0]","[-12.000000000000014, -99.199999999999, -33.80000000000063, -31.99999999999999]",12
sphere3D_-12.6_-76.8_32.5_83.0_538.csv,1738,538,"[-12.6, -76.8, 32.5, 83.0]","[-20.486950899283357, -77.1523438383498, 31.79131625050545, 84.59575820016056]",25
sphere3D_-14.5_58.1_-80.2_108.0_688.csv,2220,688,"[-14.5, 58.1, -80.2, 108.0]","[-14.500000000000004, 58.1, -80.2, 108.0]",8
sphere3D_-14.8_-90.4_74.6_144.0_520.csv,1680,520,"[-14.8, -90.4, 74.6, 144.0]","[-16.77436930541564, -106.45910599271548, 75.70732700297283, 149.98011943266016]",12
sphere3D_-15.4_14.9_-73.0_134.0_340.csv,1099,340,"[-15.4, 14.9, -73.0, 134.0]","[-18.769736036985705, 19.002342779409627, -79.25160947711086, 131.87583052208728]",10
sphere3D_-16.9_-99.0_40.9_17.0_655.csv,2113,655,"[-16.9, -99.0, 40.9, 17.0]","[-16.9, -99.0, 40.9, -17.0]",15
sphere3D_-17.6_-35.5_76.1_19.0_56.csv,182,56,"[-17.6, -35.5, 76.1, 19.0]","[-17.600000000006876, -35.49999999998889, 76.0999999999934, -18.99999999999863]",7
sphere3D_-20.7_32.7_-96.1_125.0_87.csv,283,87,"[-20.7, 32.7, -96.1, 125.0]","[-30.726265525179155, 36.727589200623804, -108.21831696104795, 117.93686097734913]",7
sphere3D_-20.7_93.2_0.4_50.0_39.csv,128,39,"[-20.7, 93.2, 0.4, 50.0]","[-20.70000000000015, 93.1999999999997, 0.40000000000019165, -49.99999999999982]",11
sphere3D_-22.2_29.7_-39.4_64.0_528.csv,1706,528,"[-22.2, 29.7, -39.4, 64.0]","[-24.352789607158947, 25.54845203860183, -38.84443999463989, 65.26831805751011]",12
sphere3D_-24.0_11.9_-18.6_126.0_271.csv,877,271,"[-24.0, 11.9, -18.6, 126.0]","[-30.777687346252485, 17.253123651366128, -27.766961773605864, 121.37180887387376]",16
sphere3D_-25.3_16.0_-42.8_115.0_370.csv,1195,370,"[-25.3, 16.0, -42.8, 115.0]","[-25.3, 16.000000000000014, -42.800000000000004, 115.0]",12
sphere3D_-26.1_-76.4_-17.2_56.0_28.csv,91,28,"[-26.1, -76.4, -17.2, 56.0]","[-26.10000000000008, -76.40000000000002, -17.199999999999985, -55.99999999999994]",15
