1,2,3,4,5,6
sphere3D_-0.2_-96.0_-72.3_72.0_902.csv,2202,902,0.3986969,0.4926914,0.8527132
sphere3D_-12.2_-14.5_98.2_143.0_17.csv,43,17,0.0111743,0.01523225,0.1708249
sphere3D_-12.2_-29.4_69.5_9.0_636.csv,1553,636,0.4041494,0.5023293,0.8379125
sphere3D_-13.8_-95.0_-1.3_130.0_76.csv,187,76,0.034097,0.044878,0.1843657
sphere3D_-13.8_43.0_16.4_24.0_590.csv,1440,590,0.1876729,0.252331,0.5819807
sphere3D_-15.0_0.2_-38.5_20.0_1180.csv,2880,1180,0.848177,1.0465528,1.2321009
sphere3D_-16.8_-83.8_9.5_150.0_530.csv,1294,530,0.1749593,0.1851245,0.5226757
sphere3D_-18.0_32.8_1.0_67.0_367.csv,896,367,0.0889339,0.12993455,0.457226
sphere3D_-19.1_81.4_84.6_67.0_673.csv,1643,673,0.211846,0.2820969,0.6380764
sphere3D_-2.1_4.8_27.3_143.0_400.csv,976,400,0.1280822,0.14072975,0.4592426
sphere3D_-2.2_-18.3_-54.0_38.0_836.csv,2041,836,0.315613,0.3906878,0.7149911
sphere3D_-2.4_98.6_7.2_81.0_577.csv,1408,577,0.1737541,0.2416164,0.5849685
sphere3D_-20.7_4.5_30.1_52.0_176.csv,431,176,0.0578878,0.0811446,0.2406186
sphere3D_-20.7_59.0_34.3_135.0_747.csv,1823,747,0.1674368,0.22714645,0.582654
sphere3D_-20.9_17.7_-50.0_57.0_394.csv,961,394,0.1271932,0.1389787,0.4682714
sphere3D_-21.0_72.4_63.5_78.0_347.csv,847,347,0.0715578,0.0973802,0.2441097
sphere3D_-21.4_-70.4_-0.2_85.0_825.csv,2013,825,0.3826771,0.4508167,0.8003748
sphere3D_-21.5_23.5_-65.7_85.0_1149.csv,2804,1149,0.3399549,0.4001805,0.7642654
sphere3D_-22.2_-80.8_10.1_150.0_99.csv,242,99,0.0251542,0.0338205,0.1788728
sphere3D_-22.6_-18.5_-62.0_33.0_140.csv,342,140,0.0641432,0.08927895,0.2189454
sphere3D_-22.9_-43.9_32.7_87.0_429.csv,1047,429,0.2137602,0.2266851,0.5615478
sphere3D_-23.0_-23.8_-7.6_88.0_916.csv,2236,916,0.4199706,0.4595069,0.8506391
sphere3D_-24.2_-75.1_-86.5_62.0_1215.csv,2965,1215,0.8778987,1.0473613,1.2007407
sphere3D_-25.4_-25.0_6.3_24.0_27.csv,67,27,0.0070947,0.0102601,0.1600241
sphere3D_-28.0_33.4_87.7_51.0_1024.csv,2499,1024,0.7083269,1.1379769,1.1882651
sphere3D_-29.5_23.4_83.5_136.0_1022.csv,2494,1022,0.2879489,0.3728298,0.7097724
sphere3D_-3.4_65.4_78.6_115.0_561.csv,1369,561,0.1933334,0.2668753,0.6267934
sphere3D_-30.0_-77.7_86.4_119.0_775.csv,1891,775,0.3022688,0.3429617,0.6868483
sphere3D_-31.0_-74.2_-85.9_15.0_38.csv,93,38,0.0138531,0.02023895,0.1721631
sphere3D_-31.6_61.4_50.0_43.0_807.csv,1970,807,0.2773086,0.3499731,0.6900366
sphere3D_-31.8_-56.6_-9.6_137.0_17.csv,43,17,0.0066877,0.00911485,0.165727
sphere3D_-33.4_-86.1_-68.3_81.0_1111.csv,2710,1111,0.2536484,0.3453057,0.7013926
sphere3D_-34.6_37.3_90.9_146.0_463.csv,1131,463,0.2967901,0.3123604,0.6475173
sphere3D_-36.5_22.8_4.8_63.0_152.csv,372,152,0.0617668,0.0755126,0.2031753
sphere3D_-36.9_56.0_98.9_58.0_762.csv,1859,762,0.2289281,0.279344,0.6430455
sphere3D_-37.7_-37.5_-26.3_66.0_307.csv,751,307,0.0919628,0.12312705,0.2799729
sphere3D_-39.7_-88.1_-37.0_124.0_775.csv,1892,775,0.3440784,0.4811327,0.8240488
sphere3D_-40.6_-44.5_3.1_49.0_398.csv,972,398,0.1427782,0.1633841,0.5134002
sphere3D_-43.4_-15.1_-26.4_98.0_865.csv,2110,865,0.4442126,0.5384734,0.898866
sphere3D_-43.7_55.5_36.5_46.0_991.csv,2418,991,0.6053132,0.8145029,1.0560982
sphere3D_-44.6_-93.6_22.2_30.0_213.csv,521,213,0.0666384,0.0874495,0.2535474
sphere3D_-45.2_-59.4_74.0_113.0_456.csv,1114,456,0.2120715,0.2220578,0.5885405
sphere3D_-45.6_-48.0_-87.5_108.0_98.csv,241,98,0.0251831,0.0336055,0.1759822
sphere3D_-49.6_-68.4_-59.0_19.0_781.csv,1905,781,0.5542838,0.5830063,1.0134389
sphere3D_-5.5_-29.6_37.2_100.0_1149.csv,2803,1149,0.6221452,0.8469445,1.1497751
sphere3D_-50.4_93.4_92.1_106.0_495.csv,1208,495,0.2967969,0.33705465,0.6956182
sphere3D_-51.4_-45.7_0.3_53.0_1225.csv,2988,1225,0.4393561,0.54204595,0.89084
sphere3D_-52.1_-6.9_-18.3_63.0_974.csv,2378,974,0.567662,0.6699678,1.0612002
sphere3D_-54.4_-96.3_38.0_25.0_286.csv,699,286,0.0612286,0.0843879,0.244671
sphere3D_-54.6_-37.7_85.3_116.0_397.csv,969,397,0.0997393,0.141623,0.4847608
sphere3D_-55.1_-77.1_98.0_17.0_655.csv,1599,655,0.3080172,0.3201558,0.6852637
sphere3D_-55.3_52.7_-63.7_94.0_190.csv,465,190,0.0981452,0.13451305,0.2966172
sphere3D_-56.2_-99.8_82.0_128.0_500.csv,1220,500,0.1371941,0.1512976,0.5050981
sphere3D_-58.1_-70.5_-54.7_148.0_556.csv,1358,556,0.187349,0.2019941,0.55924
sphere3D_-58.8_48.1_14.3_26.0_894.csv,2181,894,0.3250629,0.34476575,0.6987384
sphere3D_-59.0_-15.9_-29.0_89.0_605.csv,1477,605,0.1723663,0.1830046,0.5351256
sphere3D_-59.4_-53.5_95.8_26.0_847.csv,2068,847,0.2702162,0.34776275,0.7035942
sphere3D_-6.2_-85.2_-96.0_97.0_247.csv,603,247,0.0859436,0.1152938,0.2719571
sphere3D_-60.1_10.1_60.0_84.0_450.csv,1098,450,0.102552,0.1354657,0.5122411
sphere3D_-62.0_51.2_-59.4_126.0_726.csv,1772,726,0.2088714,0.26425615,0.6374838
sphere3D_-63.7_-60.6_24.8_29.0_521.csv,1272,521,0.205131,0.21988045,0.5984061
sphere3D_-64.8_23.3_-90.4_48.0_775.csv,1892,775,0.7241926,1.2205248,1.249207
sphere3D_-65.0_-24.0_-92.4_123.0_1122.csv,2738,1122,0.3829892,0.4117293,0.8194256
sphere3D_-65.5_-33.7_-53.2_17.0_1193.csv,2912,1193,0.492658,0.5886271,1.0406189
sphere3D_-65.9_-37.3_53.4_19.0_372.csv,909,372,0.0752293,0.1099049,0.4718299
sphere3D_-67.3_76.3_-39.3_22.0_816.csv,1992,816,0.2921001,0.3594834,0.7316444
sphere3D_-67.6_-72.3_-35.6_143.0_652.csv,1591,652,0.2386136,0.3241806,0.7045005
sphere3D_-68.4_42.3_-62.1_60.0_141.csv,345,141,0.0397792,0.0532434,0.1907241
sphere3D_-68.8_87.8_-54.7_74.0_293.csv,715,293,0.0938855,0.1207594,0.2751998
sphere3D_-69.3_-52.8_33.5_81.0_974.csv,2376,974,0.2720097,0.3846401,0.8325455
sphere3D_-7.6_-31.0_71.3_51.0_1013.csv,2473,1013,0.3538497,0.4797095,0.8679927
sphere3D_-7.8_54.9_-90.6_68.0_631.csv,1541,631,0.1326126,0.1919483,0.5932835
sphere3D_-7.9_-25.1_-82.6_22.0_1219.csv,2974,1219,0.38794,0.4716407,0.863289
sphere3D_-70.1_65.7_-38.0_27.0_235.csv,574,235,0.0716995,0.10084585,0.3489362
sphere3D_-71.5_31.0_12.1_11.0_461.csv,1126,461,0.1005704,0.1141381,0.4886695
sphere3D_-72.0_-77.1_16.2_19.0_688.csv,1679,688,0.2654194,0.3435427,0.703124
sphere3D_-72.4_29.6_-38.3_29.0_276.csv,674,276,0.122516,0.16755475,0.4039424
sphere3D_-73.3_81.3_82.5_116.0_416.csv,1015,416,0.4096293,0.4252642,0.8096147
sphere3D_-73.9_71.4_-59.8_39.0_553.csv,1350,553,0.1412189,0.1993141,0.5725413
sphere3D_-76.9_-28.2_94.4_61.0_75.csv,184,75,0.0247064,0.03353535,0.1886049
sphere3D_-77.7_48.8_-55.3_111.0_322.csv,786,322,0.0810263,0.1078409,0.2734312
sphere3D_-78.1_-58.7_-19.6_63.0_1034.csv,2524,1034,0.3478158,0.3929052,0.813024
sphere3D_-79.5_-38.6_-30.4_32.0_993.csv,2424,993,0.6478292,0.87713225,1.1300115
sphere3D_-79.9_15.1_-5.2_14.0_892.csv,2178,892,0.3281163,0.36904575,0.7749008
sphere3D_-8.0_55.3_61.7_14.0_717.csv,1751,717,0.3642935,0.4139873,0.7960474
sphere3D_-8.3_43.8_93.5_76.0_89.csv,218,89,0.0611478,0.0811463,0.2313576
sphere3D_-80.1_16.6_96.8_26.0_797.csv,1945,797,0.2558428,0.29050165,0.7491422
sphere3D_-81.0_21.9_14.8_91.0_1191.csv,2907,1191,0.3501809,0.4543884,0.8158257
sphere3D_-81.5_-28.3_35.1_67.0_653.csv,1595,653,0.2905953,0.3685754,0.7719208
sphere3D_-82.8_-73.1_-87.0_76.0_747.csv,1823,747,0.1908617,0.2270071,0.6410164
sphere3D_-82.9_12.1_61.6_132.0_1055.csv,2575,1055,0.2515744,0.3345919,0.7767462
sphere3D_-83.4_-59.6_93.6_35.0_135.csv,331,135,0.0382837,0.05129115,0.2024073
sphere3D_-83.4_47.0_-76.6_88.0_835.csv,2038,835,0.3515265,0.4950745,0.8711211
sphere3D_-83.5_-12.9_97.6_33.0_784.csv,1914,784,0.2489937,0.2887577,0.7414039
sphere3D_-83.5_4.1_-95.8_72.0_884.csv,2157,884,0.2563352,0.33349405,0.7538169
sphere3D_-85.5_-89.2_76.1_143.0_220.csv,538,220,0.0581339,0.0831729,0.3616592
sphere3D_-86.6_-57.9_-47.4_132.0_852.csv,2079,852,0.3687765,0.4544136,0.8635441
sphere3D_-86.7_-51.3_64.8_22.0_1099.csv,2681,1099,0.4188538,0.5181258,0.9440686
sphere3D_-87.4_-37.0_1.8_49.0_884.csv,2158,884,0.351021,0.4646432,0.8875022
sphere3D_-87.5_-2.1_-8.9_67.0_475.csv,1160,475,0.0973263,0.14227655,0.5351543
sphere3D_-88.5_93.9_27.8_15.0_1127.csv,2750,1127,0.2252233,0.2843026,0.6755183
sphere3D_-89.7_10.7_-63.7_150.0_975.csv,2379,975,0.2746853,0.3523409,0.8353036
sphere3D_-9.4_-6.9_33.9_126.0_267.csv,653,267,0.0680023,0.09379945,0.2923153
sphere3D_-90.1_66.2_76.1_59.0_863.csv,2106,863,0.2806403,0.3169297,0.7460939
sphere3D_-90.2_-52.1_34.2_69.0_996.csv,2430,996,0.326339,0.3789865,0.7976754
sphere3D_-90.5_83.4_71.8_94.0_836.csv,2040,836,0.2083298,0.2524636,0.6828272
sphere3D_-92.1_65.4_-33.4_132.0_716.csv,1748,716,0.2194214,0.3037854,0.7230364
sphere3D_-92.5_24.6_-37.0_118.0_561.csv,1369,561,0.2563166,0.2766678,0.7280321
sphere3D_-93.0_-76.3_-68.7_6.0_827.csv,2018,827,0.5593208,0.8420649,1.0826238
sphere3D_-93.9_56.8_59.4_131.0_858.csv,2095,858,0.4225392,0.5682717,0.9404603
sphere3D_-93.9_90.4_22.4_117.0_202.csv,495,202,0.0529735,0.0764577,0.2674832
