1,2,3,4,5,6
sphere2D_-13.7_-10.6_130.0_930.csv,1861,930,"[-13.7, -10.6, 130.0]","[8.649641961466536, 11.316604868813664, 103.46069897426676]",10
sphere2D_-14.0_75.0_79.0_511.csv,1022,511,"[-14.0, 75.0, 79.0]","[-13.99999999999999, 74.99999999999999, 79.0]",10
sphere2D_-18.0_39.1_102.0_441.csv,883,441,"[-18.0, 39.1, 102.0]","[-18.0, 39.099999999999994, 102.0]",13
sphere2D_-22.3_-12.0_52.0_1391.csv,2782,1391,"[-22.3, -12.0, 52.0]","[-12.118371286156977, -2.0024653710827276, 39.8606519386681]",16
sphere2D_-24.0_-57.0_34.0_235.csv,470,235,"[-24.0, -57.0, 34.0]","[-17.09939394145949, -50.077506978476556, -25.646814592483985]",12
sphere2D_-24.4_-37.5_71.0_297.csv,594,297,"[-24.4, -37.5, 71.0]","[-8.277117007037633, -21.222034389592956, 51.89151144014435]",12
sphere2D_-25.7_-88.8_122.0_1191.csv,2383,1191,"[-25.7, -88.8, 122.0]","[-4.083395556616608, -67.14666045174837, 96.04023325808284]",12
sphere2D_-25.7_52.7_121.0_575.csv,1151,575,"[-25.7, 52.7, 121.0]","[-25.700000000000006, 52.7, 121.0]",10
sphere2D_-27.5_-30.2_78.0_1120.csv,2241,1120,"[-27.5, -30.2, 78.0]","[-13.342957691516585, -16.060514321222286, 61.17218186341654]",13
sphere2D_-29.4_12.8_94.0_334.csv,668,334,"[-29.4, 12.8, 94.0]","[-29.39999999999975, 12.79999999999973, 93.99999999999993]",14
sphere2D_-29.7_-94.1_140.0_842.csv,1685,842,"[-29.7, -94.1, 140.0]","[-4.870836786203343, -68.72197035274175, 110.14865224982144]",12
sphere2D_-3.2_46.4_115.0_772.csv,1545,772,"[-3.2, 46.4, 115.0]","[-26.83462317270951, 23.1455092593496, 86.74854020719248]",9
sphere2D_-30.3_-85.6_131.0_1074.csv,2148,1074,"[-30.3, -85.6, 131.0]","[-2.7526976891254744, -57.99742569204326, 98.0776801860433]",12
sphere2D_-31.3_66.5_7.0_22.csv,44,22,"[-31.3, 66.5, 7.0]","[-31.299999992326754, 66.4999999940527, -6.999999998431043]",12
sphere2D_-31.8_55.3_122.0_1036.csv,2072,1036,"[-31.8, 55.3, 122.0]","[-31.799999999999955, 55.29999999999996, 121.99999999999999]",12
sphere2D_-33.0_75.7_150.0_215.csv,430,215,"[-33.0, 75.7, 150.0]","[-33.0, 75.7, 150.0]",12
sphere2D_-4.6_-82.0_79.0_969.csv,1938,969,"[-4.6, -82.0, 79.0]","[-4.599999999999994, -82.0, -79.0]",13
sphere2D_-4.7_54.4_44.0_837.csv,1674,837,"[-4.7, 54.4, 44.0]","[-4.700000000000003, 54.4, -44.0]",10
sphere2D_-40.8_0.5_21.0_1198.csv,2397,1198,"[-40.8, 0.5, 21.0]","[-36.5360464201025, 4.901817633789651, -15.805176516005794]",12
sphere2D_-42.9_-20.7_18.0_1247.csv,2494,1247,"[-42.9, -20.7, 18.0]","[-39.27921555719325, -17.026696421657917, 13.676452231189865]",9
sphere2D_-44.0_32.1_17.0_913.csv,1826,913,"[-44.0, 32.1, 17.0]","[-43.999999999999986, 32.099999999999994, -17.0]",13
sphere2D_-44.0_77.1_133.0_1384.csv,2768,1384,"[-44.0, 77.1, 133.0]","[-44.0, 77.1, 133.0]",9
sphere2D_-45.9_-22.3_43.0_15.csv,31,15,"[-45.9, -22.3, 43.0]","[-41.82677675280391, -22.770583652827582, -42.056527943452615]",7
sphere2D_-47.7_56.9_75.0_1209.csv,2419,1209,"[-47.7, 56.9, 75.0]","[-47.7, 56.9, 75.0]",10
sphere2D_-52.2_-86.2_36.0_1033.csv,2066,1033,"[-52.2, -86.2, 36.0]","[-44.30966781861498, -78.45264539516468, -26.67089710294541]",13
