1,2,3,4,5,6
sphere2D_-13.7_-10.6_130.0_930.csv,1861,930,"[-13.7, -10.6, 130.0]","[-13.700000000000001, -10.599999999999996, 130.0]",5
sphere2D_-14.0_75.0_79.0_511.csv,1022,511,"[-14.0, 75.0, 79.0]","[-14.000000000000002, 75.0, 79.0]",5
sphere2D_-18.0_39.1_102.0_441.csv,883,441,"[-18.0, 39.1, 102.0]","[-17.999999999999996, 39.1, 102.0]",5
sphere2D_-22.3_-12.0_52.0_1391.csv,2782,1391,"[-22.3, -12.0, 52.0]","[-22.3, -11.999999999999998, 52.0]",5
sphere2D_-24.0_-57.0_34.0_235.csv,470,235,"[-24.0, -57.0, 34.0]","[-24.0, -57.0, -34.0]",4
sphere2D_-24.4_-37.5_71.0_297.csv,594,297,"[-24.4, -37.5, 71.0]","[-24.4, -37.5, 71.0]",6
sphere2D_-25.7_-88.8_122.0_1191.csv,2383,1191,"[-25.7, -88.8, 122.0]","[-25.7, -88.8, 122.0]",4
sphere2D_-25.7_52.7_121.0_575.csv,1151,575,"[-25.7, 52.7, 121.0]","[-25.7, 52.7, 121.0]",5
sphere2D_-27.5_-30.2_78.0_1120.csv,2241,1120,"[-27.5, -30.2, 78.0]","[-27.5, -30.2, 78.0]",5
sphere2D_-29.4_12.8_94.0_334.csv,668,334,"[-29.4, 12.8, 94.0]","[-29.399999999999995, 12.799999999999995, 94.0]",4
sphere2D_-29.7_-94.1_140.0_842.csv,1685,842,"[-29.7, -94.1, 140.0]","[-29.7, -94.1, 140.0]",4
sphere2D_-3.2_46.4_115.0_772.csv,1545,772,"[-3.2, 46.4, 115.0]","[-3.2000000000000046, 46.4, 115.0]",5
sphere2D_-30.3_-85.6_131.0_1074.csv,2148,1074,"[-30.3, -85.6, 131.0]","[-30.3, -85.6, 131.0]",5
sphere2D_-31.3_66.5_7.0_22.csv,44,22,"[-31.3, 66.5, 7.0]","[-31.3, 66.5, -7.0]",4
sphere2D_-31.8_55.3_122.0_1036.csv,2072,1036,"[-31.8, 55.3, 122.0]","[-31.8, 55.3, 122.0]",5
sphere2D_-33.0_75.7_150.0_215.csv,430,215,"[-33.0, 75.7, 150.0]","[-33.0, 75.7, 150.0]",5
sphere2D_-4.6_-82.0_79.0_969.csv,1938,969,"[-4.6, -82.0, 79.0]","[-4.599999999999996, -82.0, -79.0]",5
sphere2D_-4.7_54.4_44.0_837.csv,1674,837,"[-4.7, 54.4, 44.0]","[-4.7, 54.4, -44.0]",5
sphere2D_-40.8_0.5_21.0_1198.csv,2397,1198,"[-40.8, 0.5, 21.0]","[-40.8, 0.5000000000000003, -21.0]",5
sphere2D_-42.9_-20.7_18.0_1247.csv,2494,1247,"[-42.9, -20.7, 18.0]","[-42.9, -20.7, -18.0]",5
sphere2D_-44.0_32.1_17.0_913.csv,1826,913,"[-44.0, 32.1, 17.0]","[-44.0, 32.1, -17.0]",5
sphere2D_-44.0_77.1_133.0_1384.csv,2768,1384,"[-44.0, 77.1, 133.0]","[-44.0, 77.1, 133.0]",5
sphere2D_-45.9_-22.3_43.0_15.csv,31,15,"[-45.9, -22.3, 43.0]","[-45.9, -22.300000000000004, -43.0]",4
sphere2D_-47.7_56.9_75.0_1209.csv,2419,1209,"[-47.7, 56.9, 75.0]","[-47.7, 56.9, 75.0]",5
sphere2D_-52.2_-86.2_36.0_1033.csv,2066,1033,"[-52.2, -86.2, 36.0]","[-52.2, -86.2, -36.0]",5
sphere2D_-58.0_20.1_65.0_764.csv,1528,764,"[-58.0, 20.1, 65.0]","[-58.0, 20.1, 65.0]",5
sphere2D_-6.6_45.6_67.0_658.csv,1316,658,"[-6.6, 45.6, 67.0]","[-6.6000000000000005, 45.6, 67.0]",5
sphere2D_-61.6_62.9_91.0_1309.csv,2618,1309,"[-61.6, 62.9, 91.0]","[-61.6, 62.9, 91.0]",5
sphere2D_-67.1_60.2_73.0_1068.csv,2137,1068,"[-67.1, 60.2, 73.0]","[-67.1, 60.2, -73.0]",4
sphere2D_-69.3_-68.0_24.0_1343.csv,2686,1343,"[-69.3, -68.0, 24.0]","[-69.3, -68.0, -24.0]",5
sphere2D_-7.4_86.2_24.0_771.csv,1542,771,"[-7.4, 86.2, 24.0]","[-7.3999999999999995, 86.2, -24.0]",5
sphere2D_-71.5_-14.1_15.0_1317.csv,2635,1317,"[-71.5, -14.1, 15.0]","[-71.5, -14.1, -15.0]",5
sphere2D_-73.1_-44.4_63.0_825.csv,1651,825,"[-73.1, -44.4, 63.0]","[-73.1, -44.4, -63.0]",5
sphere2D_-74.0_56.6_91.0_1134.csv,2269,1134,"[-74.0, 56.6, 91.0]","[-74.0, 56.6, -91.0]",4
sphere2D_-75.0_-39.1_75.0_1192.csv,2385,1192,"[-75.0, -39.1, 75.0]","[-75.0, -39.1, -75.0]",5
sphere2D_-75.3_-41.9_52.0_1135.csv,2271,1135,"[-75.3, -41.9, 52.0]","[-75.3, -41.9, -52.0]",5
sphere2D_-77.6_86.3_122.0_863.csv,1726,863,"[-77.6, 86.3, 122.0]","[-77.6, 86.3, 122.0]",6
sphere2D_-82.5_-78.3_118.0_591.csv,1182,591,"[-82.5, -78.3, 118.0]","[-82.5, -78.3, 118.0]",5
sphere2D_-83.9_-98.7_28.0_478.csv,957,478,"[-83.9, -98.7, 28.0]","[-83.9, -98.7, -28.0]",5
sphere2D_-84.2_-23.9_65.0_636.csv,1273,636,"[-84.2, -23.9, 65.0]","[-84.2, -23.9, -65.0]",4
sphere2D_-84.6_-22.4_142.0_408.csv,817,408,"[-84.6, -22.4, 142.0]","[-84.6, -22.400000000000002, 142.0]",5
sphere2D_-85.2_78.6_51.0_1007.csv,2015,1007,"[-85.2, 78.6, 51.0]","[-85.2, 78.6, -51.0]",4
sphere2D_-86.1_36.7_101.0_216.csv,432,216,"[-86.1, 36.7, 101.0]","[-86.1, 36.7, 101.0]",4
sphere2D_-88.5_-5.0_139.0_1445.csv,2890,1445,"[-88.5, -5.0, 139.0]","[-88.5, -5.000000000000006, 139.0]",5
sphere2D_-91.9_-45.4_17.0_1484.csv,2969,1484,"[-91.9, -45.4, 17.0]","[-91.9, -45.4, -17.0]",5
sphere2D_-92.0_22.0_55.0_536.csv,1073,536,"[-92.0, 22.0, 55.0]","[-92.0, 22.0, -55.0]",5
sphere2D_-92.1_-79.6_104.0_1398.csv,2796,1398,"[-92.1, -79.6, 104.0]","[-92.1, -79.6, -104.0]",5
sphere2D_-95.2_-59.2_119.0_380.csv,761,380,"[-95.2, -59.2, 119.0]","[-95.2, -59.2, 119.0]",4
sphere2D_-95.6_-1.8_98.0_645.csv,1290,645,"[-95.6, -1.8, 98.0]","[-95.6, -1.8000000000000014, 98.0]",5
sphere2D_18.0_-21.1_71.0_451.csv,903,451,"[18.0, -21.1, 71.0]","[18.0, -21.1, 71.0]",5
sphere2D_18.8_84.2_8.0_457.csv,915,457,"[18.8, 84.2, 8.0]","[18.8, 84.2, -8.0]",5
sphere2D_18.9_0.4_53.0_28.csv,56,28,"[18.9, 0.4, 53.0]","[18.900000000000002, 0.3999999999999956, 53.0]",4
sphere2D_20.2_-31.7_22.0_1434.csv,2869,1434,"[20.2, -31.7, 22.0]","[20.2, -31.7, -22.0]",4
sphere2D_20.7_3.1_87.0_1016.csv,2033,1016,"[20.7, 3.1, 87.0]","[20.7, 3.099999999999996, 87.0]",5
sphere2D_25.4_42.5_81.0_1200.csv,2400,1200,"[25.4, 42.5, 81.0]","[25.4, 42.5, 81.0]",5
sphere2D_25.5_35.0_113.0_68.csv,136,68,"[25.5, 35.0, 113.0]","[25.500000000000004, 34.99999999999999, 113.0]",5
sphere2D_25.7_-40.6_67.0_1048.csv,2097,1048,"[25.7, -40.6, 67.0]","[25.700000000000003, -40.6, 67.0]",4
sphere2D_27.9_92.2_42.0_124.csv,248,124,"[27.9, 92.2, 42.0]","[27.9, 92.2, -42.0]",4
sphere2D_28.0_42.6_103.0_1348.csv,2697,1348,"[28.0, 42.6, 103.0]","[28.000000000000004, 42.6, 103.0]",4
sphere2D_30.4_25.1_14.0_479.csv,958,479,"[30.4, 25.1, 14.0]","[30.4, 25.1, -14.0]",4
