1,2,3,4,5,6
sphere2D_-13.7_-10.6_130.0_930.csv,1861,930,"[-13.7, -10.6, 130.0]","[-13.699999999999855, -10.600000000000062, 130.00000000000003]",5
sphere2D_-14.0_75.0_79.0_511.csv,1022,511,"[-14.0, 75.0, 79.0]","[-14.000000000000007, 75.00000000000001, 78.99999999999997]",5
sphere2D_-18.0_39.1_102.0_441.csv,883,441,"[-18.0, 39.1, 102.0]","[-18.000000000000014, 39.10000000000002, 102.00000000000009]",5
sphere2D_-22.3_-12.0_52.0_1391.csv,2782,1391,"[-22.3, -12.0, 52.0]","[-22.29999999999994, -12.00000000000005, 51.99999999999999]",5
sphere2D_-24.0_-57.0_34.0_235.csv,470,235,"[-24.0, -57.0, 34.0]","[-24.00000000000015, -56.99999999999975, 34.00000000000001]",5
sphere2D_-24.4_-37.5_71.0_297.csv,594,297,"[-24.4, -37.5, 71.0]","[-24.39999999999991, -37.50000000000006, 71.00000000000004]",6
sphere2D_-25.7_-88.8_122.0_1191.csv,2383,1191,"[-25.7, -88.8, 122.0]","[-25.700000000000244, -88.79999999999984, 122.00000000000009]",5
sphere2D_-25.7_52.7_121.0_575.csv,1151,575,"[-25.7, 52.7, 121.0]","[-25.699999999999925, 52.69999999999996, 121.00000000000009]",5
sphere2D_-27.5_-30.2_78.0_1120.csv,2241,1120,"[-27.5, -30.2, 78.0]","[-27.499999999999858, -30.20000000000004, 77.99999999999997]",5
sphere2D_-29.4_12.8_94.0_334.csv,668,334,"[-29.4, 12.8, 94.0]","[-29.399999999999824, 12.799999999999875, 94.00000000000004]",5
sphere2D_-29.7_-94.1_140.0_842.csv,1685,842,"[-29.7, -94.1, 140.0]","[-29.700000000000227, -94.09999999999977, 140.0]",5
sphere2D_-3.2_46.4_115.0_772.csv,1545,772,"[-3.2, 46.4, 115.0]","[-3.1999999999999846, 46.399999999999906, 115.00000000000001]",5
sphere2D_-30.3_-85.6_131.0_1074.csv,2148,1074,"[-30.3, -85.6, 131.0]","[-30.299999999999947, -85.59999999999994, 130.9999999999999]",5
sphere2D_-31.3_66.5_7.0_22.csv,44,22,"[-31.3, 66.5, 7.0]","[-31.300000000009216, 66.50000000000071, 7.000000000022802]",5
sphere2D_-31.8_55.3_122.0_1036.csv,2072,1036,"[-31.8, 55.3, 122.0]","[-31.799999999999983, 55.29999999999999, 122.00000000000001]",5
sphere2D_-33.0_75.7_150.0_215.csv,430,215,"[-33.0, 75.7, 150.0]","[-32.99999999999997, 75.69999999999996, 150.00000000000003]",5
sphere2D_-4.6_-82.0_79.0_969.csv,1938,969,"[-4.6, -82.0, 79.0]","[-4.599999999999859, -82.00000000000014, 79.00000000000004]",5
sphere2D_-4.7_54.4_44.0_837.csv,1674,837,"[-4.7, 54.4, 44.0]","[-4.699999999999978, 54.40000000000015, 44.00000000000003]",5
