1,2,3,4,5,6
sphere2D_-0.5_-58.5_62.0_36.csv,364,36,0.0041273,0.0043807,0.013295
sphere2D_-14.0_49.4_192.0_228.csv,2288,228,0.0393674,0.05022075,0.081676
sphere2D_-15.0_49.9_53.0_212.csv,2126,212,0.0339022,0.03934915,0.0665493
sphere2D_-16.9_34.2_37.0_449.csv,4496,449,0.1403679,0.1507115,0.1630799
sphere2D_-18.3_34.9_183.0_260.csv,2605,260,0.0488704,0.0611301,0.0884209
sphere2D_-18.9_-50.6_104.0_339.csv,3392,339,0.0870604,0.0980844,0.1232744
sphere2D_-19.2_-41.0_97.0_122.csv,1221,122,0.0159224,0.0206384,0.0377723
sphere2D_-19.4_-46.5_167.0_486.csv,4868,486,0.1166804,0.1287346,0.1491368
sphere2D_-2.1_31.8_53.0_143.csv,1432,143,0.020269,0.02448,0.0604164
sphere2D_-2.2_-21.5_80.0_447.csv,4470,447,0.0988245,0.10946595,0.1292121
sphere2D_-21.7_-14.2_162.0_249.csv,2499,249,0.0421085,0.0528598,0.0674962
sphere2D_-24.2_28.0_98.0_365.csv,3655,365,0.0789826,0.0926115,0.1230206
sphere2D_-24.3_-0.8_39.0_317.csv,3172,317,0.060498,0.07458715,0.100069
sphere2D_-28.1_-38.4_131.0_311.csv,3117,311,0.0565678,0.06816535,0.0883898
sphere2D_-28.5_-5.2_55.0_510.csv,5103,510,0.1366113,0.1523657,0.1866896
sphere2D_-3.3_-41.6_129.0_560.csv,5608,560,0.1453485,0.1639966,0.1808803
sphere2D_-30.3_20.3_141.0_544.csv,5442,544,0.1582388,0.1747291,0.1979307
sphere2D_-31.8_53.1_59.0_103.csv,1037,103,0.0132862,0.0176391,0.0328441
sphere2D_-33.2_10.9_12.0_158.csv,1585,158,0.0159937,0.01834835,0.0337173
sphere2D_-34.2_56.3_87.0_54.csv,548,54,0.006321,0.0067985,0.0301203
sphere2D_-34.9_-1.4_12.0_167.csv,1675,167,0.0170161,0.0197783,0.0418384
sphere2D_-35.4_-49.4_155.0_403.csv,4036,403,0.08668,0.0963333,0.1145768
sphere2D_-37.3_58.2_128.0_5.csv,52,5,0.0006881,0.0009595,0.0179584
sphere2D_-4.5_-28.1_109.0_362.csv,3629,362,0.0721069,0.0827211,0.0999098
sphere2D_-40.0_33.4_115.0_103.csv,1035,103,0.013692,0.0186437,0.0431726
sphere2D_-40.5_-9.0_88.0_19.csv,191,19,0.0016621,0.0020049,0.0176008
sphere2D_-41.0_-2.2_173.0_166.csv,1666,166,0.0243721,0.0297991,0.0493617
sphere2D_-43.6_29.1_120.0_529.csv,5299,529,0.1429948,0.1549925,0.1768871
sphere2D_-44.4_55.6_102.0_583.csv,5837,583,0.1643165,0.18204725,0.2172936
sphere2D_-44.7_-31.1_190.0_46.csv,465,46,0.0039476,0.0043355,0.0149665
sphere2D_-45.2_-44.1_140.0_8.csv,89,8,0.000931,0.00131865,0.021329
sphere2D_-48.2_45.2_199.0_236.csv,2363,236,0.0409189,0.05053215,0.0712174
sphere2D_-48.2_7.8_132.0_292.csv,2928,292,0.0547634,0.06732625,0.0845298
sphere2D_-49.2_25.8_59.0_556.csv,5567,556,0.1636862,0.17051505,0.1926036
sphere2D_-49.6_-27.2_82.0_581.csv,5819,581,0.2059928,0.220098,0.2356383
sphere2D_-5.8_-55.8_117.0_18.csv,185,18,0.0021897,0.0024129,0.0194098
sphere2D_-51.1_24.1_21.0_320.csv,3209,320,0.0764013,0.0903655,0.1202193
sphere2D_-52.0_17.9_156.0_161.csv,1610,161,0.0235685,0.0278215,0.0570363
sphere2D_-55.7_23.3_112.0_54.csv,545,54,0.0062771,0.0067105,0.0291298
sphere2D_-56.7_-23.8_130.0_135.csv,1358,135,0.0184683,0.02252575,0.0443118
sphere2D_-57.3_-2.1_115.0_45.csv,454,45,0.0051669,0.00560035,0.0283944
sphere2D_-58.3_-43.0_96.0_533.csv,5339,533,0.1470892,0.15706085,0.1815593
sphere2D_-6.0_21.3_194.0_133.csv,1333,133,0.0188005,0.021542,0.0476375
sphere2D_-6.0_34.7_130.0_260.csv,2603,260,0.0476585,0.0576895,0.0808648
sphere2D_-6.2_-56.0_150.0_253.csv,2532,253,0.0434168,0.0538887,0.0738319
sphere2D_-8.7_-28.2_134.0_448.csv,4488,448,0.1002002,0.1178664,0.1357421
sphere2D_0.2_31.8_195.0_181.csv,1816,181,0.0218495,0.0250442,0.0457487
sphere2D_0.5_-20.6_190.0_530.csv,5306,530,0.1339316,0.1452907,0.1654812
sphere2D_10.1_2.8_121.0_408.csv,4088,408,0.0926974,0.1044815,0.1250755
sphere2D_13.1_-58.6_155.0_139.csv,1399,139,0.0187025,0.0224555,0.0447787
sphere2D_13.6_54.4_50.0_592.csv,5923,592,0.1706934,0.1841442,0.2094307
sphere2D_14.2_-17.3_157.0_594.csv,5949,594,0.1731643,0.1853668,0.2107645
sphere2D_14.9_-7.8_50.0_175.csv,1751,175,0.0259508,0.02779085,0.0520279
sphere2D_15.2_-27.3_160.0_144.csv,1446,144,0.0198507,0.0215365,0.0501594
sphere2D_15.6_-19.9_156.0_161.csv,1617,161,0.0228802,0.02557255,0.0489943
sphere2D_16.5_-3.5_109.0_16.csv,166,16,0.0014949,0.0016276,0.0141009
sphere2D_2.3_-58.5_93.0_259.csv,2593,259,0.055645,0.06805715,0.0970335
sphere2D_20.1_-56.3_70.0_75.csv,752,75,0.0088122,0.01142735,0.0299103
sphere2D_20.9_36.6_5.0_413.csv,4133,413,0.0996885,0.1110062,0.1263078
sphere2D_21.2_-12.1_185.0_179.csv,1791,179,0.0263984,0.0314905,0.053518
sphere2D_21.8_-8.2_41.0_332.csv,3322,332,0.0656457,0.0762987,0.0967838
sphere2D_22.3_25.1_139.0_257.csv,2572,257,0.0465782,0.0563892,0.0841499
sphere2D_22.3_43.2_141.0_103.csv,1031,103,0.0133906,0.01748385,0.0405388
sphere2D_22.4_-49.8_65.0_253.csv,2531,253,0.0430427,0.0526518,0.0835757
sphere2D_24.4_22.3_58.0_236.csv,2367,236,0.0408689,0.0500073,0.080052
sphere2D_24.9_54.7_81.0_145.csv,1450,145,0.0205606,0.0260129,0.0499908
sphere2D_25.9_-23.6_25.0_575.csv,5757,575,0.1579096,0.1765465,0.2105985
sphere2D_31.0_-24.2_23.0_119.csv,1192,119,0.0155307,0.02019835,0.0492143
sphere2D_33.1_51.2_176.0_67.csv,675,67,0.007903,0.0084331,0.0251556
sphere2D_34.9_2.4_145.0_433.csv,4332,433,0.1017007,0.1133222,0.1356774
sphere2D_35.1_9.6_26.0_533.csv,5332,533,0.1437989,0.15755,0.1792711
sphere2D_36.1_-49.2_35.0_186.csv,1867,186,0.0279023,0.0344552,0.058829
sphere2D_36.9_42.7_146.0_494.csv,4944,494,0.1345998,0.1478384,0.1726974
sphere2D_37.1_-4.1_48.0_174.csv,1741,174,0.025958,0.0286799,0.0588907
sphere2D_39.1_26.4_112.0_264.csv,2645,264,0.0486606,0.0585044,0.0924274
sphere2D_39.4_46.9_15.0_190.csv,1905,190,0.0364051,0.04131465,0.0733367
sphere2D_40.4_-6.7_192.0_541.csv,5418,541,0.1492955,0.16080075,0.1880032
sphere2D_41.3_12.9_113.0_275.csv,2750,275,0.0503612,0.0604764,0.0925474
sphere2D_42.0_34.1_93.0_233.csv,2339,233,0.0390736,0.0481412,0.0864611
sphere2D_44.3_-15.5_40.0_529.csv,5294,529,0.1727941,0.1908541,0.2183543
sphere2D_44.5_-16.0_39.0_549.csv,5491,549,0.1891625,0.209238,0.243087
sphere2D_45.1_48.5_64.0_16.csv,162,16,0.0014554,0.001841,0.0207119
sphere2D_46.0_-38.5_137.0_198.csv,1982,198,0.0303999,0.032911,0.0669087
sphere2D_47.2_-56.9_71.0_167.csv,1670,167,0.0240748,0.0263591,0.0599178
sphere2D_47.5_47.6_102.0_576.csv,5766,576,0.1687351,0.18370925,0.215027
sphere2D_49.7_-32.6_76.0_274.csv,2748,274,0.0606445,0.0732038,0.1005858
sphere2D_5.0_-8.0_167.0_312.csv,3120,312,0.0565731,0.06780185,0.1022335
sphere2D_5.7_-38.5_95.0_576.csv,5761,576,0.1506969,0.1686083,0.1922057
sphere2D_50.0_21.4_71.0_215.csv,2153,215,0.0354673,0.0427832,0.0709873
sphere2D_51.7_-48.6_25.0_68.csv,683,68,0.007934,0.00851935,0.0392955
sphere2D_52.0_-40.2_73.0_242.csv,2422,242,0.0395655,0.04823555,0.0878951
sphere2D_53.5_-15.9_34.0_169.csv,1699,169,0.0247782,0.03109315,0.063852
sphere2D_54.7_-1.3_56.0_472.csv,4721,472,0.1422648,0.15918765,0.1880602
sphere2D_56.4_-5.0_86.0_234.csv,2347,234,0.0386742,0.04695245,0.1021604
sphere2D_57.6_33.4_142.0_194.csv,1947,194,0.03103,0.0366061,0.0682825
sphere2D_58.2_49.4_94.0_445.csv,4452,445,0.108562,0.1165378,0.1550312
sphere2D_58.3_-1.0_106.0_353.csv,3532,353,0.0737581,0.08642255,0.1255783
sphere2D_58.4_-59.8_185.0_187.csv,1871,187,0.0282449,0.03488065,0.068343
sphere2D_6.5_27.0_65.0_443.csv,4436,443,0.1128757,0.1277976,0.1553272
sphere2D_7.7_44.7_99.0_262.csv,2620,262,0.0463323,0.0561103,0.1055958
