1,2,3,4,5,6
sphere2D_-0.8_-30.6_196.0_391.csv,1262,391,"[-0.8, -30.6, 196.0]","[-0.8000000000000124, -30.60000000000005, 196.00000000000003]",5
sphere2D_-1.9_20.0_120.0_195.csv,632,195,"[-1.9, 20.0, 120.0]","[-1.89999999999994, 20.000000000000014, 119.99999999999997]",5
sphere2D_-10.7_-30.4_62.0_916.csv,2955,916,"[-10.7, -30.4, 62.0]","[-10.700000000000003, -30.400000000000023, 62.0]",6
sphere2D_-10.7_-46.8_189.0_873.csv,2818,873,"[-10.7, -46.8, 189.0]","[-10.699999999999902, -46.799999999999955, 188.99999999999997]",6
sphere2D_-10.9_29.0_191.0_1716.csv,5538,1716,"[-10.9, 29.0, 191.0]","[-10.900000000000095, 28.999999999999968, 191.00000000000003]",6
sphere2D_-11.5_6.6_66.0_179.csv,578,179,"[-11.5, 6.6, 66.0]","[-11.500000000000046, 6.600000000000022, 66.0]",5
sphere2D_-15.5_42.2_174.0_774.csv,2499,774,"[-15.5, 42.2, 174.0]","[-15.50000000000013, 42.20000000000007, 174.00000000000006]",6
sphere2D_-15.7_48.6_56.0_433.csv,1397,433,"[-15.7, 48.6, 56.0]","[-15.700000000000035, 48.600000000000016, 55.99999999999991]",7
sphere2D_-15.9_13.9_31.0_1536.csv,4957,1536,"[-15.9, 13.9, 31.0]","[-15.9, 13.900000000000011, 30.999999999999996]",7
sphere2D_-18.0_38.6_195.0_401.csv,1294,401,"[-18.0, 38.6, 195.0]","[-17.999999999999922, 38.599999999999966, 194.99999999999997]",6
sphere2D_-18.8_22.7_83.0_246.csv,796,246,"[-18.8, 22.7, 83.0]","[-18.800000000000022, 22.699999999999953, 83.00000000000001]",5
sphere2D_-19.8_-36.0_148.0_126.csv,409,126,"[-19.8, -36.0, 148.0]","[-19.800000000000008, -36.00000000000001, 147.99999999999994]",5
sphere2D_-21.0_-12.8_68.0_731.csv,2360,731,"[-21.0, -12.8, 68.0]","[-20.99999999999996, -12.799999999999981, 67.99999999999996]",6
sphere2D_-21.1_-47.8_181.0_510.csv,1648,510,"[-21.1, -47.8, 181.0]","[-21.10000000000005, -47.7999999999998, 181.00000000000003]",5
sphere2D_-22.5_8.3_35.0_996.csv,3213,996,"[-22.5, 8.3, 35.0]","[-22.499999999999986, 8.300000000000011, 35.00000000000003]",6
sphere2D_-23.0_-18.6_154.0_144.csv,465,144,"[-23.0, -18.6, 154.0]","[-23.000000000000068, -18.600000000000136, 153.99999999999994]",5
sphere2D_-23.3_-24.1_6.0_876.csv,2827,876,"[-23.3, -24.1, 6.0]","[-23.299999999999688, -24.09999999999953, 6.000000000001971]",7
sphere2D_-24.7_16.3_64.0_671.csv,2167,671,"[-24.7, 16.3, 64.0]","[-24.700000000000003, 16.300000000000054, 64.00000000000003]",6
sphere2D_-25.1_-34.1_139.0_128.csv,416,128,"[-25.1, -34.1, 139.0]","[-25.09999999999994, -34.09999999999991, 138.99999999999997]",5
sphere2D_-26.1_43.5_159.0_545.csv,1761,545,"[-26.1, 43.5, 159.0]","[-26.10000000000004, 43.49999999999992, 159.00000000000003]",6
sphere2D_-3.2_-14.1_115.0_623.csv,2012,623,"[-3.2, -14.1, 115.0]","[-3.199999999999946, -14.099999999999975, 114.99999999999999]",6
sphere2D_-31.5_7.9_94.0_916.csv,2955,916,"[-31.5, 7.9, 94.0]","[-31.499999999999986, 7.900000000000093, 94.0]",6
sphere2D_-32.9_14.1_113.0_763.csv,2464,763,"[-32.9, 14.1, 113.0]","[-32.900000000000006, 14.100000000000053, 113.00000000000004]",5
sphere2D_-34.2_-4.9_100.0_134.csv,434,134,"[-34.2, -4.9, 100.0]","[-34.199999999999946, -4.8999999999999915, 100.0]",5
sphere2D_-34.3_-51.8_132.0_412.csv,1332,412,"[-34.3, -51.8, 132.0]","[-34.30000000000004, -51.799999999999905, 132.0]",6
sphere2D_-36.7_-20.1_60.0_1068.csv,3447,1068,"[-36.7, -20.1, 60.0]","[-36.700000000000045, -20.100000000000005, 59.99999999999998]",7
sphere2D_-37.4_-13.9_10.0_1618.csv,5222,1618,"[-37.4, -13.9, 10.0]","[-37.39999999999961, -13.899999999999649, 10.000000000001126]",7
sphere2D_-38.2_43.8_71.0_1849.csv,5965,1849,"[-38.2, 43.8, 71.0]","[-38.19999999999999, 43.80000000000002, 70.99999999999996]",7
sphere2D_-4.7_-59.1_126.0_1837.csv,5928,1837,"[-4.7, -59.1, 126.0]","[-4.700000000000235, -59.09999999999998, 125.99999999999994]",6
sphere2D_-41.0_-2.2_110.0_1608.csv,5189,1608,"[-41.0, -2.2, 110.0]","[-40.99999999999999, -2.199999999999997, 109.99999999999994]",7
sphere2D_-42.1_18.2_79.0_1047.csv,3378,1047,"[-42.1, 18.2, 79.0]","[-42.09999999999995, 18.199999999999914, 79.00000000000001]",6
sphere2D_-42.6_17.5_36.0_1801.csv,5810,1801,"[-42.6, 17.5, 36.0]","[-42.59999999999983, 17.499999999999996, 36.00000000000015]",7
sphere2D_-42.7_-23.5_49.0_134.csv,435,134,"[-42.7, -23.5, 49.0]","[-42.700000000000024, -23.500000000000014, 49.00000000000006]",7
sphere2D_-43.3_21.4_156.0_1552.csv,5009,1552,"[-43.3, 21.4, 156.0]","[-43.29999999999992, 21.400000000000045, 156.00000000000006]",6
sphere2D_-44.1_51.9_132.0_1401.csv,4521,1401,"[-44.1, 51.9, 132.0]","[-44.1, 51.89999999999999, 132.0]",6
sphere2D_-44.3_2.9_123.0_1106.csv,3570,1106,"[-44.3, 2.9, 123.0]","[-44.30000000000003, 2.8999999999999164, 122.99999999999997]",6
sphere2D_-45.1_21.8_57.0_1454.csv,4693,1454,"[-45.1, 21.8, 57.0]","[-45.10000000000003, 21.800000000000022, 57.00000000000004]",7
sphere2D_-49.4_26.7_79.0_217.csv,703,217,"[-49.4, 26.7, 79.0]","[-49.399999999999935, 26.70000000000005, 79.0]",6
sphere2D_-50.3_6.6_159.0_1123.csv,3625,1123,"[-50.3, 6.6, 159.0]","[-50.29999999999998, 6.599999999999912, 159.0]",6
sphere2D_-51.0_-14.7_17.0_613.csv,1980,613,"[-51.0, -14.7, 17.0]","[-51.000000000000085, -14.699999999999557, 16.999999999999865]",8
sphere2D_-54.8_10.9_14.0_1087.csv,3509,1087,"[-54.8, 10.9, 14.0]","[-54.800000000000715, 10.89999999999965, 13.999999999998376]",7
sphere2D_-58.7_54.7_142.0_686.csv,2214,686,"[-58.7, 54.7, 142.0]","[-58.69999999999996, 54.699999999999974, 142.00000000000003]",6
sphere2D_-6.4_41.0_82.0_1090.csv,3517,1090,"[-6.4, 41.0, 82.0]","[-6.400000000000014, 40.999999999999964, 82.00000000000001]",6
sphere2D_-8.2_-11.2_84.0_1487.csv,4797,1487,"[-8.2, -11.2, 84.0]","[-8.200000000000102, -11.199999999999982, 83.99999999999997]",6
sphere2D_-8.7_-6.9_90.0_14.csv,47,14,"[-8.7, -6.9, 90.0]","[-8.699999999999907, -6.9000000000000385, 90.00000000000001]",4
sphere2D_-8.9_-46.6_5.0_1336.csv,4310,1336,"[-8.9, -46.6, 5.0]","[-8.899999999999391, -46.599999999997046, 5.000000000013915]",7
sphere2D_-9.5_36.3_59.0_1536.csv,4957,1536,"[-9.5, 36.3, 59.0]","[-9.499999999999991, 36.29999999999998, 59.00000000000002]",6
sphere2D_0.3_-33.3_9.0_1063.csv,3431,1063,"[0.3, -33.3, 9.0]","[0.3000000000000289, -33.299999999999194, 9.000000000001288]",8
sphere2D_1.6_-57.1_165.0_589.csv,1900,589,"[1.6, -57.1, 165.0]","[1.6000000000000627, -57.09999999999985, 165.00000000000003]",6
