1,2,3,4,5,6
sphere2D_-0.3_-35.5_150.0_412.csv,1006,412,0.0112846,0.0126399,0.0706037
sphere2D_-1.2_8.9_21.0_521.csv,1273,521,0.0191458,0.0244648,0.1433784
sphere2D_-12.3_-46.7_124.0_1546.csv,3772,1546,0.0901937,0.1031262,0.4042139
sphere2D_-12.8_5.6_88.0_743.csv,1813,743,0.0259462,0.0318362,0.1384035
sphere2D_-13.3_-28.5_67.0_203.csv,496,203,0.0071478,0.0080348,0.0705959
sphere2D_-13.4_-25.5_38.0_2244.csv,5474,2244,0.1965189,0.2184775,0.3709032
sphere2D_-13.6_-0.3_170.0_1334.csv,3256,1334,0.0622691,0.07220685,0.1605092
sphere2D_-14.4_10.9_104.0_2051.csv,5004,2051,0.139332,0.15321735,0.3330279
sphere2D_-14.9_45.4_196.0_2207.csv,5384,2207,0.1647829,0.1808704,0.3356138
sphere2D_-16.0_-7.2_111.0_1839.csv,4487,1839,0.1047643,0.1179292,0.326989
sphere2D_-16.1_51.1_104.0_1077.csv,2627,1077,0.0636991,0.07446685,0.1717275
sphere2D_-17.6_-22.4_92.0_1135.csv,2770,1135,0.046808,0.0550509,0.1461906
sphere2D_-17.7_-36.5_83.0_1144.csv,2792,1144,0.0565879,0.0658,0.1540509
sphere2D_-2.2_37.0_55.0_271.csv,662,271,0.0099792,0.011178,0.0679001
sphere2D_-22.2_-39.6_133.0_174.csv,425,174,0.004476,0.0050869,0.0637156
sphere2D_-23.2_33.3_101.0_1134.csv,2766,1134,0.0589252,0.0686022,0.166325
sphere2D_-23.3_-14.4_190.0_2063.csv,5034,2063,0.1283907,0.1431002,0.3227628
sphere2D_-26.3_51.7_130.0_1754.csv,4280,1754,0.1231737,0.1374728,0.3606027
sphere2D_-27.1_43.1_149.0_1168.csv,2850,1168,0.0609251,0.0710929,0.1681684
sphere2D_-27.2_-16.4_86.0_203.csv,496,203,0.0061914,0.0070264,0.0657793
sphere2D_-27.4_5.9_190.0_1177.csv,2871,1177,0.0510867,0.05944605,0.1544857
sphere2D_-27.8_30.4_191.0_295.csv,720,295,0.0077502,0.00880235,0.0733549
sphere2D_-29.3_-41.1_183.0_1305.csv,3185,1305,0.0579392,0.0675733,0.17839
sphere2D_-3.0_54.8_51.0_1804.csv,4401,1804,0.1561855,0.1746815,0.4544357
sphere2D_-3.6_23.1_117.0_1093.csv,2667,1093,0.0466552,0.05443175,0.1556908
sphere2D_-3.9_-41.5_68.0_305.csv,745,305,0.0094881,0.0117983,0.1006123
sphere2D_-30.0_27.8_75.0_1062.csv,2591,1062,0.0522437,0.06173215,0.1567644
sphere2D_-30.1_-34.5_53.0_2109.csv,5144,2109,0.1791306,0.19887065,0.4262233
sphere2D_-31.8_-55.8_95.0_817.csv,1994,817,0.0398235,0.0482635,0.1655139
sphere2D_-32.1_3.2_133.0_707.csv,1725,707,0.0284405,0.0349011,0.1551516
sphere2D_-33.4_15.5_39.0_51.csv,126,51,0.0025165,0.00364765,0.0808968
sphere2D_-33.6_-32.4_96.0_444.csv,1084,444,0.0124836,0.0157095,0.1023272
sphere2D_-33.9_-3.4_123.0_1045.csv,2551,1045,0.0421027,0.0496568,0.1433189
sphere2D_-34.2_-28.9_48.0_1245.csv,3037,1245,0.0746118,0.0876144,0.1814792
sphere2D_-34.4_42.6_82.0_1406.csv,3430,1406,0.0953828,0.11063045,1.7727527
sphere2D_-35.3_-28.1_29.0_2118.csv,5168,2118,0.2133108,0.2365549,0.4511131
sphere2D_-35.9_19.0_129.0_1976.csv,4821,1976,0.1490365,0.1654702,0.3764871
sphere2D_-35.9_40.6_124.0_1171.csv,2857,1171,0.0618138,0.0721748,0.1742993
sphere2D_-37.1_53.7_38.0_272.csv,664,272,0.0100219,0.011248,0.0762768
sphere2D_-37.7_41.7_176.0_1315.csv,3208,1315,0.0742399,0.08629455,0.1860258
sphere2D_-38.2_26.3_42.0_2088.csv,5095,2088,0.1955871,0.2152595,0.4039911
sphere2D_-42.7_-37.5_127.0_1209.csv,2951,1209,0.0616617,0.0726078,0.1859284
sphere2D_-5.4_45.2_131.0_2363.csv,5765,2363,0.2317111,0.2507593,0.4703854
sphere2D_-51.3_41.3_82.0_1829.csv,4462,1829,0.1503137,0.1690572,0.4118109
sphere2D_-52.5_59.5_77.0_589.csv,1438,589,0.0263474,0.0331501,0.1689853
sphere2D_-52.6_-13.0_96.0_1313.csv,3204,1313,0.0716902,0.0830956,0.1855555
sphere2D_-52.6_-42.7_147.0_2322.csv,5664,2322,0.1910025,0.2093737,0.3997504
sphere2D_-54.2_54.4_191.0_1195.csv,2915,1195,0.0640358,0.074463,0.1822578
sphere2D_-55.3_49.6_83.0_939.csv,2292,939,0.0509961,0.0601269,0.1589886
sphere2D_-56.6_-28.8_165.0_1034.csv,2523,1034,0.0490645,0.05848065,0.161857
sphere2D_-56.9_16.4_68.0_645.csv,1575,645,0.0294197,0.0368596,0.174768
sphere2D_-57.5_-19.2_61.0_2189.csv,5341,2189,0.1983259,0.2191619,0.4447435
sphere2D_-58.4_22.8_134.0_1617.csv,3945,1617,0.1019705,0.11626245,0.421128
