1,2,3,4,5,6
sphere2D_-0.3_-35.5_150.0_412.csv,1006,412,"[-0.3, -35.5, 150.0]","[-0.3000000000001012, -35.499999999999936, 150.00000000000009]",8
sphere2D_-1.2_8.9_21.0_521.csv,1273,521,"[-1.2, 8.9, 21.0]","[-1.2000000000000017, 8.900000000000015, 20.999999999999996]",6
sphere2D_-12.3_-46.7_124.0_1546.csv,3772,1546,"[-12.3, -46.7, 124.0]","[-12.299999999999983, -46.699999999999974, 123.99999999999999]",7
sphere2D_-12.8_5.6_88.0_743.csv,1813,743,"[-12.8, 5.6, 88.0]","[-12.800000000000038, 5.6000000000000325, 88.00000000000003]",6
sphere2D_-13.3_-28.5_67.0_203.csv,496,203,"[-13.3, -28.5, 67.0]","[-13.29999999999999, -28.500000000000018, 67.00000000000003]",7
sphere2D_-13.4_-25.5_38.0_2244.csv,5474,2244,"[-13.4, -25.5, 38.0]","[-13.399999999999983, -25.500000000000025, 38.00000000000002]",7
sphere2D_-13.6_-0.3_170.0_1334.csv,3256,1334,"[-13.6, -0.3, 170.0]","[-13.59999999999993, -0.30000000000009774, 170.0]",6
sphere2D_-14.4_10.9_104.0_2051.csv,5004,2051,"[-14.4, 10.9, 104.0]","[-14.400000000000052, 10.899999999999975, 103.99999999999996]",6
sphere2D_-14.9_45.4_196.0_2207.csv,5384,2207,"[-14.9, 45.4, 196.0]","[-14.89999999999996, 45.39999999999999, 195.99999999999997]",11
sphere2D_-16.0_-7.2_111.0_1839.csv,4487,1839,"[-16.0, -7.2, 111.0]","[-15.99999999999995, -7.199999999999932, 110.99999999999999]",9
sphere2D_-16.1_51.1_104.0_1077.csv,2627,1077,"[-16.1, 51.1, 104.0]","[-16.099999999999955, 51.099999999999945, 103.99999999999997]",7
sphere2D_-17.6_-22.4_92.0_1135.csv,2770,1135,"[-17.6, -22.4, 92.0]","[-17.59999999999998, -22.400000000000027, 92.00000000000004]",6
sphere2D_-17.7_-36.5_83.0_1144.csv,2792,1144,"[-17.7, -36.5, 83.0]","[-17.69999999999996, -36.4999999999999, 82.99999999999999]",6
sphere2D_-2.2_37.0_55.0_271.csv,662,271,"[-2.2, 37.0, 55.0]","[-2.1999999999999926, 36.99999999999994, 55.00000000000002]",7
sphere2D_-22.2_-39.6_133.0_174.csv,425,174,"[-22.2, -39.6, 133.0]","[-22.2000000000001, -39.60000000000001, 132.99999999999997]",6
sphere2D_-23.2_33.3_101.0_1134.csv,2766,1134,"[-23.2, 33.3, 101.0]","[-23.199999999999992, 33.29999999999999, 101.00000000000001]",6
sphere2D_-23.3_-14.4_190.0_2063.csv,5034,2063,"[-23.3, -14.4, 190.0]","[-23.299999999999997, -14.39999999999996, 189.99999999999997]",6
sphere2D_-26.3_51.7_130.0_1754.csv,4280,1754,"[-26.3, 51.7, 130.0]","[-26.299999999999937, 51.70000000000005, 130.0]",11
sphere2D_-27.1_43.1_149.0_1168.csv,2850,1168,"[-27.1, 43.1, 149.0]","[-27.099999999999962, 43.099999999999966, 149.0]",6
sphere2D_-27.2_-16.4_86.0_203.csv,496,203,"[-27.2, -16.4, 86.0]","[-27.19999999999996, -16.400000000000055, 86.0]",7
sphere2D_-27.4_5.9_190.0_1177.csv,2871,1177,"[-27.4, 5.9, 190.0]","[-27.399999999999906, 5.900000000000001, 189.99999999999997]",6
sphere2D_-27.8_30.4_191.0_295.csv,720,295,"[-27.8, 30.4, 191.0]","[-27.800000000000026, 30.400000000000173, 191.00000000000009]",7
sphere2D_-29.3_-41.1_183.0_1305.csv,3185,1305,"[-29.3, -41.1, 183.0]","[-29.29999999999995, -41.1, 183.0]",15
sphere2D_-3.0_54.8_51.0_1804.csv,4401,1804,"[-3.0, 54.8, 51.0]","[-3.000000000000012, 54.800000000000026, 51.000000000000064]",10
sphere2D_-3.6_23.1_117.0_1093.csv,2667,1093,"[-3.6, 23.1, 117.0]","[-3.6000000000000383, 23.09999999999999, 117.00000000000001]",8
sphere2D_-3.9_-41.5_68.0_305.csv,745,305,"[-3.9, -41.5, 68.0]","[-3.8999999999998978, -41.50000000000003, 68.00000000000007]",7
sphere2D_-30.0_27.8_75.0_1062.csv,2591,1062,"[-30.0, 27.8, 75.0]","[-29.99999999999999, 27.799999999999958, 75.00000000000001]",7
sphere2D_-30.1_-34.5_53.0_2109.csv,5144,2109,"[-30.1, -34.5, 53.0]","[-30.099999999999987, -34.49999999999998, 52.999999999999986]",7
sphere2D_-31.8_-55.8_95.0_817.csv,1994,817,"[-31.8, -55.8, 95.0]","[-31.800000000000033, -55.79999999999999, 95.00000000000004]",7
sphere2D_-32.1_3.2_133.0_707.csv,1725,707,"[-32.1, 3.2, 133.0]","[-32.099999999999966, 3.2000000000001285, 133.0]",6
sphere2D_-33.4_15.5_39.0_51.csv,126,51,"[-33.4, 15.5, 39.0]","[-33.39999999999998, 15.499999999999993, 39.000000000000014]",9
sphere2D_-33.6_-32.4_96.0_444.csv,1084,444,"[-33.6, -32.4, 96.0]","[-33.59999999999993, -32.39999999999997, 96.00000000000004]",6
sphere2D_-33.9_-3.4_123.0_1045.csv,2551,1045,"[-33.9, -3.4, 123.0]","[-33.899999999999984, -3.399999999999946, 122.99999999999996]",7
sphere2D_-34.2_-28.9_48.0_1245.csv,3037,1245,"[-34.2, -28.9, 48.0]","[-34.19999999999993, -28.90000000000007, 48.000000000000014]",8
sphere2D_-34.4_42.6_82.0_1406.csv,3430,1406,"[-34.4, 42.6, 82.0]","[-34.39999999999999, 42.60000000000004, 82.0]",9
sphere2D_-35.3_-28.1_29.0_2118.csv,5168,2118,"[-35.3, -28.1, 29.0]","[-35.29999999999995, -28.099999999999955, 29.00000000000003]",8
sphere2D_-35.9_19.0_129.0_1976.csv,4821,1976,"[-35.9, 19.0, 129.0]","[-35.90000000000004, 19.000000000000036, 129.00000000000003]",7
sphere2D_-35.9_40.6_124.0_1171.csv,2857,1171,"[-35.9, 40.6, 124.0]","[-35.89999999999993, 40.60000000000003, 123.99999999999993]",7
sphere2D_-37.1_53.7_38.0_272.csv,664,272,"[-37.1, 53.7, 38.0]","[-37.09999999999987, 53.70000000000004, 38.00000000000015]",8
sphere2D_-37.7_41.7_176.0_1315.csv,3208,1315,"[-37.7, 41.7, 176.0]","[-37.70000000000001, 41.700000000000124, 176.00000000000006]",8
sphere2D_-38.2_26.3_42.0_2088.csv,5095,2088,"[-38.2, 26.3, 42.0]","[-38.199999999999996, 26.300000000000086, 42.00000000000002]",8
sphere2D_-42.7_-37.5_127.0_1209.csv,2951,1209,"[-42.7, -37.5, 127.0]","[-42.700000000000074, -37.49999999999998, 126.99999999999996]",6
sphere2D_-5.4_45.2_131.0_2363.csv,5765,2363,"[-5.4, 45.2, 131.0]","[-5.4000000000001185, 45.20000000000004, 131.00000000000003]",14
sphere2D_-51.3_41.3_82.0_1829.csv,4462,1829,"[-51.3, 41.3, 82.0]","[-51.29999999999995, 41.299999999999976, 82.00000000000003]",8
sphere2D_-52.5_59.5_77.0_589.csv,1438,589,"[-52.5, 59.5, 77.0]","[-52.49999999999992, 59.499999999999936, 77.0]",7
sphere2D_-52.6_-13.0_96.0_1313.csv,3204,1313,"[-52.6, -13.0, 96.0]","[-52.60000000000003, -13.000000000000073, 95.99999999999997]",7
sphere2D_-52.6_-42.7_147.0_2322.csv,5664,2322,"[-52.6, -42.7, 147.0]","[-52.600000000000016, -42.70000000000003, 147.0]",9
sphere2D_-54.2_54.4_191.0_1195.csv,2915,1195,"[-54.2, 54.4, 191.0]","[-54.199999999999946, 54.40000000000009, 190.99999999999997]",9
sphere2D_-55.3_49.6_83.0_939.csv,2292,939,"[-55.3, 49.6, 83.0]","[-55.3000000000001, 49.6, 82.99999999999994]",12
sphere2D_-56.6_-28.8_165.0_1034.csv,2523,1034,"[-56.6, -28.8, 165.0]","[-56.6, -28.80000000000002, 165.00000000000006]",9
sphere2D_-56.9_16.4_68.0_645.csv,1575,645,"[-56.9, 16.4, 68.0]","[-56.89999999999995, 16.39999999999999, 68.00000000000007]",7
sphere2D_-57.5_-19.2_61.0_2189.csv,5341,2189,"[-57.5, -19.2, 61.0]","[-57.4999999999999, -19.200000000000173, 61.00000000000007]",8
sphere2D_-58.4_22.8_134.0_1617.csv,3945,1617,"[-58.4, 22.8, 134.0]","[-58.40000000000001, 22.800000000000004, 134.00000000000009]",15
sphere2D_-59.5_-24.6_166.0_763.csv,1862,763,"[-59.5, -24.6, 166.0]","[-59.499999999999964, -24.6, 166.00000000000003]",6
sphere2D_-9.4_7.7_26.0_214.csv,523,214,"[-9.4, 7.7, 26.0]","[-9.400000000000004, 7.700000000000013, 25.999999999999993]",6
sphere2D_0.3_-18.3_181.0_1061.csv,2588,1061,"[0.3, -18.3, 181.0]","[0.3000000000000775, -18.299999999999937, 181.00000000000003]",7
sphere2D_12.1_-54.3_132.0_2229.csv,5438,2229,"[12.1, -54.3, 132.0]","[12.100000000000042, -54.300000000000075, 132.0]",7
sphere2D_12.6_-28.2_38.0_2224.csv,5426,2224,"[12.6, -28.2, 38.0]","[12.600000000000005, -28.200000000000028, 37.99999999999997]",8
sphere2D_21.5_-12.2_72.0_1070.csv,2610,1070,"[21.5, -12.2, 72.0]","[21.500000000000004, -12.20000000000001, 71.99999999999999]",6
sphere2D_21.8_29.1_5.0_448.csv,1094,448,"[21.8, 29.1, 5.0]","[21.800000000000757, 29.100000000000517, 4.999999999997089]",8
sphere2D_21.9_-4.9_105.0_1543.csv,3764,1543,"[21.9, -4.9, 105.0]","[21.9, -4.900000000000042, 105.00000000000007]",7
sphere2D_22.3_16.7_192.0_528.csv,1290,528,"[22.3, 16.7, 192.0]","[22.29999999999998, 16.699999999999967, 191.99999999999994]",7
sphere2D_24.5_7.8_51.0_2070.csv,5049,2070,"[24.5, 7.8, 51.0]","[24.499999999999954, 7.80000000000001, 50.999999999999964]",7
sphere2D_24.8_43.2_71.0_1572.csv,3836,1572,"[24.8, 43.2, 71.0]","[24.80000000000004, 43.19999999999998, 71.00000000000003]",7
sphere2D_26.0_-6.0_60.0_2145.csv,5233,2145,"[26.0, -6.0, 60.0]","[26.000000000000018, -5.999999999999944, 60.00000000000001]",7
sphere2D_27.9_-1.9_89.0_2173.csv,5302,2173,"[27.9, -1.9, 89.0]","[27.900000000000038, -1.8999999999999302, 89.00000000000001]",7
sphere2D_28.6_15.7_156.0_1687.csv,4115,1687,"[28.6, 15.7, 156.0]","[28.59999999999992, 15.700000000000014, 156.0]",6
sphere2D_29.1_19.5_28.0_273.csv,668,273,"[29.1, 19.5, 28.0]","[29.100000000000062, 19.500000000000053, 27.999999999999925]",7
sphere2D_29.9_-14.9_179.0_55.csv,135,55,"[29.9, -14.9, 179.0]","[29.900000000000066, -14.899999999999848, 179.0]",6
sphere2D_3.8_-44.2_178.0_835.csv,2038,835,"[3.8, -44.2, 178.0]","[3.800000000000058, -44.200000000000074, 177.99999999999997]",9
sphere2D_30.7_-23.2_35.0_726.csv,1772,726,"[30.7, -23.2, 35.0]","[30.69999999999995, -23.199999999999964, 35.00000000000001]",8
sphere2D_31.7_-19.4_115.0_937.csv,2286,937,"[31.7, -19.4, 115.0]","[31.699999999999946, -19.399999999999938, 115.00000000000001]",7
sphere2D_31.9_-10.5_184.0_1767.csv,4310,1767,"[31.9, -10.5, 184.0]","[31.899999999999956, -10.500000000000101, 183.99999999999997]",22
sphere2D_31.9_39.0_175.0_423.csv,1033,423,"[31.9, 39.0, 175.0]","[31.899999999999988, 38.99999999999994, 174.99999999999997]",6
sphere2D_33.0_42.3_41.0_832.csv,2031,832,"[33.0, 42.3, 41.0]","[33.000000000000014, 42.30000000000001, 41.00000000000006]",8
sphere2D_33.1_21.5_118.0_603.csv,1472,603,"[33.1, 21.5, 118.0]","[33.10000000000006, 21.499999999999968, 118.00000000000003]",7
sphere2D_33.9_-2.6_146.0_1736.csv,4235,1736,"[33.9, -2.6, 146.0]","[33.89999999999997, -2.6000000000001435, 145.99999999999997]",15
sphere2D_35.4_2.0_139.0_100.csv,246,100,"[35.4, 2.0, 139.0]","[35.400000000000055, 2.0000000000002047, 138.99999999999994]",5
sphere2D_35.5_-46.5_9.0_1560.csv,3805,1560,"[35.5, -46.5, 9.0]","[35.499999999999915, -46.49999999999873, 9.000000000004725]",14
sphere2D_39.2_-20.8_38.0_852.csv,2079,852,"[39.2, -20.8, 38.0]","[39.20000000000008, -20.800000000000008, 37.99999999999994]",7
sphere2D_39.6_22.1_12.0_505.csv,1232,505,"[39.6, 22.1, 12.0]","[39.600000000000044, 22.100000000000165, 11.999999999999611]",8
sphere2D_4.3_6.7_51.0_1105.csv,2697,1105,"[4.3, 6.7, 51.0]","[4.299999999999985, 6.7000000000000135, 50.999999999999986]",6
sphere2D_4.4_-45.8_77.0_1306.csv,3186,1306,"[4.4, -45.8, 77.0]","[4.39999999999998, -45.79999999999993, 77.0]",7
sphere2D_4.7_-37.5_49.0_1219.csv,2975,1219,"[4.7, -37.5, 49.0]","[4.7000000000000535, -37.499999999999964, 49.00000000000002]",8
sphere2D_42.8_-36.1_125.0_2236.csv,5456,2236,"[42.8, -36.1, 125.0]","[42.800000000000054, -36.10000000000008, 125.00000000000004]",6
sphere2D_44.4_42.9_96.0_521.csv,1272,521,"[44.4, 42.9, 96.0]","[44.40000000000006, 42.89999999999991, 96.00000000000006]",7
sphere2D_45.4_12.6_22.0_997.csv,2432,997,"[45.4, 12.6, 22.0]","[45.40000000000011, 12.600000000000009, 21.999999999999794]",8
sphere2D_46.3_23.0_77.0_1161.csv,2834,1161,"[46.3, 23.0, 77.0]","[46.29999999999999, 22.999999999999986, 76.99999999999999]",7
sphere2D_47.5_42.7_57.0_306.csv,748,306,"[47.5, 42.7, 57.0]","[47.500000000000185, 42.70000000000012, 56.999999999999915]",8
sphere2D_48.1_-31.1_179.0_1277.csv,3116,1277,"[48.1, -31.1, 179.0]","[48.099999999999994, -31.099999999999955, 178.99999999999997]",6
sphere2D_49.9_1.1_159.0_1264.csv,3084,1264,"[49.9, 1.1, 159.0]","[49.899999999999935, 1.1000000000000558, 159.00000000000003]",6
sphere2D_55.3_-33.4_36.0_1651.csv,4029,1651,"[55.3, -33.4, 36.0]","[55.30000000000007, -33.39999999999976, 36.00000000000001]",9
sphere2D_57.6_-6.9_161.0_450.csv,1099,450,"[57.6, -6.9, 161.0]","[57.59999999999996, -6.899999999999901, 161.00000000000006]",6
sphere2D_57.8_9.1_174.0_446.csv,1089,446,"[57.8, 9.1, 174.0]","[57.799999999999926, 9.099999999999909, 173.99999999999997]",6
sphere2D_59.4_9.1_46.0_1043.csv,2544,1043,"[59.4, 9.1, 46.0]","[59.40000000000008, 9.099999999999907, 45.999999999999794]",8
sphere2D_6.0_-2.6_112.0_248.csv,605,248,"[6.0, -2.6, 112.0]","[5.999999999999996, -2.6000000000000885, 111.99999999999996]",6
sphere2D_6.5_49.2_21.0_1173.csv,2862,1173,"[6.5, 49.2, 21.0]","[6.500000000000034, 49.200000000000074, 20.999999999999794]",10
sphere2D_6.7_9.5_87.0_725.csv,1769,725,"[6.7, 9.5, 87.0]","[6.699999999999928, 9.500000000000039, 87.00000000000003]",6
sphere2D_7.7_33.2_132.0_2031.csv,4954,2031,"[7.7, 33.2, 132.0]","[7.700000000000048, 33.200000000000024, 132.0]",7
sphere2D_8.4_-34.6_24.0_1150.csv,2807,1150,"[8.4, -34.6, 24.0]","[8.399999999999991, -34.59999999999997, 24.000000000000043]",8
