1,2,3,4,5,6
sphere3D_-0.9_-45.7_-24.4_153.0_234.csv,2343,234,"[-0.9, -45.7, -24.4, 153.0]","[-0.900000000000008, -45.7, -24.399999999999995, 153.0]",5
sphere3D_-11.5_1.5_58.1_59.0_181.csv,1819,181,"[-11.5, 1.5, 58.1, 59.0]","[-11.5, 1.4999999999999984, 58.1, 59.0]",5
sphere3D_-11.9_13.9_-21.8_109.0_361.csv,3615,361,"[-11.9, 13.9, -21.8, 109.0]","[-11.900000000000002, 13.900000000000002, -21.8, 109.0]",5
sphere3D_-14.4_-5.9_-12.8_85.0_99.csv,996,99,"[-14.4, -5.9, -12.8, 85.0]","[-14.400000000000002, -5.900000000000002, -12.799999999999994, 85.0]",5
sphere3D_-15.0_34.3_-28.4_160.0_593.csv,5930,593,"[-15.0, 34.3, -28.4, 160.0]","[-15.000000000000005, 34.3, -28.399999999999995, 160.0]",5
sphere3D_-15.8_-8.9_-26.4_180.0_589.csv,5897,589,"[-15.8, -8.9, -26.4, 180.0]","[-15.799999999999999, -8.899999999999999, -26.400000000000006, 180.0]",5
sphere3D_-16.1_12.8_-11.0_155.0_186.csv,1863,186,"[-16.1, 12.8, -11.0, 155.0]","[-16.099999999999994, 12.8, -11.000000000000005, 155.0]",4
sphere3D_-18.1_-47.6_-47.2_76.0_314.csv,3149,314,"[-18.1, -47.6, -47.2, 76.0]","[-18.1, -47.6, -47.2, 76.0]",6
sphere3D_-18.2_-53.5_-51.9_129.0_189.csv,1895,189,"[-18.2, -53.5, -51.9, 129.0]","[-18.2, -53.5, -51.9, 129.0]",6
sphere3D_-2.1_-43.8_26.5_69.0_264.csv,2641,264,"[-2.1, -43.8, 26.5, 69.0]","[-2.1, -43.8, 26.499999999999996, 69.0]",5
sphere3D_-2.1_43.1_14.5_187.0_334.csv,3344,334,"[-2.1, 43.1, 14.5, 187.0]","[-2.1000000000000014, 43.09999999999999, 14.500000000000005, 187.0]",5
sphere3D_-20.6_-45.1_-40.3_16.0_197.csv,1975,197,"[-20.6, -45.1, -40.3, 16.0]","[-20.6, -45.1, -40.3, -16.0]",5
sphere3D_-20.8_-34.1_-26.4_197.0_249.csv,2494,249,"[-20.8, -34.1, -26.4, 197.0]","[-20.80000000000001, -34.09999999999999, -26.400000000000013, 197.0]",5
sphere3D_-21.0_26.1_42.7_71.0_354.csv,3542,354,"[-21.0, 26.1, 42.7, 71.0]","[-20.999999999999996, 26.1, 42.7, 71.0]",5
sphere3D_-21.4_35.5_20.7_200.0_462.csv,4625,462,"[-21.4, 35.5, 20.7, 200.0]","[-21.40000000000001, 35.50000000000001, 20.699999999999985, 200.0]",5
sphere3D_-21.5_35.2_46.9_89.0_260.csv,2603,260,"[-21.5, 35.2, 46.9, 89.0]","[-21.500000000000004, 35.2, 46.9, 89.0]",5
sphere3D_-21.7_-37.3_27.4_22.0_51.csv,518,51,"[-21.7, -37.3, 27.4, 22.0]","[-21.7, -37.3, 27.4, -22.0]",6
sphere3D_-24.2_-57.3_-46.2_29.0_165.csv,1657,165,"[-24.2, -57.3, -46.2, 29.0]","[-24.2, -57.3, -46.2, -29.0]",5
sphere3D_-24.3_-11.7_2.5_12.0_570.csv,5701,570,"[-24.3, -11.7, 2.5, 12.0]","[-24.3, -11.7, 2.4999999999999996, -12.0]",6
sphere3D_-26.4_-29.4_20.9_168.0_154.csv,1544,154,"[-26.4, -29.4, 20.9, 168.0]","[-26.400000000000002, -29.400000000000006, 20.900000000000006, 168.0]",6
sphere3D_-28.2_8.4_29.8_31.0_510.csv,5104,510,"[-28.2, 8.4, 29.8, 31.0]","[-28.2, 8.4, 29.8, -31.0]",6
sphere3D_-28.3_42.2_58.2_97.0_394.csv,3943,394,"[-28.3, 42.2, 58.2, 97.0]","[-28.299999999999997, 42.2, 58.2, 97.0]",5
sphere3D_-28.4_11.8_41.3_61.0_415.csv,4153,415,"[-28.4, 11.8, 41.3, 61.0]","[-28.4, 11.8, 41.3, 61.0]",6
sphere3D_-28.6_50.3_8.6_90.0_362.csv,3625,362,"[-28.6, 50.3, 8.6, 90.0]","[-28.600000000000005, 50.300000000000004, 8.59999999999999, 90.0]",5
sphere3D_-28.7_17.2_-28.7_68.0_588.csv,5888,588,"[-28.7, 17.2, -28.7, 68.0]","[-28.7, 17.200000000000003, -28.700000000000003, 68.0]",5
sphere3D_-29.7_27.9_-33.5_59.0_404.csv,4042,404,"[-29.7, 27.9, -33.5, 59.0]","[-29.7, 27.9, -33.5, 59.0]",5
sphere3D_-29.8_6.4_28.0_64.0_405.csv,4054,405,"[-29.8, 6.4, 28.0, 64.0]","[-29.800000000000004, 6.400000000000001, 27.999999999999996, 64.0]",6
sphere3D_-3.1_-16.3_-35.2_123.0_344.csv,3448,344,"[-3.1, -16.3, -35.2, 123.0]","[-3.0999999999999983, -16.299999999999997, -35.2, 123.0]",5
sphere3D_-3.2_37.7_9.2_31.0_575.csv,5758,575,"[-3.2, 37.7, 9.2, 31.0]","[-3.2000000000000006, 37.7, 9.2, -31.0]",6
sphere3D_-30.4_-17.6_-16.9_89.0_357.csv,3579,357,"[-30.4, -17.6, -16.9, 89.0]","[-30.399999999999995, -17.600000000000005, -16.899999999999995, 89.0]",5
sphere3D_-31.3_-34.0_-23.0_106.0_457.csv,4572,457,"[-31.3, -34.0, -23.0, 106.0]","[-31.3, -34.0, -23.0, 106.0]",5
sphere3D_-31.5_-57.7_52.0_31.0_277.csv,2770,277,"[-31.5, -57.7, 52.0, 31.0]","[-31.5, -57.7, 52.0, -31.0]",6
sphere3D_-33.8_-48.3_-52.2_199.0_496.csv,4960,496,"[-33.8, -48.3, -52.2, 199.0]","[-33.8, -48.29999999999999, -52.20000000000001, 199.0]",5
sphere3D_-33.8_28.7_-57.9_154.0_162.csv,1622,162,"[-33.8, 28.7, -57.9, 154.0]","[-33.8, 28.70000000000001, -57.90000000000001, 154.0]",5
sphere3D_-34.1_-39.3_43.2_93.0_338.csv,3384,338,"[-34.1, -39.3, 43.2, 93.0]","[-34.1, -39.3, 43.2, 93.0]",5
sphere3D_-36.0_-9.2_45.7_162.0_435.csv,4359,435,"[-36.0, -9.2, 45.7, 162.0]","[-35.99999999999999, -9.200000000000003, 45.7, 162.0]",5
sphere3D_-37.3_-20.7_-22.6_167.0_261.csv,2611,261,"[-37.3, -20.7, -22.6, 167.0]","[-37.3, -20.700000000000003, -22.59999999999999, 167.0]",5
sphere3D_-37.6_-33.6_-3.3_190.0_344.csv,3445,344,"[-37.6, -33.6, -3.3, 190.0]","[-37.6, -33.6, -3.299999999999999, 190.0]",5
sphere3D_-38.2_12.4_56.1_191.0_590.csv,5904,590,"[-38.2, 12.4, 56.1, 191.0]","[-38.2, 12.400000000000015, 56.099999999999994, 191.0]",5
sphere3D_-39.9_26.6_54.8_197.0_434.csv,4340,434,"[-39.9, 26.6, 54.8, 197.0]","[-39.9, 26.599999999999998, 54.8, 197.0]",5
sphere3D_-4.5_17.8_45.6_15.0_380.csv,3809,380,"[-4.5, 17.8, 45.6, 15.0]","[-4.5, 17.8, 45.6, -15.0]",5
sphere3D_-41.8_-5.3_26.9_27.0_418.csv,4184,418,"[-41.8, -5.3, 26.9, 27.0]","[-41.8, -5.3, 26.9, -27.0]",6
sphere3D_-44.3_-55.6_-48.7_179.0_255.csv,2555,255,"[-44.3, -55.6, -48.7, 179.0]","[-44.3, -55.6, -48.7, 179.0]",5
sphere3D_-44.6_-4.3_29.4_40.0_559.csv,5597,559,"[-44.6, -4.3, 29.4, 40.0]","[-44.6, -4.300000000000001, 29.4, -40.0]",6
sphere3D_-44.7_-39.4_-44.3_36.0_413.csv,4132,413,"[-44.7, -39.4, -44.3, 36.0]","[-44.7, -39.4, -44.3, -36.0]",5
sphere3D_-48.4_29.1_25.9_66.0_478.csv,4783,478,"[-48.4, 29.1, 25.9, 66.0]","[-48.4, 29.1, 25.9, 66.0]",6
sphere3D_-49.0_-16.4_-47.5_165.0_393.csv,3935,393,"[-49.0, -16.4, -47.5, 165.0]","[-49.00000000000001, -16.4, -47.49999999999999, 165.0]",5
sphere3D_-51.3_46.0_26.5_105.0_518.csv,5185,518,"[-51.3, 46.0, 26.5, 105.0]","[-51.3, 46.0, 26.499999999999996, 105.0]",6
sphere3D_-55.6_-15.9_41.0_26.0_65.csv,655,65,"[-55.6, -15.9, 41.0, 26.0]","[-55.6, -15.9, 41.0, -26.0]",5
sphere3D_-57.0_6.3_26.2_186.0_144.csv,1445,144,"[-57.0, 6.3, 26.2, 186.0]","[-57.00000000000001, 6.300000000000003, 26.199999999999996, 186.0]",5
sphere3D_-59.2_33.9_0.0_74.0_291.csv,2918,291,"[-59.2, 33.9, 0.0, 74.0]","[-59.2, 33.9, -6.799635989022561e-16, 74.0]",6
sphere3D_-59.7_43.6_-44.6_134.0_593.csv,5932,593,"[-59.7, 43.6, -44.6, 134.0]","[-59.7, 43.6, -44.6, 134.0]",5
sphere3D_-60.0_-33.6_31.8_99.0_24.csv,244,24,"[-60.0, -33.6, 31.8, 99.0]","[-60.0, -33.6, 31.799999999999997, 99.0]",5
sphere3D_-7.8_-14.5_-1.3_163.0_160.csv,1601,160,"[-7.8, -14.5, -1.3, 163.0]","[-7.800000000000002, -14.499999999999979, -1.3000000000000254, 163.0]",5
sphere3D_1.2_47.5_-57.2_111.0_80.csv,807,80,"[1.2, 47.5, -57.2, 111.0]","[1.2000000000000037, 47.5, -57.2, 111.0]",5
