1,2,3,4,5,6
sphere3D_-0.2_57.2_-12.1_121.0_306.csv,990,306,"[-0.2, 57.2, -12.1, 121.0]","[-0.20000000000000465, 57.20000000000001, -12.1, 121.0]",9
sphere3D_-0.6_-6.9_43.8_61.0_1213.csv,3916,1213,"[-0.6, -6.9, 43.8, 61.0]","[-0.5999999999999646, -6.900000000001839, 43.80000000000114, 61.00000000000002]",8
sphere3D_-11.3_-59.6_-18.6_135.0_636.csv,2054,636,"[-11.3, -59.6, -18.6, 135.0]","[-11.300000000000006, -59.6, -18.600000000000005, 135.0]",9
sphere3D_-12.4_-29.1_-30.4_62.0_437.csv,1410,437,"[-12.4, -29.1, -30.4, 62.0]","[-12.4, -29.100000000000005, -30.399999999999995, 62.0]",9
sphere3D_-12.9_6.3_-11.3_85.0_1295.csv,4179,1295,"[-12.9, 6.3, -11.3, 85.0]","[-12.900000000000027, 6.300000000000305, -11.300000000000185, 84.99999999999999]",9
sphere3D_-14.5_-59.2_19.4_91.0_1642.csv,5297,1642,"[-14.5, -59.2, 19.4, 91.0]","[-14.499999999999996, -59.2, 19.400000000000002, 91.0]",9
sphere3D_-20.9_10.7_8.9_168.0_25.csv,81,25,"[-20.9, 10.7, 8.9, 168.0]","[-20.9, 10.69999999999999, 8.900000000000007, 168.0]",9
sphere3D_-23.1_-27.8_51.6_126.0_1358.csv,4382,1358,"[-23.1, -27.8, 51.6, 126.0]","[-23.100000000000005, -27.8, 51.60000000000001, 126.0]",9
sphere3D_-23.3_-33.7_-22.1_146.0_42.csv,137,42,"[-23.3, -33.7, -22.1, 146.0]","[-23.300000000000157, -33.700000000007954, -22.0999999999951, 145.9999999999997]",9
sphere3D_-24.3_-4.3_30.1_14.0_1529.csv,4934,1529,"[-24.3, -4.3, 30.1, 14.0]","[-24.300000000000026, -4.300000000000176, 30.10000000000011, -13.999999999999991]",11
