1,2,3,4,5,6
sphere3D_-0.2_57.2_-12.1_121.0_306.csv,990,306,"[-0.2, 57.2, -12.1, 121.0]","[-0.20000000000003193, 57.20000000000006, -12.10000000000021, 121.00000000000006]",7
sphere3D_-0.6_-6.9_43.8_61.0_1213.csv,3916,1213,"[-0.6, -6.9, 43.8, 61.0]","[-0.6000000000000454, -6.900000000000373, 43.80000000000019, 60.99999999999997]",9
sphere3D_-11.3_-59.6_-18.6_135.0_636.csv,2054,636,"[-11.3, -59.6, -18.6, 135.0]","[-11.300000000000049, -59.59999999999997, -18.599999999999937, 135.00000000000003]",8
sphere3D_-12.4_-29.1_-30.4_62.0_437.csv,1410,437,"[-12.4, -29.1, -30.4, 62.0]","[-12.399999999999862, -29.10000000000007, -30.399999999999974, 62.000000000000064]",7
sphere3D_-12.9_6.3_-11.3_85.0_1295.csv,4179,1295,"[-12.9, 6.3, -11.3, 85.0]","[-12.900000000000054, 6.300000000000053, -11.300000000000043, 85.00000000000001]",8
sphere3D_-14.5_-59.2_19.4_91.0_1642.csv,5297,1642,"[-14.5, -59.2, 19.4, 91.0]","[-14.500000000000002, -59.19999999999995, 19.39999999999994, 90.99999999999999]",8
sphere3D_-20.9_10.7_8.9_168.0_25.csv,81,25,"[-20.9, 10.7, 8.9, 168.0]","[-20.90000000000005, 10.700000000000276, 8.899999999999725, 168.00000000000003]",9
sphere3D_-23.1_-27.8_51.6_126.0_1358.csv,4382,1358,"[-23.1, -27.8, 51.6, 126.0]","[-23.100000000000044, -27.800000000000225, 51.60000000000016, 125.99999999999997]",8
sphere3D_-23.3_-33.7_-22.1_146.0_42.csv,137,42,"[-23.3, -33.7, -22.1, 146.0]","[-23.300000000000235, -33.700000000000024, -22.09999999999997, 145.99999999999997]",14
sphere3D_-24.3_-4.3_30.1_14.0_1529.csv,4934,1529,"[-24.3, -4.3, 30.1, 14.0]","[-24.299999999999763, -4.299999999999865, 30.099999999999884, 14.000000000000066]",7
sphere3D_-24.6_49.1_31.5_22.0_1005.csv,3243,1005,"[-24.6, 49.1, 31.5, 22.0]","[-24.59999999999967, 49.09999999999894, 31.500000000000444, 22.000000000000423]",7
