1,2,3,4,5,6,7
sphere3D_-0.3_-39.1_39.1_114.0_1676.csv,4090,1676,"[-0.3, -39.1, 39.1, 114.0]","[-0.30000000000000043, -39.1, 39.1, 114.0]",600,7
sphere3D_-1.8_28.8_-5.3_77.0_135.csv,331,135,"[-1.8, 28.8, -5.3, 77.0]","[-1.7999999999999985, 28.8, -5.299999999999997, 77.0]",500,6
sphere3D_-10.9_-1.5_53.3_164.0_1797.csv,4385,1797,"[-10.9, -1.5, 53.3, 164.0]","[-10.900000000000011, -1.5000000000000038, 53.3, 164.0]",600,7
sphere3D_-15.2_9.5_-34.4_112.0_36.csv,88,36,"[-15.2, 9.5, -34.4, 112.0]","[-15.2, 9.50000000000001, -34.40000000000001, 112.0]",600,7
sphere3D_-17.0_-43.8_-46.7_50.0_1225.csv,2988,1225,"[-17.0, -43.8, -46.7, 50.0]","[-17.0, -43.8, -46.7, 50.0]",800,9
sphere3D_-17.4_-18.0_56.8_13.0_1717.csv,4190,1717,"[-17.4, -18.0, 56.8, 13.0]","[-17.4, -18.0, 56.8, -13.0]",606,9
sphere3D_-17.4_56.2_18.7_96.0_18.csv,45,18,"[-17.4, 56.2, 18.7, 96.0]","[-17.4, 56.2, 18.700000000000003, 96.0]",500,6
sphere3D_-18.5_31.2_-45.4_15.0_727.csv,1775,727,"[-18.5, 31.2, -45.4, 15.0]","[-18.5, 31.2, -45.4, -15.0]",606,9
sphere3D_-2.6_-42.8_56.2_107.0_861.csv,2102,861,"[-2.6, -42.8, 56.2, 107.0]","[-2.599999999999999, -42.8, 56.2, 107.0]",700,8
sphere3D_-20.1_-52.7_-12.2_69.0_2044.csv,4987,2044,"[-20.1, -52.7, -12.2, 69.0]","[-20.1, -52.699999999999996, -12.200000000000003, 69.0]",700,8
sphere3D_-22.6_-45.7_18.2_192.0_59.csv,144,59,"[-22.6, -45.7, 18.2, 192.0]","[-22.599999999999987, -45.699999999999996, 18.199999999999996, 192.0]",400,5
sphere3D_-23.0_34.4_-51.7_147.0_2152.csv,5249,2152,"[-23.0, 34.4, -51.7, 147.0]","[-23.0, 34.4, -51.7, 147.0]",600,7
sphere3D_-23.1_38.2_-60.0_162.0_316.csv,772,316,"[-23.1, 38.2, -60.0, 162.0]","[-23.099999999999994, 38.199999999999996, -59.99999999999999, 162.0]",600,7
sphere3D_-26.5_22.1_-1.6_182.0_1972.csv,4810,1972,"[-26.5, 22.1, -1.6, 182.0]","[-26.5, 22.099999999999984, -1.5999999999999803, 182.0]",500,6
sphere3D_-27.6_-39.9_33.8_136.0_1278.csv,3119,1278,"[-27.6, -39.9, 33.8, 136.0]","[-27.6, -39.89999999999999, 33.8, 136.0]",600,7
sphere3D_-27.8_42.7_24.1_107.0_1847.csv,4506,1847,"[-27.8, 42.7, 24.1, 107.0]","[-27.8, 42.7, 24.1, 107.0]",600,7
sphere3D_-28.9_57.7_7.5_126.0_1357.csv,3311,1357,"[-28.9, 57.7, 7.5, 126.0]","[-28.9, 57.7, 7.500000000000005, 126.0]",700,8
sphere3D_-29.9_-42.4_-16.6_178.0_298.csv,728,298,"[-29.9, -42.4, -16.6, 178.0]","[-29.899999999999995, -42.4, -16.600000000000005, 178.0]",500,6
sphere3D_-31.5_37.5_-29.5_112.0_1343.csv,3277,1343,"[-31.5, 37.5, -29.5, 112.0]","[-31.499999999999996, 37.5, -29.499999999999996, 112.0]",600,7
sphere3D_-31.9_-31.7_-14.3_58.0_1302.csv,3177,1302,"[-31.9, -31.7, -14.3, 58.0]","[-31.9, -31.699999999999996, -14.300000000000004, 58.0]",700,8
sphere3D_-32.0_-49.5_2.9_143.0_2428.csv,5922,2428,"[-32.0, -49.5, 2.9, 143.0]","[-32.0, -49.49999999999999, 2.899999999999999, 143.0]",600,7
sphere3D_-33.2_-37.5_-48.6_193.0_557.csv,1359,557,"[-33.2, -37.5, -48.6, 193.0]","[-33.2, -37.50000000000001, -48.599999999999994, 193.0]",500,6
sphere3D_-34.7_4.9_-8.1_121.0_810.csv,1976,810,"[-34.7, 4.9, -8.1, 121.0]","[-34.7, 4.8999999999999995, -8.09999999999999, 121.0]",500,6
sphere3D_-35.7_33.4_-22.3_136.0_1373.csv,3350,1373,"[-35.7, 33.4, -22.3, 136.0]","[-35.7, 33.400000000000006, -22.300000000000004, 136.0]",600,7
