1,2,3,4,5,6
sphere2D_-0.9_-21.7_20.0_471.csv,1522,471,"[-0.9, -21.7, 20.0]","[-0.9000000000000065, -21.699999999999985, 19.999999999999982]",5
sphere2D_-10.6_79.1_136.0_479.csv,1547,479,"[-10.6, 79.1, 136.0]","[-10.59999999999993, 79.09999999999985, 136.0000000000001]",5
sphere2D_-10.9_-32.3_130.0_355.csv,1146,355,"[-10.9, -32.3, 130.0]","[-10.899999999999954, -32.299999999999976, 130.0]",5
sphere2D_-11.8_82.3_116.0_907.csv,2929,907,"[-11.8, 82.3, 116.0]","[-11.799999999999947, 82.30000000000011, 115.99999999999994]",6
sphere2D_-12.6_66.4_111.0_389.csv,1258,389,"[-12.6, 66.4, 111.0]","[-12.600000000000033, 66.40000000000008, 111.00000000000003]",5
sphere2D_-12.7_-98.3_5.0_230.csv,744,230,"[-12.7, -98.3, 5.0]","[-12.699999999999763, -98.29999999999819, 5.000000000245564]",6
sphere2D_-12.8_22.8_92.0_581.csv,1876,581,"[-12.8, 22.8, 92.0]","[-12.800000000000004, 22.800000000000015, 92.0]",5
sphere2D_-12.9_77.9_91.0_386.csv,1248,386,"[-12.9, 77.9, 91.0]","[-12.900000000000022, 77.89999999999999, 91.00000000000016]",6
sphere2D_-14.9_38.8_50.0_22.csv,72,22,"[-14.9, 38.8, 50.0]","[-14.899999999999958, 38.79999999999996, 49.999999999999964]",4
sphere2D_-15.2_56.1_29.0_683.csv,2205,683,"[-15.2, 56.1, 29.0]","[-15.20000000000005, 56.10000000000014, 28.999999999999897]",5
sphere2D_-16.9_-10.4_106.0_750.csv,2422,750,"[-16.9, -10.4, 106.0]","[-16.899999999999963, -10.39999999999996, 106.0]",5
sphere2D_-17.2_-95.3_79.0_600.csv,1936,600,"[-17.2, -95.3, 79.0]","[-17.20000000000002, -95.29999999999998, 79.00000000000003]",5
sphere2D_-18.3_77.4_32.0_647.csv,2089,647,"[-18.3, 77.4, 32.0]","[-18.300000000000015, 77.39999999999965, 32.00000000000048]",5
sphere2D_-19.5_49.8_93.0_379.csv,1223,379,"[-19.5, 49.8, 93.0]","[-19.49999999999998, 49.79999999999997, 93.00000000000006]",5
sphere2D_-2.1_81.4_104.0_603.csv,1946,603,"[-2.1, 81.4, 104.0]","[-2.1000000000001524, 81.40000000000012, 104.00000000000006]",5
sphere2D_-2.7_-35.2_18.0_174.csv,564,174,"[-2.7, -35.2, 18.0]","[-2.699999999999981, -35.200000000000095, 17.999999999999815]",5
sphere2D_-20.3_29.4_23.0_506.csv,1635,506,"[-20.3, 29.4, 23.0]","[-20.299999999999955, 29.400000000000027, 22.999999999999996]",5
sphere2D_-20.9_-83.8_20.0_431.csv,1392,431,"[-20.9, -83.8, 20.0]","[-20.899999999999807, -83.80000000000123, 19.999999999997907]",5
sphere2D_-21.8_-90.3_79.0_143.csv,464,143,"[-21.8, -90.3, 79.0]","[-21.800000000000033, -90.29999999999993, 79.00000000000016]",5
sphere2D_-21.8_-90.7_81.0_644.csv,2079,644,"[-21.8, -90.7, 81.0]","[-21.799999999999983, -90.69999999999999, 81.00000000000003]",6
sphere2D_-23.7_5.7_83.0_181.csv,586,181,"[-23.7, 5.7, 83.0]","[-23.700000000000006, 5.6999999999999575, 83.0]",5
sphere2D_-24.5_-31.1_145.0_54.csv,177,54,"[-24.5, -31.1, 145.0]","[-24.49999999999997, -31.09999999999998, 144.99999999999991]",5
sphere2D_-25.0_-72.3_78.0_303.csv,979,303,"[-25.0, -72.3, 78.0]","[-25.00000000000001, -72.29999999999995, 78.00000000000009]",5
sphere2D_-27.9_-24.4_8.0_96.csv,310,96,"[-27.9, -24.4, 8.0]","[-27.900000000000393, -24.4000000000007, 7.999999999998323]",5
sphere2D_-28.1_57.6_57.0_101.csv,328,101,"[-28.1, 57.6, 57.0]","[-28.100000000000016, 57.600000000000065, 57.000000000000064]",5
sphere2D_-29.3_-96.5_54.0_201.csv,651,201,"[-29.3, -96.5, 54.0]","[-29.300000000000022, -96.50000000000023, 54.00000000000005]",5
sphere2D_-3.7_3.4_144.0_98.csv,318,98,"[-3.7, 3.4, 144.0]","[-3.6999999999998407, 3.4000000000000634, 144.0]",5
sphere2D_-31.0_-68.2_150.0_445.csv,1438,445,"[-31.0, -68.2, 150.0]","[-31.00000000000001, -68.20000000000012, 149.99999999999997]",5
sphere2D_-31.7_-27.4_89.0_219.csv,708,219,"[-31.7, -27.4, 89.0]","[-31.699999999999978, -27.399999999999956, 88.99999999999999]",5
