1,2,3,4,5,6
sphere2D_-10.0_70.9_66.0_970.csv,2368,970,"[-10.0, 70.9, 66.0]","[-16.300636399206187, 59.430276094599236, 65.94752590319608]",16
sphere2D_-12.9_56.0_123.0_1055.csv,2574,1055,"[-12.9, 56.0, 123.0]","[-12.899999999999997, 56.00000000000001, 123.0]",8
sphere2D_-13.6_-44.2_105.0_795.csv,1940,795,"[-13.6, -44.2, 105.0]","[-18.513998068104016, -52.744238297600845, 110.57323268359502]",13
sphere2D_-14.6_-49.5_6.0_726.csv,1772,726,"[-14.6, -49.5, 6.0]","[-14.229901227243769, -49.90563202210226, 5.706470701989988]",21
sphere2D_-15.4_-80.4_115.0_727.csv,1775,727,"[-15.4, -80.4, 115.0]","[-10.438795776384248, -102.76546464344335, 114.89102740122398]",10
sphere2D_-16.1_10.3_71.0_973.csv,2375,973,"[-16.1, 10.3, 71.0]","[-16.10000000000002, 10.299999999999992, 70.99999999999999]",12
sphere2D_-16.9_-50.3_114.0_1164.csv,2841,1164,"[-16.9, -50.3, 114.0]","[-2.9627759097088644, -47.597616971447785, 122.1272922906693]",18
sphere2D_-16.9_41.3_102.0_1134.csv,2768,1134,"[-16.9, 41.3, 102.0]","[-16.9, 41.3, 102.0]",9
sphere2D_-18.4_9.4_145.0_273.csv,667,273,"[-18.4, 9.4, 145.0]","[9.887634899745763, 3.732321822407695, 144.9061612061494]",12
sphere2D_-18.5_-49.9_63.0_278.csv,680,278,"[-18.5, -49.9, 63.0]","[-18.5, -49.9, 63.0]",9
sphere2D_-19.7_34.6_121.0_936.csv,2284,936,"[-19.7, 34.6, 121.0]","[-10.254663350611734, 30.06231287462383, 115.47362309575496]",18
sphere2D_-20.4_-35.9_10.0_81.csv,198,81,"[-20.4, -35.9, 10.0]","[-20.869496286319286, -36.20814545371713, -10.305451573554757]",11
sphere2D_-21.2_85.1_116.0_671.csv,1639,671,"[-21.2, 85.1, 116.0]","[-22.026730276482215, 84.96731926335474, 115.55551363107752]",15
sphere2D_-21.6_57.7_49.0_1132.csv,2762,1132,"[-21.6, 57.7, 49.0]","[-21.599999999999984, 57.69999999999998, -49.0]",9
sphere2D_-21.8_-68.0_128.0_174.csv,425,174,"[-21.8, -68.0, 128.0]","[-20.15318602513229, -72.32640398579822, 130.40655897114763]",10
sphere2D_-22.0_-70.2_78.0_1005.csv,2452,1005,"[-22.0, -70.2, 78.0]","[-20.920341919492724, -69.72609283747886, 78.64248810761396]",18
sphere2D_-22.2_-6.0_52.0_696.csv,1699,696,"[-22.2, -6.0, 52.0]","[-22.2, -6.000000000000003, 52.0]",9
sphere2D_-22.9_39.4_64.0_1070.csv,2610,1070,"[-22.9, 39.4, 64.0]","[-22.900000000000038, 39.40000000000007, 64.00000000000001]",9
sphere2D_-23.6_80.8_24.0_865.csv,2111,865,"[-23.6, 80.8, 24.0]","[-23.219352849976477, 80.80335231591133, -23.798337050021292]",19
sphere2D_-24.6_81.5_145.0_79.csv,193,79,"[-24.6, 81.5, 145.0]","[-24.60000000000002, 81.49999999999999, 145.0]",11
sphere2D_-25.7_30.6_111.0_88.csv,215,88,"[-25.7, 30.6, 111.0]","[-24.614055304659583, 28.59979746152893, 109.71495184788938]",8
sphere2D_-26.2_-74.5_68.0_509.csv,1242,509,"[-26.2, -74.5, 68.0]","[-28.76026255247734, -69.25378422764437, -71.4436216483238]",23
sphere2D_-26.5_-92.4_25.0_202.csv,494,202,"[-26.5, -92.4, 25.0]","[-26.499999999999886, -92.3999999999999, -24.99999999999998]",10
sphere2D_-27.1_63.8_120.0_954.csv,2328,954,"[-27.1, 63.8, 120.0]","[-23.893864343175753, 72.91796300302342, 119.99479798825493]",12
sphere2D_-27.8_-80.6_103.0_824.csv,2012,824,"[-27.8, -80.6, 103.0]","[-20.774107281374683, -84.14175235772503, 107.63739682486086]",20
sphere2D_-30.4_45.3_120.0_329.csv,804,329,"[-30.4, 45.3, 120.0]","[-28.393634672537264, 42.284315670676904, 121.9209862377662]",9
sphere2D_-30.5_2.0_87.0_1188.csv,2898,1188,"[-30.5, 2.0, 87.0]","[-30.5, 2.000000000000004, 87.0]",11
sphere2D_-30.8_-84.8_139.0_1002.csv,2444,1002,"[-30.8, -84.8, 139.0]","[-30.800000000000008, -84.80000000000001, 139.0]",12
sphere2D_-32.9_46.9_51.0_1102.csv,2690,1102,"[-32.9, 46.9, 51.0]","[-32.9, 46.89999999999999, -51.0]",9
sphere2D_-34.3_-78.8_125.0_1083.csv,2643,1083,"[-34.3, -78.8, 125.0]","[-36.63427343219362, -74.83919750084159, 127.54494085141015]",22
