1,2,3,4,5,6
sphere3D_-0.2_-96.0_-72.3_72.0_902.csv,2202,902,"[-0.2, -96.0, -72.3, 72.0]","[-0.20000000000000126, -96.0, -72.3, -72.0]",6
sphere3D_-12.2_-14.5_98.2_143.0_17.csv,43,17,"[-12.2, -14.5, 98.2, 143.0]","[-18.029235086955747, -10.66857145837853, 90.35896803274592, 138.3891759978509]",4
sphere3D_-12.2_-29.4_69.5_9.0_636.csv,1553,636,"[-12.2, -29.4, 69.5, 9.0]","[-12.2, -29.4, 69.5, -9.0]",5
sphere3D_-13.8_-95.0_-1.3_130.0_76.csv,187,76,"[-13.8, -95.0, -1.3, 130.0]","[-13.800000000000002, -95.0, -1.300000000000004, 130.0]",6
sphere3D_-13.8_43.0_16.4_24.0_590.csv,1440,590,"[-13.8, 43.0, 16.4, 24.0]","[-13.8, 43.0, 16.4, -24.0]",8
sphere3D_-15.0_0.2_-38.5_20.0_1180.csv,2880,1180,"[-15.0, 0.2, -38.5, 20.0]","[-15.0, 0.19999999999999843, -38.5, -20.0]",6
sphere3D_-16.8_-83.8_9.5_150.0_530.csv,1294,530,"[-16.8, -83.8, 9.5, 150.0]","[-16.800000000000004, -83.8, 9.5, 150.0]",6
sphere3D_-18.0_32.8_1.0_67.0_367.csv,896,367,"[-18.0, 32.8, 1.0, 67.0]","[-17.999999999999996, 32.800000000000004, 0.9999999999999957, 67.0]",6
sphere3D_-19.1_81.4_84.6_67.0_673.csv,1643,673,"[-19.1, 81.4, 84.6, 67.0]","[-19.1, 81.4, 84.6, -67.0]",7
sphere3D_-2.1_4.8_27.3_143.0_400.csv,976,400,"[-2.1, 4.8, 27.3, 143.0]","[-2.099999999999993, 4.799999999999995, 27.3, 143.0]",6
sphere3D_-2.2_-18.3_-54.0_38.0_836.csv,2041,836,"[-2.2, -18.3, -54.0, 38.0]","[-2.2, -18.3, -54.0, -38.0]",7
sphere3D_-2.4_98.6_7.2_81.0_577.csv,1408,577,"[-2.4, 98.6, 7.2, 81.0]","[-2.4, 98.6, 7.200000000000003, -81.0]",7
sphere3D_-20.7_4.5_30.1_52.0_176.csv,431,176,"[-20.7, 4.5, 30.1, 52.0]","[-20.700000000000003, 4.500000000000001, 30.1, 52.0]",7
sphere3D_-20.7_59.0_34.3_135.0_747.csv,1823,747,"[-20.7, 59.0, 34.3, 135.0]","[-20.7, 59.0, 34.3, 135.0]",7
sphere3D_-20.9_17.7_-50.0_57.0_394.csv,961,394,"[-20.9, 17.7, -50.0, 57.0]","[-20.9, 17.7, -50.0, -57.0]",7
sphere3D_-21.0_72.4_63.5_78.0_347.csv,847,347,"[-21.0, 72.4, 63.5, 78.0]","[-20.999999999999996, 72.4, 63.5, -78.0]",5
sphere3D_-21.4_-70.4_-0.2_85.0_825.csv,2013,825,"[-21.4, -70.4, -0.2, 85.0]","[-21.399999999999995, -70.4, -0.19999999999999946, 85.0]",5
sphere3D_-21.5_23.5_-65.7_85.0_1149.csv,2804,1149,"[-21.5, 23.5, -65.7, 85.0]","[-21.500000000000004, 23.5, -65.7, 85.0]",6
sphere3D_-22.2_-80.8_10.1_150.0_99.csv,242,99,"[-22.2, -80.8, 10.1, 150.0]","[-22.199999999999996, -80.8, 10.099999999999989, 150.0]",5
sphere3D_-22.6_-18.5_-62.0_33.0_140.csv,342,140,"[-22.6, -18.5, -62.0, 33.0]","[-22.6, -18.5, -62.0, -33.0]",6
sphere3D_-22.9_-43.9_32.7_87.0_429.csv,1047,429,"[-22.9, -43.9, 32.7, 87.0]","[-22.9, -43.9, 32.7, 87.0]",6
sphere3D_-23.0_-23.8_-7.6_88.0_916.csv,2236,916,"[-23.0, -23.8, -7.6, 88.0]","[-23.0, -23.800000000000004, -7.599999999999994, 88.0]",7
sphere3D_-24.2_-75.1_-86.5_62.0_1215.csv,2965,1215,"[-24.2, -75.1, -86.5, 62.0]","[-24.199999999999996, -75.1, -86.5, -62.0]",7
sphere3D_-25.4_-25.0_6.3_24.0_27.csv,67,27,"[-25.4, -25.0, 6.3, 24.0]","[-24.963937135004922, -25.71709969776668, 6.438211604747597, -23.859849989067488]",5
sphere3D_-28.0_33.4_87.7_51.0_1024.csv,2499,1024,"[-28.0, 33.4, 87.7, 51.0]","[-27.999999999999996, 33.4, 87.7, -51.0]",7
sphere3D_-29.5_23.4_83.5_136.0_1022.csv,2494,1022,"[-29.5, 23.4, 83.5, 136.0]","[-29.499999999999996, 23.399999999999995, 83.5, 136.0]",6
sphere3D_-3.4_65.4_78.6_115.0_561.csv,1369,561,"[-3.4, 65.4, 78.6, 115.0]","[-3.400000000000003, 65.4, 78.6, 115.0]",7
sphere3D_-30.0_-77.7_86.4_119.0_775.csv,1891,775,"[-30.0, -77.7, 86.4, 119.0]","[-29.999999999999996, -77.7, 86.4, 119.0]",7
sphere3D_-31.0_-74.2_-85.9_15.0_38.csv,93,38,"[-31.0, -74.2, -85.9, 15.0]","[-30.999999999999996, -74.2, -85.9, -15.0]",7
sphere3D_-31.6_61.4_50.0_43.0_807.csv,1970,807,"[-31.6, 61.4, 50.0, 43.0]","[-31.6, 61.4, 50.0, -43.0]",7
sphere3D_-31.8_-56.6_-9.6_137.0_17.csv,43,17,"[-31.8, -56.6, -9.6, 137.0]","[-31.8, -56.60000000000001, -9.59999999999999, 137.0]",6
sphere3D_-33.4_-86.1_-68.3_81.0_1111.csv,2710,1111,"[-33.4, -86.1, -68.3, 81.0]","[-33.4, -86.1, -68.3, -81.0]",6
sphere3D_-34.6_37.3_90.9_146.0_463.csv,1131,463,"[-34.6, 37.3, 90.9, 146.0]","[-34.6, 37.3, 90.9, 146.0]",5
sphere3D_-36.5_22.8_4.8_63.0_152.csv,372,152,"[-36.5, 22.8, 4.8, 63.0]","[-36.5, 22.799999999999997, 4.8, 63.0]",6
sphere3D_-36.9_56.0_98.9_58.0_762.csv,1859,762,"[-36.9, 56.0, 98.9, 58.0]","[-36.9, 56.0, 98.9, -58.0]",6
sphere3D_-37.7_-37.5_-26.3_66.0_307.csv,751,307,"[-37.7, -37.5, -26.3, 66.0]","[-37.7, -37.5, -26.3, 66.0]",6
sphere3D_-39.7_-88.1_-37.0_124.0_775.csv,1892,775,"[-39.7, -88.1, -37.0, 124.0]","[-39.7, -88.1, -36.99999999999999, 124.0]",7
sphere3D_-40.6_-44.5_3.1_49.0_398.csv,972,398,"[-40.6, -44.5, 3.1, 49.0]","[-40.6, -44.5, 3.099999999999999, -49.0]",5
sphere3D_-43.4_-15.1_-26.4_98.0_865.csv,2110,865,"[-43.4, -15.1, -26.4, 98.0]","[-43.4, -15.099999999999998, -26.4, 98.0]",8
sphere3D_-43.7_55.5_36.5_46.0_991.csv,2418,991,"[-43.7, 55.5, 36.5, 46.0]","[-43.7, 55.5, 36.5, -46.0]",7
