1,2,3,4,5,6
sphere2D_-15.3_10.6_21.0_103.csv,1031,103,"[-15.3, 10.6, 21.0]","[-15.262117095940338, 10.596181391269782, 20.99650243493271]",9
sphere2D_-18.1_89.2_48.0_94.csv,942,94,"[-18.1, 89.2, 48.0]","[-18.07537364787798, 89.16794046192284, -47.99156034808002]",9
sphere2D_-19.9_-87.6_125.0_136.csv,1365,136,"[-19.9, -87.6, 125.0]","[-19.876880923619986, -87.58987544373909, 124.95684150091579]",8
sphere2D_-2.8_71.4_78.0_157.csv,1574,157,"[-2.8, 71.4, 78.0]","[-2.8109418152310344, 71.33022869698188, 78.00245298908924]",9
sphere2D_-22.4_7.0_19.0_221.csv,2214,221,"[-22.4, 7.0, 19.0]","[-22.470731015446603, 7.035755155411922, -19.01317525818508]",12
sphere2D_-23.3_-34.0_16.0_173.csv,1737,173,"[-23.3, -34.0, 16.0]","[-23.28656840063241, -33.96617156993886, -16.035147657196926]",10
sphere2D_-24.4_-80.4_19.0_143.csv,1431,143,"[-24.4, -80.4, 19.0]","[-24.30782560511781, -80.30427678238146, -18.966654838968463]",12
sphere2D_-31.3_-28.2_132.0_149.csv,1491,149,"[-31.3, -28.2, 132.0]","[-31.33621096097427, -28.19061826140971, 131.99744680397689]",8
sphere2D_-31.8_67.2_15.0_267.csv,2676,267,"[-31.8, 67.2, 15.0]","[-31.8107852365681, 67.20614758374245, -15.007495645221098]",13
sphere2D_-33.8_2.4_143.0_242.csv,2426,242,"[-33.8, 2.4, 143.0]","[-33.81598365862313, 2.4292834028907486, 143.02451338346506]",8
sphere2D_-34.9_29.7_88.0_151.csv,1510,151,"[-34.9, 29.7, 88.0]","[-34.94286628574616, 29.65883456428257, 87.97820375759704]",8
sphere2D_-36.1_43.7_60.0_275.csv,2754,275,"[-36.1, 43.7, 60.0]","[-36.121008557247364, 43.74619334106357, 60.0169481159154]",9
sphere2D_-39.3_11.7_78.0_96.csv,960,96,"[-39.3, 11.7, 78.0]","[-39.32934774384287, 11.684965647242493, 77.9979038797626]",8
