1,2,3,4,5,6
sphere2D_-10.7_-85.1_144.0_472.csv,2363,472,"[-10.7, -85.1, 144.0]","[-10.663104171976572, -85.08445427430753, 144.01395136373563]",5
sphere2D_-11.8_-4.5_129.0_132.csv,662,132,"[-11.8, -4.5, 129.0]","[-11.694176114705424, -4.575581245323891, 129.11307713072588]",6
sphere2D_-12.0_2.0_136.0_565.csv,2826,565,"[-12.0, 2.0, 136.0]","[-12.02283073980081, 1.945977639612394, 135.9880382533977]",5
sphere2D_-16.3_-50.4_34.0_180.csv,903,180,"[-16.3, -50.4, 34.0]","[-16.33982358003156, -50.3700921682318, 34.013598534878554]",7
sphere2D_-16.3_80.1_39.0_536.csv,2684,536,"[-16.3, 80.1, 39.0]","[-16.265095270858648, 80.06302577919914, 39.09750352520998]",5
sphere2D_-19.3_33.5_112.0_289.csv,1445,289,"[-19.3, 33.5, 112.0]","[-19.31038401260152, 33.48681102050687, 112.0021248337384]",5
sphere2D_-20.1_87.0_55.0_313.csv,1568,313,"[-20.1, 87.0, 55.0]","[-20.10890528149189, 86.97539195935573, 55.06670165538745]",7
sphere2D_-22.5_-41.8_130.0_249.csv,1247,249,"[-22.5, -41.8, 130.0]","[-22.562762959944898, -41.762668913175276, 130.00817509716438]",5
sphere2D_-24.2_29.1_48.0_494.csv,2470,494,"[-24.2, 29.1, 48.0]","[-24.191298878372002, 29.08314161482039, 48.0285474625399]",6
sphere2D_-28.7_49.6_60.0_20.csv,100,20,"[-28.7, 49.6, 60.0]","[-28.489112144369397, 49.748628293210395, 60.07859825818512]",4
sphere2D_-30.0_67.1_139.0_351.csv,1759,351,"[-30.0, 67.1, 139.0]","[-29.997520686606045, 67.07439906723609, 138.96984563816883]",5
sphere2D_-30.4_-20.9_37.0_498.csv,2494,498,"[-30.4, -20.9, 37.0]","[-30.365412359232526, -20.80280522127858, 37.05743009606978]",5
sphere2D_-32.1_-55.5_83.0_401.csv,2007,401,"[-32.1, -55.5, 83.0]","[-32.063483324997755, -55.517148513972074, 83.02185275895069]",5
sphere2D_-32.5_36.6_142.0_333.csv,1669,333,"[-32.5, 36.6, 142.0]","[-32.49717311679413, 36.54670832952433, 141.97426434710582]",5
sphere2D_-34.5_-47.4_136.0_96.csv,483,96,"[-34.5, -47.4, 136.0]","[-34.49418220262871, -47.32844608628452, 136.01049128550156]",6
sphere2D_-35.9_22.8_138.0_580.csv,2903,580,"[-35.9, 22.8, 138.0]","[-35.88497117888749, 22.76490947557723, 138.01722067481816]",7
sphere2D_-36.2_19.1_88.0_324.csv,1620,324,"[-36.2, 19.1, 88.0]","[-36.20428431456032, 19.14370127454931, 88.01077449649695]",5
sphere2D_-36.6_81.9_31.0_220.csv,1100,220,"[-36.6, 81.9, 31.0]","[-36.58957176518583, 81.92425690480678, 31.032890682516747]",8
sphere2D_-37.5_89.8_52.0_407.csv,2038,407,"[-37.5, 89.8, 52.0]","[-37.530096658418664, 89.82709358559832, 52.00881314732759]",7
sphere2D_-37.7_46.3_9.0_106.csv,534,106,"[-37.7, 46.3, 9.0]","[-37.802090202335336, 46.47317671861663, 9.12669666951933]",5
sphere2D_-40.8_-19.1_34.0_311.csv,1557,311,"[-40.8, -19.1, 34.0]","[-40.7488452107811, -19.056612377476196, 34.02368667780591]",8
sphere2D_-44.0_64.4_117.0_462.csv,2313,462,"[-44.0, 64.4, 117.0]","[-44.06610631057895, 64.43654211094339, 116.99887077911185]",6
sphere2D_-46.6_-7.1_56.0_344.csv,1721,344,"[-46.6, -7.1, 56.0]","[-46.61849197910104, -7.126952700784846, 56.06604595330071]",7
sphere2D_-5.1_72.2_56.0_545.csv,2728,545,"[-5.1, 72.2, 56.0]","[-5.090839429035036, 72.23369900833808, 56.01616629408335]",7
sphere2D_-51.4_49.6_73.0_208.csv,1042,208,"[-51.4, 49.6, 73.0]","[-51.422698783520175, 49.69289898290559, 72.9826527687019]",6
sphere2D_-52.3_-48.8_129.0_226.csv,1132,226,"[-52.3, -48.8, 129.0]","[-52.336654486634856, -48.79935969997447, 129.00157378350275]",5
sphere2D_-55.9_71.8_10.0_570.csv,2854,570,"[-55.9, 71.8, 10.0]","[-55.81103907274285, 71.79852134881698, 10.113512216035732]",8
sphere2D_-56.5_-66.7_65.0_484.csv,2424,484,"[-56.5, -66.7, 65.0]","[-56.47039676111063, -66.71732032993849, 65.07147940639793]",6
sphere2D_-58.2_2.4_77.0_301.csv,1505,301,"[-58.2, 2.4, 77.0]","[-58.28501817883827, 2.3727046844103596, 76.94687499006068]",7
