1,2,3,4,5,6
sphere2D_-10.6_-77.2_5.0_198.csv,663,198,"[-10.6, -77.2, 5.0]","[-10.591527649245904, -77.17601410954545, -4.963726329322275]",18
sphere2D_-12.1_-45.1_48.0_271.csv,905,271,"[-12.1, -45.1, 48.0]","[-12.17051915229469, -45.10382617649472, 48.01665052678925]",10
sphere2D_-15.6_32.5_46.0_542.csv,1807,542,"[-15.6, 32.5, 46.0]","[-15.66602550506746, 32.57363872240302, 46.03991097800166]",10
sphere2D_-18.1_75.3_48.0_313.csv,1044,313,"[-18.1, 75.3, 48.0]","[-17.957775373485145, 75.34802392969844, -48.033441771454385]",12
sphere2D_-21.1_-34.6_44.0_455.csv,1518,455,"[-21.1, -34.6, 44.0]","[-21.184658734842394, -34.61173394905416, 44.002062058106716]",11
sphere2D_-23.4_-70.9_29.0_779.csv,2599,779,"[-23.4, -70.9, 29.0]","[-23.485394812373325, -70.89652103830011, -28.989010346470828]",14
sphere2D_-23.8_-34.8_82.0_118.csv,396,118,"[-23.8, -34.8, 82.0]","[-23.80241740916043, -34.82073887485848, 81.85520381559752]",11
sphere2D_-24.5_99.5_28.0_66.csv,223,66,"[-24.5, 99.5, 28.0]","[-24.561737338986237, 99.58958587739204, -28.03753254795627]",9
sphere2D_-26.3_68.4_81.0_240.csv,802,240,"[-26.3, 68.4, 81.0]","[-26.36668508307967, 68.35249650310965, 81.08114469878912]",10
sphere2D_-31.5_-22.3_50.0_235.csv,786,235,"[-31.5, -22.3, 50.0]","[-31.58001284488304, -22.390023620019885, 49.989205506834445]",11
sphere2D_-31.6_29.2_133.0_141.csv,472,141,"[-31.6, 29.2, 133.0]","[-31.565916182737208, 29.196858152965593, 133.03064058670486]",10
sphere2D_-33.7_-32.4_34.0_393.csv,1313,393,"[-33.7, -32.4, 34.0]","[-33.65352916621125, -32.39444690968992, -33.98568167592989]",11
sphere2D_-35.6_23.4_101.0_582.csv,1940,582,"[-35.6, 23.4, 101.0]","[-35.602740879007285, 23.441576869538498, 101.03728000269469]",11
sphere2D_-36.2_-96.2_91.0_876.csv,2922,876,"[-36.2, -96.2, 91.0]","[-36.21590791210733, -96.15332728868559, -90.9748192137707]",10
