1,2,3,4,5,6
sphere2D_-0.4_76.3_101.0_1056.csv,2642,1056,"[-0.4, 76.3, 101.0]","[-0.3359416815867057, 76.23598416248556, 100.99661346328216]",7
sphere2D_-12.8_18.1_139.0_243.csv,609,243,"[-12.8, 18.1, 139.0]","[-12.874067997061251, 18.02635701876718, 138.99706068664133]",6
sphere2D_-14.2_-95.5_28.0_233.csv,584,233,"[-14.2, -95.5, 28.0]","[-14.197802116498483, -95.4645126760928, -28.049392318482887]",6
sphere2D_-14.2_45.9_101.0_824.csv,2060,824,"[-14.2, 45.9, 101.0]","[-14.182171884861026, 45.771969012197545, 101.02632726592834]",7
sphere2D_-14.4_97.0_89.0_1149.csv,2873,1149,"[-14.4, 97.0, 89.0]","[-14.412291315595931, 96.88739961876189, -89.01254963461484]",9
sphere2D_-14.8_-52.0_9.0_484.csv,1212,484,"[-14.8, -52.0, 9.0]","[-14.680339787845993, -52.020256926408024, -9.035639709691742]",11
sphere2D_-21.7_-47.3_60.0_1142.csv,2855,1142,"[-21.7, -47.3, 60.0]","[-21.729801974876473, -47.18907951840939, 60.05172602872677]",8
sphere2D_-23.2_-32.0_39.0_509.csv,1273,509,"[-23.2, -32.0, 39.0]","[-23.253798991759297, -32.04588305277574, -38.95403826126881]",9
sphere2D_-24.2_-74.8_78.0_589.csv,1473,589,"[-24.2, -74.8, 78.0]","[-24.227809331841037, -74.7645550777173, -77.94645567807689]",9
sphere2D_-25.3_-16.8_50.0_668.csv,1672,668,"[-25.3, -16.8, 50.0]","[-25.226182974035815, -16.865981272742513, 50.019307727263474]",9
sphere2D_-27.7_-78.0_144.0_777.csv,1943,777,"[-27.7, -78.0, 144.0]","[-27.665525823295212, -78.05639986358133, 144.01373173724207]",7
sphere2D_-3.4_86.3_100.0_896.csv,2241,896,"[-3.4, 86.3, 100.0]","[-3.3671477095834574, 86.26063691081167, 100.02816156709012]",7
sphere2D_-32.8_-10.9_57.0_489.csv,1223,489,"[-32.8, -10.9, 57.0]","[-32.79819989155409, -10.705790608560646, 57.03162541594103]",7
sphere2D_-33.2_28.6_26.0_1112.csv,2780,1112,"[-33.2, 28.6, 26.0]","[-33.20736380366021, 28.667878873614853, -25.932286906324357]",14
sphere2D_-34.9_64.3_77.0_866.csv,2165,866,"[-34.9, 64.3, 77.0]","[-34.90136558966941, 64.30089407778836, 76.94244324880826]",6
sphere2D_-4.0_66.0_49.0_961.csv,2404,961,"[-4.0, 66.0, 49.0]","[-3.9966377400466144, 66.00872806117738, -48.94141271011934]",10
sphere2D_-43.1_-79.9_54.0_888.csv,2220,888,"[-43.1, -79.9, 54.0]","[-43.09023051012411, -79.95205629580876, -53.99187810072384]",7
sphere2D_-50.9_73.8_143.0_80.csv,200,80,"[-50.9, 73.8, 143.0]","[-50.77133818934274, 73.93307378205384, 143.19690318464416]",5
sphere2D_-51.2_-85.8_113.0_724.csv,1811,724,"[-51.2, -85.8, 113.0]","[-51.24610206760715, -85.72427246307035, 113.05062501065605]",6
sphere2D_-51.5_-53.7_51.0_51.csv,128,51,"[-51.5, -53.7, 51.0]","[-51.61352706573721, -53.15246303446094, -51.34496658392716]",7
sphere2D_-52.9_12.3_75.0_600.csv,1500,600,"[-52.9, 12.3, 75.0]","[-52.87500363320037, 12.250701040425659, 75.00549706414871]",8
sphere2D_-60.5_58.4_89.0_950.csv,2377,950,"[-60.5, 58.4, 89.0]","[-60.56113074005703, 58.43571221338501, 88.94903341711984]",7
sphere2D_-62.0_-5.5_118.0_976.csv,2442,976,"[-62.0, -5.5, 118.0]","[-61.95735124526486, -5.472539954669394, 117.953562726964]",7
sphere2D_-62.1_27.3_21.0_948.csv,2372,948,"[-62.1, 27.3, 21.0]","[-62.17598475128287, 27.330178783505744, -20.966000841149018]",14
sphere2D_-66.9_39.2_52.0_106.csv,267,106,"[-66.9, 39.2, 52.0]","[-66.86076306893273, 38.99214256982648, -52.12728796245865]",4
sphere2D_-7.9_96.2_9.0_1097.csv,2744,1097,"[-7.9, 96.2, 9.0]","[-7.948143969936697, 96.23542733410997, -8.953937107773534]",16
sphere2D_-71.2_50.9_105.0_731.csv,1828,731,"[-71.2, 50.9, 105.0]","[-71.10235662421158, 50.994529517054694, 105.09090627873272]",8
sphere2D_-77.5_98.3_110.0_513.csv,1283,513,"[-77.5, 98.3, 110.0]","[-77.51768640939504, 98.36502525379973, -109.95686900015791]",8
sphere2D_-78.6_51.1_32.0_1118.csv,2796,1118,"[-78.6, 51.1, 32.0]","[-78.56344410498103, 51.02078494502273, -31.95692454182241]",10
sphere2D_-8.5_-72.6_87.0_397.csv,994,397,"[-8.5, -72.6, 87.0]","[-8.528535815445228, -72.75677749420689, 87.02133893842924]",5
sphere2D_-82.4_86.8_50.0_997.csv,2493,997,"[-82.4, 86.8, 50.0]","[-82.35875422489103, 86.77149302622887, -50.02990995668183]",9
sphere2D_-82.7_-46.1_47.0_281.csv,703,281,"[-82.7, -46.1, 47.0]","[-82.70630602639923, -46.17192296419944, -46.98306401160449]",7
sphere2D_-85.4_11.6_50.0_459.csv,1149,459,"[-85.4, 11.6, 50.0]","[-85.40504727031184, 11.478449522755747, -50.00845185529945]",8
sphere2D_-86.7_-95.5_64.0_384.csv,961,384,"[-86.7, -95.5, 64.0]","[-86.7170661378072, -95.51750808622327, -63.97597538476647]",7
sphere2D_-88.5_-37.6_36.0_1179.csv,2949,1179,"[-88.5, -37.6, 36.0]","[-88.50633067140313, -37.676337196063514, -36.02603171496494]",11
sphere2D_-89.4_-2.2_134.0_351.csv,878,351,"[-89.4, -2.2, 134.0]","[-89.41958753487681, -2.124620963807719, 134.03442690613835]",6
sphere2D_-9.0_-14.7_102.0_711.csv,1779,711,"[-9.0, -14.7, 102.0]","[-8.964813919094842, -14.725990095226372, 102.04670335890191]",6
sphere2D_-9.6_47.3_53.0_610.csv,1525,610,"[-9.6, 47.3, 53.0]","[-9.506598455800157, 47.21871272720341, 52.98606822658018]",9
sphere2D_-9.7_63.1_130.0_636.csv,1591,636,"[-9.7, 63.1, 130.0]","[-9.785860445053336, 63.115812971803265, 130.0432339998891]",6
sphere2D_-96.5_-96.9_63.0_557.csv,1393,557,"[-96.5, -96.9, 63.0]","[-96.57104424114198, -96.79059263215369, -62.98922275553316]",9
sphere2D_0.8_-53.3_117.0_576.csv,1440,576,"[0.8, -53.3, 117.0]","[0.8046641947183182, -53.28255665722678, 117.0242433257594]",8
sphere2D_10.5_-54.1_141.0_1154.csv,2886,1154,"[10.5, -54.1, 141.0]","[10.486330769369319, -54.08921558120398, 140.9846990203129]",8
sphere2D_11.7_-4.7_35.0_367.csv,919,367,"[11.7, -4.7, 35.0]","[11.619442518499165, -4.782683556899809, 34.92499982354113]",10
sphere2D_13.3_24.3_73.0_563.csv,1409,563,"[13.3, 24.3, 73.0]","[13.334560133085061, 24.250057432161235, 72.98273280947959]",6
