cgatempo,lmtempo
0.01977405,0.0514169
0.0138145,0.033042
0.04561945,0.0833086
0.0032218,0.01571405
0.1215369,0.1844396
0.11389725,0.1737647
0.0101991,0.0224383
0.0432153,0.08853765
0.017057,0.04448165
0.0268551,0.0595971
0.0413795,0.0838273
0.0247073,0.0267028
0.0232773,0.0530159
0.05622135,0.0839433
0.0772602,0.1285275
0.0310066,0.0569313
0.0023204,0.0079887
0.0144317,0.0301831
0.144063,0.21435805
0.0118662,0.0358086
0.1151929,0.19152905
0.06904225,0.101856
0.0767684,0.13919325
0.050924,0.0915055
0.1277875,0.19385135
0.0611729,0.1066832
0.0754591,0.1301865
0.0417399,0.0789697
0.1536396,0.2245897
0.04428705,0.0837654
0.0728899,0.1206238
0.04205575,0.0785369
0.10995695,0.1436581
0.0104993,0.02813905
0.04175855,0.0800421
0.0691825,0.1176373
0.0249821,0.05669195
0.04192035,0.0829361
0.1229132,0.19250075
0.06578405,0.11594755
0.06914495,0.0728285
0.078366,0.1294502
0.0239288,0.0556159
0.1383748,0.2093585
0.08021695,0.1090074
0.10011335,0.1581569
0.0563439,0.09965275
0.1212272,0.1913797
0.0033906,0.0110405
0.0083452,0.0244474
0.0400926,0.0848531
0.1302548,0.1996986
0.0006153,0.0030836
0.01009885,0.02761015
0.0030993,0.01280295
0.00245585,0.00793295
0.0016344,0.005573
0.007952,0.0244712
0.0055368,0.0144675
0.00120205,0.00517385
0.0112101,0.0259117
0.0139861,0.0217137
0.0420676,0.06922955
0.0238223,0.0543069
0.0611765,0.0941566
0.0466653,0.08577725
0.033778,0.0686209
0.0172591,0.0357462
0.0694311,0.1168488
0.1177662,0.1431832
0.0162665,0.04188855
0.0018828,0.0036305
0.010453,0.027115
0.0019655,0.0098728
0.01110985,0.0304697
0.00382375,0.0136469
0.11759885,0.1667726
0.1225855,0.18974145
0.12938965,0.2003512
0.0474111,0.0885691
0.0024271,0.0135544
0.10145175,0.17491875
0.0014017,0.00608995
0.0209314,0.04909455
0.084907,0.1451571
0.0671463,0.1285376
0.0014437,0.0060677
0.00530555,0.0151317
0.13897055,0.21718655
0.0057691,0.0183692
0.0139983,0.0330683
0.0436623,0.0905961
0.0223079,0.0492954
0.0390536,0.079521
0.0235186,0.0532107
0.035827,0.0611206
0.0370966,0.0743371
0.0797622,0.1370977
0.116202,0.1797862
0.0211548,0.05012815
0.0093463,0.0262611
0.0504943,0.0641893
0.0913931,0.1686017
0.0546848,0.1003544
0.0143774,0.0328469
0.0330917,0.06307155
0.144903,0.2248067
0.0348645,0.0686125
0.0667816,0.1127093
0.00680475,0.0239756
0.1171351,0.18343125
0.0237379,0.04283895
0.1885659,0.17824755
0.0006219,0.0036298
0.01067145,0.02420585
0.027242,0.0566576
0.0112049,0.0311989
0.0059555,0.0206199
0.12094825,0.1850711
0.01649545,0.03845
0.2338583,0.2098793
0.003681,0.0141415
0.139411,0.2207729
0.0036856,0.0137801
0.133064,0.1791256
0.03895745,0.06261265
0.0157838,0.04125675
0.0068197,0.0209095
0.0018534,0.0066272
0.0027584,0.00971295
0.08957075,0.0785138
0.034772,0.0732368
0.0018857,0.0064121
0.0579679,0.1165571
0.07801465,0.10884735
0.0021457,0.0077101
0.1441699,0.1877896
0.19454955,0.2481776
0.0414417,0.0815681
0.0298872,0.06524185
0.0381549,0.0710068
0.0847859,0.1433473
0.0173731,0.0340798
0.0573358,0.1074268
0.02074805,0.0479016
0.0653321,0.1162388
0.1345932,0.2112382
0.1345142,0.2183701
0.08643545,0.1431062
0.1183074,0.1949973
0.0956801,0.1636284
0.02216345,0.0339097
0.0427305,0.09898525
0.1936401,0.19191835
0.0002296,0.0017638
0.0152868,0.04306405
0.0489565,0.0823456
0.0843993,0.14314775
0.0027818,0.0119405
0.0044474,0.0095871
0.0927772,0.14365485
0.0169292,0.04607695
0.1053062,0.20708765
0.0427417,0.09121785
0.0329483,0.06405545
0.0292474,0.0642884
0.0657264,0.1132487
0.0016124,0.0045952
0.0591767,0.1102793
0.0301127,0.0643391
0.1367706,0.15033575
0.01238125,0.032382
0.017221,0.04426955
0.056108,0.096785
0.0945687,0.12374215
0.02212,0.0514768
0.0001004,0.0012777
0.0764734,0.1371567
0.0443817,0.0724028
0.0272708,0.0689079
0.0001884,0.0016562
0.1646995,0.2359289
0.0011029,0.0048811
0.0004405,0.0027485
0.02054905,0.0484086
0.0972626,0.151937
0.0011525,0.00504315
0.0358703,0.072733
0.0402915,0.0779796
0.21017965,0.2400376
0.0026183,0.00953275
0.1197066,0.2233984
0.0745281,0.11117635
0.0864331,0.1415135
0.009436,0.0289169
0.0924264,0.16244415
0.13076625,0.2120324
0.0059568,0.0196667
0.0614287,0.1136499
0.1060937,0.14994425
0.00528,0.0174548
0.0790408,0.1343297
0.01819885,0.0421033
0.0114263,0.02681465
0.0571782,0.0929768
0.134748,0.2065741
0.0001733,0.0016293
0.0957824,0.15419285
0.0002637,0.0020539
0.1607396,0.2131316
0.0697594,0.0977978
0.032147,0.0664308
0.09025255,0.1418171
0.0286113,0.0599066
0.007958,0.0250398
0.0219515,0.04920175
0.0602907,0.1039637
0.0477612,0.0836457
0.01568995,0.03506035
0.018545,0.0354057
0.0745195,0.12610785
0.0169271,0.0391957
0.0139979,0.037271
0.03238965,0.0566314
0.0002631,0.0026345
0.19859395,0.2993332
0.0034214,0.0134399
0.01253465,0.0340272
0.1973074,0.2674954
0.0553812,0.0858198
0.0124175,0.03321
0.0769215,0.1271124
0.00540385,0.0186726
0.0942737,0.1448585
0.0189231,0.0392378
0.1350815,0.17874095
0.1141059,0.1844882
0.0059493,0.01803955
0.0523528,0.0933685
0.0877103,0.1384928
0.07552365,0.1264246
0.00596035,0.0188107
0.1536309,0.2351614
0.0003434,0.0023546
0.0498199,0.0887512
0.0003534,0.0023926
0.0160546,0.034391
0.0121899,0.03984535
0.1297555,0.22983255
0.12954945,0.2051703
0.0627052,0.0826741
0.02815505,0.06376225
0.1023353,0.1660972
0.1612735,0.2433626
0.0026506,0.00918905
0.0123553,0.03361915
0.02886845,0.0571673
0.0013127,0.006468
0.04549335,0.08221425
0.0315732,0.0600633
0.0609915,0.10901495
0.0934502,0.14561145
0.0009329,0.0050356
0.000563,0.0040716
0.030358,0.06477745
0.10521175,0.1685767
0.07449285,0.1442643
0.0208342,0.0498556
0.0982186,0.1392964
0.0048487,0.0167902
0.2000318,0.1642233
0.0817522,0.1541035
0.153761,0.1460348
0.0043827,0.0168795
0.0089047,0.0263244
0.1572018,0.1658826
0.04882575,0.0954669
0.0105249,0.02942
0.0628156,0.13011185
0.0181887,0.0468374
0.0282417,0.0614024
0.01657055,0.04027795
0.16169645,0.22065
0.17875055,0.2013888
0.14803365,0.2186194
0.5641801,0.2585714
0.0002265,0.0017964
0.0808085,0.135535
0.1948851,0.2331345
0.1044335,0.1610348
0.0035629,0.01405785
0.04421145,0.0856827
0.05420155,0.0833151
0.15797775,0.2237047
0.093549,0.1252258
0.02979265,0.0535425
0.0458558,0.0869841
0.0188547,0.0436092
0.1517889,0.1996097
0.1429938,0.1665103
0.0797017,0.1298351
0.000956,0.00429205
0.0943554,0.1373576
0.0001967,0.0023928
0.0535854,0.09226135
0.2136694,0.162616
0.0001682,0.0015709
0.0392138,0.0421224
0.0255772,0.0539547
0.1278091,0.1981762
0.0002929,0.0018527
0.1281174,0.1880625
0.0037168,0.01085675
0.091564,0.1353773
0.045219,0.0767782
0.09990395,0.1531363
0.0599533,0.0992223
0.0023271,0.0085961
0.0523063,0.0805693
0.0515763,0.0883522
0.1592754,0.2291998
0.0080639,0.0210295
0.0169408,0.032504
0.0535612,0.08558175
0.07814695,0.12040455
0.0805025,0.13414155
0.05327255,0.0626927
0.0523679,0.0611329
0.0826599,0.1157322
0.0311268,0.0631833
0.027896,0.0477863
0.0173553,0.0406423
0.0002419,0.0016404
0.0338156,0.0612803
0.100676,0.1485328
0.13928775,0.18645935
0.0435828,0.0676248
0.0428382,0.0597386
0.01348225,0.03307985
0.1433203,0.19728475
0.00064765,0.0035921
0.1286234,0.17201125
0.0369084,0.04045445
0.0464212,0.0755319
0.0149251,0.0362999
0.1330425,0.1948435
0.0232122,0.04081215
0.1374735,0.2011283
0.07801225,0.1214224
0.022539,0.0441768
0.15791375,0.05759725
0.00624525,0.01977315
0.023587,0.0553057
0.1914096,0.2084781
0.000181,0.0004658
0.134762,0.1915549
0.1136855,0.1711593
0.00756555,0.0261237
0.12622705,0.1857057
0.02487115,0.0454033
0.00726385,0.0216287
0.0020965,0.0068975
0.1849562,0.2566805
0.0003552,0.0024037
0.00377485,0.0110601
0.0196687,0.0410455
0.05647495,0.0996768
0.232152,0.096205
0.04273305,0.0669139
0.05523325,0.1122462
0.2745534,0.2732666
0.0020554,0.0079909
0.1264855,0.18595475
0.12008205,0.1802433
0.1091235,0.158194
0.08644745,0.1050834
0.1358254,0.18741575
0.0192531,0.0350665
0.0184248,0.04506275
0.11394755,0.1664025
0.1558653,0.19899555
0.0747696,0.1337573
0.0026702,0.00909675
0.0287618,0.05781695
0.077122,0.1250061
0.0152988,0.0346096
0.00162705,0.0062541
0.0014627,0.00629335
0.091264,0.1520438
0.1390073,0.1875111
0.1219571,0.1852379
0.0096977,0.02731335
0.0160806,0.0351007
0.0097423,0.0305988
0.0689916,0.0730275
0.10014015,0.1500855
0.4620785,0.2566289
0.01854115,0.0393461
0.7776124,0.28601515
0.07141075,0.1073571
