1,2,3,4,5,6
sphere3D_-0.2_57.2_-12.1_121.0_306.csv,990,306,"[-0.2, 57.2, -12.1, 121.0]","[-0.2000000000000383, 57.199999999999974, -12.100000000000131, 121.00000000000004]",6
sphere3D_-0.6_-6.9_43.8_61.0_1213.csv,3916,1213,"[-0.6, -6.9, 43.8, 61.0]","[-0.5999999999999682, -6.900000000000051, 43.79999999999994, 61.0000000000001]",7
sphere3D_-11.3_-59.6_-18.6_135.0_636.csv,2054,636,"[-11.3, -59.6, -18.6, 135.0]","[-11.29999999999998, -59.59999999999996, -18.599999999999902, 135.00000000000003]",6
sphere3D_-12.4_-29.1_-30.4_62.0_437.csv,1410,437,"[-12.4, -29.1, -30.4, 62.0]","[-12.400000000000075, -29.1000000000002, -30.39999999999997, 62.00000000000001]",7
sphere3D_-12.9_6.3_-11.3_85.0_1295.csv,4179,1295,"[-12.9, 6.3, -11.3, 85.0]","[-12.900000000000109, 6.300000000000087, -11.300000000000075, 84.99999999999999]",5
sphere3D_-14.5_-59.2_19.4_91.0_1642.csv,5297,1642,"[-14.5, -59.2, 19.4, 91.0]","[-14.500000000000018, -59.19999999999991, 19.39999999999994, 91.00000000000001]",7
sphere3D_-20.9_10.7_8.9_168.0_25.csv,81,25,"[-20.9, 10.7, 8.9, 168.0]","[-20.899999999999906, 10.700000000000271, 8.899999999999848, 168.00000000000009]",5
sphere3D_-23.1_-27.8_51.6_126.0_1358.csv,4382,1358,"[-23.1, -27.8, 51.6, 126.0]","[-23.100000000000048, -27.800000000000125, 51.600000000000115, 125.99999999999996]",7
sphere3D_-23.3_-33.7_-22.1_146.0_42.csv,137,42,"[-23.3, -33.7, -22.1, 146.0]","[-23.299999999999944, -33.69999999999988, -22.100000000000136, 146.00000000000006]",5
sphere3D_-24.3_-4.3_30.1_14.0_1529.csv,4934,1529,"[-24.3, -4.3, 30.1, 14.0]","[-24.300000000000228, -4.300000000000648, 30.100000000000314, 13.999999999999782]",9
sphere3D_-24.6_49.1_31.5_22.0_1005.csv,3243,1005,"[-24.6, 49.1, 31.5, 22.0]","[-24.599999999999614, 49.09999999999918, 31.500000000000338, 22.00000000000032]",8
sphere3D_-24.7_37.2_59.1_101.0_775.csv,2501,775,"[-24.7, 37.2, 59.1, 101.0]","[-24.700000000000006, 37.19999999999975, 59.100000000000165, 101.00000000000001]",7
sphere3D_-24.8_8.5_-14.3_101.0_1464.csv,4723,1464,"[-24.8, 8.5, -14.3, 101.0]","[-24.79999999999989, 8.49999999999995, -14.299999999999912, 101.00000000000004]",6
sphere3D_-27.2_-57.2_2.5_187.0_816.csv,2635,816,"[-27.2, -57.2, 2.5, 187.0]","[-27.199999999999946, -57.199999999999626, 2.499999999999789, 187.00000000000003]",6
sphere3D_-27.4_32.5_-23.5_79.0_352.csv,1137,352,"[-27.4, 32.5, -23.5, 79.0]","[-27.39999999999998, 32.50000000000013, -23.500000000000103, 79.00000000000007]",7
sphere3D_-29.1_-41.1_15.1_59.0_625.csv,2018,625,"[-29.1, -41.1, 15.1, 59.0]","[-29.100000000000115, -41.09999999999997, 15.099999999999968, 58.99999999999984]",7
sphere3D_-29.8_37.9_46.3_184.0_1172.csv,3783,1172,"[-29.8, 37.9, 46.3, 184.0]","[-29.799999999999834, 37.899999999999835, 46.29999999999991, 184.00000000000003]",6
sphere3D_-30.4_-41.9_26.0_109.0_1040.csv,3356,1040,"[-30.4, -41.9, 26.0, 109.0]","[-30.399999999999952, -41.8999999999998, 25.99999999999985, 109.00000000000006]",6
sphere3D_-30.6_40.7_-31.1_198.0_653.csv,2107,653,"[-30.6, 40.7, -31.1, 198.0]","[-30.600000000000033, 40.699999999999896, -31.09999999999997, 197.99999999999997]",5
sphere3D_-31.8_58.5_33.2_23.0_453.csv,1463,453,"[-31.8, 58.5, 33.2, 23.0]","[-31.8000000000009, 58.500000000001414, 33.19999999999943, 22.999999999999385]",9
sphere3D_-32.6_-41.3_18.5_166.0_1326.csv,4278,1326,"[-32.6, -41.3, 18.5, 166.0]","[-32.60000000000012, -41.300000000000246, 18.50000000000026, 165.99999999999991]",6
sphere3D_-33.3_17.3_57.9_180.0_677.csv,2186,677,"[-33.3, 17.3, 57.9, 180.0]","[-33.300000000000054, 17.299999999999958, 57.89999999999991, 180.00000000000006]",5
sphere3D_-35.5_-21.8_32.6_115.0_546.csv,1763,546,"[-35.5, -21.8, 32.6, 115.0]","[-35.49999999999997, -21.799999999999972, 32.60000000000012, 115.0]",6
sphere3D_-36.4_-45.9_-41.6_33.0_756.csv,2441,756,"[-36.4, -45.9, -41.6, 33.0]","[-36.39999999999972, -45.89999999999902, -41.60000000000039, 33.0000000000004]",7
sphere3D_-36.5_2.4_-29.2_34.0_26.csv,84,26,"[-36.5, 2.4, -29.2, 34.0]","[-36.50000000000007, 2.400000000000203, -29.20000000000011, 34.0]",7
sphere3D_-36.6_-22.4_-10.7_32.0_1853.csv,5980,1853,"[-36.6, -22.4, -10.7, 32.0]","[-36.599999999999966, -22.40000000000022, -10.699999999999896, 31.99999999999997]",8
sphere3D_-37.1_-35.7_37.4_139.0_240.csv,777,240,"[-37.1, -35.7, 37.4, 139.0]","[-37.10000000000014, -35.69999999999997, 37.4, 139.0]",6
sphere3D_-39.8_-1.0_-27.2_52.0_455.csv,1469,455,"[-39.8, -1.0, -27.2, 52.0]","[-39.8000000000002, -0.9999999999996889, -27.200000000000152, 51.99999999999988]",7
sphere3D_-4.0_-8.4_50.4_115.0_1859.csv,5998,1859,"[-4.0, -8.4, 50.4, 115.0]","[-3.999999999999942, -8.400000000000336, 50.40000000000019, 115.00000000000006]",7
sphere3D_-4.7_37.4_54.8_24.0_897.csv,2894,897,"[-4.7, 37.4, 54.8, 24.0]","[-4.699999999999797, 37.39999999999955, 54.800000000000196, 24.0000000000002]",9
sphere3D_-42.1_-53.7_5.5_157.0_517.csv,1669,517,"[-42.1, -53.7, 5.5, 157.0]","[-42.10000000000006, -53.699999999999854, 5.499999999999895, 157.00000000000009]",6
sphere3D_-43.9_-30.1_-37.5_167.0_1369.csv,4418,1369,"[-43.9, -30.1, -37.5, 167.0]","[-43.89999999999994, -30.099999999999678, -37.500000000000256, 167.0000000000001]",6
sphere3D_-5.3_15.4_-17.8_81.0_323.csv,1042,323,"[-5.3, 15.4, -17.8, 81.0]","[-5.299999999999991, 15.400000000000098, -17.799999999999986, 81.00000000000004]",6
sphere3D_-50.6_5.6_-57.7_137.0_1471.csv,4748,1471,"[-50.6, 5.6, -57.7, 137.0]","[-50.600000000000044, 5.599999999999892, -57.69999999999999, 137.00000000000009]",6
sphere3D_-51.0_45.8_-56.3_103.0_585.csv,1889,585,"[-51.0, 45.8, -56.3, 103.0]","[-51.00000000000001, 45.799999999999905, -56.29999999999999, 102.99999999999999]",7
sphere3D_-51.2_-57.9_6.4_146.0_1682.csv,5427,1682,"[-51.2, -57.9, 6.4, 146.0]","[-51.20000000000002, -57.899999999999984, 6.399999999999908, 146.0]",7
sphere3D_-52.1_-56.1_15.9_141.0_1563.csv,5045,1563,"[-52.1, -56.1, 15.9, 141.0]","[-52.09999999999987, -56.10000000000006, 15.900000000000013, 141.0000000000001]",7
sphere3D_-52.3_-0.3_36.1_126.0_377.csv,1219,377,"[-52.3, -0.3, 36.1, 126.0]","[-52.29999999999994, -0.3000000000001959, 36.100000000000044, 125.99999999999997]",5
sphere3D_-52.8_-28.1_-3.0_164.0_1121.csv,3617,1121,"[-52.8, -28.1, -3.0, 164.0]","[-52.79999999999991, -28.10000000000007, -2.9999999999999254, 164.00000000000006]",6
sphere3D_-56.1_18.0_29.4_130.0_1414.csv,4562,1414,"[-56.1, 18.0, 29.4, 130.0]","[-56.10000000000011, 18.000000000000007, 29.400000000000055, 129.99999999999994]",6
sphere3D_-56.7_-29.7_-20.0_120.0_1366.csv,4408,1366,"[-56.7, -29.7, -20.0, 120.0]","[-56.69999999999996, -29.70000000000014, -19.999999999999936, 120.00000000000004]",6
sphere3D_-56.8_-2.2_-31.0_80.0_330.csv,1066,330,"[-56.8, -2.2, -31.0, 80.0]","[-56.79999999999991, -2.2000000000003586, -30.999999999999808, 80.00000000000009]",6
sphere3D_-57.4_-10.9_38.8_73.0_1759.csv,5677,1759,"[-57.4, -10.9, 38.8, 73.0]","[-57.399999999999785, -10.900000000000425, 38.8000000000002, 73.00000000000006]",7
sphere3D_-59.1_47.5_25.0_44.0_35.csv,114,35,"[-59.1, 47.5, 25.0, 44.0]","[-59.100000000001145, 47.50000000000007, 24.99999999999996, 43.999999999999545]",7
sphere3D_-8.0_24.7_-17.4_84.0_1074.csv,3467,1074,"[-8.0, 24.7, -17.4, 84.0]","[-7.999999999999923, 24.70000000000004, -17.40000000000002, 84.00000000000004]",6
sphere3D_-9.1_52.6_23.2_175.0_53.csv,171,53,"[-9.1, 52.6, 23.2, 175.0]","[-9.099999999999957, 52.599999999999596, 23.199999999999932, 175.00000000000009]",5
sphere3D_13.1_28.7_-55.7_23.0_369.csv,1191,369,"[13.1, 28.7, -55.7, 23.0]","[13.100000000000385, 28.69999999999961, -55.699999999999704, 23.000000000000345]",12
sphere3D_13.6_-37.7_-23.7_137.0_578.csv,1865,578,"[13.6, -37.7, -23.7, 137.0]","[13.599999999999808, -37.70000000000003, -23.699999999999964, 136.99999999999994]",5
sphere3D_15.5_-19.5_-39.1_112.0_1789.csv,5774,1789,"[15.5, -19.5, -39.1, 112.0]","[15.499999999999694, -19.500000000000053, -39.09999999999996, 111.99999999999996]",6
sphere3D_16.2_49.5_27.5_121.0_1561.csv,5038,1561,"[16.2, 49.5, 27.5, 121.0]","[16.2, 49.50000000000001, 27.500000000000174, 121.00000000000004]",7
sphere3D_16.4_-1.5_-16.0_10.0_815.csv,2630,815,"[16.4, -1.5, -16.0, 10.0]","[16.40000000000006, -1.499999999999937, -16.00000000000004, 10.0]",12
sphere3D_16.9_-31.8_38.9_79.0_714.csv,2304,714,"[16.9, -31.8, 38.9, 79.0]","[16.899999999999984, -31.799999999999898, 38.9, 78.99999999999997]",7
sphere3D_17.9_20.5_-37.1_66.0_1433.csv,4623,1433,"[17.9, 20.5, -37.1, 66.0]","[17.900000000000045, 20.499999999999893, -37.099999999999994, 66.00000000000004]",7
sphere3D_19.0_-49.5_-13.1_82.0_1759.csv,5677,1759,"[19.0, -49.5, -13.1, 82.0]","[19.000000000000007, -49.49999999999972, -13.100000000000078, 82.00000000000003]",7
sphere3D_2.9_32.7_55.2_160.0_205.csv,662,205,"[2.9, 32.7, 55.2, 160.0]","[2.900000000000108, 32.70000000000001, 55.20000000000015, 160.00000000000017]",6
sphere3D_21.4_-27.3_58.8_82.0_445.csv,1438,445,"[21.4, -27.3, 58.8, 82.0]","[21.399999999999878, -27.29999999999975, 58.799999999999905, 81.99999999999984]",7
sphere3D_21.5_21.2_50.2_164.0_790.csv,2551,790,"[21.5, 21.2, 50.2, 164.0]","[21.500000000000554, 21.19999999999985, 50.200000000000166, 164.00000000000006]",6
sphere3D_21.9_49.9_-23.7_175.0_145.csv,470,145,"[21.9, 49.9, -23.7, 175.0]","[21.900000000000134, 49.89999999999983, -23.69999999999986, 175.00000000000009]",5
sphere3D_22.4_-27.6_33.7_187.0_1007.csv,3249,1007,"[22.4, -27.6, 33.7, 187.0]","[22.400000000000006, -27.60000000000018, 33.70000000000007, 187.0]",6
sphere3D_22.7_-49.2_-12.8_53.0_718.csv,2319,718,"[22.7, -49.2, -12.8, 53.0]","[22.700000000000028, -49.19999999999978, -12.800000000000134, 53.00000000000004]",8
sphere3D_24.9_29.8_23.2_76.0_1089.csv,3515,1089,"[24.9, 29.8, 23.2, 76.0]","[24.9, 29.80000000000004, 23.199999999999992, 75.99999999999994]",7
sphere3D_26.7_-23.0_-27.6_187.0_1512.csv,4879,1512,"[26.7, -23.0, -27.6, 187.0]","[26.699999999999648, -22.999999999999936, -27.600000000000083, 186.99999999999986]",6
sphere3D_26.8_-56.6_-40.8_179.0_98.csv,317,98,"[26.8, -56.6, -40.8, 179.0]","[26.799999999999947, -56.600000000000456, -40.79999999999951, 178.99999999999991]",6
sphere3D_28.0_24.3_10.3_187.0_99.csv,321,99,"[28.0, 24.3, 10.3, 187.0]","[27.999999999999606, 24.299999999999734, 10.300000000000088, 186.99999999999994]",4
sphere3D_29.3_47.6_-47.4_94.0_770.csv,2485,770,"[29.3, 47.6, -47.4, 94.0]","[29.3, 47.599999999999845, -47.39999999999991, 93.99999999999996]",7
sphere3D_31.1_19.7_-26.1_144.0_1477.csv,4765,1477,"[31.1, 19.7, -26.1, 144.0]","[31.100000000000197, 19.699999999999473, -26.099999999999508, 144.00000000000006]",7
sphere3D_32.6_-14.5_-40.4_94.0_1347.csv,4348,1347,"[32.6, -14.5, -40.4, 94.0]","[32.60000000000001, -14.500000000000105, -40.39999999999989, 93.99999999999996]",6
sphere3D_33.9_-48.8_14.6_103.0_621.csv,2005,621,"[33.9, -48.8, 14.6, 103.0]","[33.89999999999999, -48.79999999999992, 14.599999999999978, 103.00000000000001]",7
sphere3D_34.3_-52.0_-4.1_58.0_1291.csv,4167,1291,"[34.3, -52.0, -4.1, 58.0]","[34.29999999999993, -52.00000000000026, -4.099999999999828, 57.999999999999844]",8
sphere3D_35.8_-10.4_58.9_174.0_290.csv,936,290,"[35.8, -10.4, 58.9, 174.0]","[35.80000000000002, -10.400000000000611, 58.90000000000027, 174.00000000000006]",6
