1,2,3,4,5,6
sphere2D_-0.5_-24.3_50.0_684.csv,3261,684,"[-0.5, -24.3, 50.0]","[-0.49999999999999856, -24.3, 50.0]",6
sphere2D_-1.0_57.4_192.0_462.csv,2204,462,"[-1.0, 57.4, 192.0]","[-0.9999999999999993, 57.40000000000001, 192.0]",5
sphere2D_-11.6_45.1_132.0_790.csv,3764,790,"[-11.6, 45.1, 132.0]","[-11.6, 45.1, 132.0]",5
sphere2D_-11.7_-34.1_87.0_720.csv,3429,720,"[-11.7, -34.1, 87.0]","[-11.699999999999998, -34.1, 87.0]",6
sphere2D_-12.2_-44.6_14.0_159.csv,760,159,"[-12.2, -44.6, 14.0]","[-12.2, -44.6, -14.0]",6
sphere2D_-12.5_-58.8_184.0_1132.csv,5394,1132,"[-12.5, -58.8, 184.0]","[-12.500000000000007, -58.8, 184.0]",5
sphere2D_-14.0_39.8_61.0_606.csv,2889,606,"[-14.0, 39.8, 61.0]","[-13.999999999999998, 39.8, 61.0]",6
sphere2D_-14.9_49.9_95.0_323.csv,1541,323,"[-14.9, 49.9, 95.0]","[-14.900000000000004, 49.9, 95.0]",5
sphere2D_-15.3_-6.3_8.0_1016.csv,4841,1016,"[-15.3, -6.3, 8.0]","[-15.3, -6.3, -8.0]",6
sphere2D_-15.5_19.2_54.0_1127.csv,5371,1127,"[-15.5, 19.2, 54.0]","[-15.499999999999998, 19.2, 54.0]",6
sphere2D_-16.0_-18.6_71.0_819.csv,3903,819,"[-16.0, -18.6, 71.0]","[-16.000000000000004, -18.6, 71.0]",6
sphere2D_-17.0_10.8_166.0_534.csv,2544,534,"[-17.0, 10.8, 166.0]","[-17.000000000000004, 10.800000000000002, 166.0]",5
sphere2D_-19.0_-13.8_21.0_467.csv,2224,467,"[-19.0, -13.8, 21.0]","[-19.0, -13.8, 21.0]",6
sphere2D_-20.0_-25.9_129.0_268.csv,1280,268,"[-20.0, -25.9, 129.0]","[-19.999999999999996, -25.9, 129.0]",5
sphere2D_-21.2_5.4_156.0_363.csv,1732,363,"[-21.2, 5.4, 156.0]","[-21.199999999999996, 5.4000000000000075, 156.0]",6
sphere2D_-22.1_-57.3_47.0_629.csv,2998,629,"[-22.1, -57.3, 47.0]","[-22.1, -57.3, -47.0]",6
sphere2D_-22.2_-33.5_159.0_76.csv,362,76,"[-22.2, -33.5, 159.0]","[-22.2, -33.50000000000001, 159.0]",5
sphere2D_-23.1_1.8_152.0_58.csv,280,58,"[-23.1, 1.8, 152.0]","[-23.099999999999994, 1.7999999999999998, 152.0]",4
sphere2D_-24.2_22.8_152.0_178.csv,849,178,"[-24.2, 22.8, 152.0]","[-24.2, 22.800000000000004, 152.0]",5
sphere2D_-27.0_54.9_65.0_161.csv,767,161,"[-27.0, 54.9, 65.0]","[-27.0, 54.9, 65.0]",5
sphere2D_-28.0_27.2_163.0_221.csv,1057,221,"[-28.0, 27.2, 163.0]","[-28.000000000000007, 27.2, 163.0]",5
sphere2D_-28.3_-33.3_70.0_406.csv,1937,406,"[-28.3, -33.3, 70.0]","[-28.3, -33.3, 70.0]",6
sphere2D_-30.7_-2.6_23.0_618.csv,2945,618,"[-30.7, -2.6, 23.0]","[-30.7, -2.6000000000000005, -23.0]",6
sphere2D_-30.9_-19.0_86.0_167.csv,799,167,"[-30.9, -19.0, 86.0]","[-30.9, -18.999999999999996, 86.0]",5
sphere2D_-31.6_3.4_32.0_702.csv,3344,702,"[-31.6, 3.4, 32.0]","[-31.6, 3.4, 32.0]",6
sphere2D_-31.9_53.4_103.0_662.csv,3153,662,"[-31.9, 53.4, 103.0]","[-31.899999999999995, 53.4, 103.0]",6
sphere2D_-33.8_10.8_55.0_310.csv,1477,310,"[-33.8, 10.8, 55.0]","[-33.8, 10.8, 55.0]",6
sphere2D_-34.8_13.5_125.0_550.csv,2622,550,"[-34.8, 13.5, 125.0]","[-34.8, 13.500000000000002, 125.0]",5
sphere2D_-36.8_37.8_128.0_549.csv,2616,549,"[-36.8, 37.8, 128.0]","[-36.8, 37.8, 128.0]",5
sphere2D_-40.2_34.8_131.0_860.csv,4096,860,"[-40.2, 34.8, 131.0]","[-40.2, 34.8, 131.0]",5
sphere2D_-42.9_-15.9_47.0_1241.csv,5913,1241,"[-42.9, -15.9, 47.0]","[-42.9, -15.899999999999999, 47.0]",6
sphere2D_-43.1_6.9_19.0_711.csv,3387,711,"[-43.1, 6.9, 19.0]","[-43.1, 6.9, -19.0]",6
sphere2D_-43.6_-48.8_174.0_942.csv,4488,942,"[-43.6, -48.8, 174.0]","[-43.599999999999994, -48.8, 174.0]",6
sphere2D_-44.5_-39.4_85.0_61.csv,291,61,"[-44.5, -39.4, 85.0]","[-44.5, -39.4, 85.0]",5
sphere2D_-46.3_49.1_40.0_798.csv,3802,798,"[-46.3, 49.1, 40.0]","[-46.3, 49.1, -40.0]",6
sphere2D_-47.8_-25.3_82.0_1113.csv,5300,1113,"[-47.8, -25.3, 82.0]","[-47.8, -25.3, 82.0]",6
sphere2D_-48.3_-31.8_78.0_13.csv,66,13,"[-48.3, -31.8, 78.0]","[-48.3, -31.8, 78.0]",4
sphere2D_-50.0_54.3_44.0_1228.csv,5850,1228,"[-50.0, 54.3, 44.0]","[-50.0, 54.3, -44.0]",6
sphere2D_-50.2_9.3_56.0_799.csv,3806,799,"[-50.2, 9.3, 56.0]","[-50.2, 9.3, 56.0]",6
sphere2D_-52.6_-41.9_83.0_4.csv,22,4,"[-52.6, -41.9, 83.0]","[-52.6, -41.9, 83.0]",4
sphere2D_-54.0_-10.7_144.0_519.csv,2474,519,"[-54.0, -10.7, 144.0]","[-54.0, -10.699999999999998, 144.0]",6
sphere2D_-55.8_15.3_169.0_663.csv,3159,663,"[-55.8, 15.3, 169.0]","[-55.8, 15.300000000000004, 169.0]",6
sphere2D_-57.4_56.9_79.0_610.csv,2905,610,"[-57.4, 56.9, 79.0]","[-57.4, 56.9, 79.0]",6
sphere2D_-58.3_-44.0_143.0_211.csv,1009,211,"[-58.3, -44.0, 143.0]","[-58.3, -44.0, 143.0]",6
sphere2D_-58.4_8.5_100.0_522.csv,2488,522,"[-58.4, 8.5, 100.0]","[-58.4, 8.500000000000004, 100.0]",6
sphere2D_-6.3_-7.0_84.0_146.csv,698,146,"[-6.3, -7.0, 84.0]","[-6.2999999999999945, -6.999999999999999, 84.0]",5
sphere2D_-7.8_-54.5_128.0_1205.csv,5739,1205,"[-7.8, -54.5, 128.0]","[-7.8, -54.5, 128.0]",6
sphere2D_0.1_55.4_12.0_846.csv,4032,846,"[0.1, 55.4, 12.0]","[0.09999999999999924, 55.4, -12.0]",6
sphere2D_0.2_58.5_12.0_544.csv,2591,544,"[0.2, 58.5, 12.0]","[0.19999999999999932, 58.5, -12.0]",7
sphere2D_12.6_35.6_33.0_326.csv,1556,326,"[12.6, 35.6, 33.0]","[12.6, 35.6, 33.0]",6
sphere2D_12.8_22.3_155.0_1076.csv,5127,1076,"[12.8, 22.3, 155.0]","[12.800000000000002, 22.3, 155.0]",5
sphere2D_15.1_-59.4_20.0_372.csv,1773,372,"[15.1, -59.4, 20.0]","[15.1, -59.4, -20.0]",6
sphere2D_15.9_-13.9_111.0_912.csv,4344,912,"[15.9, -13.9, 111.0]","[15.900000000000002, -13.900000000000004, 111.0]",5
sphere2D_16.3_37.4_56.0_473.csv,2257,473,"[16.3, 37.4, 56.0]","[16.3, 37.4, 56.0]",6
sphere2D_17.6_-56.4_96.0_529.csv,2520,529,"[17.6, -56.4, 96.0]","[17.6, -56.4, 96.0]",6
sphere2D_19.0_33.2_125.0_517.csv,2466,517,"[19.0, 33.2, 125.0]","[19.000000000000004, 33.2, 125.0]",5
sphere2D_19.9_11.6_46.0_567.csv,2703,567,"[19.9, 11.6, 46.0]","[19.9, 11.6, 46.0]",5
sphere2D_22.5_32.4_66.0_730.csv,3477,730,"[22.5, 32.4, 66.0]","[22.5, 32.4, 66.0]",6
sphere2D_22.5_8.9_157.0_908.csv,4326,908,"[22.5, 8.9, 157.0]","[22.500000000000007, 8.90000000000001, 157.0]",5
sphere2D_24.0_3.8_144.0_519.csv,2472,519,"[24.0, 3.8, 144.0]","[24.000000000000004, 3.8000000000000025, 144.0]",6
sphere2D_25.6_-12.8_103.0_785.csv,3741,785,"[25.6, -12.8, 103.0]","[25.6, -12.799999999999997, 103.0]",5
sphere2D_26.9_-4.8_175.0_283.csv,1350,283,"[26.9, -4.8, 175.0]","[26.900000000000002, -4.8000000000000025, 175.0]",5
sphere2D_27.5_-37.6_161.0_605.csv,2883,605,"[27.5, -37.6, 161.0]","[27.5, -37.6, 161.0]",5
sphere2D_27.8_-3.3_14.0_1025.csv,4883,1025,"[27.8, -3.3, 14.0]","[27.8, -3.3, -14.0]",6
sphere2D_28.0_-42.6_123.0_142.csv,677,142,"[28.0, -42.6, 123.0]","[28.000000000000004, -42.6, 123.0]",5
sphere2D_29.1_-37.4_24.0_1094.csv,5213,1094,"[29.1, -37.4, 24.0]","[29.1, -37.4, -24.0]",6
sphere2D_29.9_-16.2_61.0_160.csv,766,160,"[29.9, -16.2, 61.0]","[29.9, -16.2, 61.0]",5
sphere2D_3.0_-37.2_61.0_1166.csv,5557,1166,"[3.0, -37.2, 61.0]","[2.999999999999998, -37.2, 61.0]",6
sphere2D_31.4_-30.6_85.0_817.csv,3891,817,"[31.4, -30.6, 85.0]","[31.4, -30.6, 85.0]",6
sphere2D_32.6_48.2_122.0_692.csv,3296,692,"[32.6, 48.2, 122.0]","[32.6, 48.2, 122.0]",6
sphere2D_33.3_-37.4_5.0_937.csv,4464,937,"[33.3, -37.4, 5.0]","[33.3, -37.4, -5.0]",6
sphere2D_35.6_44.8_36.0_678.csv,3229,678,"[35.6, 44.8, 36.0]","[35.6, 44.8, -36.0]",6
sphere2D_36.4_-56.0_69.0_1179.csv,5618,1179,"[36.4, -56.0, 69.0]","[36.4, -56.0, 69.0]",6
sphere2D_37.3_-15.1_19.0_1185.csv,5645,1185,"[37.3, -15.1, 19.0]","[37.3, -15.1, -19.0]",6
sphere2D_37.8_26.7_75.0_1035.csv,4932,1035,"[37.8, 26.7, 75.0]","[37.8, 26.700000000000003, 75.0]",6
sphere2D_37.9_-39.7_79.0_476.csv,2270,476,"[37.9, -39.7, 79.0]","[37.9, -39.7, 79.0]",6
sphere2D_4.3_52.0_112.0_532.csv,2538,532,"[4.3, 52.0, 112.0]","[4.299999999999992, 52.0, 112.0]",6
sphere2D_4.9_-9.1_188.0_767.csv,3656,767,"[4.9, -9.1, 188.0]","[4.8999999999999995, -9.100000000000001, 188.0]",5
sphere2D_44.7_25.9_8.0_799.csv,3809,799,"[44.7, 25.9, 8.0]","[44.7, 25.9, -8.0]",6
sphere2D_45.5_-4.7_85.0_919.csv,4378,919,"[45.5, -4.7, 85.0]","[45.5, -4.7000000000000055, 85.0]",6
sphere2D_46.5_-12.2_149.0_1258.csv,5991,1258,"[46.5, -12.2, 149.0]","[46.50000000000001, -12.199999999999998, 149.0]",5
sphere2D_46.6_-19.0_95.0_686.csv,3270,686,"[46.6, -19.0, 95.0]","[46.6, -19.0, 95.0]",6
sphere2D_47.7_33.0_44.0_151.csv,720,151,"[47.7, 33.0, 44.0]","[47.7, 33.0, -44.0]",6
sphere2D_48.2_-53.5_68.0_1136.csv,5412,1136,"[48.2, -53.5, 68.0]","[48.2, -53.5, 68.0]",7
sphere2D_48.5_-6.7_141.0_854.csv,4067,854,"[48.5, -6.7, 141.0]","[48.5, -6.700000000000001, 141.0]",5
sphere2D_49.3_-39.7_66.0_643.csv,3062,643,"[49.3, -39.7, 66.0]","[49.3, -39.7, 66.0]",6
sphere2D_50.1_-40.7_172.0_410.csv,1957,410,"[50.1, -40.7, 172.0]","[50.09999999999999, -40.7, 172.0]",6
sphere2D_50.4_12.4_145.0_61.csv,295,61,"[50.4, 12.4, 145.0]","[50.4, 12.40000000000001, 145.0]",5
sphere2D_51.8_36.3_112.0_1046.csv,4981,1046,"[51.8, 36.3, 112.0]","[51.8, 36.3, 112.0]",6
sphere2D_52.5_43.2_162.0_917.csv,4369,917,"[52.5, 43.2, 162.0]","[52.5, 43.2, 162.0]",5
sphere2D_54.4_4.5_80.0_614.csv,2926,614,"[54.4, 4.5, 80.0]","[54.4, 4.500000000000003, 80.0]",6
sphere2D_54.8_-2.5_185.0_989.csv,4714,989,"[54.8, -2.5, 185.0]","[54.8, -2.4999999999999973, 185.0]",5
sphere2D_56.1_-48.4_18.0_898.csv,4280,898,"[56.1, -48.4, 18.0]","[56.1, -48.4, -18.0]",6
sphere2D_59.1_53.1_188.0_568.csv,2706,568,"[59.1, 53.1, 188.0]","[59.09999999999999, 53.099999999999994, 188.0]",5
sphere2D_6.1_-41.6_108.0_316.csv,1505,316,"[6.1, -41.6, 108.0]","[6.099999999999995, -41.6, 108.0]",5
sphere2D_7.5_-50.2_64.0_1187.csv,5654,1187,"[7.5, -50.2, 64.0]","[7.5, -50.2, 64.0]",6
sphere2D_7.9_42.1_191.0_1172.csv,5581,1172,"[7.9, 42.1, 191.0]","[7.900000000000008, 42.09999999999999, 191.0]",5
sphere2D_8.4_47.4_45.0_929.csv,4426,929,"[8.4, 47.4, 45.0]","[8.399999999999999, 47.4, 45.0]",6
sphere2D_9.2_-5.2_73.0_232.csv,1105,232,"[9.2, -5.2, 73.0]","[9.2, -5.200000000000001, 73.0]",5
sphere2D_9.3_54.6_75.0_315.csv,1503,315,"[9.3, 54.6, 75.0]","[9.3, 54.6, 75.0]",6
