1,2,3,4,5,6,7
cubic_-0.8_23.4_-9.7_2.csv,8,2,"[-0.8, 23.4, -9.7, 10.7]","[0.5819208306683794, 32.582676240221424, 1.2152176878741199, 4.075089239041608]",6,15.788054594512415
cubic_-1.1_-4.4_-5.8_3.csv,12,3,"[-1.1, -4.4, -5.8, -24.6]","[-0.42694465758912953, 1.569260558185844, 6.97159585831762, -25.27786530460159]",6,14.130047319271064
cubic_-1.6_11.4_22.4_19.csv,65,19,"[-1.6, 11.4, 22.4, 5.4]","[-1.5938317047468578, 11.388407998439805, 22.321349906224963, 5.486133080597875]",4,0.11737617812232305
cubic_-10.9_20.0_-14.1_9.csv,31,9,"[-10.9, 20.0, -14.1, -6.1]","[-10.906005182526256, 20.01237725007439, -14.091959798092928, -5.988972498330654]",6,0.11216509934119775
cubic_-11.6_-12.6_2.5_16.csv,54,16,"[-11.6, -12.6, 2.5, -23.9]","[-11.603914824084935, -12.618590119866154, 2.56258583796417, -23.615813119575407]",5,0.29161633788831626
cubic_-11.8_-4.2_6.6_17.csv,57,17,"[-11.8, -4.2, 6.6, 0.1]","[-11.808742355829299, -4.204770542054107, 6.772536678073575, 0.18883174017534962]",5,0.19431718966725867
cubic_-12.2_24.5_17.2_21.csv,72,21,"[-12.2, 24.5, 17.2, 1.2]","[-12.20069978078304, 24.494130332492535, 17.237897283330295, 1.1717566981428666]",5,0.04763224615113516
cubic_-12.3_-3.6_23.1_18.csv,61,18,"[-12.3, -3.6, 23.1, -1.2]","[-12.311468692214063, -3.5994643012313996, 23.390368869171247, -1.2304575952541066]",5,0.29218754793235585
cubic_-12.5_-11.4_-16.9_14.csv,47,14,"[-12.5, -11.4, -16.9, 24.8]","[-12.498005370806514, -11.384167576688816, -16.938720473567642, 24.24771715906157]",5,0.553868446151116
cubic_-12.6_-4.9_8.6_5.csv,19,5,"[-12.6, -4.9, 8.6, 18.7]","[-12.583944825103332, -4.857526867926156, 8.334768391572796, 18.749022779286857]",6,0.273519239884536
cubic_-12.8_-19.0_4.5_18.csv,62,18,"[-12.8, -19.0, 4.5, -24.3]","[-12.803860659251866, -19.026420752180922, 4.535241620209679, -24.04822973004292]",5,0.2556231630054865
cubic_-12.8_-2.0_19.2_12.csv,42,12,"[-12.8, -2.0, 19.2, 20.8]","[-12.791656219311484, -1.988127831587341, 19.032095284386337, 20.926067050126836]",5,0.2104648704938272
cubic_-13.5_-14.3_-4.1_16.csv,54,16,"[-13.5, -14.3, -4.1, 1.4]","[-13.509721799434107, -14.28600386992159, -3.8877734692027985, 1.422889239078608]",5,0.21413645808507675
cubic_-13.8_-10.2_5.4_18.csv,63,18,"[-13.8, -10.2, 5.4, -18.3]","[-13.798004338095927, -10.18994585947555, 5.406954709370038, -18.40233685818795]",5,0.10308379569225742
cubic_-14.7_-13.6_-17.1_16.csv,55,16,"[-14.7, -13.6, -17.1, -19.8]","[-14.70250874025468, -13.631019368832368, -17.043218436361464, -19.809648556912233]",5,0.06546553016778993
cubic_-15.0_-6.1_14.6_10.csv,35,10,"[-15.0, -6.1, 14.6, 23.3]","[-14.990000256651124, -6.073422653452899, 14.509972042153676, 23.085433805644964]",6,0.23441423841249687
cubic_-15.0_16.0_-23.5_13.csv,46,13,"[-15.0, 16.0, -23.5, 16.3]","[-15.013359242889967, 16.001544188352078, -23.307102075217582, 16.233944485958844]",5,0.20433745180182877
cubic_-15.7_0.5_24.5_5.csv,19,5,"[-15.7, 0.5, 24.5, 10.2]","[-15.700079777360623, 0.44495810270340846, 24.460687569704806, 10.08571412223852]",6,0.1328019045566074
cubic_-15.8_11.3_-13.6_15.csv,51,15,"[-15.8, 11.3, -13.6, -10.2]","[-15.797680346174364, 11.293004724793601, -13.600787645288207, -10.418781677115506]",5,0.2189071887710815
cubic_-16.6_3.6_-24.4_14.csv,48,14,"[-16.6, 3.6, -24.4, 4.8]","[-16.594822639848704, 3.5899729358929244, -24.49261660472344, 4.79771853569548]",5,0.09332945742162455
cubic_-16.9_-4.0_-17.0_3.csv,12,3,"[-16.9, -4.0, -17.0, -20.1]","[-8.378506547214386, 43.54170252712549, 0.3201149858308853, -91.54835191051271]",6,87.9640989477777
cubic_-17.6_14.2_3.6_18.csv,63,18,"[-17.6, 14.2, 3.6, 1.5]","[-17.603008210575826, 14.17934967476209, 3.6102422380715686, 1.7159361991064055]",5,0.21718386401511466
cubic_-17.7_-0.0_16.3_13.csv,46,13,"[-17.7, -0.0, 16.3, -10.3]","[-17.687168048207532, 0.03806125676250434, 16.03034444370129, -10.702310325604326]",5,0.48598460406042904
cubic_-17.8_-20.8_10.9_8.csv,27,8,"[-17.8, -20.8, 10.9, 11.3]","[-17.823432199397164, -20.9585539762556, 11.031286491188387, 12.399257592123545]",5,1.1186115625921544
cubic_-18.0_2.3_22.5_6.csv,23,6,"[-18.0, 2.3, 22.5, -10.3]","[-17.992394460497604, 2.2483493865297017, 22.36491401339564, -9.519219506192323]",5,0.79409825172356
cubic_-18.2_5.9_-1.5_9.csv,30,9,"[-18.2, 5.9, -1.5, -13.5]","[-18.1882923452573, 5.879100126301223, -1.7208285257065825, -13.361285604543358]",7,0.26187935232248366
cubic_-18.9_17.5_-13.2_22.csv,74,22,"[-18.9, 17.5, -13.2, -14.0]","[-18.900484278952568, 17.517931397324404, -13.222735298959666, -14.190345291410773]",6,0.1925356936184749
cubic_-18.9_23.4_-3.6_11.csv,37,11,"[-18.9, 23.4, -3.6, 3.8]","[-18.889975992215252, 23.44535170696581, -3.7325726424899797, 3.517232649071377]",6,0.31573745160298655
cubic_-19.0_-2.8_18.7_7.csv,25,7,"[-19.0, -2.8, 18.7, 13.4]","[-25.14935633640631, -33.03288869501455, 23.576506316155868, 77.65639130816405]",5,71.44582758983653
cubic_-19.2_-8.8_-21.9_16.csv,55,16,"[-19.2, -8.8, -21.9, 17.8]","[-19.20011242892724, -8.784335307600145, -21.840621663064592, 17.450398993693703]",5,0.35495358250880676
cubic_-19.2_17.6_14.4_17.csv,58,17,"[-19.2, 17.6, 14.4, 10.5]","[-19.18798294603347, 17.610551522713116, 14.149346375131335, 10.205182012232791]",5,0.3872991476733551
cubic_-2.4_19.5_13.1_9.csv,33,9,"[-2.4, 19.5, 13.1, -15.3]","[-2.3804683238349833, 19.497314993614626, 12.915718111726425, -15.393237187468845]",5,0.2074648960809492
cubic_-2.9_5.6_19.0_11.csv,38,11,"[-2.9, 5.6, 19.0, -20.4]","[-2.904251222065033, 5.535546347871166, 19.06093896122132, -20.02236677640839]",5,0.3879339566430278
cubic_-21.2_6.1_3.3_3.csv,10,3,"[-21.2, 6.1, 3.3, -8.4]","[-21.145061761944802, 6.219335787673877, 2.202633261670868, -10.788486567199735]",6,2.631794270133029
cubic_-21.9_19.3_-8.8_18.csv,60,18,"[-21.9, 19.3, -8.8, -23.2]","[-21.901459195007366, 19.301546574359275, -8.82999564738087, -23.097170998189025]",5,0.10713572521599436
cubic_-22.4_23.5_7.5_6.csv,22,6,"[-22.4, 23.5, 7.5, -6.2]","[-22.410147793658528, 23.48140966634743, 7.491216341544849, -6.336621855275167]",6,0.138532531255786
cubic_-24.2_17.9_3.4_3.csv,10,3,"[-24.2, 17.9, 3.4, -22.9]","[-24.15760659022243, 17.793081596956068, 2.7564217830594457, -21.966346662265224]",7,1.139793938607195
cubic_-3.9_17.7_20.9_20.csv,67,20,"[-3.9, 17.7, 20.9, 10.3]","[-3.888202518223685, 17.736808063181087, 20.72740835866086, 9.797277980201159]",5,0.532927122543196
cubic_-4.1_21.4_20.1_3.csv,13,3,"[-4.1, 21.4, 20.1, 6.0]","[-1.0746712530100484, 2.477805409455744, 39.61130245962779, 19.716129925929792]",7,30.594529020167155
cubic_-4.7_19.6_-2.2_7.csv,25,7,"[-4.7, 19.6, -2.2, -4.2]","[-4.687401512742651, 19.681486043453727, -2.280532430181065, -4.569170464255789]",5,0.386744102926753
cubic_-5.1_-13.6_3.8_24.csv,80,24,"[-5.1, -13.6, 3.8, 20.5]","[-5.106232326264375, -13.59752643634618, 3.8976836353287934, 20.45363806456351]",4,0.10833504546674229
cubic_-5.4_12.6_-2.1_12.csv,41,12,"[-5.4, 12.6, -2.1, 9.5]","[-5.38766945284957, 12.592630331057137, -2.352751320982676, 9.579005949356725]",4,0.26520091384759875
cubic_-6.5_14.7_5.7_4.csv,14,4,"[-6.5, 14.7, 5.7, -23.4]","[-5.210538224066932, 21.594487615040247, 8.064720711052315, -33.38666045793604]",6,12.430686316085644
cubic_-6.7_19.3_-22.4_6.csv,21,6,"[-6.7, 19.3, -22.4, -4.8]","[-6.710286503165266, 19.3127384041387, -22.30489318751904, -5.305645780092247]",6,0.5147728040531624
cubic_-7.1_-21.4_17.5_3.csv,10,3,"[-7.1, -21.4, 17.5, -14.9]","[-1.7409541989419588, 9.086112010443076, 20.183991311808494, -113.49847052055068]",5,103.37787285374411
cubic_-7.1_11.2_-3.9_13.csv,45,13,"[-7.1, 11.2, -3.9, -19.9]","[-7.086464891161748, 11.200680290715171, -4.111940020348608, -19.750283993669534]",5,0.25984056023575797
cubic_-8.1_-16.5_-6.2_12.csv,41,12,"[-8.1, -16.5, -6.2, -5.2]","[-8.09147879996148, -16.48510990729629, -6.237695943870006, -5.301022363202275]",4,0.10918254330269309
cubic_-8.2_-1.0_-20.2_8.csv,28,8,"[-8.2, -1.0, -20.2, 11.6]","[-8.20619833081259, -0.9869337145914567, -20.038597095450644, 11.475232760398594]",5,0.20451628002181801
cubic_-8.3_-25.0_11.1_18.csv,62,18,"[-8.3, -25.0, 11.1, 16.6]","[-8.285189785762794, -25.005144904176174, 10.832322381062307, 16.560236086585263]",5,0.2710687901159807
cubic_-8.6_-7.0_2.1_20.csv,68,20,"[-8.6, -7.0, 2.1, -5.3]","[-8.608210601926611, -7.007219962191376, 2.1566746633974154, -5.332066041693165]",5,0.06602870844655605
cubic_-9.5_-21.9_-2.2_15.csv,50,15,"[-9.5, -21.9, -2.2, -24.3]","[-9.501355577273452, -21.946812474454486, -2.133031571951161, -23.96467726692298]",5,0.3451367135322928
cubic_-9.9_-6.4_19.4_10.csv,35,10,"[-9.9, -6.4, 19.4, -6.1]","[-9.88906330719199, -6.4093932250578, 19.171584266997215, -6.034861974932466]",6,0.2379591421220479
cubic_0.3_-19.0_-13.7_10.csv,34,10,"[0.3, -19.0, -13.7, -13.2]","[0.29085805108739876, -18.994445273266216, -13.352486282055724, -13.197762347451844]",5,0.347685520934346
cubic_0.3_19.8_4.5_18.csv,61,18,"[0.3, 19.8, 4.5, -3.9]","[0.2948908805113348, 19.757465362633923, 4.559570560923713, -3.2805285682627487]",5,0.6238018955928066
cubic_0.6_18.3_14.3_11.csv,38,11,"[0.6, 18.3, 14.3, 24.6]","[0.6034496186469019, 18.314454954131072, 14.265025449078815, 24.582826408689716]",5,0.04170128317416382
cubic_1.5_-21.6_-22.5_13.csv,45,13,"[1.5, -21.6, -22.5, -12.7]","[1.5134753204188374, -21.58735034395825, -22.778578040976114, -12.704290255834321]",5,0.2792234396815186
cubic_1.7_-21.9_-7.6_13.csv,45,13,"[1.7, -21.9, -7.6, -8.3]","[1.691770476506613, -21.927318489404502, -7.552389734820098, -8.097819621017994]",5,0.20966084020646464
cubic_1.9_11.5_18.3_4.csv,15,4,"[1.9, 11.5, 18.3, -18.1]","[1.882626364041746, 11.544239989179578, 18.690298094776068, -18.614402584342333]",5,0.6474578298491082
cubic_10.1_-11.8_-8.2_21.csv,71,21,"[10.1, -11.8, -8.2, 24.4]","[10.10902258900827, -11.792409192392256, -8.348862245688899, 24.51310336437591]",5,0.18732689795446586
cubic_11.0_-17.2_-7.9_15.csv,50,15,"[11.0, -17.2, -7.9, 20.6]","[11.002410806648546, -17.184992311238414, -7.926833308775945, 20.68321550402633]",5,0.08874620713519066
cubic_11.5_24.5_-17.8_6.csv,21,6,"[11.5, 24.5, -17.8, -15.3]","[11.497886528460848, 24.470289018657503, -17.722744697319055, -14.952289232256955]",5,0.3574330272527479
cubic_11.6_3.4_0.8_18.csv,62,18,"[11.6, 3.4, 0.8, 10.6]","[11.608323217597137, 3.3933164972237204, 0.7352404181791663, 10.797789855422652]",5,0.2083952386842192
cubic_11.7_-5.9_21.5_3.csv,12,3,"[11.7, -5.9, 21.5, 11.3]","[11.727651400897644, -5.867318826699544, 21.06021987114648, 10.858625383614317]",6,0.6245404492776471
cubic_12.1_-10.8_7.6_19.csv,66,19,"[12.1, -10.8, 7.6, -9.5]","[12.091920134766708, -10.844094404372786, 7.773464165747608, -9.269308678137346]",5,0.2920922859310587
cubic_12.3_24.5_-4.9_12.csv,40,12,"[12.3, 24.5, -4.9, -22.3]","[12.303232355036354, 24.526770071856863, -4.9476865641494205, -22.128443632125887]",5,0.1800907566335312
cubic_13.1_-12.2_-24.9_18.csv,63,18,"[13.1, -12.2, -24.9, 19.7]","[13.109017167897852, -12.205647674183709, -25.07249307480805, 19.62992686375284]",5,0.18648675776267015
cubic_13.6_12.0_22.0_3.csv,10,3,"[13.6, 12.0, 22.0, 3.7]","[17.41254333320166, 40.4643833220168, 71.7797153151405, 9.376950912984627]",7,57.74949725404646
cubic_13.8_-4.4_13.0_20.csv,68,20,"[13.8, -4.4, 13.0, -1.0]","[13.793712070554315, -4.409419372774037, 13.167388991062735, -0.7977173178122715]",5,0.2628033875014401
cubic_15.1_-14.9_-3.2_13.csv,44,13,"[15.1, -14.9, -3.2, 5.4]","[15.096511613842496, -14.916846766725085, -3.151935185026106, 5.688485740495864]",5,0.29296796974241845
cubic_15.2_-13.9_-14.8_18.csv,60,18,"[15.2, -13.9, -14.8, 20.5]","[15.199571719430676, -13.900994706542956, -14.76421510557628, 20.596217166250185]",5,0.10266194336503241
cubic_15.3_4.9_-3.9_3.csv,10,3,"[15.3, 4.9, -3.9, 8.2]","[12.96304328661009, 22.1883089274836, -33.550231872487785, 10.872473596947405]",6,34.505439534529025
cubic_15.4_-21.8_-7.3_21.csv,70,21,"[15.4, -21.8, -7.3, -20.7]","[15.400267040152656, -21.79453694817031, -7.245179604098865, -20.74216448498992]",5,0.06937604663685765
cubic_15.7_-19.2_23.4_18.csv,60,18,"[15.7, -19.2, 23.4, -17.1]","[15.692465990372813, -19.163444483018182, 23.564160158184915, -17.53891560818906]",5,0.47009417755396576
cubic_16.2_-2.9_-7.6_7.csv,24,7,"[16.2, -2.9, -7.6, 18.7]","[16.203830593471768, -2.936544449215716, -7.6004067537024955, 19.010638184495694]",5,0.31280411974617833
cubic_16.5_-19.0_-11.1_17.csv,58,17,"[16.5, -19.0, -11.1, -3.1]","[16.49944960933268, -18.9858755521839, -11.132971062275969, -3.0408188003946166]",5,0.0692048285189301
cubic_16.6_-22.0_16.0_12.csv,43,12,"[16.6, -22.0, 16.0, -0.1]","[16.574394643023833, -22.00685851127586, 16.41068120023204, -0.27381253394752697]",5,0.44673540117623106
cubic_17.8_-14.8_15.4_21.csv,72,21,"[17.8, -14.8, 15.4, 16.6]","[17.80021734097396, -14.807593470709374, 15.357315397017244, 16.63383569102727]",5,0.05499579396282338
cubic_18.2_-8.8_-1.1_15.csv,50,15,"[18.2, -8.8, -1.1, 19.2]","[18.199471579586856, -8.809951734215478, -1.165656249125175, 19.183625642314997]",5,0.06839721398428406
cubic_18.6_-18.8_0.7_23.csv,77,23,"[18.6, -18.8, 0.7, -9.0]","[18.607307367489422, -18.799032019848873, 0.5720553191735794, -9.050948406358753]",5,0.13791271176896513
cubic_19.2_17.8_17.7_22.csv,76,22,"[19.2, 17.8, 17.7, -23.7]","[19.204182908664926, 17.826192484885215, 17.65270654032822, -23.687887719563005]",5,0.05556007248440007
cubic_19.6_-0.4_2.2_6.csv,22,6,"[19.6, -0.4, 2.2, -4.9]","[19.59297397483592, -0.36833181394955417, 2.325445697662749, -5.180514443886665]",5,0.3089938758753487
cubic_19.9_-22.7_11.7_17.csv,58,17,"[19.9, -22.7, 11.7, 0.7]","[19.90093637664587, -22.70351111222794, 11.571796742751468, 1.2295617289273026]",5,0.5448714569730251
cubic_2.4_-12.9_-15.2_13.csv,44,13,"[2.4, -12.9, -15.2, 1.1]","[2.3846671689018097, -12.877716304669418, -14.956758826440822, 0.6965575063949258]",5,0.47187262364731225
cubic_2.9_-10.9_8.4_4.csv,16,4,"[2.9, -10.9, 8.4, 10.8]","[2.1180524556449285, -13.854087332750224, 13.600125493079567, 20.92164075681608]",5,11.78248660875346
cubic_22.2_11.2_1.1_10.csv,35,10,"[22.2, 11.2, 1.1, 22.4]","[22.179394242708003, 11.197568426809434, 1.4274169144521518, 22.12523087082739]",5,0.42793740196131325
cubic_22.5_21.4_12.9_18.csv,62,18,"[22.5, 21.4, 12.9, -24.6]","[22.49259199775905, 21.3810108421022, 13.066865063687908, -24.182448208272596]",5,0.45012100025349316
cubic_24.1_15.6_19.1_22.csv,74,22,"[24.1, 15.6, 19.1, 4.7]","[24.105709095403082, 15.583436307690008, 19.011370144816905, 4.949814183177519]",5,0.2656488791990084
cubic_24.6_18.3_20.8_17.csv,59,17,"[24.6, 18.3, 20.8, 18.3]","[24.58959272131918, 18.262092846561927, 20.85099309206839, 18.642784450064088]",5,0.3487789247872524
cubic_3.5_21.2_22.4_5.csv,18,5,"[3.5, 21.2, 22.4, -17.0]","[3.486937043713759, 21.165887583307548, 22.66649112633914, -16.615268637872074]",5,0.4694358733861834
cubic_3.7_-11.8_2.7_5.csv,19,5,"[3.7, -11.8, 2.7, 24.4]","[3.7148381409262043, -11.775837417342798, 2.5329952319817264, 23.815664048203736]",5,0.6083938674323514
cubic_4.0_-8.1_-21.2_5.csv,18,5,"[4.0, -8.1, -21.2, -6.2]","[3.997186720439762, -8.060498853492895, -21.077810487490016, -5.966492408317]",6,0.2665038976418202
cubic_4.4_4.9_-12.7_10.csv,35,10,"[4.4, 4.9, -12.7, -12.6]","[4.42205544160217, 4.863394554147501, -13.021803188647512, -12.182327246058824]",5,0.5289935942701383
cubic_4.8_18.3_2.1_19.csv,65,19,"[4.8, 18.3, 2.1, -20.8]","[4.795564104327356, 18.319192119269978, 2.11485179622933, -20.53578915949108]",5,0.2653600548427719
cubic_5.2_19.3_-0.9_9.csv,31,9,"[5.2, 19.3, -0.9, 24.9]","[5.190834137273285, 19.285535240612607, -0.888930006257988, 25.036140169101305]",5,0.1376587545637425
cubic_5.7_5.7_3.1_15.csv,51,15,"[5.7, 5.7, 3.1, -3.0]","[5.69373377884125, 5.669998715118556, 3.188063760172826, -2.553140996204305]",5,0.4564838855328916
cubic_6.6_13.3_-22.0_20.csv,67,20,"[6.6, 13.3, -22.0, -19.6]","[6.617775020251626, 13.263016862555755, -22.266368847476986, -19.398816888879793]",5,0.33631935850674705
cubic_7.6_-19.9_-21.6_18.csv,61,18,"[7.6, -19.9, -21.6, 22.6]","[7.6039439173012635, -19.89511331399086, -21.60265227317625, 22.76049649283732]",5,0.16064119319126025
cubic_8.8_-0.1_1.2_20.csv,67,20,"[8.8, -0.1, 1.2, 2.8]","[8.789280864301015, -0.08900974458887337, 1.3529646157365445, 2.4991888443176715]",4,0.33781831009360896
cubic_9.1_11.3_-24.9_10.csv,35,10,"[9.1, 11.3, -24.9, -1.6]","[9.098833967725717, 11.245986455004793, -24.96568496132875, -1.4820465002126133]",5,0.14541789756101814
