1,2,3,4,5,6,7,8,9
cubic_-0.8_23.4_-9.7_2.csv,8,2,"[-0.8, 23.4, -9.7, 10.7]","[-2.7377052693563884, 22.77285420767454, 15.758228389685042, 29.458423577524083]",5,3,3296.5425553942514,1.46e-5
cubic_-1.1_-4.4_-5.8_3.csv,12,3,"[-1.1, -4.4, -5.8, -24.6]","[-0.42694369665449233, 1.5692637976179886, 6.971580557752063, -25.277907767327573]",10,4,319.3673998638451,3.355e-5
cubic_-1.6_11.4_22.4_19.csv,65,19,"[-1.6, 11.4, 22.4, 5.4]","[-0.3988979807588318, 5.648582931125006, 22.338133141514668, 18.603201246856106]",7,4,6409.216673975894,6.825e-5
cubic_-10.9_20.0_-14.1_9.csv,31,9,"[-10.9, 20.0, -14.1, -6.1]","[-10.907867029227223, 19.983557947205423, -13.983294096323146, -5.78975747499545]",11,5,17.136930552232208,5.85e-5
cubic_-11.6_-12.6_2.5_16.csv,54,16,"[-11.6, -12.6, 2.5, -23.9]","[-11.603914824184109, -12.618590114951948, 2.5625858403517126, -23.615813199709063]",15,6,50.161111775794275,0.0001101
cubic_-11.8_-4.2_6.6_17.csv,57,17,"[-11.8, -4.2, 6.6, 0.1]","[-11.808742358395765, -4.204770366508969, 6.772536697365417, 0.18882891644635502]",24,9,22.616346636768967,0.000189
cubic_-12.2_24.5_17.2_21.csv,72,21,"[-12.2, 24.5, 17.2, 1.2]","[1.2560140276157539, -3.725577214766233, -34.646542873711425, 47.85249243600042]",4,3,248989.7799011227,4.74e-5
cubic_-12.3_-3.6_23.1_18.csv,61,18,"[-12.3, -3.6, 23.1, -1.2]","[1.2009344553733907, 2.2443277987284356, -48.1491718996969, -3.2002221060646114]",4,3,310601.65092842455,3.84e-5
cubic_-12.5_-11.4_-16.9_14.csv,47,14,"[-12.5, -11.4, -16.9, 24.8]","[-4.9326093398176, -34.28216984324596, -50.905313594985536, 72.22286100479606]",12,5,96460.909593472,7.93e-5
cubic_-12.6_-4.9_8.6_5.csv,19,5,"[-12.6, -4.9, 8.6, 18.7]","[-12.58394532163696, -4.857534069115839, 8.334778734302649, 18.74915007023594]",9,4,6.024767363848221,3.655e-5
cubic_-12.8_-19.0_4.5_18.csv,62,18,"[-12.8, -19.0, 4.5, -24.3]","[1.0113089332278309, 7.9856697309342515, -43.137782849061836, -52.710124452585895]",7,4,376864.43457309,6.37e-5
cubic_-12.8_-2.0_19.2_12.csv,42,12,"[-12.8, -2.0, 19.2, 20.8]","[-8.058862957172371, 22.04772011469189, 22.271955401596117, -22.637281550340262]",23,8,42608.3944545494,0.0001498
cubic_-13.5_-14.3_-4.1_16.csv,54,16,"[-13.5, -14.3, -4.1, 1.4]","[0.7277310312909286, 4.383609658544596, -49.45235762198975, -32.526155999913]",4,3,487059.5030278963,3.425e-5
cubic_-13.8_-10.2_5.4_18.csv,63,18,"[-13.8, -10.2, 5.4, -18.3]","[2.5028849398808792, -0.3484470161747091, -71.14165707364491, -32.76953219506285]",4,3,534699.7330830477,4.09e-5
cubic_-14.7_-13.6_-17.1_16.csv,55,16,"[-14.7, -13.6, -17.1, -19.8]","[3.729605000348671, -2.533877027934026, -129.85324961558018, -53.861852443170456]",4,3,953906.2851770237,3.42e-5
cubic_-15.0_-6.1_14.6_10.csv,35,10,"[-15.0, -6.1, 14.6, 23.3]","[-14.989999864878495, -6.073423542995118, 14.509964987409248, 23.085447750387992]",15,6,22.95773866722142,8.46e-5
cubic_-15.0_16.0_-23.5_13.csv,46,13,"[-15.0, 16.0, -23.5, 16.3]","[-5.043615879136674, -30.69867598766554, -20.766338837874567, 98.08063678798572]",20,7,296118.2031319361,0.0001333
cubic_-15.7_0.5_24.5_5.csv,19,5,"[-15.7, 0.5, 24.5, 10.2]","[8.40552691254604, -20.954664546235744, -155.0145612535346, 20.403385875146185]",5,3,429869.91855445923,1.99e-5
cubic_-15.8_11.3_-13.6_15.csv,51,15,"[-15.8, 11.3, -13.6, -10.2]","[5.141386639211578, -10.24771094036844, -124.54149929766423, 21.374303411302733]",8,4,619317.9449238239,5.785e-5
cubic_-16.6_3.6_-24.4_14.csv,48,14,"[-16.6, 3.6, -24.4, 4.8]","[7.140469996166506, 0.9078669075403019, -181.89251035583035, 5.396247778435233]",4,3,920864.7911038385,2.69e-5
cubic_-16.9_-4.0_-17.0_3.csv,12,3,"[-16.9, -4.0, -17.0, -20.1]","[-1.4680188720385028, 27.132430448874977, -80.14326383460514, -80.2255680411704]",5,3,39321.41101166049,1.625e-5
cubic_-17.6_14.2_3.6_18.csv,63,18,"[-17.6, 14.2, 3.6, 1.5]","[-17.60300821937901, 14.179349694030485, 3.610242395418175, 1.715935938494453]",15,6,39.04351483469323,0.0001307
cubic_-17.7_-0.0_16.3_13.csv,46,13,"[-17.7, -0.0, 16.3, -10.3]","[2.609614712384967, 4.752810518797566, -98.95150783797665, -19.88782457246796]",4,3,713262.685949407,2.625e-5
cubic_-17.8_-20.8_10.9_8.csv,27,8,"[-17.8, -20.8, 10.9, 11.3]","[-4.85679983053022, 26.93077050199255, -15.267048259740728, -58.00492034670992]",12,5,78055.70469948734,5.76e-5
cubic_-18.0_2.3_22.5_6.csv,23,6,"[-18.0, 2.3, 22.5, -10.3]","[-9.405581336410615, 37.58051844896865, 9.678900503763598, -61.079520256029305]",13,5,51458.898660333965,6.01e-5
cubic_-18.2_5.9_-1.5_9.csv,30,9,"[-18.2, 5.9, -1.5, -13.5]","[5.778101277101996, 0.07195717771087243, -146.3177020984221, 4.880680618876036]",4,3,494975.4677709802,2.18e-5
cubic_-18.9_17.5_-13.2_22.csv,74,22,"[-18.9, 17.5, -13.2, -14.0]","[-9.785781575626224, -32.3751573717059, 17.842233322087118, 41.540998199492925]",27,9,173119.08972139322,0.0002581
cubic_-18.9_23.4_-3.6_11.csv,37,11,"[-18.9, 23.4, -3.6, 3.8]","[-5.431304221653842, -32.023643905910795, -16.779500924924804, 88.51286990101846]",16,6,161091.137028253,9.38e-5
cubic_-19.0_-2.8_18.7_7.csv,25,7,"[-19.0, -2.8, 18.7, 13.4]","[-25.14935498021632, -33.03288189324522, 23.57649623300469, 77.65634035178758]",9,4,117776.87728288607,4.27e-5
cubic_-19.2_-8.8_-21.9_16.csv,55,16,"[-19.2, -8.8, -21.9, 17.8]","[6.169878652833223, -4.082970740326077, -192.00908322238132, -16.65416364440134]",4,3,1.9330920856604264e6,3.455e-5
cubic_-19.2_17.6_14.4_17.csv,58,17,"[-19.2, 17.6, 14.4, 10.5]","[4.7612074974683205, -7.09063966069897, -133.46041488185207, 70.50093052547524]",4,3,990808.4350352616,3.72e-5
cubic_-2.4_19.5_13.1_9.csv,33,9,"[-2.4, 19.5, 13.1, -15.3]","[-0.38661138249842214, 5.760224538129966, 9.82536746099336, 12.696541513846432]",4,3,71014.0864779447,2.525e-5
cubic_-2.9_5.6_19.0_11.csv,38,11,"[-2.9, 5.6, 19.0, -20.4]","[-2.9042512195823087, 5.535546383881148, 19.060938915933388, -20.022367317595315]",20,7,19.630288677605055,0.00012025
cubic_-21.2_6.1_3.3_3.csv,10,3,"[-21.2, 6.1, 3.3, -8.4]","[-17.385937448212584, 2.534197964220636, -38.763281272123216, 3.628934003273406]",5,3,8113.278287292887,1.52e-5
cubic_-21.9_19.3_-8.8_18.csv,60,18,"[-21.9, 19.3, -8.8, -23.2]","[6.936015172533759, -2.2826218543556225, -168.44943518066174, 36.36475185261797]",4,3,1.6980881547058546e6,3.755e-5
