1,2,3,4,5,6,7,8,9
cubic_-0.8_23.4_-9.7_2.csv,8,2,"[-0.8, 23.4, -9.7, 10.7]","[-2.737705669527232, 22.77284313579953, 15.758233107825074, 29.458536907228204]",5,3,3296.5425553527543,1.47e-5
cubic_-1.1_-4.4_-5.8_3.csv,12,3,"[-1.1, -4.4, -5.8, -24.6]","[-0.42694456238772654, 1.5692608791242142, 6.97159434246678, -25.277869511491602]",10,4,319.3673998586288,3.355e-5
cubic_-1.6_11.4_22.4_19.csv,65,19,"[-1.6, 11.4, 22.4, 5.4]","[-0.39889775879531814, 5.648581469683977, 22.33813228234533, 18.603212282587947]",7,4,6409.216673968081,6.96e-5
cubic_-10.9_20.0_-14.1_9.csv,31,9,"[-10.9, 20.0, -14.1, -6.1]","[-10.907866956439168, 19.983560134528126, -13.983295307890014, -5.789789321065513]",11,5,17.13693051564814,5.795e-5
cubic_-11.6_-12.6_2.5_16.csv,54,16,"[-11.6, -12.6, 2.5, -23.9]","[-11.603915228848255, -12.618585899417814, 2.562593968890332, -23.615882355805862]",13,6,50.161111844301246,9.87e-5
cubic_-11.8_-4.2_6.6_17.csv,57,17,"[-11.8, -4.2, 6.6, 0.1]","[-11.808742357204043, -4.2047704502807015, 6.772536688783769, 0.18883026406412812]",24,9,22.61634663667561,0.0001872
cubic_-12.2_24.5_17.2_21.csv,72,21,"[-12.2, 24.5, 17.2, 1.2]","[1.2560140314755706, -3.7255772922934134, -34.64654293278293, 47.85249332069452]",4,3,248989.77990112267,4.695e-5
cubic_-12.3_-3.6_23.1_18.csv,61,18,"[-12.3, -3.6, 23.1, -1.2]","[1.2009336973482314, 2.2443264607614477, -48.14916024807244, -3.200207349854582]",3,3,310601.6509284388,3.25e-5
cubic_-12.5_-11.4_-16.9_14.csv,47,14,"[-12.5, -11.4, -16.9, 24.8]","[-4.932608213024075, -34.28216590558119, -50.905330194789535, 72.22281790368328]",11,5,96460.90959351542,7.45e-5
cubic_-12.6_-4.9_8.6_5.csv,19,5,"[-12.6, -4.9, 8.6, 18.7]","[-12.583944960747464, -4.857528834674891, 8.334771217014508, 18.749057544388403]",8,4,6.0247672703934665,3.315e-5
cubic_-12.8_-19.0_4.5_18.csv,62,18,"[-12.8, -19.0, 4.5, -24.3]","[1.01130852727087, 7.985669397821315, -43.13777703315483, -52.71011962499091]",7,4,376864.4345730834,6.395e-5
cubic_-12.8_-2.0_19.2_12.csv,42,12,"[-12.8, -2.0, 19.2, 20.8]","[-8.058862997515144, 22.04771993501038, 22.271955849060827, -22.63727976568394]",22,8,42608.39445454934,0.00014125
cubic_-13.5_-14.3_-4.1_16.csv,54,16,"[-13.5, -14.3, -4.1, 1.4]","[0.7277309915288722, 4.383609925532191, -49.45235726899758, -32.5261583112566]",4,3,487059.5030278961,3.415e-5
cubic_-13.8_-10.2_5.4_18.csv,63,18,"[-13.8, -10.2, 5.4, -18.3]","[2.502884943692012, -0.34844692795055837, -71.14165711440103, -32.76953317033146]",4,3,534699.7330830476,4.05e-5
cubic_-14.7_-13.6_-17.1_16.csv,55,16,"[-14.7, -13.6, -17.1, -19.8]","[3.729605022531671, -2.5338766689597714, -129.85324989772246, -53.86185600102027]",4,3,953906.2851770232,3.4e-5
cubic_-15.0_-6.1_14.6_10.csv,35,10,"[-15.0, -6.1, 14.6, 23.3]","[-14.99000006320907, -6.0734231596782955, 14.509968538313547, 23.085441636997206]",15,6,22.95773866402388,8.28e-5
cubic_-15.0_16.0_-23.5_13.csv,46,13,"[-15.0, 16.0, -23.5, 16.3]","[-5.043615884592297, -30.69867595098914, -20.76633873497167, 98.0806362331472]",20,7,296118.2031319362,0.0001299
cubic_-15.7_0.5_24.5_5.csv,19,5,"[-15.7, 0.5, 24.5, 10.2]","[8.4055272708188, -20.954666314371067, -155.0145631724537, 20.403396287687706]",5,3,429869.9185544584,2.055e-5
cubic_-15.8_11.3_-13.6_15.csv,51,15,"[-15.8, 11.3, -13.6, -10.2]","[5.141386710822192, -10.247711325413194, -124.54149984284973, 21.374306333868933]",8,4,619317.9449238237,5.71e-5
cubic_-16.6_3.6_-24.4_14.csv,48,14,"[-16.6, 3.6, -24.4, 4.8]","[7.140470066061369, 0.9078666229695158, -181.89251118087316, 5.396250361641432]",4,3,920864.7911038382,2.705e-5
cubic_-16.9_-4.0_-17.0_3.csv,12,3,"[-16.9, -4.0, -17.0, -20.1]","[-1.4680204903589673, 27.132438271357753, -80.1432506969579, -80.225629279298]",5,3,39321.41101164282,1.625e-5
cubic_-17.6_14.2_3.6_18.csv,63,18,"[-17.6, 14.2, 3.6, 1.5]","[-17.60300832187384, 14.179347227879436, 3.610244737773902, 1.7159741382723022]",14,6,39.043514866417915,0.000122
cubic_-17.7_-0.0_16.3_13.csv,46,13,"[-17.7, -0.0, 16.3, -10.3]","[2.609614717696718, 4.752810570325902, -98.95150798336961, -19.887825176216683]",4,3,713262.6859494069,2.655e-5
cubic_-17.8_-20.8_10.9_8.csv,27,8,"[-17.8, -20.8, 10.9, 11.3]","[-4.856799962419197, 26.930770161656298, -15.267045957570456, -58.00491481914197]",12,5,78055.70469948665,5.735e-5
cubic_-18.0_2.3_22.5_6.csv,23,6,"[-18.0, 2.3, 22.5, -10.3]","[-9.405581723590844, 37.580516871898936, 9.6789058852338, -61.07950107353296]",12,5,51458.89866032811,5.565e-5
cubic_-18.2_5.9_-1.5_9.csv,30,9,"[-18.2, 5.9, -1.5, -13.5]","[5.778101540510719, 0.0719568337948791, -146.3177059006623, 4.88068471063723]",4,3,494975.4677709793,2.15e-5
cubic_-18.9_17.5_-13.2_22.csv,74,22,"[-18.9, 17.5, -13.2, -14.0]","[-9.785781607015606, -32.37515780702868, 17.842234394476396, 41.54100319961535]",24,9,173119.08972139063,0.0002352
cubic_-18.9_23.4_-3.6_11.csv,37,11,"[-18.9, 23.4, -3.6, 3.8]","[-5.431304250753592, -32.02364376478354, -16.77950032278299, 88.51286754865023]",16,6,161091.137028253,9.18e-5
cubic_-19.0_-2.8_18.7_7.csv,25,7,"[-19.0, -2.8, 18.7, 13.4]","[-25.149356021262932, -33.03288710802064, 23.576503985822228, 77.65637940589323]",8,4,117776.87728286473,3.83e-5
cubic_-19.2_-8.8_-21.9_16.csv,55,16,"[-19.2, -8.8, -21.9, 17.8]","[6.169878671986345, -4.082970674989122, -192.0090834988116, -16.654164317264808]",4,3,1.9330920856604262e6,3.465e-5
cubic_-19.2_17.6_14.4_17.csv,58,17,"[-19.2, 17.6, 14.4, 10.5]","[4.761207548678396, -7.090640108662849, -133.46041538257944, 70.500934820861]",4,3,990808.4350352609,3.72e-5
cubic_-2.4_19.5_13.1_9.csv,33,9,"[-2.4, 19.5, 13.1, -15.3]","[-0.3866112819067832, 5.760223882461388, 9.825366649824321, 12.696547622295498]",4,3,71014.08647794396,2.5e-5
cubic_-2.9_5.6_19.0_11.csv,38,11,"[-2.9, 5.6, 19.0, -20.4]","[-2.9042513917040718, 5.535543178087553, 19.060942093734543, -20.022319197708036]",19,7,19.63028870363047,0.0001131
cubic_-21.2_6.1_3.3_3.csv,10,3,"[-21.2, 6.1, 3.3, -8.4]","[-17.38593464421792, 2.534188759724361, -38.76330179767814, 3.628989408101602]",5,3,8113.278287281511,1.5e-5
cubic_-21.9_19.3_-8.8_18.csv,60,18,"[-21.9, 19.3, -8.8, -23.2]","[6.93601520837319, -2.2826220575993017, -168.44943561310845, 36.364753860810694]",4,3,1.6980881547058546e6,3.76e-5
cubic_-22.4_23.5_7.5_6.csv,22,6,"[-22.4, 23.5, 7.5, -6.2]","[-22.410147794707257, 23.481409672678534, 7.4912163634673705, -6.336621961316184]",16,6,7.15636804843613,7.07e-5
cubic_-24.2_17.9_3.4_3.csv,10,3,"[-24.2, 17.9, 3.4, -22.9]","[5.6265175360251165, 5.310247679797877, -118.30469721705477, -27.3601362667614]",5,3,68494.27654165741,1.505e-5
cubic_-3.9_17.7_20.9_20.csv,67,20,"[-3.9, 17.7, 20.9, 10.3]","[-3.8882025166869676, 17.736808092202274, 20.727408333987665, 9.797277517560847]",23,9,51.87998811756202,0.0002124
cubic_-4.1_21.4_20.1_3.csv,13,3,"[-4.1, 21.4, 20.1, 6.0]","[-1.0746716201350692, 2.477806382501149, 39.61131066984018, 19.716108795705892]",9,4,2472.836830013015,3.005e-5
cubic_-4.7_19.6_-2.2_7.csv,25,7,"[-4.7, 19.6, -2.2, -4.2]","[0.09898901635527509, -1.4209706466470273, -6.330493375603661, 34.13956906109294]",4,3,23609.290915919002,2.145e-5
cubic_-5.1_-13.6_3.8_24.csv,80,24,"[-5.1, -13.6, 3.8, 20.5]","[0.16840734197580776, -0.16031294961958276, -15.015638681422287, -3.083202755577485]",3,3,58973.229476899694,4.535e-5
cubic_-5.4_12.6_-2.1_12.csv,41,12,"[-5.4, 12.6, -2.1, 9.5]","[-5.387668846310699, 12.592625508997472, -2.3527611185469013, 9.579078589499947]",19,7,16.07911053187124,0.000119
cubic_-6.5_14.7_5.7_4.csv,14,4,"[-6.5, 14.7, 5.7, -23.4]","[-2.0873475562290222, 15.365506094187467, -22.894298522513022, -15.020233370924831]",9,4,4039.467397584142,2.98e-5
cubic_-6.7_19.3_-22.4_6.csv,21,6,"[-6.7, 19.3, -22.4, -4.8]","[-1.8096975240096915, -9.433735439687121, -1.0095052363491552, 15.974371424509263]",16,6,14544.027660932465,6.675e-5
cubic_-7.1_-21.4_17.5_3.csv,10,3,"[-7.1, -21.4, 17.5, -14.9]","[-1.232927794917993, 3.378359073881618, 21.061710775633838, -44.950002260301815]",10,4,1883.8330942683065,2.955e-5
cubic_-7.1_11.2_-3.9_13.csv,45,13,"[-7.1, 11.2, -3.9, -19.9]","[2.3160801389834966, 0.3321373288636695, -62.642721978067804, 18.285485008726873]",4,3,137939.00238348826,2.535e-5
cubic_-8.1_-16.5_-6.2_12.csv,41,12,"[-8.1, -16.5, -6.2, -5.2]","[-2.686905502131882, 12.538370303632112, 5.512594890914155, -45.79883120994997]",20,7,48894.36464492133,0.0001195
cubic_-8.2_-1.0_-20.2_8.csv,28,8,"[-8.2, -1.0, -20.2, 11.6]","[4.4646228523683735, -1.8619882645209267, -73.84799743661068, 11.426952454063729]",4,3,64181.84044384035,2.17e-5
cubic_-8.3_-25.0_11.1_18.csv,62,18,"[-8.3, -25.0, 11.1, 16.6]","[0.04407969380986416, 1.9556388707672454, -7.184544699406899, -23.53159341051331]",7,4,79745.93479626375,6.205e-5
